name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;timestamps;timestampsMax;timestampsMin
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;100;100;100;5;6;6;6;2132.4;2675;1757;1284.2 1284.2 1284.2 1293 2131.6 2131.8;1674 1674 1674 1674 2674 2674;1064 1064 1064 1064 1757 1757
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;98;98;98;5;4;4;4;910.4;1042;810;167.6 238.4 293 415.2;227 423 423 1034;131 155 231 231
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;84;84;84;5;1;1;1;740.2;800;697;128;139;118
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;58;58;58;5;14;14;14;956.4;1089;881;654.4 654.8 655 655 657.8 658.2 661.4 661.4 668.8 670 678.4 680.6 688 688;699 699 699 699 703 703 703 703 714 714 732 732 732 732;623 623 624 624 631 631 638 638 640 640 640 640 645 645
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;88;88;88;5;8;8;8;1827.6;1996;1737;1082.4 1093.8 1093.8 1121.6 1133.4 1133.8 1136.2 1140.8;1238 1244 1244 1244 1252 1253 1265 1265;1007 1007 1007 1007 1017 1017 1017 1017
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;100;100;100;5;66;66;66;2260.6;2392;2188;1261.8 1278.6 1278.8 1285.4 1288.6 1290.2 1304 1305.2 1314.2 1314.2 1315.4 1330.8 1333.2 1333.2 1336.8 1339.8 1343 1348.6 1350.2 1351.4 1353.6 1356.4 1356.4 1357.8 1357.8 1358.8 1358.8 1360.2 1362 1364.4 1364.4 1365 1366.2 1366.6 1366.6 1368.6 1368.6 1370.2 1370.2 1372.2 1372.2 1377.2 1377.2 1382.4 1382.4 1386.8 1386.8 1389.6 1391.6 1393.2 1394.6 1396 1396 1396.4 1397.6 1397.8 1398.8 1401.2 1403 1403 1405.2 1409 1419 1421.4 2259.8 2259.8;1348 1388 1389 1389 1389 1396 1396 1402 1403 1403 1403 1419 1419 1419 1419 1429 1429 1450 1450 1450 1450 1451 1451 1451 1451 1452 1452 1452 1452 1454 1454 1454 1454 1455 1455 1455 1455 1456 1456 1456 1456 1463 1463 1463 1463 1481 1481 1481 1491 1491 1492 1492 1492 1492 1492 1492 1497 1497 1497 1497 1508 1508 1522 1522 2391 2391;1188 1189 1189 1189 1193 1193 1193 1193 1215 1215 1215 1215 1219 1219 1219 1219 1229 1229 1229 1232 1232 1233 1233 1238 1238 1238 1238 1243 1243 1253 1253 1253 1253 1254 1254 1254 1254 1258 1258 1258 1258 1272 1272 1272 1272 1272 1272 1272 1272 1273 1273 1273 1273 1274 1274 1274 1274 1282 1282 1282 1282 1291 1291 1291 2188 2188
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;98;98;98;5;46;46;46;931.4;1008;879;175.2 276 279.2 290 691.6 922.2 922.4 922.6 922.8 923 923.2 924 924.4 925.4 925.6 926 926 926.8 926.8 928 928 928.8 929 929.6 929.6 929.6 930 930 930 930 930 930.2 930.2 930.8 930.8 931 931 931 931 931 931 931 931 931 931.2 931.2;214 295 296 304 925 1002 1002 1002 1002 1003 1003 1005 1005 1005 1005 1006 1006 1006 1006 1006 1006 1006 1007 1007 1007 1007 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008 1008;150 242 257 276 386 869 869 870 870 870 870 870 871 873 874 874 874 875 875 875 875 878 878 878 878 878 878 878 878 878 878 878 878 879 879 879 879 879 879 879 879 879 879 879 879 879
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;84;84;84;5;32;32;32;789.6;891;710;123.8 366.4 611 676.6 677 677 682 682.4 682.8 684 685.4 685.8 686.4 692.2 695.2 695.6 696.2 700.6 782.2 782.2 783.2 784 785.8 787.2 787.4 788.2 788.2 788.4 789 789 789 789;141 535 727 815 815 815 815 816 816 816 816 817 817 817 821 821 821 822 870 870 870 870 877 884 884 888 888 888 890 890 890 890;104 275 411 425 425 425 436 436 436 436 437 437 439 439 442 442 445 463 709 709 709 709 709 709 709 709 709 710 710 710 710 710
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;58;58;58;5;198;198;198;1118.2;1151;1082;640.4 703.6 703.8 703.8 704.8 706 706 706 706.8 710.6 715.4 716.2 716.2 718.4 719.6 719.8 727.6 731.6 732.8 734.6 735 740.2 740.6 747.2 747.4 748.4 751.4 752 752.2 752.6 754.2 756.2 756.8 757 757 757.8 758.4 758.4 758.6 759.8 761.8 762.2 762.4 763.8 766.4 766.6 772 772 772.6 774.2 782.6 782.6 787.6 791.6 796 796.2 804.8 808.6 812.6 812.6 813.6 815.8 818 821.8 822 824 827 827.8 835.2 839.4 840.6 843 845.6 846.4 848.8 849.8 854.6 861.4 864.2 864.2 880.6 881 881 881.2 889 891 891 891 892 892.8 892.8 892.8 894.2 896.6 896.6 896.6 900.6 901.2 901.2 901.2 907 910.2 910.2 912.8 916.4 922.6 925.4 930.6 932.2 933.4 934.6 946 947.2 948.4 949.6 951.4 956 959.8 964.2 967.2 973.6 976.6 976.6 979 980.4 983.8 987.8 989.6 990 999.2 999.8 1003.2 1004 1007 1020.4 1026.8 1032.2 1033.6 1037.6 1037.8 1040.8 1040.8 1043.2 1043.8 1046.4 1046.6 1048.2 1049 1055 1055 1056.2 1064.8 1066 1066 1068.2 1076.6 1090.6 1091.6 1092.6 1094.4 1097.8 1099 1099.8 1100.2 1106.2 1106.6 1110.2 1110.6 1111.6 1111.8 1111.8 1112.2 1112.8 1112.8 1113.4 1113.6 1114 1114 1114 1114 1114.6 1114.6 1115 1115.2 1115.2 1115.8 1116 1116.2 1116.4 1116.6 1116.8 1117 1117.4 1117.6 1117.6 1117.8 1117.8 1117.8;736 736 736 736 740 740 740 740 743 743 743 747 747 747 747 748 752 752 752 757 757 757 757 762 762 762 774 774 774 774 782 782 785 785 785 785 786 786 786 786 787 787 787 787 792 792 792 792 795 795 809 809 818 818 818 818 827 827 827 827 830 830 836 836 836 836 842 842 877 877 877 877 879 879 879 879 883 904 904 904 904 906 906 906 906 907 907 907 907 908 908 908 908 914 914 914 919 919 919 919 927 932 932 932 933 953 953 953 953 959 959 962 962 965 965 965 965 984 984 998 999 999 999 1008 1008 1018 1018 1018 1018 1042 1042 1042 1042 1046 1046 1061 1061 1061 1061 1062 1065 1065 1065 1065 1073 1074 1074 1078 1078 1078 1078 1086 1086 1086 1086 1097 1123 1123 1123 1123 1126 1126 1126 1126 1144 1144 1144 1144 1144 1144 1144 1144 1146 1146 1146 1146 1147 1147 1147 1147 1147 1147 1148 1148 1148 1148 1149 1149 1149 1149 1150 1150 1150 1150 1150 1150 1150 1150;550 682 682 682 683 683 683 683 683 685 685 685 685 686 686 686 686 692 692 692 692 704 704 732 732 732 732 735 735 735 735 738 738 739 739 739 739 739 740 740 740 740 741 741 741 741 748 748 748 748 754 754 767 767 767 767 774 774 794 794 794 794 799 800 800 800 809 809 809 809 815 818 818 818 818 823 823 823 837 837 853 853 853 853 870 870 870 870 871 871 871 871 872 872 872 872 878 878 878 878 881 881 881 881 890 890 890 905 905 905 905 911 911 911 917 917 933 933 933 933 940 942 942 942 942 949 949 949 949 957 960 961 961 961 1006 1006 1009 1009 1011 1011 1011 1011 1012 1013 1013 1013 1015 1015 1015 1015 1021 1021 1021 1021 1032 1033 1058 1058 1059 1064 1064 1070 1070 1070 1070 1072 1072 1074 1074 1075 1075 1077 1077 1077 1077 1078 1078 1078 1078 1078 1078 1078 1078 1079 1079 1081 1081 1081 1081 1081 1081 1081 1081 1082 1082 1082 1082 1082
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;88;88;88;5;98;98;98;2152.2;2213;2114;1167.8 1167.8 1168 1170.8 1175.4 1175.4 1175.4 1175.6 1180.4 1180.6 1180.8 1181 1197.2 1197.4 1197.4 1197.6 1217 1222.4 1222.4 1224.4 1225 1227.4 1227.4 1236.4 1248.8 1248.8 1248.8 1250.6 1256.8 1258 1262 1263.8 1264 1264.2 1267 1268.4 1269.4 1270.8 1272 1272 1272.6 1275.2 1276.6 1276.6 1277 1281.2 1281.8 1281.8 1282.2 1284.2 1284.2 1284.2 1286.6 1288.4 1289.8 1289.8 1292.8 1294.4 1295.6 1295.6 1305.6 1308 1315.6 1316.8 1331 1331 1331.4 1332.6 1339.4 1339.4 1345.2 1346.2 1348.6 1350.2 1355.4 1355.4 1356 1362.2 1365.2 1365.4 1370.2 1370.4 1371.6 1371.6 1381.2 1381.4 1382 1382 1390 1390.2 1410.2 1410.4 1411.4 1412.4 1415.6 1415.6 1417.4 1420.2;1246 1246 1246 1246 1254 1254 1254 1254 1261 1261 1262 1262 1297 1297 1297 1297 1333 1333 1333 1333 1334 1334 1334 1334 1337 1337 1337 1337 1338 1338 1338 1339 1339 1339 1339 1339 1342 1342 1342 1342 1343 1343 1343 1343 1344 1344 1344 1344 1345 1345 1345 1345 1346 1346 1346 1346 1347 1347 1347 1347 1370 1370 1370 1370 1404 1404 1404 1404 1410 1410 1423 1423 1423 1423 1429 1429 1429 1429 1433 1433 1443 1443 1443 1443 1448 1448 1448 1448 1456 1456 1499 1499 1499 1499 1503 1503 1503 1503;1053 1053 1053 1053 1057 1057 1057 1057 1064 1065 1065 1065 1071 1072 1072 1072 1093 1120 1120 1120 1120 1132 1132 1153 1153 1153 1153 1162 1162 1168 1168 1168 1168 1169 1169 1169 1170 1171 1171 1171 1171 1183 1183 1183 1183 1203 1204 1204 1204 1213 1213 1213 1223 1223 1229 1229 1243 1243 1243 1243 1246 1246 1246 1246 1251 1251 1251 1251 1273 1273 1279 1279 1291 1291 1291 1291 1294 1294 1299 1299 1299 1299 1305 1305 1328 1328 1328 1328 1329 1329 1329 1329 1334 1334 1334 1334 1343 1344
