name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;timestamps;timestampsMax;timestampsMin
interactive-discover-1;0;true;Unexpected "!" at position 0 in state STOP;1;d632b8166f912f4afd062d64186f2dc6;51;51;51;5;6;6;6;1770.75;1985;1620;817.5 845.75 855.5 855.5 1770.5 1770.5;985 985 987 987 1985 1985;654 762 762 762 1620 1620
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;5;4;4;4;735;1073;605;162 179.8 225 227;242 248 363 363;115 118 118 118
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;5;1;1;1;578.8;730;512;97;130;77
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;5;14;14;14;939.4;1247;797;520.2 548.2 548.2 548.2 561.8 566.8 587 589.4 590.6 592.6 600.4 607 607.8 608.8;670 737 737 737 737 742 742 742 742 752 752 780 780 785;384 384 384 384 388 388 489 491 491 491 491 494 494 494
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;5;8;8;8;1685.6;1886;1479;773.4 780 797.2 802.4 802.8 803 803.8 805.6;844 873 911 911 911 911 913 913;698 702 717 741 741 741 741 743
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;5;66;66;66;1881.6;2049;1804;791.2 793.2 793.2 793.2 797.2 798 818.4 818.4 819.8 819.8 822.2 824.8 827.2 827.2 836.6 836.6 845 845 847 847 848.2 848.2 849 854 862.8 863 863 863 868.6 870.6 875.6 877.2 883 883 885.4 886.4 892.6 893.4 899.4 905 910.2 911.2 918.6 928.2 932.8 936.8 947.4 954 956.8 965.4 969.8 974.8 986.6 989.2 998.2 998.2 1006.6 1018.8 1031 1038.4 1043.4 1050 1055.4 1060.4 1881.2 1881.4;848 856 856 856 856 858 907 907 910 910 910 910 911 911 911 911 912 912 912 912 912 912 912 912 925 925 925 925 930 930 943 943 943 943 950 950 968 971 971 971 974 974 991 1018 1021 1021 1026 1026 1037 1048 1050 1053 1095 1095 1095 1095 1105 1107 1110 1121 1121 1132 1135 1138 2049 2049;742 742 742 742 744 744 779 779 781 781 786 786 789 789 790 790 790 790 795 795 795 795 799 799 817 817 817 817 822 822 822 822 829 829 829 829 837 838 850 850 855 855 875 880 888 888 888 910 910 917 917 920 920 931 946 946 946 951 969 982 991 991 1000 1003 1803 1803
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;5;46;46;46;726;805;640;164.4 173.4 173.8 182.2 536.6 620.8 623.4 623.4 623.8 624.6 625.6 633 716.2 716.8 717.6 717.8 718.4 718.6 719 719.6 720 720.2 720.2 720.4 721.4 721.6 721.6 721.6 721.8 722 722.4 722.6 723 723.6 724 724.4 724.4 724.6 725 725 725.2 725.4 725.4 725.6 725.6 726;248 252 252 252 678 781 781 781 781 781 781 795 795 795 795 795 795 796 796 796 797 797 797 797 801 801 801 801 801 801 801 802 802 804 804 804 804 804 804 804 804 805 805 805 805 805;134 141 142 142 313 323 325 325 325 327 327 350 634 634 634 635 635 635 635 635 635 636 636 636 636 636 636 636 636 636 636 636 636 637 637 639 639 639 639 639 639 639 639 640 640 640
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;5;32;32;32;594.8;659;549;89.8 415.4 526.6 527 527 529.6 531 532.8 533.2 544 545.2 547.4 547.6 548.2 552.8 590.4 590.6 590.8 591 591.4 591.8 592.2 592.6 592.8 593 593.4 593.6 593.8 593.8 594 594.2 594.4;107 551 628 628 628 641 642 644 644 644 648 653 653 653 653 655 655 655 655 656 656 656 656 657 657 657 657 658 658 658 658 658;80 320 353 354 354 354 355 362 363 415 416 422 422 424 447 544 544 544 545 545 546 546 546 546 547 548 548 548 548 548 549 549
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;5;198;198;198;1105;1137;1065;575.2 577 577 580 581.4 583.2 583.6 594.4 594.4 595 595.4 596.4 600.4 603.4 605.8 606 609.6 610 615 618.8 618.8 618.8 622 625.6 628.8 628.8 634 636 638 640 644.2 648.8 651.8 654.4 657.6 657.6 663 667 667.4 676.2 680.6 686.2 693.8 696.8 697.4 698 708.6 712.2 717.2 724.4 727.4 732.6 734.2 739.6 745.4 750.6 751.4 755.6 759.4 762.8 764.4 766.8 772.8 775.6 782 782 786.4 787.6 788.6 792.2 796.2 796.8 798.2 806.4 806.8 809.6 812.6 814.8 819.6 821.4 822.6 828.2 831.6 834.6 841.4 843.8 846.4 846.6 854.4 855.6 858.8 865 866.2 872.6 875.4 877.4 884.4 886.6 887.8 896.4 902 903.8 909.8 912.6 917 918.2 923.2 927.6 930 935 937.8 944 948.2 956 957.2 964 964.4 968.4 968.4 975.2 980 987 991.4 995.2 1010.8 1013 1013 1019 1022.6 1026.8 1029.6 1033 1036.6 1040.2 1045.6 1048.2 1051 1055.6 1058.4 1062.4 1062.4 1066.2 1069 1072 1075 1075 1076.4 1076.8 1078 1078 1080 1080.2 1080.4 1080.4 1082.2 1082.4 1083 1083.4 1083.8 1084.6 1085.6 1086.2 1087.2 1088.2 1089.2 1090.8 1091.6 1092.6 1092.8 1093.4 1093.8 1094 1094.4 1094.8 1095.4 1096 1096 1096.6 1097.4 1097.6 1098.2 1099 1099.2 1099.2 1099.8 1099.8 1100.2 1100.2 1100.6 1101 1101.2 1101.2 1101.6 1102 1102.2 1102.4 1102.4 1102.4;619 619 619 619 622 622 622 649 649 649 649 650 650 650 650 651 651 651 651 657 657 657 657 661 661 661 677 677 680 680 685 702 704 705 707 707 714 722 722 744 744 744 744 747 747 747 747 751 751 751 751 760 763 773 775 775 775 780 780 780 782 786 788 788 807 807 807 807 812 812 818 818 819 824 824 832 833 838 840 840 840 845 847 847 855 863 866 866 872 872 872 879 879 888 888 894 910 916 916 916 923 923 926 926 933 939 943 952 952 959 959 969 969 984 984 994 994 1007 1007 1007 1015 1015 1022 1022 1044 1044 1044 1044 1044 1055 1055 1060 1060 1069 1069 1076 1076 1085 1085 1091 1091 1098 1098 1104 1104 1104 1104 1105 1107 1107 1108 1109 1110 1110 1115 1115 1116 1116 1117 1117 1118 1118 1118 1120 1120 1120 1121 1122 1122 1123 1123 1123 1124 1124 1124 1125 1125 1125 1128 1128 1128 1128 1128 1128 1128 1128 1129 1129 1129 1130 1130 1130 1130 1132 1132 1132 1132 1132;523 528 528 528 528 531 531 550 550 550 550 552 563 563 567 567 568 568 581 581 581 581 587 587 593 593 596 596 596 596 603 603 603 603 611 611 631 631 631 637 637 639 663 669 672 672 688 688 688 694 694 699 699 705 705 705 705 716 735 735 735 735 741 741 741 741 750 750 750 758 758 758 758 764 766 766 766 766 778 781 781 791 791 791 809 809 809 809 814 814 830 830 830 846 846 846 846 851 851 851 860 860 880 888 888 888 894 894 898 898 898 898 913 913 919 923 925 925 925 925 941 941 941 948 979 979 979 979 997 997 997 1002 1002 1002 1009 1009 1009 1023 1023 1023 1023 1029 1032 1032 1036 1036 1039 1040 1040 1040 1042 1042 1042 1042 1044 1044 1044 1044 1045 1047 1047 1047 1049 1049 1049 1049 1050 1050 1051 1051 1051 1052 1052 1053 1055 1055 1055 1056 1056 1057 1057 1061 1061 1061 1062 1062 1062 1062 1063 1063 1063 1063 1064 1064 1064 1064 1064 1064
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;5;98;98;98;1957.8;2006;1908;845.6 846.4 846.4 846.4 850.2 851.2 853.4 854.6 856.6 865.4 866.6 874.2 874.2 877.2 877.8 880.2 881.8 885.4 897 898.2 902.8 902.8 909.4 910.4 910.4 910.4 911.6 912.6 912.6 916.6 919.4 921 921 921.4 936.6 940.6 941 946 949.6 951 957.4 964 965 969.2 977.8 979.2 990.4 1003 1003 1007.2 1013.8 1016.4 1020 1033.8 1039 1044.6 1048.4 1050.2 1055 1068.2 1075 1090.4 1097.6 1112.4 1119.6 1124 1133.2 1135.8 1144 1149.4 1159.8 1167.4 1173.4 1181.8 1188.8 1196.8 1201.8 1212 1219.4 1227.4 1232.6 1241.4 1251 1257.8 1265.4 1274.6 1281.4 1289 1295 1304 1310.6 1316.2 1323.6 1328.6 1334 1339.2 1345 1354.8;891 893 893 893 893 898 898 899 899 921 921 921 921 924 924 924 924 928 952 952 952 952 954 954 954 954 958 958 958 958 961 961 961 961 996 996 996 996 1002 1002 1021 1024 1024 1024 1024 1031 1051 1067 1067 1067 1067 1072 1083 1097 1097 1097 1103 1103 1106 1126 1129 1150 1153 1159 1168 1173 1182 1182 1192 1196 1211 1223 1227 1242 1247 1261 1267 1280 1287 1299 1299 1317 1323 1335 1339 1351 1356 1367 1371 1382 1387 1398 1401 1411 1411 1419 1423 1433;790 791 791 791 798 798 798 798 800 816 816 816 816 825 825 825 825 831 831 831 850 850 853 853 853 853 854 854 854 854 860 860 860 860 883 883 883 883 888 888 888 907 907 907 912 912 934 945 945 945 952 952 955 970 973 977 980 980 988 1008 1011 1017 1035 1046 1046 1057 1060 1069 1069 1083 1087 1096 1099 1110 1113 1123 1126 1136 1143 1155 1159 1163 1175 1185 1189 1203 1208 1219 1223 1232 1237 1240 1250 1253 1264 1267 1277 1280
