name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;33;33;33;0;5;0;0;0;273;575;152;575 286 169 183 152;;;;;158.06960492137634;"[[],[],[],[],[]]"
interactive-discover-1;1;false;;0;d41d8cd98f00b204e9800998ecf8427e;26;26;26;0;5;0;0;0;132.8;180;112;180 113 119 140 112;;;;;25.670216204777084;"[[],[],[],[],[]]"
interactive-discover-1;2;false;;0;d41d8cd98f00b204e9800998ecf8427e;27;27;27;0;5;0;0;0;148.4;225;111;225 166 116 124 111;;;;;42.94461549484406;"[[],[],[],[],[]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;440;440;440;0;5;14;14;14;2465.8;3201;1988;3201 2521 2573 2046 1988;176.4 247.2 247.2 247.4 247.4 247.6 247.6 247.6 247.8 248.4 248.4 248.6 248.6 248.6;207 326 326 327 327 327 327 327 327 328 328 328 328 328;121 198 198 198 198 198 198 198 198 198 198 198 198 198;29.836889918354426 44.3504227713784 44.3504227713784 44.706151701974974 44.706151701974974 44.55378771776873 44.55378771776873 44.55378771776873 44.54840064469206 44.95597846783006 44.95597846783006 44.80446406330512 44.80446406330512 44.80446406330512;438.08282321953686;"[[176,326,326,327,327,327,327,327,327,328,328,328,328,328],[207,246,246,246,246,246,246,246,247,247,247,247,247,247],[181,198,198,198,198,198,198,198,198,198,198,198,198,198],[121,253,253,253,253,253,253,253,253,255,255,255,255,255],[197,213,213,213,213,214,214,214,214,214,214,215,215,215]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;916;916;916;0;5;8;8;8;4968.8;6203;4241;5401 4390 4609 4241 6203;4739.2 4740.8 4740.8 4799.4 4865.8 4876.8 4963 4968.2;5787 5794 5794 5807 5820 5825 6187 6202;4101 4101 4101 4115 4214 4230 4230 4241;626.6445244315153 628.8412836320465 628.8412836320465 625.1302584261939 623.4983239752935 615.9605182152505 732.2876484005449 735.1232277652502;735.4189010353216;"[[5115,5115,5115,5215,5367,5367,5400,5400],[4281,4282,4282,4319,4333,4367,4389,4389],[4412,4412,4412,4541,4595,4595,4609,4609],[4101,4101,4101,4115,4214,4230,4230,4241],[5787,5794,5794,5807,5820,5825,6187,6202]]"
interactive-discover-2;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;35;35;35;0;5;0;0;0;206.2;275;175;208 275 194 179 175;;;;;36.328501207729445;"[[],[],[],[],[]]"
interactive-discover-2;1;false;;0;d41d8cd98f00b204e9800998ecf8427e;26;26;26;0;5;0;0;0;118.4;138;102;119 102 138 111 122;;;;;12.009995836801943;"[[],[],[],[],[]]"
interactive-discover-2;2;false;;0;d41d8cd98f00b204e9800998ecf8427e;29;29;29;0;5;0;0;0;135.2;157;127;157 127 134 131 127;;;;;11.214276615100948;"[[],[],[],[],[]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;440;440;440;0;5;198;198;198;2086.2;2172;1967;2113 2161 2018 2172 1967;285.8 301.8 302.4 302.6 302.6 303 303 303.2 303.2 303.6 303.6 303.6 303.6 304.8 1703 1719.2 1719.2 1719.2 1719.6 1720.4 1720.4 1720.4 1721.8 1722.8 1722.8 1725.8 1726 1726.2 1726.2 1729.8 1730 1730.6 1730.6 1731 1731.2 1731.4 1731.4 1731.8 1732 1732.2 1732.2 1732.6 1732.6 1733 1733 1733.2 1733.2 1733.4 1993 1993.4 1993.4 1993.8 1994 1994.2 1994.2 1994.4 1994.6 1995 1995 1995.4 1995.8 1996.2 1996.2 1996.4 1996.6 1997 1997 1997 1997.4 1997.8 1997.8 1997.8 1998.2 1998.4 1998.4 1998.4 1998.6 1998.6 1998.6 1998.8 1999.2 2008 2008 2008.2 2008.4 2009.4 2009.4 2009.8 2009.8 2009.8 2009.8 2011.2 2011.4 2011.4 2011.4 2011.4 2011.6 2018.6 2018.6 2018.6 2018.6 2018.8 2018.8 2019 2019.4 2019.4 2019.4 2019.4 2019.6 2019.6 2019.6 2039.4 2039.4 2039.4 2039.4 2054.8 2054.8 2055.8 2055.8 2056.2 2057.4 2064.6 2064.6 2064.6 2064.6 2064.6 2064.6 2064.6 2065.8 2079 2079 2079 2079 2079 2079 2079 2079 2079 2079 2079 2079 2083.6 2083.6 2083.8 2083.8 2083.8 2083.8 2084 2084.2 2084.2 2084.2 2084.2 2084.2 2084.4 2084.4 2084.4 2084.4 2084.6 2084.6 2084.6 2084.8 2084.8 2084.8 2084.8 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085.2 2085.2 2085.2 2085.2 2085.2 2085.2 2085.2 2085.2 2085.2 2085.2 2085.2 2085.2 2085.4 2085.4 2085.4 2085.4 2085.4 2085.4 2085.4 2085.4 2085.4;500 500 500 501 501 501 501 502 502 502 502 502 502 502 2076 2080 2080 2080 2080 2081 2081 2081 2081 2082 2082 2082 2082 2083 2083 2083 2083 2085 2085 2085 2085 2085 2085 2085 2085 2086 2086 2086 2086 2087 2087 2087 2087 2087 2087 2087 2087 2088 2088 2088 2088 2088 2088 2088 2088 2089 2089 2089 2089 2090 2090 2090 2090 2090 2090 2090 2090 2090 2090 2090 2090 2090 2090 2090 2090 2091 2091 2125 2125 2125 2125 2129 2129 2129 2129 2129 2129 2129 2129 2129 2129 2129 2130 2130 2130 2130 2130 2130 2130 2131 2131 2131 2131 2131 2131 2131 2131 2131 2131 2131 2131 2170 2170 2170 2170 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2171 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172 2172;168 206 206 206 206 206 206 206 206 206 206 206 206 211 617 617 617 617 618 618 618 618 619 619 619 619 620 620 620 620 621 621 621 621 622 622 622 622 623 623 623 623 623 623 623 623 623 623 1889 1890 1890 1890 1890 1890 1890 1890 1890 1891 1891 1891 1891 1892 1892 1892 1892 1892 1892 1892 1892 1893 1893 1893 1893 1894 1894 1894 1894 1894 1894 1894 1894 1894 1894 1894 1894 1895 1895 1895 1895 1895 1895 1895 1895 1895 1895 1895 1895 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1930 1944 1944 1944 1944 1944 1944 1944 1950 1965 1965 1965 1965 1965 1965 1965 1965 1965 1965 1965 1965 1965 1965 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966 1966;124.40964592828001 112.14882968627002 111.73289578275505 112.08675211638527 112.08675211638527 112.04284894628483 112.04284894628483 112.39644122480034 112.39644122480034 112.12600055294936 112.12600055294936 112.12600055294936 112.12600055294936 111.13487301472928 548.2711008251301 555.3393196956254 555.3393196956254 555.3393196956254 555.0569700490212 555.3559579224842 555.3559579224842 555.3559579224842 555.6500337442625 556.0832311803694 556.0832311803694 557.4733715613688 557.0762963903599 557.204235446932 557.204235446932 559.3579891268203 558.9611793318029 559.3069282603246 559.3069282603246 559.4844055020658 559.0876138853373 559.1803286954934 559.1803286954934 559.3579891268203 558.9611793318029 559.0876138853373 559.0876138853373 559.3022796306126 559.3022796306126 559.4844055020658 559.4844055020658 559.6064331295701 559.6064331295701 559.6990619967127 79.44809626416482 79.3942063377423 79.3942063377423 79.6301450457049 79.44809626416482 79.65525720252242 79.65525720252242 79.6557593649072 79.47477587259998 79.03163923391695 79.03163923391695 79.2681524951856 78.91108920804477 78.85277420611148 78.85277420611148 79.08881083946072 78.91159610602234 79.11763393833262 79.11763393833262 79.11763393833262 78.94200402827381 78.88320480305043 78.88320480305043 78.88320480305043 78.53254102599763 78.26519021889617 78.26519021889617 78.26519021889617 78.09122870079584 78.09122870079584 78.09122870079584 78.32598547097892 78.36172535109216 88.82567196480981 88.82567196480981 88.80405396151687 88.63317663268083 89.43735237583903 89.43735237583903 89.80512234833824 89.80512234833824 89.80512234833824 89.80512234833824 89.68032114126264 89.50664779780327 89.50664779780327 89.50664779780327 89.50664779780327 89.76992814968719 81.37714666907412 81.37714666907412 81.37714666907412 81.37714666907412 81.16994517677094 81.16994517677094 81.44445960284837 81.03480733610712 81.03480733610712 81.03480733610712 81.03480733610712 80.83217181296071 80.83217181296071 80.83217181296071 86.96804010669668 86.96804010669668 86.96804010669668 86.96804010669668 100.81150727967517 100.81150727967517 101.58425074783983 101.58425074783983 101.90662392602357 100.5337754190103 92.39177452565785 92.39177452565785 92.39177452565785 92.39177452565785 92.39177452565785 92.39177452565785 92.39177452565785 90.8436018660643 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 76.76196975065191 80.63150748931834 80.63150748931834 80.33778687516852 80.33778687516852 80.33778687516852 80.33778687516852 80.39651733750661 80.61364648742793 80.61364648742793 80.61364648742793 80.61364648742793 80.61364648742793 80.8 80.8 80.8 80.8 80.85938411835697 80.85938411835697 80.85938411835697 80.9207019247856 80.9207019247856 80.9207019247856 80.9207019247856 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.75147057484465 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 80.81435516045401 81.00024691320391 81.00024691320391 81.00024691320391 81.00024691320391 81.00024691320391 81.00024691320391 81.00024691320391 81.00024691320391 81.00024691320391;80.66573002211038;"[[188,227,227,227,227,228,228,228,228,229,229,229,229,230,1916,1987,1987,1987,1987,1987,1987,1987,1987,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2105,2105,2105,2105,2105,2105,2105,2105,2106,2106,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2107,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2109,2109,2109,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111],[500,500,500,501,501,501,501,502,502,502,502,502,502,502,2037,2037,2037,2037,2038,2038,2038,2038,2044,2044,2044,2053,2053,2053,2053,2071,2071,2071,2071,2072,2072,2072,2072,2073,2073,2073,2073,2074,2074,2074,2074,2075,2075,2075,2075,2076,2076,2076,2076,2077,2077,2077,2077,2077,2077,2077,2077,2078,2078,2078,2078,2079,2079,2079,2079,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2081,2125,2125,2125,2125,2129,2129,2129,2129,2129,2129,2129,2129,2129,2129,2129,2130,2130,2130,2130,2130,2130,2130,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2161,2161,2161,2161,2161,2161,2161,2161,2161],[350,353,353,353,353,354,354,354,354,354,354,354,354,354,617,617,617,617,618,618,618,618,619,619,619,619,620,620,620,620,621,621,621,621,622,622,622,622,623,623,623,623,623,623,623,623,623,623,1921,1921,1921,1921,1922,1922,1922,1922,1923,1924,1924,1924,1926,1926,1926,1926,1927,1927,1927,1927,1928,1928,1928,1928,1930,1930,1930,1930,1931,1931,1931,1931,1932,1932,1932,1932,1933,1933,1933,1933,1933,1933,1933,1933,1934,1934,1934,1934,1934,1934,1934,1934,1934,1935,1935,1935,1937,1937,1937,1937,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1944,1944,1944,1944,1944,1944,1944,1944,1950,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017],[168,206,206,206,206,206,206,206,206,206,206,206,206,211,2076,2080,2080,2080,2080,2081,2081,2081,2081,2082,2082,2082,2082,2083,2083,2083,2083,2085,2085,2085,2085,2085,2085,2085,2085,2086,2086,2086,2086,2087,2087,2087,2087,2087,2087,2087,2087,2088,2088,2088,2088,2088,2088,2088,2088,2089,2089,2089,2089,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2091,2091,2091,2091,2091,2091,2091,2091,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2170,2170,2170,2170,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172],[223,223,226,226,226,226,226,226,226,227,227,227,227,227,1869,1875,1875,1875,1875,1878,1878,1878,1878,1880,1880,1886,1886,1886,1886,1886,1886,1886,1886,1887,1887,1887,1887,1888,1888,1888,1888,1888,1888,1889,1889,1889,1889,1889,1889,1890,1890,1890,1890,1890,1890,1890,1890,1891,1891,1891,1891,1892,1892,1892,1892,1892,1892,1892,1892,1893,1893,1893,1893,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966]]"
interactive-discover-2;4;true;Result hash inconsistency;1;a7ea80830c1f3358609f53e0ce62fd9a;907;916;871;18;5;97.4;98;95;4968;5423;4600;4826 5286 4600 5423 4705;1028.8 1033.8 1033.8 1033.8 1034 1034.6 1034.6 1034.6 1042.8 1043.2 1043.2 1043.2 1044 1044.2 1044.2 1044.2 1044.6 1044.8 1044.8 1044.8 1045.4 1045.8 1045.8 1045.8 1046.4 1046.4 1046.6 1046.6 1047 1047.8 1047.8 1047.8 1048.2 1048.2 1048.2 1048.2 1048.2 1048.6 1048.6 1048.6 1049.2 1049.6 1049.6 1049.6 1049.6 1050 1050 1050 1050 1050.2 1050.2 1050.6 1050.6 1050.8 1051 1051 1051.2 1051.8 1051.8 1051.8 1052.2 1052.2 1052.2 1052.4 1052.4 1052.6 1052.6 1052.6 1052.6 1053 1053 1053 1053.4 1053.6 1053.6 1053.6 1053.6 1053.6 1053.6 1053.6 1054 1055.8 1055.8 1056 1056.8 1056.8 1057.8 1058 1058.8 1059.6 4743 4743.2 4743.2 4834.8 4860.8 4943 5058.25 5058.75;1323 1323 1323 1323 1323 1323 1323 1323 1363 1363 1363 1363 1365 1365 1365 1365 1366 1366 1366 1366 1367 1367 1367 1367 1368 1368 1369 1369 1371 1371 1371 1371 1371 1371 1371 1371 1371 1371 1371 1371 1372 1372 1372 1372 1372 1373 1373 1373 1373 1373 1373 1373 1373 1373 1374 1374 1375 1375 1375 1375 1375 1375 1375 1376 1376 1376 1376 1376 1376 1377 1377 1377 1377 1377 1377 1377 1377 1377 1377 1377 1377 1378 1378 1378 1378 1378 1378 1378 1382 1386 5294 5294 5294 5327 5336 5404 5420 5420;706 706 706 706 707 707 707 707 707 707 707 707 708 708 708 708 708 708 708 708 710 710 710 710 711 711 711 711 711 711 711 711 712 712 712 712 712 712 712 712 713 713 713 713 713 713 713 713 713 713 713 714 714 714 714 714 714 714 714 714 715 715 715 715 715 715 715 715 715 715 715 715 716 716 716 716 716 716 716 716 717 717 717 717 718 718 720 720 720 720 4500 4500 4500 4600 4600 4685 4705 4705;210.0318071150177 207.98403784906188 207.98403784906188 207.98403784906188 207.66896734948148 207.50383128993064 207.50383128993064 207.50383128993064 219.00721449303902 218.9396263813383 218.9396263813383 218.9396263813383 219.2997948015456 219.19069323308415 219.19069323308415 219.19069323308415 219.56557107160495 219.6063751351495 219.6063751351495 219.6063751351495 219.2866617010711 219.21806494903655 219.21806494903655 219.21806494903655 219.2866617010711 219.2866617010711 219.58014482188503 219.58014482188503 220.16811758290527 219.8812406732325 219.8812406732325 219.8812406732325 219.65554852996542 219.65554852996542 219.65554852996542 219.65554852996542 219.65554852996542 219.5874313343093 219.5874313343093 219.5874313343093 219.65554852996542 219.43983230033695 219.43983230033695 219.43983230033695 219.43983230033695 219.77351978798538 219.77351978798538 219.77351978798538 219.77351978798538 219.8539515223686 219.8539515223686 219.43983230033695 219.43983230033695 219.332988854846 219.62695645116062 219.62695645116062 219.9212586359036 219.74840158690574 219.74840158690574 219.74840158690574 219.5207507275793 219.5207507275793 219.5207507275793 219.81501313604582 219.81501313604582 219.7094444943139 219.7094444943139 219.7094444943139 219.7094444943139 220.04272312439693 220.04272312439693 220.04272312439693 219.81501313604582 219.85413346125654 219.85413346125654 219.85413346125654 219.85413346125654 219.85413346125654 219.85413346125654 219.85413346125654 219.62695645116062 220.10397542979544 220.10397542979544 219.99727271036795 219.92671506663305 219.92671506663305 219.55445793697743 219.4465766422434 220.61586524998606 221.79053180873163 288.91313573460104 288.810941620985 288.810941620985 256.5130795885465 256.4226199070589 275.21355344532 299.85527759237453 300.2293914659256;326.4677625738872;"[[1323,1323,1323,1323,1323,1323,1323,1323,1363,1363,1363,1363,1365,1365,1365,1365,1366,1366,1366,1366,1367,1367,1367,1367,1368,1368,1369,1369,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1372,1372,1372,1372,1372,1373,1373,1373,1373,1373,1373,1373,1373,1373,1374,1374,1375,1375,1375,1375,1375,1375,1375,1376,1376,1376,1376,1376,1376,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1378,1378,1378,1378,1378,1378,1378,1382,1386,4595,4596,4596,4774,4801,4801,4826,4826],[1082,1087,1087,1087,1087,1088,1088,1088,1088,1089,1089,1089,1089,1089,1089,1089,1089,1090,1090,1090,1090,1091,1091,1091,1091,1091,1091,1091,1091,1092,1092,1092,1092,1092,1092,1092,1092,1093,1093,1093,1093,1093,1093,1093,1093,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1096,1096,1096,1096,1097,1097,1097,1097,1097,1097,1097,1097,1104,1104,1104,1104,1104,1104,1104,1104,1104,4763,4763,4763,4802,4882,4882,5282,5284],[1132,1132,1132,1132,1132,1132,1132,1132,1133,1133,1133,1133,1134,1134,1134,1134,1135,1135,1135,1135,1135,1135,1135,1135,1136,1136,1136,1136,1136,1136,1136,1136,1137,1137,1137,1137,1137,1137,1137,1137,1138,1138,1138,1138,1138,1138,1138,1138,1138,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1141,1141,1141,1141,1141,1141,1141,1141,1142,1142,1142,1142,1145,1145,1148,1148,1148,1148,4500,4500,4500,4600,4600],[901,921,921,921,921,923,923,923,923,924,924,924,924,925,925,925,925,925,925,925,925,926,926,926,926,926,926,926,926,929,929,929,929,929,929,929,929,930,930,930,930,932,932,932,932,932,932,932,932,932,932,933,933,934,934,934,934,936,936,936,936,936,936,936,936,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,938,938,939,939,939,939,940,940,940,5294,5294,5294,5327,5336,5404,5420,5420],[706,706,706,706,707,707,707,707,707,707,707,707,708,708,708,708,708,708,708,708,710,710,710,710,711,711,711,711,711,711,711,711,712,712,712,712,712,712,712,712,713,713,713,713,713,713,713,713,713,713,713,714,714,714,714,714,714,714,714,714,715,715,715,715,715,715,715,715,715,715,715,715,716,716,716,716,716,716,716,716,717,717,717,717,718,718,720,720,720,720,4563,4563,4563,4671,4685,4685,4705,4705]]"
