name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;15;15;15;0;5;0;0;0;143.2;332;82;332 101 82 104 97;;;;;94.7024814880793;"[[],[],[],[],[]]"
interactive-discover-1;1;false;;0;d41d8cd98f00b204e9800998ecf8427e;13;13;13;0;5;0;0;0;91.4;129;77;129 85 78 77 88;;;;;19.252012881774206;"[[],[],[],[],[]]"
interactive-discover-1;2;false;;0;d41d8cd98f00b204e9800998ecf8427e;12;12;12;0;5;0;0;0;82.2;104;72;104 72 72 73 90;;;;;12.874781551544865;"[[],[],[],[],[]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;220;220;220;0;5;14;14;14;1202.4;1406;1080;1406 1285 1131 1110 1080;160.6 297.4 300 300 300 300.8 300.8 301 301 301 302 302 302 302;181 355 355 355 355 356 356 356 356 356 356 356 356 356;130 271 271 271 271 271 271 272 272 272 272 272 272 272;18.445595680270127 29.78993118488192 28.8859827598093 28.8859827598093 28.8859827598093 29.088829471121727 29.088829471121727 28.8859827598093 28.8859827598093 28.8859827598093 28.754130138121027 28.754130138121027 28.754130138121027 28.754130138121027;124.01064470439624;"[[151,282,295,295,295,296,296,296,296,296,300,300,300,300],[130,355,355,355,355,356,356,356,356,356,356,356,356,356],[165,271,271,271,271,271,271,272,272,272,272,272,272,272],[176,284,284,284,284,285,285,285,285,285,285,285,285,285],[181,295,295,295,295,296,296,296,296,296,297,297,297,297]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;458;458;458;0;5;8;8;8;2478;2659;2333;2659 2539 2333 2525 2334;2385.4 2385.4 2385.4 2428 2442.8 2443.2 2476.8 2477.2;2566 2566 2566 2610 2622 2623 2658 2658;2235 2235 2235 2277 2297 2297 2330 2332;123.30547433102879 123.30547433102879 123.30547433102879 125.47031521439642 123.98612825634972 124.3726658072424 127.3819453454845 126.9226536123477;126.84794046416363;"[[2566,2566,2566,2610,2622,2623,2658,2658],[2443,2443,2443,2490,2503,2504,2538,2538],[2235,2235,2235,2277,2297,2297,2330,2332],[2424,2424,2424,2467,2484,2484,2525,2525],[2259,2259,2259,2296,2308,2308,2333,2333]]"
interactive-discover-2;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;15;15;15;0;5;0;0;0;100;110;90;97 104 90 99 110;;;;;6.723094525588644;"[[],[],[],[],[]]"
interactive-discover-2;1;false;;0;d41d8cd98f00b204e9800998ecf8427e;13;13;13;0;5;0;0;0;90;123;67;67 88 85 123 87;;;;;18.19890106572372;"[[],[],[],[],[]]"
interactive-discover-2;2;false;;0;d41d8cd98f00b204e9800998ecf8427e;12;12;12;0;5;0;0;0;84.2;131;63;66 63 65 131 96;;;;;26.377262936097065;"[[],[],[],[],[]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;220;220;220;0;5;198;198;198;1005.6;1116;910;1006 935 1061 910 1116;207.4 244 244 244.8 245 245.2 245.2 245.6 245.6 246 246 246 246.2 246.4 602.4 602.4 603.8 603.8 604.8 604.8 606.6 609.8 609.8 611.6 613 615.2 616 616.8 618.2 619 620.8 623.2 623.4 626.2 627.2 627.6 628.2 648.2 649.2 692.6 693.8 720.4 720.8 726 726 727.6 728.2 729.8 729.8 729.8 730 736.4 771.6 774 777 779.4 779.4 779.6 780.6 781 781 781 783.6 784.6 785.8 785.8 853.8 854.2 864 867.2 869.2 869.4 869.4 870.6 871.2 873.2 873.6 875.6 875.8 876 876 876.8 879.2 880.2 880.2 881 881.8 882 882.6 882.8 883 883.2 917.4 917.4 917.6 918.2 936.4 940.6 940.6 941.8 946 946 946 947.2 948.4 949.2 950 950.2 950.2 950.6 951.2 952 952.8 953.6 953.6 954.2 955.6 955.8 956.2 957 957.2 957.8 958.4 959.4 959.8 960.8 961 962 962.8 963.8 964 964.2 965 966.6 967.2 967.8 967.8 968.8 969.2 969.8 970.2 971.2 971.6 972.8 973.6 973.8 975.2 975.8 976.6 977.4 978 979 979.6 979.8 981 981.2 981.4 981.4 983 984.2 984.2 986 986.2 987.4 988.6 989.6 989.6 990.4 990.8 991.4 991.6 993.6 993.6 994.2 995.2 996.2 996.2 997 998.6 999 999.2 1001.2 1002 1002.2 1003 1003 1003.2 1003.6 1003.8 1004.2 1004.6 1004.8 1004.8 1004.8 1005.2 1005.4 1005.4 1005.4;232 291 291 293 293 293 293 293 293 293 293 293 293 293 650 650 650 650 652 652 652 658 658 658 658 667 668 668 668 668 672 684 684 684 684 686 686 686 691 894 895 895 895 895 895 895 895 897 897 897 897 902 902 905 905 914 914 914 914 916 916 916 916 920 920 920 1031 1031 1031 1031 1040 1040 1040 1045 1045 1045 1045 1047 1047 1047 1047 1048 1058 1058 1058 1058 1059 1059 1059 1059 1060 1060 1060 1060 1061 1061 1061 1061 1061 1061 1062 1062 1062 1062 1063 1063 1067 1067 1067 1067 1068 1070 1070 1070 1070 1071 1071 1072 1072 1073 1073 1074 1074 1074 1076 1076 1076 1076 1077 1080 1080 1080 1080 1081 1082 1082 1082 1082 1083 1083 1083 1086 1086 1086 1086 1087 1090 1090 1090 1090 1093 1094 1094 1094 1094 1094 1094 1094 1097 1097 1097 1097 1098 1100 1100 1100 1100 1101 1101 1101 1101 1104 1104 1104 1104 1105 1105 1105 1110 1110 1110 1110 1114 1114 1114 1114 1114 1114 1114 1114 1115 1116 1116 1116 1116 1116 1116 1116;170 220 220 220 220 221 221 221 221 222 222 222 223 223 519 519 523 523 523 523 530 530 530 539 539 539 542 542 542 542 543 543 543 546 546 546 549 549 549 549 554 554 554 578 578 578 578 580 580 580 580 603 660 660 666 666 666 666 666 666 666 666 673 673 673 673 691 691 691 691 692 692 692 692 695 699 699 699 699 699 699 699 699 702 702 702 702 703 703 703 703 703 848 848 848 850 850 850 850 851 854 854 854 854 855 856 856 856 856 857 859 859 861 861 861 861 865 865 865 865 866 868 868 868 868 869 869 870 870 870 870 871 871 873 873 876 876 876 877 877 877 877 879 880 880 880 880 881 884 884 884 885 885 885 889 889 889 889 891 891 891 893 893 895 895 895 895 895 896 897 897 900 900 900 902 903 903 903 903 905 905 905 905 906 908 908 908 908 908 909 909 909 909 909 910 910 910 910;22.481992794234234 25.69824896758532 25.69824896758532 26.54354912215019 26.449952740978574 26.263282353887146 26.263282353887146 26.027677575995906 26.027677575995906 25.899806949087477 25.899806949087477 25.899806949087477 25.716920499935448 25.570295266187287 44.81785358537377 44.81785358537377 43.70537724353836 43.70537724353836 44.20588196156706 44.20588196156706 41.88364836066695 43.47136988869801 43.47136988869801 40.192536620621496 40.718546143004666 42.728912927899295 41.90942614734781 42.14925859371669 42.4094329129735 42.8485705712571 43.65959230226503 46.63646641845842 46.58154140858801 46.71359545143149 46.61072837877563 47.102441550306075 46.06690786236906 51.46416228794558 52.231791085506536 112.58525658362198 111.68061604414618 119.00857111989875 118.91240473558678 112.13919921240743 112.13919921240743 113.05679988395214 112.87940467596381 113.55421612604263 113.55421612604263 113.55421612604263 113.4953743550811 109.17618787995852 86.51150212543995 88.47146432607522 85.91856609604235 88.86979239314111 88.86979239314111 88.9867405853254 88.14442693670428 88.75133801808286 88.75133801808286 88.75133801808286 86.82073485061042 88.15577122344288 88.23468705673524 88.23468705673524 115.14755750774742 115.07806046332202 111.55447099959731 111.0682672953891 113.4361494409961 113.52638459847121 113.52638459847121 115.0140860938346 114.08488068100874 113.3991181623561 113.27418064148598 113.70065962869344 113.63696581658628 113.72774507568502 113.72774507568502 114.19527135569143 117.09380854682284 116.0455083146263 116.0455083146263 116.06894502837527 116.63687238605122 116.3288442304831 116.138882377953 116.11787114824315 116.42164747159353 116.50991374127781 76.9222984575994 76.9222984575994 77.29320798103802 76.81510268169924 74.43278847389772 76.21705845806436 76.21705845806436 75.61322635624008 77.2321176713419 77.2321176713419 77.2321176713419 76.3083219577 76.59138332736914 76.31356366990077 77.51386972664956 77.3340804561611 77.3340804561611 77.22331254226279 77.04388359889447 77.2916554357584 76.76301192631774 76.53914031395962 76.53914031395962 77.1035667138687 76.10939495226592 76.41308788421 76.0457756880683 76.3256182418459 76.08521538380502 75.9141620516225 75.71684092723362 75.41511784781616 76.02473281768243 76.29521610166657 76.2863028334707 75.6650513777662 76.22178166377378 76.76301192631774 76.7567586600685 76.51248264172324 76.63158617698058 75.89624496640134 76.44972204004407 75.71631264133245 75.71631264133245 75.9194309778465 75.97473264184613 75.427846316861 75.5550130699479 76.44972204004407 75.9594628732984 76.05629493999822 75.68513724635768 75.98262959387495 77.27198716223104 77.02311341409148 76.10413917783973 75.73532861221373 76.63158617698058 76.69419795525604 77.07814216754319 76.89317264881193 75.5433650296305 75.544424016601 75.67456640113639 75.67456640113639 75.9025691264795 75.42254304914412 75.42254304914412 75.46124833316766 75.75592386077805 75.48933699536644 75.34613460556554 75.35144325094244 75.35144325094244 76.05156145668542 75.61851625098181 75.1893609495386 75.19468066292987 75.87516062585962 75.87516062585962 75.64760405987754 75.15690254394468 74.6442228173085 74.6442228173085 74.93196914535211 76.15930671953363 75.65976473661546 75.47820877577847 76.33714692074888 77.48548251124207 77.23574302096148 76.696805670119 76.696805670119 76.51248264172324 76.65663702511348 76.65872422627447 76.55429445824709 76.65663702511348 76.94517528734339 76.94517528734339 76.94517528734339 76.69784873123888 76.84165536998796 76.84165536998796 76.84165536998796;76.65663702511348;"[[170,226,226,226,226,226,226,227,227,227,227,227,227,228,629,629,632,632,632,632,634,634,634,634,636,636,636,636,640,644,644,644,644,655,655,655,655,677,677,894,895,895,895,895,895,895,895,897,897,897,897,902,902,905,905,914,914,914,914,916,916,916,916,920,920,920,920,920,920,920,920,921,921,921,921,927,927,927,927,928,928,930,930,930,930,931,934,934,934,934,934,935,935,935,935,935,939,939,939,942,942,942,942,943,943,946,946,946,946,946,946,946,946,949,949,949,952,952,952,955,955,955,957,957,957,957,958,960,961,961,962,962,965,967,967,967,967,968,968,968,969,971,971,971,973,973,974,976,976,978,978,981,981,981,981,982,982,982,984,984,984,987,987,987,987,992,992,992,992,993,994,994,994,994,997,997,997,999,999,999,999,1003,1003,1003,1003,1003,1003,1004,1005,1005,1005,1005,1005,1005,1006,1006,1006,1006],[220,220,220,220,220,221,221,221,221,222,222,222,223,223,519,519,523,523,523,523,530,530,530,539,539,539,542,542,542,542,543,543,543,546,546,546,549,549,549,549,554,554,554,578,578,578,578,580,580,580,580,603,779,779,782,783,783,783,783,783,783,783,788,788,794,794,794,794,842,857,857,857,857,858,858,858,858,866,866,866,866,867,867,867,867,870,870,870,870,871,871,871,871,871,871,872,872,872,872,874,874,874,874,879,880,880,880,881,881,881,881,883,884,885,885,885,885,885,887,887,887,887,888,891,891,891,891,893,893,895,895,895,895,898,898,898,898,899,899,902,902,902,902,903,905,905,905,905,906,908,908,908,908,909,911,911,911,911,912,916,916,916,916,918,921,921,921,921,922,923,923,923,923,925,925,928,928,928,930,930,931,931,931,931,932,932,933,933,933,933,934,934,934,934,934,934,934,934],[194,251,251,253,253,253,253,253,253,254,254,254,254,254,613,613,613,613,615,615,615,622,622,622,627,627,627,631,631,631,635,635,635,635,637,637,637,647,647,647,647,655,655,657,657,658,658,658,658,658,658,660,660,660,666,666,666,666,666,666,666,666,673,673,673,673,691,691,691,691,692,692,692,692,695,699,699,699,699,699,699,699,699,702,702,702,702,703,703,703,703,703,873,873,873,873,960,981,981,981,998,998,998,998,1001,1001,1001,1001,1001,1002,1002,1002,1003,1003,1003,1005,1005,1005,1005,1005,1005,1005,1005,1007,1007,1011,1011,1011,1013,1013,1013,1013,1014,1014,1016,1016,1016,1019,1019,1019,1020,1020,1020,1024,1024,1024,1027,1027,1027,1027,1027,1027,1030,1030,1030,1030,1031,1031,1031,1033,1033,1037,1037,1037,1040,1040,1040,1043,1043,1043,1043,1047,1047,1048,1048,1048,1048,1050,1051,1051,1051,1057,1057,1057,1058,1058,1058,1059,1059,1060,1060,1060,1060,1060,1060,1061,1061,1061],[232,232,232,232,233,233,233,234,234,234,234,234,234,234,601,601,601,601,602,602,602,605,605,605,605,607,607,607,610,610,610,610,611,611,614,614,614,682,682,682,682,807,807,807,807,814,814,818,818,818,818,820,820,829,829,831,831,832,832,832,832,832,832,833,833,833,833,835,836,837,837,837,837,837,837,837,839,839,840,840,840,840,842,844,844,844,844,844,847,847,847,847,848,848,848,850,850,850,850,851,854,854,854,854,855,856,856,856,856,857,859,859,861,861,861,861,865,865,865,865,866,868,868,868,868,869,869,870,870,870,870,871,871,873,873,876,876,876,877,877,877,877,879,880,880,880,880,881,884,884,884,885,885,885,889,889,889,889,891,891,891,893,893,895,895,895,895,895,896,897,897,900,900,900,902,903,903,903,903,905,905,905,905,906,908,908,908,908,908,909,909,909,909,909,910,910,910,910],[221,291,291,293,293,293,293,293,293,293,293,293,293,293,650,650,650,650,652,652,652,658,658,658,658,667,668,668,668,668,672,684,684,684,684,686,686,686,691,691,691,691,693,693,693,693,696,696,696,696,697,697,697,697,703,703,703,703,708,708,708,708,709,709,709,709,1031,1031,1031,1031,1040,1040,1040,1045,1045,1045,1045,1047,1047,1047,1047,1048,1058,1058,1058,1058,1059,1059,1059,1059,1060,1060,1060,1060,1061,1061,1061,1061,1061,1061,1062,1062,1062,1062,1063,1063,1067,1067,1067,1067,1068,1070,1070,1070,1070,1071,1071,1072,1072,1073,1073,1074,1074,1074,1076,1076,1076,1076,1077,1080,1080,1080,1080,1081,1082,1082,1082,1082,1083,1083,1083,1086,1086,1086,1086,1087,1090,1090,1090,1090,1093,1094,1094,1094,1094,1094,1094,1094,1097,1097,1097,1097,1098,1100,1100,1100,1100,1101,1101,1101,1101,1104,1104,1104,1104,1105,1105,1105,1110,1110,1110,1110,1114,1114,1114,1114,1114,1114,1114,1114,1115,1116,1116,1116,1116,1116,1116,1116]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;458;458;458;0;5;98;98;98;2502.2;3048;2173;2173 3048 2287 2514 2489;378.4 484.4 500.6 500.6 500.6 501.2 501.4 503.6 503.8 509.6 509.8 510.6 510.6 512.2 512.2 514 514.4 521 521 521.4 521.6 522.2 523.6 523.8 525.6 528 540 540 540.2 542.4 545.8 545.8 545.8 546.8 547.8 548.4 550.4 550.6 551 551 554.2 556 556.8 556.8 558 558.2 558.6 559 560 563 563 563.4 564.6 566.4 567.4 568.6 569.2 569.4 569.6 585.8 586.2 607.4 608.4 609.8 610 618.6 620 620.2 620.6 621.6 622.6 623 623 623.2 623.2 624 624 625.2 625.2 625.4 625.4 626.2 626.4 626.6 627.2 628.6 629.8 629.8 630.2 632.8 1655.4 1657.4 1657.4 2182.2 2310.4 2313 2495 2501;472 522 522 522 522 523 523 525 525 530 530 530 530 532 532 533 535 535 535 535 536 536 537 538 541 545 570 570 570 570 576 576 576 576 578 578 581 581 581 581 591 591 591 591 592 592 592 592 595 595 595 597 597 597 597 600 600 600 600 678 678 778 778 779 779 819 819 819 819 819 819 819 819 819 819 819 819 825 825 825 825 826 826 826 826 830 835 835 835 847 2048 2048 2048 2445 2462 2464 3039 3046;294 421 472 472 472 472 472 472 473 486 487 487 487 491 491 491 491 502 502 504 504 504 510 510 510 510 520 520 521 521 528 528 528 528 530 530 533 533 534 534 534 536 537 537 537 538 538 538 538 539 539 539 545 545 545 548 548 548 548 551 551 553 553 554 555 555 555 555 557 557 557 558 558 558 558 560 560 560 560 560 560 560 560 561 562 562 562 562 562 562 1191 1191 1191 1713 2122 2128 2168 2171;59.593959425431706 37.2268720147154 19.530488985173925 19.530488985173925 19.530488985173925 19.81312696168881 19.825236442474022 19.530488985173925 19.20833152566875 17.188368159892317 16.9162643630324 16.85941873256608 16.85941873256608 16.28987415543779 16.28987415543779 16.504544828622205 16.977632343763368 12.633289357883005 12.633289357883005 12.043255373859678 12.273548794053006 12.33531515608742 10.9288608738514 11.178550889985695 11.909659944767524 12.884098726725126 17.60681686165901 17.60681686165901 17.38275007011261 16.8949696655543 17.54308980767071 17.54308980767071 17.54308980767071 17.38275007011261 17.690675509996783 17.118411141224527 17.0598944897089 17.04816705690087 16.87601848778319 16.87601848778319 20.711349545599386 20.00999750124922 19.260321908005587 19.260321908005587 19.72815247305231 19.51819663800936 19.15828802372488 19.266551326067674 20.287927444665215 19.524343778985248 19.524343778985248 20.185143051264216 18.83188785013335 19.220822042774344 19.252012881774206 19.530488985173925 18.925115587493778 19.01157542130583 19.022092419079453 47.334553974871255 47.046360114253254 86.015347467763 85.61448475579351 85.25350432680172 85.12343978012167 100.8178555614034 100.03599352233175 99.92477170351705 99.66664437012012 99.32894844908004 98.8384540550893 98.59411747158143 98.59411747158143 98.52796557323205 98.52796557323205 98.13663943706244 98.13663943706244 100.52144049902985 100.52144049902985 100.45815049063964 100.45815049063964 100.59105328010043 100.47606680200018 100.34460623272184 99.98679912868498 101.35797945894541 103.23255300533839 103.23255300533839 103.03281030817318 107.69475381837316 296.10849363029087 296.02472869677626 296.02472869677626 267.04561408119025 128.8419186445157 127.37974721281245 300.0653262208081 300.6612712006653;300.9633864774916;"[[367,522,522,522,522,523,523,523,523,530,530,530,530,532,532,532,532,535,535,535,535,536,536,536,541,545,545,545,545,547,551,551,551,551,552,552,553,553,554,554,560,560,560,560,563,563,563,565,565,570,570,570,570,577,577,577,577,578,578,578,578,582,582,582,582,585,585,585,585,590,590,590,590,591,591,593,593,593,593,594,594,594,594,594,594,596,596,596,596,596,2048,2048,2048,2107,2122,2128,2168,2171],[472,472,472,472,472,472,472,472,473,486,487,487,487,491,491,491,491,518,518,518,518,519,519,519,519,525,525,525,525,529,529,529,529,530,530,530,536,536,536,536,536,536,540,540,540,540,542,542,542,547,547,547,547,548,548,548,551,551,551,551,553,553,553,558,558,558,564,565,565,565,567,568,568,568,568,568,568,568,568,568,568,568,569,569,571,571,572,572,573,574,1191,1191,1191,1713,2290,2291,3039,3046],[350,486,486,486,486,487,487,495,495,497,497,497,497,498,498,502,502,502,502,504,504,504,510,510,510,510,570,570,570,570,576,576,576,576,578,578,581,581,581,581,591,591,591,591,592,592,592,592,595,595,595,597,597,597,597,600,600,600,600,678,678,778,778,779,779,819,819,819,819,819,819,819,819,819,819,819,819,825,825,825,825,826,826,826,826,830,835,835,835,847,1879,1879,1879,2218,2233,2236,2278,2287],[409,521,521,521,521,522,522,525,525,528,528,528,528,529,529,533,535,535,535,535,536,536,537,538,538,540,540,540,540,545,545,545,545,549,549,549,549,550,550,550,550,556,556,556,558,558,558,558,560,564,564,564,564,565,570,570,570,570,571,571,571,571,576,576,576,576,577,577,577,577,580,580,580,580,580,580,580,580,580,580,580,583,583,583,583,584,584,584,585,585,1520,1520,1520,2445,2462,2464,2506,2512],[294,421,502,502,502,502,503,503,503,507,507,511,511,511,511,512,512,515,515,515,515,516,516,516,520,520,520,520,521,521,528,528,528,528,530,533,533,533,534,534,534,537,537,537,537,538,538,538,538,539,539,539,545,545,545,548,548,548,548,551,551,553,553,554,555,555,555,555,557,557,557,558,558,558,558,560,560,560,560,560,560,560,560,561,562,562,562,562,562,562,1639,1649,1649,2428,2445,2446,2484,2489]]"
