name;id;results;time;error;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;6;18494;false;12867 13009 13299 14687 16098 18575;12867 13009 13299 14687 16098 18575;12867 13009 13299 14687 16098 18575;127;0
interactive-discover-1;1;4;7868;false;6688 6688 6688 7867;6688 6688 6688 7867;6688 6688 6688 7867;19;0
interactive-discover-1;2;1;7251;false;7554;7554;7554;16;0
interactive-discover-1;3;14;17080;false;11700 11714 11714 11827 11827 11827 11827 11862 11862 11862 14119 14162 14750 17078;11700 11714 11714 11827 11827 11827 11827 11862 11862 11862 14119 14162 14750 17078;11700 11714 11714 11827 11827 11827 11827 11862 11862 11862 14119 14162 14750 17078;223;0
interactive-discover-1;4;8;18311;false;14010 14327 15754 17362 17363 17413 17413 19048;14010 14327 15754 17362 17363 17413 17413 19048;14010 14327 15754 17362 17363 17413 17413 19048;122;0
interactive-discover-2;0;66;22712;false;11885 11949 11963 12007 12034 12274 12300 12326 12409 13907 14202 15787 15890 15920 15920 16089 16089 16131 16131 16200 16200 16200 16200 16257 16257 16293 16293 16293 16347 17687 19886 20406 20441 20441 22578 22697 22709 22709 22709 22709 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711;11885 11949 11963 12007 12034 12274 12300 12326 12409 13907 14202 15787 15890 15920 15920 16089 16089 16131 16131 16200 16200 16200 16200 16257 16257 16293 16293 16293 16347 17687 19886 20406 20441 20441 22578 22697 22709 22709 22709 22709 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711;11885 11949 11963 12007 12034 12274 12300 12326 12409 13907 14202 15787 15890 15920 15920 16089 16089 16131 16131 16200 16200 16200 16200 16257 16257 16293 16293 16293 16347 17687 19886 20406 20441 20441 22578 22697 22709 22709 22709 22709 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22710 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711 22711;128;0
interactive-discover-2;1;46;7734;false;7872 7873 7873 7935 7935 7935 7935 7948 7948 7996 7996 7996 7999 7999 7999 7999 8002 8002 8002 8003 8003 8005 8005 8005 8007 8007 8007 8009 8011 8011 8012 8012 8012 8012 8013 8013 8013 8014 8014 8014 8015 8015 8015 8015 8016 8016;7872 7873 7873 7935 7935 7935 7935 7948 7948 7996 7996 7996 7999 7999 7999 7999 8002 8002 8002 8003 8003 8005 8005 8005 8007 8007 8007 8009 8011 8011 8012 8012 8012 8012 8013 8013 8013 8014 8014 8014 8015 8015 8015 8015 8016 8016;7872 7873 7873 7935 7935 7935 7935 7948 7948 7996 7996 7996 7999 7999 7999 7999 8002 8002 8002 8003 8003 8005 8005 8005 8007 8007 8007 8009 8011 8011 8012 8012 8012 8012 8013 8013 8013 8014 8014 8014 8015 8015 8015 8015 8016 8016;20;0
interactive-discover-2;2;32;7188;false;7777 7777 7777 7777 7780 7780 7781 7783 7790 7790 7790 7790 7792 7794 7794 7794 7794 7795 7795 7795 7795 7796 7796 7796 7796 7797 7797 7797 7797 7798 7798 7798;7777 7777 7777 7777 7780 7780 7781 7783 7790 7790 7790 7790 7792 7794 7794 7794 7794 7795 7795 7795 7795 7796 7796 7796 7796 7797 7797 7797 7797 7798 7798 7798;7777 7777 7777 7777 7780 7780 7781 7783 7790 7790 7790 7790 7792 7794 7794 7794 7794 7795 7795 7795 7795 7796 7796 7796 7796 7797 7797 7797 7797 7798 7798 7798;17;0
interactive-discover-2;3;198;22782;false;10760 10760 10760 10948 11383 11383 11383 11383 11461 11461 12445 12624 12624 12970 13078 13078 13211 13211 13396 13456 14308 14308 14308 14308 14399 14400 14576 14653 14653 14783 14783 15106 15184 15184 15435 15435 15435 15435 15699 15700 15700 15837 15837 15837 15980 15980 15980 15981 16478 16478 16478 16478 16600 16600 16600 16600 16687 16687 16687 16687 16834 16834 16834 16834 16960 16960 16960 17044 17044 17044 17044 17200 17200 17200 17200 17332 17332 17332 17332 17413 17970 17970 18315 18782 19534 19557 19557 19677 19677 19949 20014 20166 20166 20166 20166 20288 20288 20409 20510 20536 20536 20786 20786 21069 21069 21069 21203 21203 21203 21287 21287 21287 21398 21398 21398 21398 21529 21529 21529 21529 21661 21661 21797 21797 21797 22004 22004 22004 22004 22076 22076 22182 22182 22182 22182 22340 22340 22371 22371 22571 22606 22606 22606 22606 22613 22613 22623 22623 22714 22714 22714 22714 22720 22720 22720 22736 22736 22743 22743 22743 22752 22752 22752 22754 22754 22754 22754 22757 22757 22757 22765 22765 22765 22765 22770 22770 22770 22776 22776 22776 22776 22778 22778 22779 22779 22779 22779 22780 22780 22780 22780 22780 22780 22780 22781 22781 22781 22781;10760 10760 10760 10948 11383 11383 11383 11383 11461 11461 12445 12624 12624 12970 13078 13078 13211 13211 13396 13456 14308 14308 14308 14308 14399 14400 14576 14653 14653 14783 14783 15106 15184 15184 15435 15435 15435 15435 15699 15700 15700 15837 15837 15837 15980 15980 15980 15981 16478 16478 16478 16478 16600 16600 16600 16600 16687 16687 16687 16687 16834 16834 16834 16834 16960 16960 16960 17044 17044 17044 17044 17200 17200 17200 17200 17332 17332 17332 17332 17413 17970 17970 18315 18782 19534 19557 19557 19677 19677 19949 20014 20166 20166 20166 20166 20288 20288 20409 20510 20536 20536 20786 20786 21069 21069 21069 21203 21203 21203 21287 21287 21287 21398 21398 21398 21398 21529 21529 21529 21529 21661 21661 21797 21797 21797 22004 22004 22004 22004 22076 22076 22182 22182 22182 22182 22340 22340 22371 22371 22571 22606 22606 22606 22606 22613 22613 22623 22623 22714 22714 22714 22714 22720 22720 22720 22736 22736 22743 22743 22743 22752 22752 22752 22754 22754 22754 22754 22757 22757 22757 22765 22765 22765 22765 22770 22770 22770 22776 22776 22776 22776 22778 22778 22779 22779 22779 22779 22780 22780 22780 22780 22780 22780 22780 22781 22781 22781 22781;10760 10760 10760 10948 11383 11383 11383 11383 11461 11461 12445 12624 12624 12970 13078 13078 13211 13211 13396 13456 14308 14308 14308 14308 14399 14400 14576 14653 14653 14783 14783 15106 15184 15184 15435 15435 15435 15435 15699 15700 15700 15837 15837 15837 15980 15980 15980 15981 16478 16478 16478 16478 16600 16600 16600 16600 16687 16687 16687 16687 16834 16834 16834 16834 16960 16960 16960 17044 17044 17044 17044 17200 17200 17200 17200 17332 17332 17332 17332 17413 17970 17970 18315 18782 19534 19557 19557 19677 19677 19949 20014 20166 20166 20166 20166 20288 20288 20409 20510 20536 20536 20786 20786 21069 21069 21069 21203 21203 21203 21287 21287 21287 21398 21398 21398 21398 21529 21529 21529 21529 21661 21661 21797 21797 21797 22004 22004 22004 22004 22076 22076 22182 22182 22182 22182 22340 22340 22371 22371 22571 22606 22606 22606 22606 22613 22613 22623 22623 22714 22714 22714 22714 22720 22720 22720 22736 22736 22743 22743 22743 22752 22752 22752 22754 22754 22754 22754 22757 22757 22757 22765 22765 22765 22765 22770 22770 22770 22776 22776 22776 22776 22778 22778 22779 22779 22779 22779 22780 22780 22780 22780 22780 22780 22780 22781 22781 22781 22781;224;0
interactive-discover-2;4;98;21339;false;12968 12968 13032 13287 13287 13288 13288 13352 13353 13353 13353 13407 13407 13407 13541 14802 14802 14802 14802 14916 14990 14990 15065 15065 15065 15172 15374 15409 15444 16924 16932 16970 16970 18320 18320 18415 18415 18480 18480 18480 18540 18540 18540 18540 18583 18583 18583 19625 19743 19743 19743 19743 19802 19802 20354 20354 20354 20378 20378 20378 21580 21581 21583 21584 21584 21585 21585 21585 21585 21586 21586 21586 21586 21589 21589 21589 21589 21589 21591 21591 21594 21596 21596 21596 21596 21597 21597 21597 21598 21598 21599 21599 21599 21600 21600 21600 21600 21601;12968 12968 13032 13287 13287 13288 13288 13352 13353 13353 13353 13407 13407 13407 13541 14802 14802 14802 14802 14916 14990 14990 15065 15065 15065 15172 15374 15409 15444 16924 16932 16970 16970 18320 18320 18415 18415 18480 18480 18480 18540 18540 18540 18540 18583 18583 18583 19625 19743 19743 19743 19743 19802 19802 20354 20354 20354 20378 20378 20378 21580 21581 21583 21584 21584 21585 21585 21585 21585 21586 21586 21586 21586 21589 21589 21589 21589 21589 21591 21591 21594 21596 21596 21596 21596 21597 21597 21597 21598 21598 21599 21599 21599 21600 21600 21600 21600 21601;12968 12968 13032 13287 13287 13288 13288 13352 13353 13353 13353 13407 13407 13407 13541 14802 14802 14802 14802 14916 14990 14990 15065 15065 15065 15172 15374 15409 15444 16924 16932 16970 16970 18320 18320 18415 18415 18480 18480 18480 18540 18540 18540 18540 18583 18583 18583 19625 19743 19743 19743 19743 19802 19802 20354 20354 20354 20378 20378 20378 21580 21581 21583 21584 21584 21585 21585 21585 21585 21586 21586 21586 21586 21589 21589 21589 21589 21589 21591 21591 21594 21596 21596 21596 21596 21597 21597 21597 21598 21598 21599 21599 21599 21600 21600 21600 21600 21601;123;0
