name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;10382;false;9823 9861 9992 10006 10177 10179;127
interactive-discover-1;1;4;7791;false;6911 6938 7011 7682;19
interactive-discover-1;2;1;7942;false;7192;16
interactive-discover-1;3;14;19786;false;7701 7923 7985 8033 8467 8510 8563 10409 10479 11259 11755 11807 11858 18559;223
interactive-discover-1;4;8;10881;false;9720 9766 10185 10320 10350 10371 10389 10661;122
interactive-discover-2;0;66;10114;false;7677 7935 8008 8025 8108 8117 8189 8217 8294 8312 8383 8396 8507 8533 8596 8617 8654 8743 8757 8767 8792 8800 8819 8826 8862 8873 9188 9235 9322 9346 9381 9395 9437 9466 9504 9546 9578 9604 9638 9664 9707 9750 9782 9802 9828 9855 9878 9892 9903 9918 9947 9974 10011 10050 10072 10094 10129 10156 10168 10173 10191 13400 13401 14231 17466 17679;128
interactive-discover-2;1;46;7900;false;7479 7492 7514 7537 7561 7570 7593 7616 7631 7644 7652 7672 7686 7693 7696 7705 7712 7718 7736 7748 7753 7760 7765 7768 7772 7774 7775 7776 7777 7778 7780 7782 7784 7786 7788 7789 7790 7790 7791 7791 7792 7792 7793 7794 7796 7892;20
interactive-discover-2;2;32;7681;false;7059 7474 7501 7525 7550 7575 7581 7586 7597 7605 7611 7616 7621 7624 7625 7629 7631 7633 7634 7634 7636 7636 7637 7637 7638 7638 7638 7639 7639 7640 7640 7641;17
interactive-discover-2;3;198;21525;false;8025 8178 8222 8278 8340 8416 8502 8567 8644 8748 8881 8938 9046 9136 9208 9325 9444 9541 9658 9753 9935 10406 10540 10667 10781 10863 11119 11186 11258 11323 11374 11483 11528 11672 11698 11748 11767 11829 11849 11914 11928 11962 11981 12031 12045 12147 12166 12220 12231 12377 12387 12466 12944 13034 13058 13137 13172 13404 13459 13541 13618 13701 13754 13786 13855 13933 13986 14048 14187 14234 14260 14311 14337 14363 14387 14448 14499 14550 14564 14593 14607 14659 14706 14750 14762 14785 15084 15191 15274 15317 15352 15393 15406 15512 15580 15632 15666 15797 16563 16666 16711 16762 16827 16943 16959 17018 17038 17072 17102 17195 17211 17246 17341 17386 17415 17453 17470 17501 17513 17651 17666 17735 17746 17802 17820 17964 18041 18131 18148 18784 18797 18832 18860 18899 18930 18960 18984 19014 19046 19080 19102 19127 19147 19165 19188 19215 19243 19267 19276 19304 19327 19352 19367 19512 19614 19740 19770 20281 20294 20304 20319 20331 20351 20360 20367 20383 20394 20411 20422 21304 21311 21317 21324 21331 21337 21344 21347 21349 21353 21360 21364 21371 21373 21374 21375 21378 21381 21383 21385 21386 21387 21387 21388 21388 21388 21388 21388 21389;224
interactive-discover-2;4;98;11334;false;7490 7768 7802 7838 7875 8038 8076 8118 8140 8165 8200 8243 8289 8308 8347 8401 8656 8676 8728 8758 8772 8805 8838 8860 8876 9126 9160 9258 9296 9371 9380 9435 9452 9499 9513 9561 9596 9651 9670 9707 9728 9769 9785 9822 9827 9861 9871 9940 9955 9985 9996 10027 10043 10075 10085 10105 10118 10151 10183 10193 10253 10275 10444 10453 10485 10691 10706 10733 10743 10765 10766 10780 10783 10791 10799 10846 11520 13334 13349 13368 13384 13403 13795 13811 13817 13821 13829 13837 13842 13850 13855 13861 13866 13879 13882 13885 13887 16802;123
