name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;9837;false;9737 9739 9748 9752 9926 9928;127
interactive-discover-1;1;4;7524;false;6858 6889 6890 7463;19
interactive-discover-1;2;1;6866;false;6563;16
interactive-discover-1;3;14;9871;false;8194 8198 8298 8308 8353 8363 8865 8882 9188 9201 9208 9210 9210 10125;223
interactive-discover-1;4;8;10667;false;10310 10339 10360 10469 10475 10490 10507 10624;122
interactive-discover-2;0;66;21327;false;8900 9200 9232 9280 9305 9323 9333 9344 9366 9392 9410 9425 9432 9507 9521 9549 9574 9597 9676 9745 9755 9764 9774 9793 9799 9825 9974 9984 10082 10091 10100 10106 10118 10125 10130 10135 10142 10148 10163 10172 10200 10206 10212 10220 10222 10224 10228 10230 10233 10235 10236 10238 10239 10240 10240 10242 10245 10247 10261 10261 10261 11110 13322 14153 17579 17580;128
interactive-discover-2;1;46;7949;false;8220 8221 8228 8230 8231 8232 8233 8235 8237 8238 8240 8242 8244 8246 8246 8247 8249 8250 8252 8253 8254 8255 8256 8258 8259 8260 8261 8262 8264 8265 8266 8267 8268 8269 8269 8270 8271 8272 8273 8274 8275 8276 8278 8278 8279 8428;20
interactive-discover-2;2;32;7172;false;7031 7386 7387 7389 7390 7392 7393 7394 7395 7396 7397 7398 7401 7402 7403 7404 7405 7405 7406 7407 7408 7408 7409 7409 7409 7409 7410 7410 7410 7410 7410 7410;17
interactive-discover-2;3;198;21949;false;9027 9213 9241 9276 9301 9327 9378 11378 11422 11542 11582 11638 11692 11780 11828 11882 11932 11984 12009 12077 12141 12183 12303 12351 12433 12558 12658 12725 12775 12819 12919 13012 13082 13156 13237 13305 13386 13459 13517 13590 13642 13681 13754 13817 13880 13969 14063 14150 14310 14325 14443 14455 14567 14573 14703 14714 14880 14888 15031 15034 15169 15174 15329 15336 15625 15660 15776 15840 15963 16031 16197 16246 16332 16380 16442 16485 16551 16603 16767 16805 16877 16923 16967 17005 17133 17150 17222 17270 17364 17491 17566 17610 17668 17710 17826 17864 17934 17958 18076 18120 18226 18288 18359 18389 18473 18499 18614 18668 18718 18742 18832 18856 18999 19012 19085 19120 19228 19267 19390 19494 19551 19735 19789 19874 19934 20006 20217 20492 20537 20588 20645 20718 20768 20820 20908 20976 21026 21037 21098 21220 21299 21336 21374 21393 21418 21455 21474 21497 21536 21555 21622 21646 21660 21672 21676 21690 21694 21698 21701 21710 21721 21726 21728 21730 21731 21733 21734 21737 21738 21739 21741 21742 21742 21743 21743 21744 21744 21745 21745 21745 21746 21746 21746 21747 21747 21748 21748 21748 21749 21749 21749 21749 21750 21750 21750 21750 21750 21752;224
interactive-discover-2;4;98;11944;false;8693 8776 8795 8855 8873 8980 9008 9061 9091 9114 9190 9340 9355 9412 9430 9460 9475 9504 9533 9574 9598 9632 9680 9742 9760 10279 10309 10355 10396 10549 10582 10601 10638 10658 10696 10704 10743 10837 10871 10893 10918 10929 10957 10982 11006 11022 11043 11058 11086 11109 11126 11145 11231 11278 11417 11429 11442 11444 11450 11468 11478 11481 11487 11494 11502 11518 11522 11525 11530 11533 11537 11552 11555 11562 11571 11575 11582 11589 11590 11595 11596 11597 11600 11601 11604 11608 11611 11612 11616 11616 11617 11617 11621 11630 11840 12631 12632 12633;123
