name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;false;10251;false;6;6;6;10929 10929 10931 10931 10931 10933;10929 10929 10931 10931 10931 10933;10929 10929 10931 10931 10931 10933;127;1
interactive-discover-1;1;false;7439.625;false;4;4;4;7073 7073 7076 7869;7073 7073 7076 7869;7073 7073 7076 7869;19;1
interactive-discover-1;2;false;6808.75;false;1;1;1;7163;7163;7163;16;1
interactive-discover-1;3;false;17072.125;false;14;14;14;9743 9791 9852 9930 9978 12112 12140 12167 12199 12209 12253 12280 12324 17426;9743 9791 9852 9930 9978 12112 12140 12167 12199 12209 12253 12280 12324 17426;9743 9791 9852 9930 9978 12112 12140 12167 12199 12209 12253 12280 12324 17426;223;1
interactive-discover-1;4;false;10702.375;false;8;8;8;10995 11013 11251 11303 11304 11304 11304 11304;10995 11013 11251 11303 11304 11304 11304 11304;10995 11013 11251 11303 11304 11304 11304 11304;122;1
interactive-discover-2;0;false;17740.875;false;66;66;66;11278 12209 12636 12679 12713 12750 12782 12792 12896 13009 13042 13075 13105 13113 13225 13404 13404 13443 13443 13504 13504 13550 13550 13571 13571 13619 13619 13695 13695 13723 13723 13769 13769 15217 15256 15257 15258 15258 17569 21624 21656 21656 21678 21678 21681 21681 21682 21682 21684 21684 21684 21684 21685 21685 21686 21686 21687 21687 21687 21688 21688 21688 21688 21688 21689 21689;11278 12209 12636 12679 12713 12750 12782 12792 12896 13009 13042 13075 13105 13113 13225 13404 13404 13443 13443 13504 13504 13550 13550 13571 13571 13619 13619 13695 13695 13723 13723 13769 13769 15217 15256 15257 15258 15258 17569 21624 21656 21656 21678 21678 21681 21681 21682 21682 21684 21684 21684 21684 21685 21685 21686 21686 21687 21687 21687 21688 21688 21688 21688 21688 21689 21689;11278 12209 12636 12679 12713 12750 12782 12792 12896 13009 13042 13075 13105 13113 13225 13404 13404 13443 13443 13504 13504 13550 13550 13571 13571 13619 13619 13695 13695 13723 13723 13769 13769 15217 15256 15257 15258 15258 17569 21624 21656 21656 21678 21678 21681 21681 21682 21682 21684 21684 21684 21684 21685 21685 21686 21686 21687 21687 21687 21688 21688 21688 21688 21688 21689 21689;128;1
interactive-discover-2;1;false;8124.125;false;46;46;46;8356 8356 8358 8358 8360 8361 8361 8362 8364 8364 8365 8366 8384 8384 8384 8384 8388 8392 8392 8392 8392 8392 8400 8400 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8424 8424 8424 8424 8424 8424 8432 8432 8440 8440;8356 8356 8358 8358 8360 8361 8361 8362 8364 8364 8365 8366 8384 8384 8384 8384 8388 8392 8392 8392 8392 8392 8400 8400 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8424 8424 8424 8424 8424 8424 8432 8432 8440 8440;8356 8356 8358 8358 8360 8361 8361 8362 8364 8364 8365 8366 8384 8384 8384 8384 8388 8392 8392 8392 8392 8392 8400 8400 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8412 8424 8424 8424 8424 8424 8424 8432 8432 8440 8440;20;1
interactive-discover-2;2;false;7467.25;false;32;32;32;7425 7934 7935 7936 7937 7938 7938 7939 7940 7941 7941 7942 7944 7945 7949 7949 7950 7951 7952 7952 7953 7953 7953 7953 7954 7954 7954 7954 7954 7954 7954 7955;7425 7934 7935 7936 7937 7938 7938 7939 7940 7941 7941 7942 7944 7945 7949 7949 7950 7951 7952 7952 7953 7953 7953 7953 7954 7954 7954 7954 7954 7954 7954 7955;7425 7934 7935 7936 7937 7938 7938 7939 7940 7941 7941 7942 7944 7945 7949 7949 7950 7951 7952 7952 7953 7953 7953 7953 7954 7954 7954 7954 7954 7954 7954 7955;17;1
interactive-discover-2;3;false;21557.25;false;198;198;198;10628 10751 10757 10944 10944 11150 11150 11705 11762 11779 12720 12788 12858 12880 13200 13223 13363 13457 13517 13581 13656 13674 13772 13824 13871 14183 14252 14308 14372 14445 14468 14568 14625 14696 14861 14957 15058 15162 15238 15264 15338 15393 15454 15540 15621 15685 15705 15760 15829 15989 16098 16155 16178 16216 16243 16302 16381 16405 16437 16450 16468 16508 16514 16572 16594 16607 16618 16632 16637 17165 17368 18531 18592 18660 18679 18751 18811 18871 18933 19113 19173 19244 19303 19367 19388 19449 19653 19712 19770 19827 19842 19897 19939 19987 20050 20096 20520 20584 20648 20668 20734 20784 20846 20915 20931 21010 21152 21308 21409 21476 21493 21550 21597 21660 21753 21775 21847 21888 21926 21982 22050 22067 22101 22118 22143 22196 22245 22488 22495 22503 22505 22510 22512 22514 22520 22520 22527 22529 22533 22534 22536 22537 22539 22539 22541 22543 22543 22545 22547 22548 22551 22551 22554 22556 22557 22558 22558 22559 22559 22559 22560 22560 22560 22561 22561 22561 22561 22561 22561 22562 22562 22562 22562 22562 22562 22562 22562 22563 22563 22563 22563 22563 22563 22564 22564 22564 22564 22565 22565 22565 22565 22565 22566 22566 22566 22566 22567 22568;10628 10751 10757 10944 10944 11150 11150 11705 11762 11779 12720 12788 12858 12880 13200 13223 13363 13457 13517 13581 13656 13674 13772 13824 13871 14183 14252 14308 14372 14445 14468 14568 14625 14696 14861 14957 15058 15162 15238 15264 15338 15393 15454 15540 15621 15685 15705 15760 15829 15989 16098 16155 16178 16216 16243 16302 16381 16405 16437 16450 16468 16508 16514 16572 16594 16607 16618 16632 16637 17165 17368 18531 18592 18660 18679 18751 18811 18871 18933 19113 19173 19244 19303 19367 19388 19449 19653 19712 19770 19827 19842 19897 19939 19987 20050 20096 20520 20584 20648 20668 20734 20784 20846 20915 20931 21010 21152 21308 21409 21476 21493 21550 21597 21660 21753 21775 21847 21888 21926 21982 22050 22067 22101 22118 22143 22196 22245 22488 22495 22503 22505 22510 22512 22514 22520 22520 22527 22529 22533 22534 22536 22537 22539 22539 22541 22543 22543 22545 22547 22548 22551 22551 22554 22556 22557 22558 22558 22559 22559 22559 22560 22560 22560 22561 22561 22561 22561 22561 22561 22562 22562 22562 22562 22562 22562 22562 22562 22563 22563 22563 22563 22563 22563 22564 22564 22564 22564 22565 22565 22565 22565 22565 22566 22566 22566 22566 22567 22568;10628 10751 10757 10944 10944 11150 11150 11705 11762 11779 12720 12788 12858 12880 13200 13223 13363 13457 13517 13581 13656 13674 13772 13824 13871 14183 14252 14308 14372 14445 14468 14568 14625 14696 14861 14957 15058 15162 15238 15264 15338 15393 15454 15540 15621 15685 15705 15760 15829 15989 16098 16155 16178 16216 16243 16302 16381 16405 16437 16450 16468 16508 16514 16572 16594 16607 16618 16632 16637 17165 17368 18531 18592 18660 18679 18751 18811 18871 18933 19113 19173 19244 19303 19367 19388 19449 19653 19712 19770 19827 19842 19897 19939 19987 20050 20096 20520 20584 20648 20668 20734 20784 20846 20915 20931 21010 21152 21308 21409 21476 21493 21550 21597 21660 21753 21775 21847 21888 21926 21982 22050 22067 22101 22118 22143 22196 22245 22488 22495 22503 22505 22510 22512 22514 22520 22520 22527 22529 22533 22534 22536 22537 22539 22539 22541 22543 22543 22545 22547 22548 22551 22551 22554 22556 22557 22558 22558 22559 22559 22559 22560 22560 22560 22561 22561 22561 22561 22561 22561 22562 22562 22562 22562 22562 22562 22562 22562 22563 22563 22563 22563 22563 22563 22564 22564 22564 22564 22565 22565 22565 22565 22565 22566 22566 22566 22566 22567 22568;224;1
interactive-discover-2;4;false;19798.625;false;98;98;98;13600 13634 13645 13679 15265 15773 16244 18981 19006 19032 19068 19078 19116 19143 19239 19239 19273 19273 19323 19323 19397 19397 19456 19456 19521 19521 19553 19725 19834 19834 19913 19923 19962 20003 20046 20084 20141 20242 20259 20302 20329 20351 20374 20394 20401 20425 20438 20442 20451 20498 20591 20616 20633 20650 20661 20733 20745 20868 20903 20934 20960 20992 21046 21084 21099 21180 21203 21224 21262 21272 21322 21390 22731 22732 22732 22733 22736 22736 22736 22736 22737 22737 22737 22738 22738 22738 22739 22740 22740 22741 22741 22741 22742 22742 22742 22742 22742 22744;13600 13634 13645 13679 15265 15773 16244 18981 19006 19032 19068 19078 19116 19143 19239 19239 19273 19273 19323 19323 19397 19397 19456 19456 19521 19521 19553 19725 19834 19834 19913 19923 19962 20003 20046 20084 20141 20242 20259 20302 20329 20351 20374 20394 20401 20425 20438 20442 20451 20498 20591 20616 20633 20650 20661 20733 20745 20868 20903 20934 20960 20992 21046 21084 21099 21180 21203 21224 21262 21272 21322 21390 22731 22732 22732 22733 22736 22736 22736 22736 22737 22737 22737 22738 22738 22738 22739 22740 22740 22741 22741 22741 22742 22742 22742 22742 22742 22744;13600 13634 13645 13679 15265 15773 16244 18981 19006 19032 19068 19078 19116 19143 19239 19239 19273 19273 19323 19323 19397 19397 19456 19456 19521 19521 19553 19725 19834 19834 19913 19923 19962 20003 20046 20084 20141 20242 20259 20302 20329 20351 20374 20394 20401 20425 20438 20442 20451 20498 20591 20616 20633 20650 20661 20733 20745 20868 20903 20934 20960 20992 21046 21084 21099 21180 21203 21224 21262 21272 21322 21390 22731 22732 22732 22733 22736 22736 22736 22736 22737 22737 22737 22738 22738 22738 22739 22740 22740 22741 22741 22741 22742 22742 22742 22742 22742 22744;123;1
