name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-1;0;false;10328;9956;10418;false;6;6;6;10393 10398 10402 10412 10413 10418;10393 10398 10402 10412 10413 10418;10393 10398 10402 10412 10413 10418;127;127;127;1;1;1
interactive-discover-1;1;false;7938;7789;8079;false;4;4;4;7782 7787 7787 8079;7782 7787 7787 8079;7782 7787 7787 8079;19;19;19;1;1;1
interactive-discover-1;2;false;6633;6581;6703;false;1;1;1;6703;6703;6703;15;9;16;1;1;1
interactive-discover-1;3;false;9938;9754;10249;false;14;14;14;7805 9222 9305 9314 9315 9322 9432 9432 9433 9434 9435 9435 10240 10249;7805 9222 9305 9314 9315 9322 9432 9432 9433 9434 9435 9435 10240 10249;7805 9222 9305 9314 9315 9322 9432 9432 9433 9434 9435 9435 10240 10249;223;223;223;1;1;1
interactive-discover-1;4;false;10364;10229;10695;false;8;8;8;10686 10690 10690 10691 10691 10691 10692 10694;10686 10690 10690 10691 10691 10691 10692 10694;10686 10690 10690 10691 10691 10691 10692 10694;122;122;122;1;1;1
interactive-discover-2;0;false;13946;10575;21000;false;66;66;66;9208 9209 9223 9224 9648 9694 9845 9845 9915 9915 9955 9955 10009 10009 10046 10046 10061 10061 10221 10221 10311 10311 10373 10373 10429 10696 10744 10751 10763 10776 10795 10795 10799 10802 10814 10819 10828 10841 10874 10882 10909 10912 10992 10994 10999 11002 11009 11010 11011 11014 11014 11026 11027 11028 11029 11029 11030 11030 11030 11030 11031 11117 14402 14589 20999 21000;9208 9209 9223 9224 9648 9694 9845 9845 9915 9915 9955 9955 10009 10009 10046 10046 10061 10061 10221 10221 10311 10311 10373 10373 10429 10696 10744 10751 10763 10776 10795 10795 10799 10802 10814 10819 10828 10841 10874 10882 10909 10912 10992 10994 10999 11002 11009 11010 11011 11014 11014 11026 11027 11028 11029 11029 11030 11030 11030 11030 11031 11117 14402 14589 20999 21000;9208 9209 9223 9224 9648 9694 9845 9845 9915 9915 9955 9955 10009 10009 10046 10046 10061 10061 10221 10221 10311 10311 10373 10373 10429 10696 10744 10751 10763 10776 10795 10795 10799 10802 10814 10819 10828 10841 10874 10882 10909 10912 10992 10994 10999 11002 11009 11010 11011 11014 11014 11026 11027 11028 11029 11029 11030 11030 11030 11030 11031 11117 14402 14589 20999 21000;128;128;128;1;1;1
interactive-discover-2;1;false;8025;7789;8104;false;46;46;46;7925 7926 7928 7929 7930 7931 7933 7943 7945 7946 7946 7947 7948 7949 7949 7950 7951 7952 7953 7955 7956 7957 7960 7960 7963 7966 7967 7972 7974 7975 7975 7975 7976 7976 7977 7978 7978 7979 7980 7981 7982 7984 7985 7987 7992 8104;7925 7926 7928 7929 7930 7931 7933 7943 7945 7946 7946 7947 7948 7949 7949 7950 7951 7952 7953 7955 7956 7957 7960 7960 7963 7966 7967 7972 7974 7975 7975 7975 7976 7976 7977 7978 7978 7979 7980 7981 7982 7984 7985 7987 7992 8104;7925 7926 7928 7929 7930 7931 7933 7943 7945 7946 7946 7947 7948 7949 7949 7950 7951 7952 7953 7955 7956 7957 7960 7960 7963 7966 7967 7972 7974 7975 7975 7975 7976 7976 7977 7978 7978 7979 7980 7981 7982 7984 7985 7987 7992 8104;20;20;20;1;1;2
interactive-discover-2;2;false;7587;7467;7758;false;32;32;32;7617 7732 7734 7735 7737 7738 7739 7739 7740 7741 7742 7745 7745 7746 7748 7749 7750 7751 7752 7753 7753 7754 7755 7755 7756 7756 7756 7757 7757 7757 7757 7757;7617 7732 7734 7735 7737 7738 7739 7739 7740 7741 7742 7745 7745 7746 7748 7749 7750 7751 7752 7753 7753 7754 7755 7755 7756 7756 7756 7757 7757 7757 7757 7757;7617 7732 7734 7735 7737 7738 7739 7739 7740 7741 7742 7745 7745 7746 7748 7749 7750 7751 7752 7753 7753 7754 7755 7755 7756 7756 7756 7757 7757 7757 7757 7757;17;17;17;1;1;2
interactive-discover-2;3;false;21619;21253;22418;false;198;198;198;10917 10963 11090 11090 11304 11304 11573 11573 11963 11963 12248 12249 12412 12412 12547 12547 12695 12766 12786 12853 12893 12955 13025 13086 13150 13195 13232 13389 13480 13507 13556 13606 13653 13703 13765 13831 13879 13915 13928 13956 14026 14264 14264 14396 14396 14533 14533 14609 14609 14711 14711 14943 14943 15044 15044 15142 15142 15195 15195 15266 15266 15364 15418 15461 15509 15682 15682 15795 15795 15942 15942 16070 16082 16375 16375 16545 16545 16651 16651 16812 16812 16926 16926 17079 17365 17440 17456 17518 17581 17674 17731 17769 17784 17822 17889 17967 18015 18040 18066 18292 18293 18442 18442 18523 18981 19065 19134 19389 19456 19582 19658 19717 19777 19848 19908 19928 19974 20011 20050 20104 20149 20295 20295 20383 20383 20470 20470 20538 20538 20663 20663 20775 20775 20913 21503 21524 21607 21664 21708 21780 21935 21968 22077 22123 22155 22181 22189 22212 22237 22258 22269 22277 22287 22297 22304 22311 22316 22318 22320 22322 22324 22325 22326 22330 22339 22339 22353 22353 22359 22359 22365 22365 22377 22377 22385 22385 22390 22390 22403 22403 22405 22405 22410 22410 22411 22411 22413 22413 22413 22413 22414 22414 22415 22415 22415 22415 22416 22417;10917 10963 11090 11090 11304 11304 11573 11573 11963 11963 12248 12249 12412 12412 12547 12547 12695 12766 12786 12853 12893 12955 13025 13086 13150 13195 13232 13389 13480 13507 13556 13606 13653 13703 13765 13831 13879 13915 13928 13956 14026 14264 14264 14396 14396 14533 14533 14609 14609 14711 14711 14943 14943 15044 15044 15142 15142 15195 15195 15266 15266 15364 15418 15461 15509 15682 15682 15795 15795 15942 15942 16070 16082 16375 16375 16545 16545 16651 16651 16812 16812 16926 16926 17079 17365 17440 17456 17518 17581 17674 17731 17769 17784 17822 17889 17967 18015 18040 18066 18292 18293 18442 18442 18523 18981 19065 19134 19389 19456 19582 19658 19717 19777 19848 19908 19928 19974 20011 20050 20104 20149 20295 20295 20383 20383 20470 20470 20538 20538 20663 20663 20775 20775 20913 21503 21524 21607 21664 21708 21780 21935 21968 22077 22123 22155 22181 22189 22212 22237 22258 22269 22277 22287 22297 22304 22311 22316 22318 22320 22322 22324 22325 22326 22330 22339 22339 22353 22353 22359 22359 22365 22365 22377 22377 22385 22385 22390 22390 22403 22403 22405 22405 22410 22410 22411 22411 22413 22413 22413 22413 22414 22414 22415 22415 22415 22415 22416 22417;10917 10963 11090 11090 11304 11304 11573 11573 11963 11963 12248 12249 12412 12412 12547 12547 12695 12766 12786 12853 12893 12955 13025 13086 13150 13195 13232 13389 13480 13507 13556 13606 13653 13703 13765 13831 13879 13915 13928 13956 14026 14264 14264 14396 14396 14533 14533 14609 14609 14711 14711 14943 14943 15044 15044 15142 15142 15195 15195 15266 15266 15364 15418 15461 15509 15682 15682 15795 15795 15942 15942 16070 16082 16375 16375 16545 16545 16651 16651 16812 16812 16926 16926 17079 17365 17440 17456 17518 17581 17674 17731 17769 17784 17822 17889 17967 18015 18040 18066 18292 18293 18442 18442 18523 18981 19065 19134 19389 19456 19582 19658 19717 19777 19848 19908 19928 19974 20011 20050 20104 20149 20295 20295 20383 20383 20470 20470 20538 20538 20663 20663 20775 20775 20913 21503 21524 21607 21664 21708 21780 21935 21968 22077 22123 22155 22181 22189 22212 22237 22258 22269 22277 22287 22297 22304 22311 22316 22318 22320 22322 22324 22325 22326 22330 22339 22339 22353 22353 22359 22359 22365 22365 22377 22377 22385 22385 22390 22390 22403 22403 22405 22405 22410 22410 22411 22411 22413 22413 22413 22413 22414 22414 22415 22415 22415 22415 22416 22417;224;224;224;1;1;1
interactive-discover-2;4;false;15612;12321;21263;false;98;98;98;9382 9482 9554 9582 9626 9634 9654 9674 9686 9708 9714 9770 9802 9843 9863 9889 10217 10249 10294 10333 10622 10648 10676 10704 10709 11090 11115 11147 11173 11198 11223 11343 11343 11403 11403 11461 11461 11531 11642 11699 11749 11775 11814 11853 11860 11896 11913 11932 11941 12062 12082 12088 12094 12104 12111 12123 12124 12132 12146 12152 12169 12172 12181 12184 12187 12192 12193 12197 12199 12201 12207 12215 12216 12230 12243 12259 12259 12263 12263 12266 12266 15737 15741 15741 15744 15744 15747 15747 15748 15748 15748 15748 15748 15748 15749 15749 15749 21263;9382 9482 9554 9582 9626 9634 9654 9674 9686 9708 9714 9770 9802 9843 9863 9889 10217 10249 10294 10333 10622 10648 10676 10704 10709 11090 11115 11147 11173 11198 11223 11343 11343 11403 11403 11461 11461 11531 11642 11699 11749 11775 11814 11853 11860 11896 11913 11932 11941 12062 12082 12088 12094 12104 12111 12123 12124 12132 12146 12152 12169 12172 12181 12184 12187 12192 12193 12197 12199 12201 12207 12215 12216 12230 12243 12259 12259 12263 12263 12266 12266 15737 15741 15741 15744 15744 15747 15747 15748 15748 15748 15748 15748 15748 15749 15749 15749 21263;9382 9482 9554 9582 9626 9634 9654 9674 9686 9708 9714 9770 9802 9843 9863 9889 10217 10249 10294 10333 10622 10648 10676 10704 10709 11090 11115 11147 11173 11198 11223 11343 11343 11403 11403 11461 11461 11531 11642 11699 11749 11775 11814 11853 11860 11896 11913 11932 11941 12062 12082 12088 12094 12104 12111 12123 12124 12132 12146 12152 12169 12172 12181 12184 12187 12192 12193 12197 12199 12201 12207 12215 12216 12230 12243 12259 12259 12263 12263 12266 12266 15737 15741 15741 15744 15744 15747 15747 15748 15748 15748 15748 15748 15748 15749 15749 15749 21263;123;123;123;1;1;1
