name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;false;10797.5;false;6;6;6;10733 11220 11221 11222 11222 11226;10733 11220 11221 11222 11222 11226;10733 11220 11221 11222 11222 11226;127;5
interactive-discover-1;1;false;6820.125;false;4;4;4;7030 7031 7031 7470;7030 7031 7031 7470;7030 7031 7031 7470;19;1
interactive-discover-1;2;false;7053.125;false;1;1;1;6994;6994;6994;16;1
interactive-discover-1;3;false;10158;false;14;14;14;9749 9861 9861 9915 9915 9932 10035 10044 10044 10045 10046 10047 10048 10688;9749 9861 9861 9915 9915 9932 10035 10044 10044 10045 10046 10047 10048 10688;9749 9861 9861 9915 9915 9932 10035 10044 10044 10045 10046 10047 10048 10688;223;4
interactive-discover-1;4;false;12124.5;false;8;8;8;11924 11952 11973 11982 12010 12033 12072 12306;11924 11952 11973 11982 12010 12033 12072 12306;11924 11952 11973 11982 12010 12033 12072 12306;122;6
interactive-discover-2;0;false;14064.5;false;66;66;66;11277 11304 11304 11317 11317 11342 11342 11354 11354 11369 11369 11399 11399 11412 11413 11429 11429 11443 11443 11465 11465 11470 11470 11478 11478 11490 11490 11492 11492 11494 11494 11496 11496 14745 15033 15050 15053 15054 15054 15055 15055 15056 15057 15057 15057 15058 15058 15058 15059 15059 15059 15060 15060 15060 15060 15060 15061 15061 15061 15061 15061 15061 15061 15061 15062 15063;11277 11304 11304 11317 11317 11342 11342 11354 11354 11369 11369 11399 11399 11412 11413 11429 11429 11443 11443 11465 11465 11470 11470 11478 11478 11490 11490 11492 11492 11494 11494 11496 11496 14745 15033 15050 15053 15054 15054 15055 15055 15056 15057 15057 15057 15058 15058 15058 15059 15059 15059 15060 15060 15060 15060 15060 15061 15061 15061 15061 15061 15061 15061 15061 15062 15063;11277 11304 11304 11317 11317 11342 11342 11354 11354 11369 11369 11399 11399 11412 11413 11429 11429 11443 11443 11465 11465 11470 11470 11478 11478 11490 11490 11492 11492 11494 11494 11496 11496 14745 15033 15050 15053 15054 15054 15055 15055 15056 15057 15057 15057 15058 15058 15058 15059 15059 15059 15060 15060 15060 15060 15060 15061 15061 15061 15061 15061 15061 15061 15061 15062 15063;128;5
interactive-discover-2;1;false;8100.25;false;46;46;46;8845 8847 8849 8850 8851 8852 8855 8855 8856 8856 8857 8858 8859 8861 8862 8863 8864 8867 8867 8867 8869 8870 8871 8873 8876 8877 8878 8880 8882 8883 8884 8885 8889 8890 8891 8891 8892 8892 8893 8894 8894 8894 8895 8895 8896 8896;8845 8847 8849 8850 8851 8852 8855 8855 8856 8856 8857 8858 8859 8861 8862 8863 8864 8867 8867 8867 8869 8870 8871 8873 8876 8877 8878 8880 8882 8883 8884 8885 8889 8890 8891 8891 8892 8892 8893 8894 8894 8894 8895 8895 8896 8896;8845 8847 8849 8850 8851 8852 8855 8855 8856 8856 8857 8858 8859 8861 8862 8863 8864 8867 8867 8867 8869 8870 8871 8873 8876 8877 8878 8880 8882 8883 8884 8885 8889 8890 8891 8891 8892 8892 8893 8894 8894 8894 8895 8895 8896 8896;20;1
interactive-discover-2;2;false;7516.125;false;32;32;32;7933 7934 7934 7935 7936 7937 7938 7938 7939 7940 7941 7941 7942 7944 7944 7945 7946 7946 7947 7948 7948 7949 7949 7950 7950 7950 7951 7951 7952 7952 7952 7954;7933 7934 7934 7935 7936 7937 7938 7938 7939 7940 7941 7941 7942 7944 7944 7945 7946 7946 7947 7948 7948 7949 7949 7950 7950 7950 7951 7951 7952 7952 7952 7954;7933 7934 7934 7935 7936 7937 7938 7938 7939 7940 7941 7941 7942 7944 7944 7945 7946 7946 7947 7948 7948 7949 7949 7950 7950 7950 7951 7951 7952 7952 7952 7954;17;1
interactive-discover-2;3;false;60039.625;false;172;172;172;14029 14029 14146 15929 16063 17822 18000 18030 20467 23014 23014 23129 24713 24779 24955 24973 25028 25076 25150 25226 25357 25407 25462 25527 26318 27050 27110 27174 27233 28000 28024 28087 28147 28214 28296 28370 28441 28500 28554 28616 28741 28874 28964 29088 29173 29265 29335 29388 29405 29455 29654 29654 29756 29756 29869 29869 29967 30386 30559 30778 31161 31232 31301 34133 36207 36352 36372 36481 36614 36614 36692 36692 36764 36764 36865 36865 36925 36925 37129 37129 37208 37856 37913 38024 38532 39299 39318 39539 39640 39788 39850 39876 39926 40355 40442 40505 40531 40587 40990 41136 41260 41292 41338 41377 41425 41473 41512 41662 41720 41784 41831 42054 42186 42253 42273 42323 42378 49008 49100 51310 51904 51968 53065 53102 53206 55638 55695 55806 55849 55900 55956 55969 56138 56138 56335 56335 56466 56466 56754 56754 56871 56871 57172 57172 57554 57614 57668 57688 57753 57807 58152 58707 58838 59239 59287 59340 59461 59502 60028 59402 60027 59941 60050 58590 58609 58637 58661 58693 58788 58788 58884 60031;14029 14029 14146 15929 16063 17822 18000 18030 20467 23014 23014 23129 24713 24779 24955 24973 25028 25076 25150 25226 25357 25407 25462 25527 26318 27050 27110 27174 27233 28000 28024 28087 28147 28214 28296 28370 28441 28500 28554 28616 28741 28874 28964 29088 29173 29265 29335 29388 29405 29455 29654 29654 29756 29756 29869 29869 29967 30386 30559 30778 31161 31232 31301 34133 36207 36352 36372 36481 36614 36614 36692 36692 36764 36764 36865 36865 36925 36925 37129 37129 37208 37856 37913 38024 38532 39299 39318 39539 39640 39788 39850 39876 39926 40355 40442 40505 40531 40587 40990 41136 41260 41292 41338 41377 41425 41473 41512 41662 41720 41784 41831 42054 42186 42253 42273 42323 42378 49008 49100 51310 51904 51968 53065 53102 53206 55638 55695 55806 55849 55900 55956 55969 56138 56138 56335 56335 56466 56466 56754 56754 56871 56871 57172 57172 57554 57614 57668 57688 57753 57807 58152 58707 58838 59239 59287 59340 59461 59502 60028 59402 60027 59941 60050 58590 58609 58637 58661 58693 58788 58788 58884 60031;14029 14029 14146 15929 16063 17822 18000 18030 20467 23014 23014 23129 24713 24779 24955 24973 25028 25076 25150 25226 25357 25407 25462 25527 26318 27050 27110 27174 27233 28000 28024 28087 28147 28214 28296 28370 28441 28500 28554 28616 28741 28874 28964 29088 29173 29265 29335 29388 29405 29455 29654 29654 29756 29756 29869 29869 29967 30386 30559 30778 31161 31232 31301 34133 36207 36352 36372 36481 36614 36614 36692 36692 36764 36764 36865 36865 36925 36925 37129 37129 37208 37856 37913 38024 38532 39299 39318 39539 39640 39788 39850 39876 39926 40355 40442 40505 40531 40587 40990 41136 41260 41292 41338 41377 41425 41473 41512 41662 41720 41784 41831 42054 42186 42253 42273 42323 42378 49008 49100 51310 51904 51968 53065 53102 53206 55638 55695 55806 55849 55900 55956 55969 56138 56138 56335 56335 56466 56466 56754 56754 56871 56871 57172 57172 57554 57614 57668 57688 57753 57807 58152 58707 58838 59239 59287 59340 59461 59502 60028 59402 60027 59941 60050 58590 58609 58637 58661 58693 58788 58788 58884 60031;224;17
interactive-discover-2;4;false;14318.75;false;98;98;98;12327 12561 12646 12646 13147 13183 13306 13340 13385 13428 13463 13474 13497 13517 13530 13541 13543 13552 13561 13566 13577 13579 13588 13602 13609 13618 13619 13625 13630 13635 13640 13641 13645 13652 13658 13664 13665 13673 13681 13688 13693 13695 13699 13703 13708 13708 13712 13715 13717 13721 13721 13726 13729 13732 13734 13735 13737 13739 13742 13742 15284 15284 15285 15285 15285 15286 15286 15286 15286 15286 15286 15287 15287 15287 15287 15287 15287 15287 15288 15288 15288 15288 15288 15288 15288 15288 15288 15289 15289 15289 15290 15290 15290 15290 15290 15290 15291 15292;12327 12561 12646 12646 13147 13183 13306 13340 13385 13428 13463 13474 13497 13517 13530 13541 13543 13552 13561 13566 13577 13579 13588 13602 13609 13618 13619 13625 13630 13635 13640 13641 13645 13652 13658 13664 13665 13673 13681 13688 13693 13695 13699 13703 13708 13708 13712 13715 13717 13721 13721 13726 13729 13732 13734 13735 13737 13739 13742 13742 15284 15284 15285 15285 15285 15286 15286 15286 15286 15286 15286 15287 15287 15287 15287 15287 15287 15287 15288 15288 15288 15288 15288 15288 15288 15288 15288 15289 15289 15289 15290 15290 15290 15290 15290 15290 15291 15292;12327 12561 12646 12646 13147 13183 13306 13340 13385 13428 13463 13474 13497 13517 13530 13541 13543 13552 13561 13566 13577 13579 13588 13602 13609 13618 13619 13625 13630 13635 13640 13641 13645 13652 13658 13664 13665 13673 13681 13688 13693 13695 13699 13703 13708 13708 13712 13715 13717 13721 13721 13726 13729 13732 13734 13735 13737 13739 13742 13742 15284 15284 15285 15285 15285 15286 15286 15286 15286 15286 15286 15287 15287 15287 15287 15287 15287 15287 15288 15288 15288 15288 15288 15288 15288 15288 15288 15289 15289 15289 15290 15290 15290 15290 15290 15290 15291 15292;123;6
