query	config	error	httprequests	firstresult	lastresult	termination	diefficiency	restarts
interactive discover 1.0	baseline	false	127	12.867	18.575	18.311	32.203	0
interactive discover 1.0	cardinality once void simple	false	127	10.277	10.726	10.18	6.636	1
interactive discover 1.0	cardinality once void	false	127	9.85	10.529	9.928	7.976	1
interactive discover 1.0	cardinality once	false	127	10.929	10.933	10.251	5.481	1
interactive discover 1.0	cardinality unlimited void simple	false	127	10.444	10.937	10.374	6.814	1
interactive discover 1.0	cardinality unlimited void	false	127	10.393	10.418	10.328	5.281	1
interactive discover 1.0	cardinality unlimited	false	127	10.733	11.226	10.797	6.125	4
interactive discover 1.0	overhead simple	false	127	16.296	20.964	20.394	30.504	0
interactive discover 1.0	overhead	false	127	14.058	20.468	20.02	31.932	0
interactive discover 1.0	timeout 100 void simple	false	127	10.227	10.807	10.286	7.694	1
interactive discover 1.0	timeout 100 void	false	127	14.793	21.25	13.002	34.818	1
interactive discover 1.0	timeout 100	false	127	13.989	20.304	19.05	35.494	1
interactive discover 1.0	timeout 1000 void simple	false	127	10.592	11.288	10.701	8.311	1
interactive discover 1.0	timeout 1000 void	false	127	10.459	10.822	10.517	5.801	1
interactive discover 1.0	timeout 1000	false	127	10.055	10.349	10.188	6.071	1
interactive discover 1.0	timeout 10000 void simple	false	127	13.699	19.184	18.997	29.515	1
interactive discover 1.0	timeout 10000 void	false	127	14.089	19.014	18.69	28.189	1
interactive discover 1.0	timeout 10000	false	127	14.263	28.132	27.703	64.099	1
interactive discover 1.0	timeout 2000 void simple	false	127	9.887	11.202	11.071	11.93	1
interactive discover 1.0	timeout 2000 void	false	127	11.207	11.564	10.816	7.36	1
interactive discover 1.0	timeout 2000	false	127	12.832	19.731	19.009	32.619	1
interactive discover 1.0	timeout 20000 void simple	false	127	13.514	21.525	20.683	43.866	0
interactive discover 1.0	timeout 20000 void	false	127	14.457	19.732	19.175	29.176	0
interactive discover 1.0	timeout 20000	false	127	14.646	19.112	18.787	23.846	0
interactive discover 1.0	timeout 5000 void simple	false	127	11.833	13.803	13.677	14.289	1
interactive discover 1.0	timeout 5000 void	false	127	11.914	13.767	13.691	9.898	1
interactive discover 1.0	timeout 5000	false	127	11.46	22.032	21.758	37.563	1
interactive discover 1.1	baseline	false	19	6.688	7.867	7.718	7.471	0
interactive discover 1.1	cardinality once void simple	false	19	7.042	7.9	7.682	6.457	1
interactive discover 1.1	cardinality once void	false	19	7.047	8.009	7.463	6.799	1
interactive discover 1.1	cardinality once	false	19	7.073	7.869	7.439	6.319	1
interactive discover 1.1	cardinality unlimited void simple	false	19	7.429	8.324	8.029	6.743	1
interactive discover 1.1	cardinality unlimited void	false	19	7.782	8.079	7.938	4.921	1
interactive discover 1.1	cardinality unlimited	false	19	7.03	7.47	6.82	5.053	1
interactive discover 1.1	overhead simple	false	19	6.994	8.06	7.837	7.228	0
interactive discover 1.1	overhead	false	19	6.914	8.256	7.982	8.154	0
interactive discover 1.1	timeout 100 void simple	false	19	7.099	7.905	7.633	5.046	1
interactive discover 1.1	timeout 100 void	false	19	7.124	8.127	7.856	6.073	1
interactive discover 1.1	timeout 100	false	19	7.42	8.061	7.762	5.928	1
interactive discover 1.1	timeout 1000 void simple	false	19	6.717	7.897	7.753	5.614	1
interactive discover 1.1	timeout 1000 void	false	19	7.414	7.932	7.844	5.036	1
interactive discover 1.1	timeout 1000	false	19	7.002	8.32	7.231	6.19	0
interactive discover 1.1	timeout 10000 void simple	false	19	7.298	8.468	7.653	5.406	0
interactive discover 1.1	timeout 10000 void	false	19	7.764	8.224	7.993	4.578	0
interactive discover 1.1	timeout 10000	false	19	7.342	8.281	7.884	5.096	0
interactive discover 1.1	timeout 2000 void simple	false	19	7.093	8.296	7.585	5.353	0
interactive discover 1.1	timeout 2000 void	false	19	7.448	7.823	7.78	4.292	0
interactive discover 1.1	timeout 2000	false	19	6.952	8.185	7.935	5.33	0
interactive discover 1.1	timeout 20000 void simple	false	19	6.794	7.85	7.273	7.081	0
interactive discover 1.1	timeout 20000 void	false	19	7.32	8.1	7.796	4.832	0
interactive discover 1.1	timeout 20000	false	19	7.47	8.216	7.668	6.07	0
interactive discover 1.1	timeout 5000 void simple	false	19	6.665	7.723	7.566	4.92	0
interactive discover 1.1	timeout 5000 void	false	19	7.438	8.347	7.784	5.082	0
interactive discover 1.1	timeout 5000	false	19	6.897	8.155	7.397	5.34	0
interactive discover 1.2	baseline	false	16	7.554	7.554	7.172	3.777	0
interactive discover 1.2	cardinality once void simple	false	16	7.942	7.942	7.546	3.971	1
interactive discover 1.2	cardinality once void	false	16	6.725	6.725	6.685	3.362	1
interactive discover 1.2	cardinality once	false	16	7.163	7.163	6.808	3.582	1
interactive discover 1.2	cardinality unlimited void simple	false	16	7.175	7.175	7.594	3.587	1
interactive discover 1.2	cardinality unlimited void	false	15	6.703	6.703	6.633	3.352	1
interactive discover 1.2	cardinality unlimited	false	16	6.994	6.994	7.053	3.497	1
interactive discover 1.2	overhead simple	false	16	7.473	7.473	7.389	3.736	0
interactive discover 1.2	overhead	false	16	7.785	7.785	7.581	3.893	0
interactive discover 1.2	timeout 100 void simple	false	16	7.259	7.259	7.386	3.63	1
interactive discover 1.2	timeout 100 void	false	16	6.973	6.973	6.683	3.486	1
interactive discover 1.2	timeout 100	false	16	7.19	7.19	7.357	3.595	1
interactive discover 1.2	timeout 1000 void simple	false	16	7.447	7.447	7.095	3.724	0
interactive discover 1.2	timeout 1000 void	false	16	7.659	7.659	7.371	3.829	0
interactive discover 1.2	timeout 1000	false	16	7.479	7.479	7.124	3.74	0
interactive discover 1.2	timeout 10000 void simple	false	16	8.024	8.024	7.529	4.012	0
interactive discover 1.2	timeout 10000 void	false	16	7.603	7.603	7.113	3.801	0
interactive discover 1.2	timeout 10000	false	16	7.601	7.601	7.083	3.8	0
interactive discover 1.2	timeout 2000 void simple	false	16	8.225	8.225	7.685	4.112	0
interactive discover 1.2	timeout 2000 void	false	16	7.269	7.269	7.209	3.635	0
interactive discover 1.2	timeout 2000	false	16	7.466	7.466	7.276	3.733	0
interactive discover 1.2	timeout 20000 void simple	false	16	7.808	7.808	7.395	3.904	0
interactive discover 1.2	timeout 20000 void	false	16	7.335	7.335	7.161	3.667	0
interactive discover 1.2	timeout 20000	false	16	7.513	7.513	7.271	3.756	0
interactive discover 1.2	timeout 5000 void simple	false	16	7.69	7.69	7.373	3.845	0
interactive discover 1.2	timeout 5000 void	false	16	7.605	7.605	7.388	3.803	0
interactive discover 1.2	timeout 5000	false	16	7.611	7.611	7.507	3.805	0
interactive discover 1.3	baseline	false	223	11.7	17.078	16.93	69.5	0
interactive discover 1.3	cardinality once void simple	false	223	8.359	19.785	18.559	111.133	1
interactive discover 1.3	cardinality once void	false	223	8.614	10.805	10.125	28.867	1
interactive discover 1.3	cardinality once	false	223	9.743	17.426	17.072	88.273	1
interactive discover 1.3	cardinality unlimited void simple	false	223	7.988	18.712	18.296	119.628	1
interactive discover 1.3	cardinality unlimited void	false	223	7.805	10.249	9.938	17.238	1
interactive discover 1.3	cardinality unlimited	false	223	9.749	10.688	10.158	14.746	2
interactive discover 1.3	overhead simple	false	223	7.845	20.148	19.207	126.601	0
interactive discover 1.3	overhead	false	223	9.704	17.95	17.699	86.546	0
interactive discover 1.3	timeout 100 void simple	false	223	7.849	18.882	18.269	130.288	1
interactive discover 1.3	timeout 100 void	false	223	8.295	11.011	10.018	20.466	1
interactive discover 1.3	timeout 100	false	223	9.768	17.351	17.031	87.155	1
