query	config	requests	first	last	termination	diefficiency	restarts
interactive discover 1.0	baseline	127	12.867	18.575	18.311	32.203	0
interactive discover 1.0	cardinality once void simple	127	10.277	10.726	10.18	6.636	1
interactive discover 1.0	cardinality once void	127	9.85	10.529	9.928	7.976	1
interactive discover 1.0	cardinality once	127	10.929	10.933	10.251	5.481	1
interactive discover 1.0	cardinality unlimited void simple	127	10.444	10.937	10.374	6.814	1
interactive discover 1.0	cardinality unlimited void	127	10.393	10.418	10.328	5.281	1
interactive discover 1.0	cardinality unlimited	127	10.733	11.226	10.797	6.125	4
interactive discover 1.0	overhead simple	127	16.296	20.964	20.394	30.504	0
interactive discover 1.0	overhead	127	14.058	20.468	20.02	31.932	0
interactive discover 1.1	baseline	19	6.688	7.867	7.718	7.471	0
interactive discover 1.1	cardinality once void simple	19	7.042	7.9	7.682	6.457	1
interactive discover 1.1	cardinality once void	19	7.047	8.009	7.463	6.799	1
interactive discover 1.1	cardinality once	19	7.073	7.869	7.439	6.319	1
interactive discover 1.1	cardinality unlimited void simple	19	7.429	8.324	8.029	6.743	1
interactive discover 1.1	cardinality unlimited void	19	7.782	8.079	7.938	4.921	1
interactive discover 1.1	cardinality unlimited	19	7.03	7.47	6.82	5.053	1
interactive discover 1.1	overhead simple	19	6.994	8.06	7.837	7.228	0
interactive discover 1.1	overhead	19	6.914	8.256	7.982	8.154	0
interactive discover 1.2	baseline	16	7.554	7.554	7.172	3.777	0
interactive discover 1.2	cardinality once void simple	16	7.942	7.942	7.546	3.971	1
interactive discover 1.2	cardinality once void	16	6.725	6.725	6.685	3.362	1
interactive discover 1.2	cardinality once	16	7.163	7.163	6.808	3.582	1
interactive discover 1.2	cardinality unlimited void simple	16	7.175	7.175	7.594	3.587	1
interactive discover 1.2	cardinality unlimited void	15	6.703	6.703	6.633	3.352	1
interactive discover 1.2	cardinality unlimited	16	6.994	6.994	7.053	3.497	1
interactive discover 1.2	overhead simple	16	7.473	7.473	7.389	3.736	0
interactive discover 1.2	overhead	16	7.785	7.785	7.581	3.893	0
interactive discover 1.3	baseline	223	11.7	17.078	16.93	69.5	0
interactive discover 1.3	cardinality once void simple	223	8.359	19.785	18.559	111.133	1
interactive discover 1.3	cardinality once void	223	8.614	10.805	10.125	28.867	1
interactive discover 1.3	cardinality once	223	9.743	17.426	17.072	88.273	1
interactive discover 1.3	cardinality unlimited void simple	223	7.988	18.712	18.296	119.628	1
interactive discover 1.3	cardinality unlimited void	223	7.805	10.249	9.938	17.238	1
interactive discover 1.3	cardinality unlimited	223	9.749	10.688	10.158	14.746	2
interactive discover 1.3	overhead simple	223	7.845	20.148	19.207	126.601	0
interactive discover 1.3	overhead	223	9.704	17.95	17.699	86.546	0
interactive discover 1.4	baseline	122	14.01	19.048	18.156	29.218	0
interactive discover 1.4	cardinality once void simple	122	10.033	11.218	10.662	11.009	1
interactive discover 1.4	cardinality once void	122	10.346	10.69	10.624	6.5	1
interactive discover 1.4	cardinality once	122	10.995	11.304	10.702	6.306	1
interactive discover 1.4	cardinality unlimited void simple	122	12.179	13.094	11.016	8.629	1
interactive discover 1.4	cardinality unlimited void	122	10.686	10.694	10.364	5.374	1
interactive discover 1.4	cardinality unlimited	122	11.924	12.306	12.124	8.349	5
interactive discover 1.4	overhead simple	122	13.651	19.721	19.499	36.982	0
interactive discover 1.4	overhead	122	14.433	19.129	18.749	23.037	0
interactive discover 2.0	baseline	128	11.885	22.711	21.487	257.082	0
interactive discover 2.0	cardinality once void simple	128	7.849	21.572	17.679	744.075	1
interactive discover 2.0	cardinality once void	128	9.945	21.326	17.581	691.388	1
interactive discover 2.0	cardinality once	128	11.278	21.689	17.74	327.268	1
interactive discover 2.0	cardinality unlimited void simple	128	8.238	21.419	16.075	733.386	1
interactive discover 2.0	cardinality unlimited void	128	9.208	21.0	13.946	673.151	1
interactive discover 2.0	cardinality unlimited	128	11.277	15.063	14.064	128.313	4
interactive discover 2.0	overhead simple	128	11.524	25.503	24.107	395.305	0
