query	config	requests	first	last	termination	diefficiency	restarts
interactive discover 1.0	baseline	127	12.867	18.575	18.311	32.203	0
interactive discover 1.0	overhead simple	127	16.296	20.964	20.394	30.504	0
interactive discover 1.0	overhead	127	14.058	20.468	20.02	31.932	0
interactive discover 1.0	timeout 100 void simple	127	10.227	10.807	10.286	7.694	1
interactive discover 1.0	timeout 100 void	127	14.793	21.25	13.002	34.818	1
interactive discover 1.0	timeout 100	127	13.989	20.304	19.05	35.494	1
interactive discover 1.0	timeout 1000 void simple	127	10.592	11.288	10.701	8.311	1
interactive discover 1.0	timeout 1000 void	127	10.459	10.822	10.517	5.801	1
interactive discover 1.0	timeout 1000	127	10.055	10.349	10.188	6.071	1
interactive discover 1.0	timeout 10000 void simple	127	13.699	19.184	18.997	29.515	1
interactive discover 1.0	timeout 10000 void	127	14.089	19.014	18.69	28.189	1
interactive discover 1.0	timeout 10000	127	14.263	28.132	27.703	64.099	1
interactive discover 1.0	timeout 2000 void simple	127	9.887	11.202	11.071	11.93	1
interactive discover 1.0	timeout 2000 void	127	11.207	11.564	10.816	7.36	1
interactive discover 1.0	timeout 2000	127	12.832	19.731	19.009	32.619	1
interactive discover 1.0	timeout 20000 void simple	127	13.514	21.525	20.683	43.866	0
interactive discover 1.0	timeout 20000 void	127	14.457	19.732	19.175	29.176	0
interactive discover 1.0	timeout 20000	127	14.646	19.112	18.787	23.846	0
interactive discover 1.0	timeout 5000 void simple	127	11.833	13.803	13.677	14.289	1
interactive discover 1.0	timeout 5000 void	127	11.914	13.767	13.691	9.898	1
interactive discover 1.0	timeout 5000	127	11.46	22.032	21.758	37.563	1
interactive discover 1.1	baseline	19	6.688	7.867	7.718	7.471	0
interactive discover 1.1	overhead simple	19	6.994	8.06	7.837	7.228	0
interactive discover 1.1	overhead	19	6.914	8.256	7.982	8.154	0
interactive discover 1.1	timeout 100 void simple	19	7.099	7.905	7.633	5.046	1
interactive discover 1.1	timeout 100 void	19	7.124	8.127	7.856	6.073	1
interactive discover 1.1	timeout 100	19	7.42	8.061	7.762	5.928	1
interactive discover 1.1	timeout 1000 void simple	19	6.717	7.897	7.753	5.614	1
interactive discover 1.1	timeout 1000 void	19	7.414	7.932	7.844	5.036	1
interactive discover 1.1	timeout 1000	19	7.002	8.32	7.231	6.19	0
interactive discover 1.1	timeout 10000 void simple	19	7.298	8.468	7.653	5.406	0
interactive discover 1.1	timeout 10000 void	19	7.764	8.224	7.993	4.578	0
interactive discover 1.1	timeout 10000	19	7.342	8.281	7.884	5.096	0
interactive discover 1.1	timeout 2000 void simple	19	7.093	8.296	7.585	5.353	0
interactive discover 1.1	timeout 2000 void	19	7.448	7.823	7.78	4.292	0
interactive discover 1.1	timeout 2000	19	6.952	8.185	7.935	5.33	0
