name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;19319;false;13706 13885 14746 15359 18204 20019;127
interactive-discover-1;1;4;7715;false;6869 6869 6873 7981;19
interactive-discover-1;2;1;7005;false;7580;16
interactive-discover-1;3;14;17951;false;8946 9177 9177 9664 9836 9907 10352 11252 11736 11840 12079 12092 13518 17699;223
interactive-discover-1;4;8;19130;false;13949 14403 15273 16992 17082 17099 17120 18747;122
interactive-discover-2;0;66;22754;false;11395 11455 11527 11575 11646 11820 11861 12056 12180 12814 12815 13295 13543 14189 14258 14277 14436 14462 14468 14603 14614 14697 14788 14855 14881 15336 15416 15440 15906 16087 16332 16696 16721 16753 16818 18593 19754 19931 20154 21285 22316 22590 22852 23032 23089 23089 23089 23090 23090 23091 23091 23091 23092 23092 23092 23092 23092 23093 23093 23093 23093 23093 23093 23094 23094 23094;128
interactive-discover-2;1;46;7895;false;7630 7631 7639 7680 7680 7694 7694 7703 7703 7731 7732 7735 7735 7738 7738 7741 7742 7742 7744 7746 7747 7747 7747 7749 7749 7750 7751 7755 7756 7757 7757 7759 7760 7761 7762 7765 7766 7768 7769 7770 7770 7770 7772 7772 7773 7979;20
interactive-discover-2;2;32;7110;false;7486 7487 7488 7494 7495 7498 7499 7499 7500 7502 7502 7502 7506 7506 7507 7507 7508 7509 7509 7510 7510 7510 7510 7511 7512 7512 7513 7514 7514 7516 7516 7516;17
interactive-discover-2;3;198;22384;false;9831 9852 9853 10256 10280 10309 11462 11521 11713 11915 11932 11973 11973 12042 12149 12156 12186 12254 12308 12418 12472 12574 12622 12664 12687 12687 12740 12859 12990 12990 13038 13073 13131 13150 13188 13482 13496 13570 13570 13606 13614 13765 13834 13977 14195 14226 14264 14264 14296 14323 14362 14379 14577 14577 14917 15172 15172 15289 15306 15328 15328 15516 15547 15649 15699 15718 15883 15956 16023 16101 16256 16345 16512 16512 16586 16586 16672 16766 16780 16823 17012 17013 17071 17107 17170 17253 17305 17483 17539 17631 17631 17631 17641 17762 17762 17828 17840 17907 18163 18210 18220 18313 18429 18442 18442 18452 18566 18566 18658 18861 18877 19010 19058 19128 19128 19163 19182 19233 19270 19717 19826 19877 19887 19991 20157 20231 20364 20394 20469 20492 20492 20624 20649 20862 20906 20944 20956 21109 21194 21320 21363 21462 21493 21575 21591 21619 21663 21788 21828 21988 22026 22048 22072 22114 22136 22136 22439 22462 22474 22537 22553 22553 22553 22595 22607 22632 22656 22666 22772 22783 22783 22783 22795 22801 22808 22817 22827 22828 22833 22833 22833 22834 22834 22837 22838 22839 22839 22840 22840 22840 22841 22841 22841 22841 22841 22842 22842 22843;224
interactive-discover-2;4;98;22511;false;12681 12716 12741 13070 13240 13342 13385 13406 13435 13487 13503 13503 13514 13574 13592 13677 13696 13789 13797 13833 13843 13917 13924 13991 13995 14061 14087 14146 14152 14183 14183 14256 14262 15039 15084 15141 15188 15212 15268 15276 15297 15326 15382 15409 15465 15511 15548 15576 16694 16945 17089 17228 17293 17302 17363 17401 17428 17485 17801 17856 17968 18024 18284 18379 18406 18433 18868 19552 19619 19993 20068 21642 22595 23049 23054 23054 23055 23057 23057 23057 23058 23063 23064 23065 23065 23065 23067 23067 23067 23068 23068 23068 23069 23069 23072 23072 23072 23073;123
interactive-discover-3;0;0;60133;true;;254
interactive-discover-3;1;0;60070;true;;148
interactive-discover-3;2;55;27787;false;27656 27656 27656 27656 27656 27656 27656 27656 27656 27656 27656 27656 27656 27656 27656 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27657 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658 27658;101
interactive-discover-3;3;0;60115;true;;430
interactive-discover-3;4;0;60100;true;;274
interactive-discover-4;0;0;60068;true;;144
interactive-discover-4;1;3;9001;false;8580 8580 8580;24
interactive-discover-4;2;3;8004;false;8001 8001 8001;21
