name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;10730;false;9926 9941 9951 10048 10151 10282;127
interactive-discover-1;1;4;7605;false;6983 7255 7627 7630;19
interactive-discover-1;2;1;7048;false;6873;16
interactive-discover-1;3;14;18483;false;7436 7481 7521 7552 7573 7627 7670 8467 10797 10858 10927 11030 11071 18268;223
interactive-discover-1;4;8;10595;false;9681 9717 9879 10172 10205 10233 10256 10764;122
interactive-discover-2;0;66;10402;false;7246 7275 7287 7445 7765 7814 7875 7914 7979 8024 8087 8193 8261 8351 8400 8441 8480 8549 8562 8619 8627 8630 8637 8643 8696 8741 9097 9163 9194 9224 9259 9288 9318 9377 9398 9447 9457 9501 9515 9572 9586 9669 9684 9745 9757 9812 9820 9847 9856 9878 9888 9899 9906 9913 9918 10014 10016 10034 10090 10091 10538 11339 11343 13711 15367 18600;128
interactive-discover-2;1;46;8199;false;7323 7342 7373 7385 7397 7403 7427 7494 7509 7529 7552 7563 7573 7581 7585 7588 7590 7608 7611 7616 7618 7622 7631 7643 7662 7681 7698 7703 7713 7723 7733 7737 7740 7743 7745 7752 7753 7754 7755 7757 7757 7758 7759 7759 7760 7814;20
interactive-discover-2;2;32;7268;false;7084 7181 7216 7236 7274 7275 7293 7295 7313 7316 7330 7331 7345 7349 7363 7363 7405 7406 7412 7413 7435 7441 7447 7448 7452 7452 7454 7454 7455 7456 7456 7457;17
interactive-discover-2;3;198;21860;false;7878 8064 8141 8196 8295 8363 8646 8773 8875 8951 9021 9112 9167 9277 9404 9482 9587 9651 9774 10083 10249 10498 10625 10787 10919 11183 11295 11384 11522 11590 11665 11743 11786 11840 11880 11922 11965 12009 12105 12173 12233 12300 12363 12452 12492 12644 12713 12770 12824 12887 12917 12976 13030 13065 13123 13196 13400 13479 13554 13615 13673 13713 13748 13812 13882 13936 13962 14009 14038 14076 14121 14139 14185 14223 14257 14301 14321 14369 14425 14738 14814 14871 14902 14951 15135 15313 15562 15694 15761 15813 15868 15931 15966 16042 16085 16120 16159 16218 16246 16303 16339 16376 16757 16828 16868 16948 16993 17040 17097 17115 17189 17233 17269 17331 17385 17481 17551 17597 17636 17890 17939 18005 18031 18100 18210 18263 18332 18379 18409 18905 18920 18994 19019 19078 19106 19171 19183 19260 19282 19329 19345 19410 19424 19497 19515 19651 19657 19745 19756 19804 19820 19962 19962 20041 20041 20170 20175 20265 20265 20347 20347 20446 20725 20928 20928 20996 20996 21084 21084 21181 21181 21272 21272 21369 21369 21502 21504 21600 21600 21649 21649 21687 21687 21725 21730 21746 21747 21763 21772 21774 21775 21778 21778 21804 21804 21805 21805 21806;224
interactive-discover-2;4;98;11697;false;7518 7585 7794 7822 7887 7930 8005 8073 8143 8216 8233 8308 8373 8430 8478 8667 8731 8759 8791 8840 8855 8897 8944 9143 9189 9355 9402 9420 9447 9471 9503 9523 9663 9674 9805 9815 9880 9888 9930 9935 9985 9997 10032 10050 10092 10102 10152 10161 10223 10232 10289 10295 10346 10356 10393 10402 10482 10490 10545 10557 10617 10623 10663 10670 10708 10713 10753 10769 10797 10811 10848 10862 10898 10912 10924 10931 10947 11459 11473 11492 11505 11523 11532 11543 11552 11568 11580 11585 11757 11768 11770 11774 11775 12528 12529 12530 12530 12532;123
interactive-discover-3;0;71;21572;true;16317 16317 16317 16317 16317 16317 16317 16317 16317 16317 16317 16317 16317 16317 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16318 16319 16319 16319 16319 16319 16319 16319 16319 16319 16319 16319 16319 16319 16319 16320 16320 16320 16320 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321 16321;254
interactive-discover-3;1;0;60079;true;;148
interactive-discover-3;2;55;28315;false;30039 30039 30039 30039 30039 30039 30039 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30040 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30041 30042 30042 30042 30042 30042 30042 30042 30042 30042 30042 30042 30042;101
interactive-discover-3;3;0;60121;true;;430
interactive-discover-3;4;142;15583;true;15565 15565 15565 15565 15565 15565 15565 15565 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15566 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15567 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15568 15569 15569 15569 15569 15569 15569 15569 15569 15569 15569 15570 15570 15570 15570 15570 15570 15570 15570 15570 15571 15571 15571 15571 15571 15571 15571 15571 15571 15572 15572 15572 15572 15572 15572 15572 15572 15572 15572 15573 15573 15573 15573 15573 15573 15573 15573 15573 15573 15573 15573 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15574 15575 15575 15575 15575 15575 15575 15575 15575 15575;274
interactive-discover-4;0;5;17194;false;19356 19356 19356 19356 19356;144
interactive-discover-4;1;3;7795;false;8266 8266 8266;24
interactive-discover-4;2;3;6868;false;7216 7216 7216;21
interactive-discover-4;3;3;16371;false;16810 16810 16810;229
interactive-discover-4;4;0;60072;true;;143
interactive-discover-5;0;15;11469;false;7750 8922 9054 9054 9149 9347 9425 9563 9903 9976 10683 11015 11349 11349 11363;128
interactive-discover-5;1;3;7545;false;7063 7064 7283;20
interactive-discover-5;2;3;6964;false;6801 7136 7137;17
interactive-discover-5;3;4;11789;false;7899 9138 9494 11156;224
interactive-discover-5;4;20;11971;false;8050 8052 8120 8956 9053 9310 9522 9560 9811 9835 9896 9959 10010 10096 10590 10703 10851 11059 11526 11527;123
interactive-discover-6;0;20;60106;true;7718 7718 7820 8493 8580 8797 9027 9027 9207 15299 16235 16235 16236 36038 37418 37418 41721 41722 43104 60105;1248
interactive-discover-6;1;1;8153;false;8004;20
interactive-discover-6;2;1;6924;false;7027;17
interactive-discover-6;3;2;60138;false;19886 60152;2360
interactive-discover-6;4;27;15922;false;10978 11056 11172 11285 11732 11870 12043 12071 12179 12190 12748 15785 15845 15919 15949 16234 16676 16840 16885 17007 17010 17040 17071 17073 17075 17719 17721;123
interactive-discover-7;0;2;60136;true;24533 60135;1566
interactive-discover-7;1;1;7513;false;7706;20
interactive-discover-7;2;1;7186;false;7222;17
interactive-discover-7;3;2;60139;true;27992 60128;1625
interactive-short-2;1;0;60187;true;;1615
interactive-short-3;1;0;6852;true;;9
interactive-discover-7;4;1;26506;false;22692;123
interactive-short-2;0;0;60184;true;;1342
interactive-short-1;4;1;6550;false;6795;7
interactive-discover-8;0;0;60200;true;;212
interactive-short-1;3;1;6700;true;6479;7
interactive-discover-8;1;0;60205;true;;92
interactive-short-1;2;0;6822;true;;7
interactive-short-1;1;0;6910;true;;7
interactive-short-1;0;1;7014;true;6884;7
interactive-discover-8;4;0;60217;true;;194
interactive-discover-8;3;0;60215;true;;351
interactive-discover-8;2;10;42161;true;21261 23260 24573 24573 26764 28147 29593 34609 38117 39944;331
interactive-short-2;2;0;60169;true;;1475
interactive-short-2;3;0;60230;true;;1388
interactive-short-3;0;0;6807;true;;9
interactive-short-2;4;0;60171;true;;1671
interactive-short-3;2;0;7322;true;;11
interactive-short-3;3;0;6850;true;;9
interactive-short-3;4;0;6845;true;;12
interactive-short-4;0;1;6881;false;6583;1
interactive-short-4;1;1;7167;false;7075;1
interactive-short-4;2;1;6601;false;6581;2
interactive-short-4;3;1;6318;false;6258;2
interactive-short-4;4;1;6613;false;6464;1
interactive-short-5;1;0;7121;true;;3
interactive-short-5;0;0;6425;true;;3
interactive-short-5;2;0;7132;true;;2
interactive-short-5;3;0;6494;true;;4
interactive-short-5;4;0;6728;true;;18
interactive-short-6;0;0;60140;true;;2514
interactive-short-6;1;0;60231;true;;5983
interactive-short-6;2;0;60167;true;;5741
interactive-short-6;3;0;60176;true;;1944
interactive-short-7;4;0;7169;true;;2
interactive-short-7;3;0;8241;true;;18
interactive-short-7;2;0;7614;true;;15
interactive-short-6;4;0;60171;true;;4894
interactive-short-7;1;0;7251;true;;13
interactive-short-7;0;0;6863;true;;15
