name;id;results;time;error;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;6;10328;false;14793 15159 16173 17040 18892 21250;14793 15159 16173 17040 18892 21250;14793 15159 16173 17040 18892 21250;127;1
interactive-discover-1;1;4;7809;false;7124 7126 8122 8127;7124 7126 8122 8127;7124 7126 8122 8127;19;1
interactive-discover-1;2;1;6835;false;6973;6973;6973;16;1
interactive-discover-1;3;14;9992;false;8295 8467 8467 10091 10092 10099 10121 10122 10124 10132 10169 11001 11002 11011;8295 8467 8467 10091 10092 10099 10121 10122 10124 10132 10169 11001 11002 11011;8295 8467 8467 10091 10092 10099 10121 10122 10124 10132 10169 11001 11002 11011;223;1
interactive-discover-1;4;8;10347;false;10488 10510 10533 10786 10787 10788 10788 10791;10488 10510 10533 10786 10787 10788 10788 10791;10488 10510 10533 10786 10787 10788 10788 10791;122;1
interactive-discover-2;0;66;22943;false;13611 14675 15011 15698 20129 21957 22000 22039 22078 22087 22137 22285 22325 22334 22373 22414 22450 22481 22508 22613 22617 22620 22626 22628 22636 22638 22645 22652 22655 22656 22657 22657 22658 22658 22658 22659 22659 22659 22832 22835 22835 22838 22838 22840 22840 22841 22841 22842 22842 22843 22843 22844 22844 22844 22844 22845 22918 22937 22937 22938 22938 22939 22939 22939 22939 22943;13611 14675 15011 15698 20129 21957 22000 22039 22078 22087 22137 22285 22325 22334 22373 22414 22450 22481 22508 22613 22617 22620 22626 22628 22636 22638 22645 22652 22655 22656 22657 22657 22658 22658 22658 22659 22659 22659 22832 22835 22835 22838 22838 22840 22840 22841 22841 22842 22842 22843 22843 22844 22844 22844 22844 22845 22918 22937 22937 22938 22938 22939 22939 22939 22939 22943;13611 14675 15011 15698 20129 21957 22000 22039 22078 22087 22137 22285 22325 22334 22373 22414 22450 22481 22508 22613 22617 22620 22626 22628 22636 22638 22645 22652 22655 22656 22657 22657 22658 22658 22658 22659 22659 22659 22832 22835 22835 22838 22838 22840 22840 22841 22841 22842 22842 22843 22843 22844 22844 22844 22844 22845 22918 22937 22937 22938 22938 22939 22939 22939 22939 22943;128;1
interactive-discover-2;1;46;7976;false;7897 7898 7900 7907 7919 7921 7924 7928 7932 7935 7936 7939 7940 7948 7949 7949 7950 7952 7952 7953 7955 7956 7958 7960 7962 7962 7963 7964 7964 7965 7966 7966 7967 7967 7968 7969 7969 7970 7970 7971 7971 7972 7972 7972 7972 8052;7897 7898 7900 7907 7919 7921 7924 7928 7932 7935 7936 7939 7940 7948 7949 7949 7950 7952 7952 7953 7955 7956 7958 7960 7962 7962 7963 7964 7964 7965 7966 7966 7967 7967 7968 7969 7969 7970 7970 7971 7971 7972 7972 7972 7972 8052;7897 7898 7900 7907 7919 7921 7924 7928 7932 7935 7936 7939 7940 7948 7949 7949 7950 7952 7952 7953 7955 7956 7958 7960 7962 7962 7963 7964 7964 7965 7966 7966 7967 7967 7968 7969 7969 7970 7970 7971 7971 7972 7972 7972 7972 8052;20;1
interactive-discover-2;2;32;7595;false;7762 7762 7764 7764 7766 7767 7769 7769 7773 7773 7778 7778 7780 7781 7786 7786 7788 7789 7790 7790 7791 7791 7791 7791 7792 7792 7792 7792 7792 7792 7792 7793;7762 7762 7764 7764 7766 7767 7769 7769 7773 7773 7778 7778 7780 7781 7786 7786 7788 7789 7790 7790 7791 7791 7791 7791 7792 7792 7792 7792 7792 7792 7792 7793;7762 7762 7764 7764 7766 7767 7769 7769 7773 7773 7778 7778 7780 7781 7786 7786 7788 7789 7790 7790 7791 7791 7791 7791 7792 7792 7792 7792 7792 7792 7792 7793;17;1
interactive-discover-2;3;198;22543;false;10643 10731 10841 10860 10977 11377 11482 11660 11798 11798 12095 12095 12244 12244 12349 12349 12521 12575 12598 12668 12721 12774 12824 12863 12932 12982 13108 13153 13201 13233 13906 13958 14036 14127 14207 14260 14284 14421 14525 14614 14669 14878 14878 14990 14991 15123 15123 15299 15299 15378 15378 15468 15543 15636 15714 15762 15836 15925 15988 16054 16348 16392 16465 16609 16629 16676 16710 16752 16807 16850 16866 16896 17044 17065 17108 17150 17485 17537 17579 17637 17714 17767 17785 17833 17859 17891 17997 18084 18343 18385 18430 18467 18477 18734 18734 18891 18892 19049 19049 19111 19112 19219 19219 19326 19326 19591 19591 19728 19728 19844 19844 19966 19966 20039 20039 20173 20173 20566 21095 21139 21201 21306 21370 21419 21473 21517 21589 21602 21682 21725 21763 21801 21810 21846 21895 22022 22104 22131 22171 22207 22238 22277 22284 22350 22405 22405 22449 22449 22461 22461 22496 22496 22511 22511 22515 22515 22522 22523 22539 22539 22546 22546 22550 22550 22551 22551 22553 22553 22556 22556 22561 22561 22563 22563 22564 22564 22566 22566 22566 22566 22567 22567 22568 22568 22569 22569 22569 22570 22572 22572 22573 22573 22573 22573 22574 22574 22574 22576;10643 10731 10841 10860 10977 11377 11482 11660 11798 11798 12095 12095 12244 12244 12349 12349 12521 12575 12598 12668 12721 12774 12824 12863 12932 12982 13108 13153 13201 13233 13906 13958 14036 14127 14207 14260 14284 14421 14525 14614 14669 14878 14878 14990 14991 15123 15123 15299 15299 15378 15378 15468 15543 15636 15714 15762 15836 15925 15988 16054 16348 16392 16465 16609 16629 16676 16710 16752 16807 16850 16866 16896 17044 17065 17108 17150 17485 17537 17579 17637 17714 17767 17785 17833 17859 17891 17997 18084 18343 18385 18430 18467 18477 18734 18734 18891 18892 19049 19049 19111 19112 19219 19219 19326 19326 19591 19591 19728 19728 19844 19844 19966 19966 20039 20039 20173 20173 20566 21095 21139 21201 21306 21370 21419 21473 21517 21589 21602 21682 21725 21763 21801 21810 21846 21895 22022 22104 22131 22171 22207 22238 22277 22284 22350 22405 22405 22449 22449 22461 22461 22496 22496 22511 22511 22515 22515 22522 22523 22539 22539 22546 22546 22550 22550 22551 22551 22553 22553 22556 22556 22561 22561 22563 22563 22564 22564 22566 22566 22566 22566 22567 22567 22568 22568 22569 22569 22569 22570 22572 22572 22573 22573 22573 22573 22574 22574 22574 22576;10643 10731 10841 10860 10977 11377 11482 11660 11798 11798 12095 12095 12244 12244 12349 12349 12521 12575 12598 12668 12721 12774 12824 12863 12932 12982 13108 13153 13201 13233 13906 13958 14036 14127 14207 14260 14284 14421 14525 14614 14669 14878 14878 14990 14991 15123 15123 15299 15299 15378 15378 15468 15543 15636 15714 15762 15836 15925 15988 16054 16348 16392 16465 16609 16629 16676 16710 16752 16807 16850 16866 16896 17044 17065 17108 17150 17485 17537 17579 17637 17714 17767 17785 17833 17859 17891 17997 18084 18343 18385 18430 18467 18477 18734 18734 18891 18892 19049 19049 19111 19112 19219 19219 19326 19326 19591 19591 19728 19728 19844 19844 19966 19966 20039 20039 20173 20173 20566 21095 21139 21201 21306 21370 21419 21473 21517 21589 21602 21682 21725 21763 21801 21810 21846 21895 22022 22104 22131 22171 22207 22238 22277 22284 22350 22405 22405 22449 22449 22461 22461 22496 22496 22511 22511 22515 22515 22522 22523 22539 22539 22546 22546 22550 22550 22551 22551 22553 22553 22556 22556 22561 22561 22563 22563 22564 22564 22566 22566 22566 22566 22567 22567 22568 22568 22569 22569 22569 22570 22572 22572 22573 22573 22573 22573 22574 22574 22574 22576;224;1
interactive-discover-2;4;98;23003;false;12196 12226 12264 12298 12307 12340 12371 12400 12432 12462 12497 12530 12567 12601 12633 12673 12706 12753 12817 12877 12945 15001 15070 15116 15181 15283 15296 16724 16757 16855 16883 16917 16955 16988 17027 17067 17077 17114 17141 17166 17276 17712 19744 19802 19842 19878 19887 19994 20122 20132 20176 20205 20236 20263 20290 20340 20368 20392 21768 21959 22233 22273 22313 22355 22364 22411 22436 22562 22562 22610 22611 22665 22665 22744 22995 22997 22997 22997 22998 22998 22998 22998 22999 22999 22999 22999 23000 23000 23000 23000 23000 23001 23001 23001 23001 23001 23001 23002;12196 12226 12264 12298 12307 12340 12371 12400 12432 12462 12497 12530 12567 12601 12633 12673 12706 12753 12817 12877 12945 15001 15070 15116 15181 15283 15296 16724 16757 16855 16883 16917 16955 16988 17027 17067 17077 17114 17141 17166 17276 17712 19744 19802 19842 19878 19887 19994 20122 20132 20176 20205 20236 20263 20290 20340 20368 20392 21768 21959 22233 22273 22313 22355 22364 22411 22436 22562 22562 22610 22611 22665 22665 22744 22995 22997 22997 22997 22998 22998 22998 22998 22999 22999 22999 22999 23000 23000 23000 23000 23000 23001 23001 23001 23001 23001 23001 23002;12196 12226 12264 12298 12307 12340 12371 12400 12432 12462 12497 12530 12567 12601 12633 12673 12706 12753 12817 12877 12945 15001 15070 15116 15181 15283 15296 16724 16757 16855 16883 16917 16955 16988 17027 17067 17077 17114 17141 17166 17276 17712 19744 19802 19842 19878 19887 19994 20122 20132 20176 20205 20236 20263 20290 20340 20368 20392 21768 21959 22233 22273 22313 22355 22364 22411 22436 22562 22562 22610 22611 22665 22665 22744 22995 22997 22997 22997 22998 22998 22998 22998 22999 22999 22999 22999 23000 23000 23000 23000 23000 23001 23001 23001 23001 23001 23001 23002;123;1
