name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;false;10816.75;false;6;6;6;11207 11215 11248 11276 11296 11564;11207 11215 11248 11276 11296 11564;11207 11215 11248 11276 11296 11564;127;1
interactive-discover-1;1;false;7780.125;false;4;4;4;7448 7819 7822 7823;7448 7819 7822 7823;7448 7819 7822 7823;19;0
interactive-discover-1;2;false;7209.375;false;1;1;1;7269;7269;7269;16;0
interactive-discover-1;3;false;10936.25;false;14;14;14;10630 10632 10634 10636 10637 10639 10641 10641 10642 10642 10643 10644 10644 11388;10630 10632 10634 10636 10637 10639 10641 10641 10642 10642 10643 10644 10644 11388;10630 10632 10634 10636 10637 10639 10641 10641 10642 10642 10643 10644 10644 11388;223;1
interactive-discover-1;4;false;11253.625;false;8;8;8;10574 10601 10624 10660 10665 10684 10694 11617;10574 10601 10624 10660 10665 10684 10694 11617;10574 10601 10624 10660 10665 10684 10694 11617;122;1
interactive-discover-2;0;false;16596;false;66;66;66;11264 11307 11335 11345 11371 11396 11421 11446 11461 11491 11552 11571 11582 11679 11714 11762 11802 11816 11876 11930 12016 12019 12022 12023 12023 12026 12032 12033 12042 12046 12150 12193 12213 12238 12242 12273 12328 12373 12387 12415 12416 12417 12420 12420 12420 12421 12421 12421 12423 12424 12425 12425 12430 12430 12430 12430 12431 12431 12433 12436 12437 12437 15640 15640 15640 21685;11264 11307 11335 11345 11371 11396 11421 11446 11461 11491 11552 11571 11582 11679 11714 11762 11802 11816 11876 11930 12016 12019 12022 12023 12023 12026 12032 12033 12042 12046 12150 12193 12213 12238 12242 12273 12328 12373 12387 12415 12416 12417 12420 12420 12420 12421 12421 12421 12423 12424 12425 12425 12430 12430 12430 12430 12431 12431 12433 12436 12437 12437 15640 15640 15640 21685;11264 11307 11335 11345 11371 11396 11421 11446 11461 11491 11552 11571 11582 11679 11714 11762 11802 11816 11876 11930 12016 12019 12022 12023 12023 12026 12032 12033 12042 12046 12150 12193 12213 12238 12242 12273 12328 12373 12387 12415 12416 12417 12420 12420 12420 12421 12421 12421 12423 12424 12425 12425 12430 12430 12430 12430 12431 12431 12433 12436 12437 12437 15640 15640 15640 21685;128;1
interactive-discover-2;1;false;7528.875;false;46;46;46;7651 7661 7667 7727 7735 7785 7787 7788 7788 7791 7791 7793 7793 7797 7797 7797 7798 7799 7800 7801 7802 7803 7803 7804 7805 7806 7807 7808 7809 7810 7810 7811 7812 7813 7813 7814 7815 7815 7816 7816 7822 7823 7823 7823 7824 7824;7651 7661 7667 7727 7735 7785 7787 7788 7788 7791 7791 7793 7793 7797 7797 7797 7798 7799 7800 7801 7802 7803 7803 7804 7805 7806 7807 7808 7809 7810 7810 7811 7812 7813 7813 7814 7815 7815 7816 7816 7822 7823 7823 7823 7824 7824;7651 7661 7667 7727 7735 7785 7787 7788 7788 7791 7791 7793 7793 7797 7797 7797 7798 7799 7800 7801 7802 7803 7803 7804 7805 7806 7807 7808 7809 7810 7810 7811 7812 7813 7813 7814 7815 7815 7816 7816 7822 7823 7823 7823 7824 7824;20;0
interactive-discover-2;2;false;7203.625;false;32;32;32;7489 7490 7492 7492 7493 7494 7495 7496 7496 7497 7497 7498 7500 7502 7505 7507 7507 7508 7509 7509 7510 7510 7511 7511 7512 7512 7513 7513 7513 7514 7514 7514;7489 7490 7492 7492 7493 7494 7495 7496 7496 7497 7497 7498 7500 7502 7505 7507 7507 7508 7509 7509 7510 7510 7511 7511 7512 7512 7513 7513 7513 7514 7514 7514;7489 7490 7492 7492 7493 7494 7495 7496 7496 7497 7497 7498 7500 7502 7505 7507 7507 7508 7509 7509 7510 7510 7511 7511 7512 7512 7513 7513 7513 7514 7514 7514;17;0
interactive-discover-2;3;false;22914.75;false;198;198;198;12760 12826 12901 12917 12958 12996 13044 13091 13105 13150 13184 13216 13278 13286 13322 13359 13385 13468 13485 13626 13677 13741 13783 13857 13875 13995 14084 14198 14259 14399 14466 14601 14717 14823 14883 14906 14961 15018 15081 15331 15395 15483 15499 15589 15665 15760 15809 15867 15918 15973 15993 16237 16300 16385 16518 16735 16773 16835 17205 17250 17314 17391 17440 17462 17520 17579 17633 17682 17699 17731 17804 17981 17981 18125 18125 18223 18223 18299 18299 18428 18428 18513 18513 18639 18639 18745 18745 18933 18933 19020 19020 19095 19095 19263 19263 19341 19341 19509 19536 19575 19653 19770 19837 19904 19918 19961 20023 20121 20166 20221 20247 20258 20338 20529 20641 20771 20814 20869 22320 22441 22605 22629 22647 22660 22670 22677 22680 22695 22719 22721 22727 22729 22731 22731 22732 22732 22733 22733 22733 22736 22736 22807 22807 22956 22956 22996 22996 23033 23033 23088 23088 23106 23106 23123 23123 23147 23147 23168 23168 23172 23187 23188 23189 23191 23202 23203 23205 23206 23207 23211 23212 23213 23215 23216 23216 23216 23217 23217 23217 23218 23218 23218 23220 23220 23220 23220 23222 23222 23222 23222 23224 23224 23224 23224 23225 23226 23226 23228;12760 12826 12901 12917 12958 12996 13044 13091 13105 13150 13184 13216 13278 13286 13322 13359 13385 13468 13485 13626 13677 13741 13783 13857 13875 13995 14084 14198 14259 14399 14466 14601 14717 14823 14883 14906 14961 15018 15081 15331 15395 15483 15499 15589 15665 15760 15809 15867 15918 15973 15993 16237 16300 16385 16518 16735 16773 16835 17205 17250 17314 17391 17440 17462 17520 17579 17633 17682 17699 17731 17804 17981 17981 18125 18125 18223 18223 18299 18299 18428 18428 18513 18513 18639 18639 18745 18745 18933 18933 19020 19020 19095 19095 19263 19263 19341 19341 19509 19536 19575 19653 19770 19837 19904 19918 19961 20023 20121 20166 20221 20247 20258 20338 20529 20641 20771 20814 20869 22320 22441 22605 22629 22647 22660 22670 22677 22680 22695 22719 22721 22727 22729 22731 22731 22732 22732 22733 22733 22733 22736 22736 22807 22807 22956 22956 22996 22996 23033 23033 23088 23088 23106 23106 23123 23123 23147 23147 23168 23168 23172 23187 23188 23189 23191 23202 23203 23205 23206 23207 23211 23212 23213 23215 23216 23216 23216 23217 23217 23217 23218 23218 23218 23220 23220 23220 23220 23222 23222 23222 23222 23224 23224 23224 23224 23225 23226 23226 23228;12760 12826 12901 12917 12958 12996 13044 13091 13105 13150 13184 13216 13278 13286 13322 13359 13385 13468 13485 13626 13677 13741 13783 13857 13875 13995 14084 14198 14259 14399 14466 14601 14717 14823 14883 14906 14961 15018 15081 15331 15395 15483 15499 15589 15665 15760 15809 15867 15918 15973 15993 16237 16300 16385 16518 16735 16773 16835 17205 17250 17314 17391 17440 17462 17520 17579 17633 17682 17699 17731 17804 17981 17981 18125 18125 18223 18223 18299 18299 18428 18428 18513 18513 18639 18639 18745 18745 18933 18933 19020 19020 19095 19095 19263 19263 19341 19341 19509 19536 19575 19653 19770 19837 19904 19918 19961 20023 20121 20166 20221 20247 20258 20338 20529 20641 20771 20814 20869 22320 22441 22605 22629 22647 22660 22670 22677 22680 22695 22719 22721 22727 22729 22731 22731 22732 22732 22733 22733 22733 22736 22736 22807 22807 22956 22956 22996 22996 23033 23033 23088 23088 23106 23106 23123 23123 23147 23147 23168 23168 23172 23187 23188 23189 23191 23202 23203 23205 23206 23207 23211 23212 23213 23215 23216 23216 23216 23217 23217 23217 23218 23218 23218 23220 23220 23220 23220 23222 23222 23222 23222 23224 23224 23224 23224 23225 23226 23226 23228;224;1
interactive-discover-2;4;false;16349.375;false;98;98;98;10910 10935 10950 10955 10966 10979 10992 11004 11007 11020 11030 11053 11059 11062 11073 11086 11120 11196 11212 11231 11264 11292 11329 11338 11404 11434 11460 11485 11499 11532 11542 11618 11718 11879 11912 11946 12049 12252 12317 12350 12379 12411 12422 12431 12434 12435 12436 12438 12440 12440 12441 12443 12452 12457 12459 12477 12479 12481 12496 12501 12501 12502 12502 12502 12503 12503 12503 12504 12507 12507 12512 12512 12512 12512 12513 12513 12514 15494 15498 15499 15501 15504 15740 15752 15753 15753 15756 15757 15760 15761 15761 15761 15762 15762 15763 15763 21443 21444;10910 10935 10950 10955 10966 10979 10992 11004 11007 11020 11030 11053 11059 11062 11073 11086 11120 11196 11212 11231 11264 11292 11329 11338 11404 11434 11460 11485 11499 11532 11542 11618 11718 11879 11912 11946 12049 12252 12317 12350 12379 12411 12422 12431 12434 12435 12436 12438 12440 12440 12441 12443 12452 12457 12459 12477 12479 12481 12496 12501 12501 12502 12502 12502 12503 12503 12503 12504 12507 12507 12512 12512 12512 12512 12513 12513 12514 15494 15498 15499 15501 15504 15740 15752 15753 15753 15756 15757 15760 15761 15761 15761 15762 15762 15763 15763 21443 21444;10910 10935 10950 10955 10966 10979 10992 11004 11007 11020 11030 11053 11059 11062 11073 11086 11120 11196 11212 11231 11264 11292 11329 11338 11404 11434 11460 11485 11499 11532 11542 11618 11718 11879 11912 11946 12049 12252 12317 12350 12379 12411 12422 12431 12434 12435 12436 12438 12440 12440 12441 12443 12452 12457 12459 12477 12479 12481 12496 12501 12501 12502 12502 12502 12503 12503 12503 12504 12507 12507 12512 12512 12512 12512 12513 12513 12514 15494 15498 15499 15501 15504 15740 15752 15753 15753 15756 15757 15760 15761 15761 15761 15762 15762 15763 15763 21443 21444;123;1
