name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-1;0;false;19009;18639;19732;false;6;6;6;12832 15286 15761 16002 16021 19731;12832 15286 15761 16002 16021 19731;12832 15286 15761 16002 16021 19731;127;127;127;1;1;1
interactive-discover-1;1;false;7935;7614;8195;false;4;4;4;6952 8182 8184 8185;6952 8182 8184 8185;6952 8182 8184 8185;19;19;19;0;0;0
interactive-discover-1;2;false;7276;6893;7467;false;1;1;1;7466;7466;7466;16;16;16;0;0;0
interactive-discover-1;3;false;17041;16919;17693;false;14;14;14;11297 11339 11380 11420 11430 11473 11533 11590 11700 11737 11781 11833 11883 17692;11297 11339 11380 11420 11430 11473 11533 11590 11700 11737 11781 11833 11883 17692;11297 11339 11380 11420 11430 11473 11533 11590 11700 11737 11781 11833 11883 17692;223;223;223;1;1;1
interactive-discover-1;4;false;18628;18432;19262;false;8;8;8;13115 13141 13164 13186 14424 14830 15410 19261;13115 13141 13164 13186 14424 14830 15410 19261;13115 13141 13164 13186 14424 14830 15410 19261;122;122;122;1;1;1
interactive-discover-2;0;false;23355;23219;24092;false;66;66;66;14101 17549 18078 18634 18659 20929 20951 21125 21272 21315 21370 21506 21534 21669 21770 21845 21887 21943 21987 22031 22041 22078 22110 22150 22191 22226 22268 22310 22344 22359 22396 22431 22661 22766 22774 22881 22914 22972 23213 24011 24031 24048 24067 24076 24079 24082 24084 24086 24086 24087 24087 24087 24088 24088 24088 24089 24089 24089 24090 24090 24090 24090 24090 24090 24091 24092;14101 17549 18078 18634 18659 20929 20951 21125 21272 21315 21370 21506 21534 21669 21770 21845 21887 21943 21987 22031 22041 22078 22110 22150 22191 22226 22268 22310 22344 22359 22396 22431 22661 22766 22774 22881 22914 22972 23213 24011 24031 24048 24067 24076 24079 24082 24084 24086 24086 24087 24087 24087 24088 24088 24088 24089 24089 24089 24090 24090 24090 24090 24090 24090 24091 24092;14101 17549 18078 18634 18659 20929 20951 21125 21272 21315 21370 21506 21534 21669 21770 21845 21887 21943 21987 22031 22041 22078 22110 22150 22191 22226 22268 22310 22344 22359 22396 22431 22661 22766 22774 22881 22914 22972 23213 24011 24031 24048 24067 24076 24079 24082 24084 24086 24086 24087 24087 24087 24088 24088 24088 24089 24089 24089 24090 24090 24090 24090 24090 24090 24091 24092;128;128;128;1;1;1
interactive-discover-2;1;false;7700;7517;7767;false;46;46;46;7439 7439 7462 7468 7478 7479 7502 7515 7525 7571 7571 7603 7603 7667 7667 7672 7672 7679 7679 7683 7683 7687 7687 7693 7693 7697 7697 7715 7715 7717 7719 7725 7726 7733 7744 7751 7751 7754 7758 7763 7763 7764 7764 7765 7765 7766;7439 7439 7462 7468 7478 7479 7502 7515 7525 7571 7571 7603 7603 7667 7667 7672 7672 7679 7679 7683 7683 7687 7687 7693 7693 7697 7697 7715 7715 7717 7719 7725 7726 7733 7744 7751 7751 7754 7758 7763 7763 7764 7764 7765 7765 7766;7439 7439 7462 7468 7478 7479 7502 7515 7525 7571 7571 7603 7603 7667 7667 7672 7672 7679 7679 7683 7683 7687 7687 7693 7693 7697 7697 7715 7715 7717 7719 7725 7726 7733 7744 7751 7751 7754 7758 7763 7763 7764 7764 7765 7765 7766;20;20;20;0;0;0
interactive-discover-2;2;false;7573;7362;7717;false;32;32;32;7680 7683 7684 7686 7688 7689 7692 7693 7696 7698 7699 7700 7702 7706 7708 7710 7710 7711 7711 7712 7713 7713 7714 7715 7715 7715 7716 7716 7716 7716 7716 7716;7680 7683 7684 7686 7688 7689 7692 7693 7696 7698 7699 7700 7702 7706 7708 7710 7710 7711 7711 7712 7713 7713 7714 7715 7715 7715 7716 7716 7716 7716 7716 7716;7680 7683 7684 7686 7688 7689 7692 7693 7696 7698 7699 7700 7702 7706 7708 7710 7710 7711 7711 7712 7713 7713 7714 7715 7715 7715 7716 7716 7716 7716 7716 7716;17;17;17;0;0;0
interactive-discover-2;3;false;24561;22033;26703;false;198;198;198;13072 13128 13198 13248 13268 13341 13410 13479 13530 13551 13602 13678 13767 13906 13922 13977 14025 14087 14141 14217 14339 14485 14794 14919 15079 15107 15195 15292 15381 15466 15543 15899 15923 16003 16081 16161 16301 16325 16394 16451 16526 16581 16638 16695 16997 16997 17158 17158 17225 17225 17507 17507 17681 17681 18039 19847 19958 20064 20169 20717 21058 21058 21299 21299 21642 21642 21838 21838 21951 21951 22124 22124 22297 22297 22440 22440 22806 22806 22964 22964 23079 23079 23243 23243 23348 23348 23541 23541 24073 24129 24242 24427 24458 24519 24569 24635 24751 24827 25066 25143 25200 25255 25295 25308 25407 25574 25623 25684 25700 25742 25833 25969 26007 26021 26035 26059 26134 26148 26319 26344 26358 26381 26385 26443 26499 26507 26529 26541 26544 26565 26571 26585 26589 26591 26594 26600 26602 26603 26604 26609 26609 26614 26618 26619 26621 26623 26624 26627 26628 26639 26646 26649 26652 26652 26660 26662 26663 26664 26665 26666 26667 26667 26668 26669 26670 26671 26671 26677 26678 26686 26692 26692 26693 26694 26695 26695 26696 26696 26697 26697 26697 26698 26698 26698 26698 26699 26699 26699 26699 26700 26700 26700 26700 26700 26701 26701 26701 26703;13072 13128 13198 13248 13268 13341 13410 13479 13530 13551 13602 13678 13767 13906 13922 13977 14025 14087 14141 14217 14339 14485 14794 14919 15079 15107 15195 15292 15381 15466 15543 15899 15923 16003 16081 16161 16301 16325 16394 16451 16526 16581 16638 16695 16997 16997 17158 17158 17225 17225 17507 17507 17681 17681 18039 19847 19958 20064 20169 20717 21058 21058 21299 21299 21642 21642 21838 21838 21951 21951 22124 22124 22297 22297 22440 22440 22806 22806 22964 22964 23079 23079 23243 23243 23348 23348 23541 23541 24073 24129 24242 24427 24458 24519 24569 24635 24751 24827 25066 25143 25200 25255 25295 25308 25407 25574 25623 25684 25700 25742 25833 25969 26007 26021 26035 26059 26134 26148 26319 26344 26358 26381 26385 26443 26499 26507 26529 26541 26544 26565 26571 26585 26589 26591 26594 26600 26602 26603 26604 26609 26609 26614 26618 26619 26621 26623 26624 26627 26628 26639 26646 26649 26652 26652 26660 26662 26663 26664 26665 26666 26667 26667 26668 26669 26670 26671 26671 26677 26678 26686 26692 26692 26693 26694 26695 26695 26696 26696 26697 26697 26697 26698 26698 26698 26698 26699 26699 26699 26699 26700 26700 26700 26700 26700 26701 26701 26701 26703;13072 13128 13198 13248 13268 13341 13410 13479 13530 13551 13602 13678 13767 13906 13922 13977 14025 14087 14141 14217 14339 14485 14794 14919 15079 15107 15195 15292 15381 15466 15543 15899 15923 16003 16081 16161 16301 16325 16394 16451 16526 16581 16638 16695 16997 16997 17158 17158 17225 17225 17507 17507 17681 17681 18039 19847 19958 20064 20169 20717 21058 21058 21299 21299 21642 21642 21838 21838 21951 21951 22124 22124 22297 22297 22440 22440 22806 22806 22964 22964 23079 23079 23243 23243 23348 23348 23541 23541 24073 24129 24242 24427 24458 24519 24569 24635 24751 24827 25066 25143 25200 25255 25295 25308 25407 25574 25623 25684 25700 25742 25833 25969 26007 26021 26035 26059 26134 26148 26319 26344 26358 26381 26385 26443 26499 26507 26529 26541 26544 26565 26571 26585 26589 26591 26594 26600 26602 26603 26604 26609 26609 26614 26618 26619 26621 26623 26624 26627 26628 26639 26646 26649 26652 26652 26660 26662 26663 26664 26665 26666 26667 26667 26668 26669 26670 26671 26671 26677 26678 26686 26692 26692 26693 26694 26695 26695 26696 26696 26697 26697 26697 26698 26698 26698 26698 26699 26699 26699 26699 26700 26700 26700 26700 26700 26701 26701 26701 26703;224;224;224;1;1;1
interactive-discover-2;4;false;22830;22452;23673;false;98;98;98;14729 14850 14880 14905 16848 17733 17783 19170 19218 19352 19352 19409 19409 19473 19473 19537 19537 19671 19671 19723 19723 19786 19786 19812 19812 19856 19896 19958 19995 20030 20039 20063 20089 20595 20627 20656 20681 20709 20717 20757 20794 20829 20855 20884 20895 20923 20950 20989 22372 22411 22448 22486 22515 22528 22559 22595 22773 22801 22834 22883 22903 22910 22951 22972 22993 23012 23215 23273 23309 23338 23350 23402 23660 23660 23661 23661 23661 23663 23663 23663 23663 23664 23665 23667 23667 23667 23667 23668 23668 23669 23669 23670 23670 23670 23670 23671 23671 23672;14729 14850 14880 14905 16848 17733 17783 19170 19218 19352 19352 19409 19409 19473 19473 19537 19537 19671 19671 19723 19723 19786 19786 19812 19812 19856 19896 19958 19995 20030 20039 20063 20089 20595 20627 20656 20681 20709 20717 20757 20794 20829 20855 20884 20895 20923 20950 20989 22372 22411 22448 22486 22515 22528 22559 22595 22773 22801 22834 22883 22903 22910 22951 22972 22993 23012 23215 23273 23309 23338 23350 23402 23660 23660 23661 23661 23661 23663 23663 23663 23663 23664 23665 23667 23667 23667 23667 23668 23668 23669 23669 23670 23670 23670 23670 23671 23671 23672;14729 14850 14880 14905 16848 17733 17783 19170 19218 19352 19352 19409 19409 19473 19473 19537 19537 19671 19671 19723 19723 19786 19786 19812 19812 19856 19896 19958 19995 20030 20039 20063 20089 20595 20627 20656 20681 20709 20717 20757 20794 20829 20855 20884 20895 20923 20950 20989 22372 22411 22448 22486 22515 22528 22559 22595 22773 22801 22834 22883 22903 22910 22951 22972 22993 23012 23215 23273 23309 23338 23350 23402 23660 23660 23661 23661 23661 23663 23663 23663 23663 23664 23665 23667 23667 23667 23667 23668 23668 23669 23669 23670 23670 23670 23670 23671 23671 23672;123;123;123;1;1;1
