name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-1;0;false;13677;13378;13804;false;6;6;6;11833 12422 12446 12451 12476 13803;11833 12422 12446 12451 12476 13803;11833 12422 12446 12451 12476 13803;127;127;127;1;1;1
interactive-discover-1;1;false;7566;7506;7724;false;4;4;4;6665 7722 7723 7723;6665 7722 7723 7723;6665 7722 7723 7723;19;19;19;0;0;0
interactive-discover-1;2;false;7373;7230;7690;false;1;1;1;7690;7690;7690;16;16;16;0;0;0
interactive-discover-1;3;false;21483;21203;21660;false;14;14;14;7738 7782 7813 7875 7965 11700 12514 12552 12566 12636 12678 12715 12966 21659;7738 7782 7813 7875 7965 11700 12514 12552 12566 12636 12678 12715 12966 21659;7738 7782 7813 7875 7965 11700 12514 12552 12566 12636 12678 12715 12966 21659;223;223;223;1;1;1
interactive-discover-1;4;false;14335;13952;14406;false;8;8;8;13552 13666 13678 13709 13731 13754 13780 14404;13552 13666 13678 13709 13731 13754 13780 14404;13552 13666 13678 13709 13731 13754 13780 14404;122;122;122;1;1;1
interactive-discover-2;0;false;16319;14597;21162;false;66;66;66;11444 11485 11594 11594 11649 11649 11723 11723 11805 11805 11859 11860 11946 11946 12011 12011 12137 13524 13549 13570 13584 13598 13602 13637 13690 13721 13756 13762 13800 13859 13897 13913 13919 13944 14025 14079 14087 14298 14324 14347 14384 14430 14437 14456 14479 14519 14538 14547 14550 14553 14563 14813 14816 14823 14828 14830 14831 14832 14833 14833 21159 21160 21160 21160 21160 21161;11444 11485 11594 11594 11649 11649 11723 11723 11805 11805 11859 11860 11946 11946 12011 12011 12137 13524 13549 13570 13584 13598 13602 13637 13690 13721 13756 13762 13800 13859 13897 13913 13919 13944 14025 14079 14087 14298 14324 14347 14384 14430 14437 14456 14479 14519 14538 14547 14550 14553 14563 14813 14816 14823 14828 14830 14831 14832 14833 14833 21159 21160 21160 21160 21160 21161;11444 11485 11594 11594 11649 11649 11723 11723 11805 11805 11859 11860 11946 11946 12011 12011 12137 13524 13549 13570 13584 13598 13602 13637 13690 13721 13756 13762 13800 13859 13897 13913 13919 13944 14025 14079 14087 14298 14324 14347 14384 14430 14437 14456 14479 14519 14538 14547 14550 14553 14563 14813 14816 14823 14828 14830 14831 14832 14833 14833 21159 21160 21160 21160 21160 21161;128;128;128;1;1;1
interactive-discover-2;1;false;7597;7509;7831;false;46;46;46;7176 7215 7217 7247 7257 7299 7299 7338 7338 7392 7392 7423 7423 7494 7494 7520 7520 7534 7534 7556 7556 7585 7585 7594 7594 7607 7607 7618 7618 7628 7628 7635 7635 7640 7640 7641 7641 7642 7642 7643 7643 7646 7823 7829 7829 7830;7176 7215 7217 7247 7257 7299 7299 7338 7338 7392 7392 7423 7423 7494 7494 7520 7520 7534 7534 7556 7556 7585 7585 7594 7594 7607 7607 7618 7618 7628 7628 7635 7635 7640 7640 7641 7641 7642 7642 7643 7643 7646 7823 7829 7829 7830;7176 7215 7217 7247 7257 7299 7299 7338 7338 7392 7392 7423 7423 7494 7494 7520 7520 7534 7534 7556 7556 7585 7585 7594 7594 7607 7607 7618 7618 7628 7628 7635 7635 7640 7640 7641 7641 7642 7642 7643 7643 7646 7823 7829 7829 7830;20;20;20;0;0;0
interactive-discover-2;2;false;7583;7150;7774;false;32;32;32;7388 7410 7474 7486 7529 7591 7591 7602 7602 7622 7622 7630 7631 7649 7649 7665 7665 7692 7694 7745 7746 7761 7761 7765 7767 7768 7769 7770 7771 7771 7771 7773;7388 7410 7474 7486 7529 7591 7591 7602 7602 7622 7622 7630 7631 7649 7649 7665 7665 7692 7694 7745 7746 7761 7761 7765 7767 7768 7769 7770 7771 7771 7771 7773;7388 7410 7474 7486 7529 7591 7591 7602 7602 7622 7622 7630 7631 7649 7649 7665 7665 7692 7694 7745 7746 7761 7761 7765 7767 7768 7769 7770 7771 7771 7771 7773;17;17;17;0;0;0
interactive-discover-2;3;false;24762;24666;24941;false;198;198;198;7859 7975 7999 8080 10675 10863 10950 11043 11112 11187 11266 11340 11425 11487 11563 11586 11657 11703 11777 11789 11835 13310 13829 13954 14076 14289 14364 14383 14456 14519 14586 14654 14739 14832 14860 14952 15028 15101 15156 15175 15229 15347 15692 15742 15763 15831 15900 16013 16013 16057 16057 16091 16110 16135 16171 16180 16238 16344 16417 16501 16537 16855 16909 16968 17040 17110 17124 17214 17423 19147 19190 19272 19344 19410 19477 19494 19554 19592 19633 19659 19682 19700 19705 19712 19721 19727 19732 19733 19739 19740 19741 19741 19741 19742 19742 19742 19742 19743 19743 19743 19743 19744 19744 19866 19866 19967 19967 20025 20025 20176 20176 20260 20260 20346 20346 20410 20568 23480 23512 23593 23658 23722 23785 23844 23881 23910 23991 24170 24215 24254 24264 24295 24321 24352 24372 24380 24388 24398 24407 24423 24432 24435 24439 24441 24443 24443 24447 24450 24451 24452 24452 24453 24454 24454 24454 24455 24455 24455 24455 24455 24456 24456 24456 24456 24456 24456 24456 24688 24689 24690 24691 24693 24693 24693 24694 24694 24694 24694 24695 24695 24695 24695 24695 24696 24696 24938 24938 24938 24939 24939 24939 24939 24939 24939 24939 24939 24940 24940;7859 7975 7999 8080 10675 10863 10950 11043 11112 11187 11266 11340 11425 11487 11563 11586 11657 11703 11777 11789 11835 13310 13829 13954 14076 14289 14364 14383 14456 14519 14586 14654 14739 14832 14860 14952 15028 15101 15156 15175 15229 15347 15692 15742 15763 15831 15900 16013 16013 16057 16057 16091 16110 16135 16171 16180 16238 16344 16417 16501 16537 16855 16909 16968 17040 17110 17124 17214 17423 19147 19190 19272 19344 19410 19477 19494 19554 19592 19633 19659 19682 19700 19705 19712 19721 19727 19732 19733 19739 19740 19741 19741 19741 19742 19742 19742 19742 19743 19743 19743 19743 19744 19744 19866 19866 19967 19967 20025 20025 20176 20176 20260 20260 20346 20346 20410 20568 23480 23512 23593 23658 23722 23785 23844 23881 23910 23991 24170 24215 24254 24264 24295 24321 24352 24372 24380 24388 24398 24407 24423 24432 24435 24439 24441 24443 24443 24447 24450 24451 24452 24452 24453 24454 24454 24454 24455 24455 24455 24455 24455 24456 24456 24456 24456 24456 24456 24456 24688 24689 24690 24691 24693 24693 24693 24694 24694 24694 24694 24695 24695 24695 24695 24695 24696 24696 24938 24938 24938 24939 24939 24939 24939 24939 24939 24939 24939 24940 24940;7859 7975 7999 8080 10675 10863 10950 11043 11112 11187 11266 11340 11425 11487 11563 11586 11657 11703 11777 11789 11835 13310 13829 13954 14076 14289 14364 14383 14456 14519 14586 14654 14739 14832 14860 14952 15028 15101 15156 15175 15229 15347 15692 15742 15763 15831 15900 16013 16013 16057 16057 16091 16110 16135 16171 16180 16238 16344 16417 16501 16537 16855 16909 16968 17040 17110 17124 17214 17423 19147 19190 19272 19344 19410 19477 19494 19554 19592 19633 19659 19682 19700 19705 19712 19721 19727 19732 19733 19739 19740 19741 19741 19741 19742 19742 19742 19742 19743 19743 19743 19743 19744 19744 19866 19866 19967 19967 20025 20025 20176 20176 20260 20260 20346 20346 20410 20568 23480 23512 23593 23658 23722 23785 23844 23881 23910 23991 24170 24215 24254 24264 24295 24321 24352 24372 24380 24388 24398 24407 24423 24432 24435 24439 24441 24443 24443 24447 24450 24451 24452 24452 24453 24454 24454 24454 24455 24455 24455 24455 24455 24456 24456 24456 24456 24456 24456 24456 24688 24689 24690 24691 24693 24693 24693 24694 24694 24694 24694 24695 24695 24695 24695 24695 24696 24696 24938 24938 24938 24939 24939 24939 24939 24939 24939 24939 24939 24940 24940;224;224;224;1;1;1
interactive-discover-2;4;false;15431;14687;15692;false;98;98;98;13022 13070 13105 13133 13162 13196 13201 13222 13238 13254 13300 13309 13401 13428 13452 13467 13477 13480 13504 13508 13513 13517 13517 13604 13839 13891 13910 13937 13966 14044 14059 14095 14124 14136 14144 14146 14427 14468 14517 14570 14633 14644 14666 14687 14703 14720 14739 14742 14748 14750 14752 14753 14754 14766 14767 14767 14768 14768 14769 14773 14774 14833 14955 14986 14999 15021 15036 15085 15686 15687 15687 15687 15688 15688 15688 15688 15688 15688 15689 15689 15689 15689 15689 15689 15689 15689 15690 15690 15690 15690 15690 15690 15690 15690 15691 15691 15691 15692;13022 13070 13105 13133 13162 13196 13201 13222 13238 13254 13300 13309 13401 13428 13452 13467 13477 13480 13504 13508 13513 13517 13517 13604 13839 13891 13910 13937 13966 14044 14059 14095 14124 14136 14144 14146 14427 14468 14517 14570 14633 14644 14666 14687 14703 14720 14739 14742 14748 14750 14752 14753 14754 14766 14767 14767 14768 14768 14769 14773 14774 14833 14955 14986 14999 15021 15036 15085 15686 15687 15687 15687 15688 15688 15688 15688 15688 15688 15689 15689 15689 15689 15689 15689 15689 15689 15690 15690 15690 15690 15690 15690 15690 15690 15691 15691 15691 15692;13022 13070 13105 13133 13162 13196 13201 13222 13238 13254 13300 13309 13401 13428 13452 13467 13477 13480 13504 13508 13513 13517 13517 13604 13839 13891 13910 13937 13966 14044 14059 14095 14124 14136 14144 14146 14427 14468 14517 14570 14633 14644 14666 14687 14703 14720 14739 14742 14748 14750 14752 14753 14754 14766 14767 14767 14768 14768 14769 14773 14774 14833 14955 14986 14999 15021 15036 15085 15686 15687 15687 15687 15688 15688 15688 15688 15688 15688 15689 15689 15689 15689 15689 15689 15689 15689 15690 15690 15690 15690 15690 15690 15690 15690 15691 15691 15691 15692;123;123;123;1;1;1
