name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;9171;false;2171 2192 2210 2218 8038 8064;51
interactive-discover-1;1;4;1437;false;390 444 449 474;50
interactive-discover-1;2;1;969;false;713;43
interactive-discover-1;3;14;2638;false;521 529 542 547 550 552 554 557 565 571 573 576 587 609;30
interactive-discover-1;4;8;7182;false;1102 1118 1174 1199 1218 1233 1249 1260;45
interactive-discover-2;0;66;9501;false;1179 1197 1246 1274 1281 1305 1339 3637 8129 8168 8175 8193 8200 8242 8248 8297 8297 8316 8333 8368 8375 8410 8410 8441 8447 8492 8506 8540 8548 8565 8573 8625 8631 8663 8671 8688 8688 8732 8740 8770 8777 8840 8849 8871 8878 8911 8918 8930 8938 8988 8988 9009 9016 9043 9056 9077 9077 9117 9123 9138 9147 9181 9181 9209 9215 9242;52
interactive-discover-2;1;46;1408;false;368 445 460 461 708 900 1102 1113 1131 1152 1168 1178 1193 1204 1225 1243 1256 1263 1272 1288 1326 1333 1339 1365 1375 1383 1387 1390 1392 1395 1399 1400 1401 1402 1403 1404 1404 1405 1405 1406 1406 1407 1407 1407 1407 1407;51
interactive-discover-2;2;32;1031;false;258 773 897 917 930 944 950 954 972 978 992 996 999 1000 1016 1019 1021 1022 1023 1025 1026 1026 1029 1029 1030 1030 1030 1030 1030 1030 1031 1031;44
interactive-discover-2;3;198;3079;false;691 701 717 727 735 752 753 770 788 802 803 811 817 834 864 875 879 906 910 941 951 1025 1032 1045 1053 1070 1076 1098 1104 1121 1130 1137 1144 1158 1170 1189 1201 1219 1225 1247 1247 1261 1268 1285 1302 1312 1331 1352 1362 1374 1379 1402 1402 1420 1429 1457 1457 1468 1472 1506 1509 1529 1531 1545 1552 1574 1574 1592 1596 1634 1637 1651 1655 1670 1682 1712 1716 1746 1746 1768 1770 1780 1783 1800 1804 1846 1846 1873 1876 1895 1895 1905 1911 1953 1956 1993 1997 2021 2021 2061 2065 2083 2094 2111 2113 2142 2143 2155 2155 2175 2188 2207 2207 2231 2235 2253 2257 2293 2293 2347 2347 2381 2381 2390 2390 2407 2407 2420 2420 2438 2438 2492 2492 2530 2530 2563 2563 2575 2575 2603 2603 2619 2619 2660 2660 2672 2675 2697 2697 2719 2723 2745 2749 2777 2781 2796 2797 2813 2813 2832 2832 2849 2862 2876 2876 2889 2893 2927 2938 2967 2967 2984 2987 2996 2996 3022 3023 3030 3031 3045 3045 3048 3048 3052 3052 3058 3064 3066 3069 3069 3076 3077 3077 3078 3078 3078 3078 3079;31
interactive-discover-2;4;98;6217;false;1080 1105 1115 1124 1136 1156 1165 1181 1206 1221 1232 1257 4776 4816 4821 4848 4853 4880 4886 4891 4900 4919 4928 4947 4951 4958 4979 4996 5022 5057 5070 5091 5096 5111 5125 5148 5159 5177 5177 5197 5223 5288 5293 5326 5334 5349 5362 5380 5390 5423 5433 5451 5452 5487 5503 5524 5536 5549 5568 5576 5607 5640 5653 5665 5671 5689 5690 5710 5718 5728 5734 5749 5754 5762 5770 5788 5794 5813 5843 5878 5879 5892 5898 5911 5916 5945 5945 5973 5978 6031 6037 6068 6068 6092 6098 6132 6138 6153;46
interactive-discover-3;0;71;6084;false;6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6081 6083 6083 6083 6083 6083 6083 6083 6083 6083 6083 6083 6083 6083 6083 6083 6083 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084 6084;178
interactive-discover-3;1;67;113327;false;113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113326 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327 113327;179
interactive-discover-3;2;55;33467;false;33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466 33466;128
interactive-discover-3;3;0;120819;true;;
