name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;9123;false;2668 2668 2719 2740 8484 8507;51
interactive-discover-1;1;4;1434;false;698 701 702 702;50
interactive-discover-1;2;1;606;false;605;43
interactive-discover-1;3;14;2490;false;947 966 968 975 984 1003 1009 1019 1026 1042 1046 1052 1068 1079;30
interactive-discover-1;4;8;5217;false;1733 1733 1758 1771 1790 1800 1817 1824;45
interactive-discover-2;0;66;6783;false;1796 1832 1850 1857 1862 1872 1897 1916 6111 6159 6184 6191 6213 6307 6316 6328 6332 6354 6361 6367 6371 6414 6440 6440 6449 6476 6487 6496 6502 6506 6508 6537 6585 6599 6610 6619 6634 6636 6639 6643 6645 6688 6742 6753 6757 6758 6760 6761 6762 6762 6764 6765 6766 6774 6775 6776 6777 6777 6779 6779 6780 6780 6781 6781 6781 6782;52
interactive-discover-2;1;46;1637;false;1420 1431 1431 1457 1598 1602 1609 1610 1616 1618 1619 1619 1620 1621 1622 1623 1624 1624 1625 1625 1626 1626 1627 1628 1628 1629 1629 1631 1631 1633 1634 1634 1634 1634 1634 1635 1635 1635 1635 1636 1636 1636 1636 1636 1636 1636;51
interactive-discover-2;2;32;1074;false;477 1034 1058 1061 1063 1063 1064 1065 1066 1066 1067 1068 1068 1068 1069 1069 1070 1070 1071 1071 1071 1072 1072 1072 1073 1073 1073 1073 1073 1073 1074 1074;44
interactive-discover-2;3;198;3188;false;1152 1160 1171 1179 1192 1200 1206 1217 1228 1234 1251 1274 1289 1300 1319 1342 1350 1374 1389 1399 1410 1423 1428 1432 1444 1494 1522 1537 1544 1555 1558 1573 1603 1615 1622 1635 1644 1651 1684 1694 1702 1716 1726 1742 1745 1753 1781 1812 1872 1880 1889 1898 1917 1932 1941 1959 1985 1993 1996 2019 2028 2033 2036 2042 2049 2065 2090 2098 2114 2134 2151 2163 2174 2184 2194 2225 2233 2241 2255 2267 2290 2291 2300 2306 2314 2321 2344 2368 2403 2415 2423 2450 2458 2482 2503 2510 2517 2519 2522 2561 2573 2580 2584 2603 2615 2621 2622 2628 2641 2646 2648 2664 2668 2682 2718 2734 2741 2747 2788 2819 2853 2853 2876 2916 2924 2926 2931 2941 2951 2966 2967 2970 2981 2989 2989 3000 3001 3007 3007 3028 3034 3036 3053 3073 3075 3101 3104 3119 3123 3129 3131 3134 3134 3136 3136 3146 3149 3153 3155 3157 3157 3158 3174 3174 3174 3175 3175 3175 3176 3176 3177 3178 3178 3179 3179 3179 3180 3181 3181 3181 3181 3182 3182 3182 3182 3184 3184 3185 3185 3185 3185 3186 3186 3186 3186 3187 3187 3188;31
interactive-discover-2;4;98;6984;false;1677 1731 1754 1822 1843 1855 1878 1884 1893 1924 1942 4134 5825 5876 5901 5963 6047 6057 6080 6100 6121 6163 6179 6208 6217 6231 6252 6272 6330 6335 6348 6418 6446 6468 6520 6540 6545 6550 6564 6586 6606 6644 6651 6699 6710 6719 6722 6730 6732 6744 6746 6784 6791 6797 6840 6844 6850 6857 6874 6875 6888 6922 6929 6932 6954 6954 6967 6967 6970 6970 6974 6975 6975 6976 6976 6977 6977 6977 6978 6978 6979 6979 6982 6982 6983 6983 6983 6983 6983 6983 6983 6983 6983 6983 6984 6984 6984 6984;46
interactive-discover-3;0;71;5940;false;5938 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939 5939;178
interactive-discover-3;1;67;109107;false;109099 109099 109099 109099 109099 109099 109099 109099 109100 109100 109100 109100 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109106 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107 109107;179
interactive-discover-3;2;55;33841;false;33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33840 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841 33841;128
interactive-discover-3;3;0;120936;true;;
