name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;3236;false;2458 2508 2529 2542 2555 2567;51
interactive-discover-1;1;4;1895;false;836 836 864 864;50
interactive-discover-1;2;1;1262;false;1240;43
interactive-discover-1;3;14;3521;false;1586 1595 1605 1613 1615 1619 1629 1646 1667 1669 1677 1683 1698 1706;30
interactive-discover-1;4;8;2266;false;1145 1160 1174 1182 1188 1203 1211 1235;45
interactive-discover-2;0;66;2685;false;1816 1829 1852 1863 1877 1921 1933 1947 1961 1983 2003 2010 2015 2019 2037 2060 2075 2086 2109 2123 2157 2164 2198 2206 2220 2234 2260 2266 2297 2306 2369 2385 2423 2431 2453 2476 2499 2573 2588 2597 2607 2621 2623 2643 2651 2654 2658 2659 2659 2660 2666 2666 2667 2668 2669 2669 2670 2671 2671 2671 2672 2672 2682 2683 2685 2685;52
interactive-discover-2;1;46;1974;false;1552 1570 1596 1611 1665 1682 1691 1707 1741 1749 1761 1777 1791 1794 1805 1817 1838 1861 1876 1891 1901 1912 1933 1942 1955 1960 1962 1965 1966 1967 1968 1968 1969 1969 1969 1970 1970 1971 1972 1972 1972 1972 1973 1973 1973 1973;51
interactive-discover-2;2;32;1406;false;1283 1298 1318 1342 1353 1360 1365 1374 1388 1392 1393 1395 1397 1398 1399 1399 1400 1400 1401 1401 1401 1402 1403 1403 1403 1404 1405 1405 1405 1405 1406 1406;44
interactive-discover-2;3;198;4037;false;1499 1508 1520 1538 1552 1563 1582 1605 1617 1617 1624 1631 1648 1664 1664 1667 1670 1675 1683 1684 1698 1734 1741 1741 1756 1769 1802 1802 1808 1823 1838 1847 1850 1868 2118 2126 2144 2146 2186 2187 2203 2203 2217 2218 2221 2222 2235 2236 2244 2244 2259 2259 2278 2278 2333 2333 2348 2348 2363 2363 2412 2412 2421 2421 2441 2441 2447 2447 2480 2480 2491 2491 2532 2532 2543 2543 2550 2550 2558 2558 2560 2560 2585 2585 2628 2628 2652 2652 2687 3031 3052 3052 3083 3085 3116 3117 3125 3126 3136 3136 3156 3156 3183 3183 3259 3259 3271 3271 3293 3293 3299 3299 3304 3304 3331 3331 3358 3358 3379 3379 3396 3396 3420 3420 3443 3443 3464 3464 3477 3477 3485 3485 3495 3495 3512 3512 3530 3530 3565 3565 3578 3578 3601 3601 3613 3613 3634 3634 3640 3641 3659 3659 3673 3673 3682 3682 3694 3694 3702 3702 3738 3746 3772 3772 3788 3984 3988 3988 3990 3990 3994 3994 4000 4000 4008 4008 4018 4019 4026 4026 4032 4033 4033 4033 4033 4033 4034 4034 4035 4035 4035 4035 4036 4036 4037 4037 4037 4037;31
interactive-discover-2;4;98;3032;false;1674 1761 1789 1802 1811 1830 1830 1872 1889 1901 1901 1924 1941 1956 1959 1959 1963 1984 2027 2027 2045 2056 2076 2115 2130 2130 2145 2169 2207 2267 2267 2292 2325 2337 2356 2379 2392 2434 2451 2473 2488 2488 2493 2501 2522 2560 2560 2572 2592 2619 2640 2671 2671 2677 2682 2686 2717 2717 2775 2792 2807 2807 2833 2867 2876 2899 2899 2935 2951 2970 2970 2976 2985 2988 2995 2995 2997 3017 3021 3024 3026 3028 3028 3028 3028 3029 3029 3030 3030 3030 3030 3030 3030 3031 3031 3031 3032 3032;46
