query	config	requests	first	last	termination	diefficiency	restarts
interactive discover 1.0	baseline	51	2.426	7.756	8.057	25.005	0
interactive discover 1.0	cardinality once void simple	51	2.171	8.064	9.171	27.523	0
interactive discover 1.0	cardinality once void	51	2.631	8.815	9.575	29.01	0
interactive discover 1.0	cardinality once	51	2.668	8.507	9.123	27.509	0
interactive discover 1.0	cardinality unlimited void simple	51	2.458	2.567	3.236	1.527	0
interactive discover 1.0	cardinality unlimited void	51	2.933	3.064	3.206	1.823	0
interactive discover 1.0	cardinality unlimited	51	3.331	3.466	3.706	2.148	0
interactive discover 1.0	overhead simple	51	2.001	7.993	8.725	27.825	0
interactive discover 1.0	overhead	51	2.383	8.203	8.535	27.245	0
interactive discover 1.1	baseline	50	1.186	1.292	1.456	0.885	0
interactive discover 1.1	cardinality once void simple	50	0.39	0.474	1.437	0.376	0
interactive discover 1.1	cardinality once void	50	0.366	0.455	0.985	0.492	0
interactive discover 1.1	cardinality once	50	0.698	0.702	1.434	0.356	0
interactive discover 1.1	cardinality unlimited void simple	50	0.836	0.864	1.895	0.488	0
interactive discover 1.1	cardinality unlimited void	50	0.482	0.648	0.649	0.816	0
interactive discover 1.1	cardinality unlimited	50	0.404	0.547	0.864	0.562	0
interactive discover 1.1	overhead simple	50	0.822	1.75	1.751	3.246	0
interactive discover 1.1	overhead	50	0.253	1.581	1.584	3.401	0
interactive discover 1.2	baseline	43	0.9	0.9	0.951	0.45	0
interactive discover 1.2	cardinality once void simple	43	0.713	0.713	0.969	0.356	0
interactive discover 1.2	cardinality once void	43	0.496	0.496	0.497	0.248	0
interactive discover 1.2	cardinality once	43	0.605	0.605	0.606	0.302	0
interactive discover 1.2	cardinality unlimited void simple	43	1.24	1.24	1.262	0.62	0
interactive discover 1.2	cardinality unlimited void	43	0.412	0.412	0.506	0.206	0
interactive discover 1.2	cardinality unlimited	43	0.611	0.611	0.611	0.305	0
interactive discover 1.2	overhead simple	43	1.086	1.086	1.087	0.543	0
interactive discover 1.2	overhead	43	0.437	0.437	1.073	0.218	0
interactive discover 1.3	baseline	30	0.565	0.876	2.408	3.918	0
interactive discover 1.3	cardinality once void simple	30	0.521	0.609	2.638	0.997	0
interactive discover 1.3	cardinality once void	30	0.773	1.258	2.739	5.681	0
interactive discover 1.3	cardinality once	30	0.947	1.079	2.49	1.461	0
interactive discover 1.3	cardinality unlimited void simple	30	1.586	1.706	3.521	1.729	0
interactive discover 1.3	cardinality unlimited void	30	0.747	0.757	0.758	0.431	0
interactive discover 1.3	cardinality unlimited	30	0.753	0.757	0.757	0.403	0
interactive discover 1.3	overhead simple	30	0.468	1.338	2.783	11.828	0
interactive discover 1.3	overhead	30	0.671	0.9	2.543	3.001	0
interactive discover 1.4	baseline	45	1.249	1.306	5.835	0.854	0
interactive discover 1.4	cardinality once void simple	45	1.102	1.26	7.182	1.157	0
interactive discover 1.4	cardinality once void	45	1.379	1.507	7.077	1.26	0
interactive discover 1.4	cardinality once	45	1.733	1.824	5.217	1.278	0
interactive discover 1.4	cardinality unlimited void simple	45	1.145	1.235	2.266	1.0	0
interactive discover 1.4	cardinality unlimited void	45	2.113	2.284	2.917	1.737	0
interactive discover 1.4	cardinality unlimited	45	1.619	1.712	2.346	1.213	0
interactive discover 1.4	overhead simple	45	1.096	1.173	6.852	0.952	0
interactive discover 1.4	overhead	45	1.323	1.381	6.333	0.894	0
interactive discover 2.0	baseline	52	1.67	8.406	8.407	277.733	0
interactive discover 2.0	cardinality once void simple	52	1.179	9.242	9.501	96.935	0
interactive discover 2.0	cardinality once void	52	2.046	9.594	9.595	81.998	0
interactive discover 2.0	cardinality once	52	1.796	6.782	6.783	54.502	0
interactive discover 2.0	cardinality unlimited void simple	52	1.816	2.685	2.685	22.73	0
interactive discover 2.0	cardinality unlimited void	52	2.447	2.729	2.729	4.875	0
interactive discover 2.0	cardinality unlimited	52	2.444	2.741	2.742	4.994	0
interactive discover 2.0	overhead simple	52	1.127	8.766	8.767	332.296	0
interactive discover 2.0	overhead	52	1.693	8.664	8.664	295.371	0
interactive discover 2.1	baseline	51	0.49	1.784	1.784	5.63	0
interactive discover 2.1	cardinality once void simple	51	0.368	1.407	1.408	9.14	0
interactive discover 2.1	cardinality once void	51	0.813	1.426	1.428	3.783	0
interactive discover 2.1	cardinality once	51	1.42	1.636	1.637	2.01	0
interactive discover 2.1	cardinality unlimited void simple	51	1.552	1.973	1.974	5.973	0
interactive discover 2.1	cardinality unlimited void	51	2.164	2.214	2.215	2.095	0
interactive discover 2.1	cardinality unlimited	51	1.539	2.478	2.478	5.511	0
interactive discover 2.1	overhead simple	51	0.273	1.663	1.664	13.728	0
interactive discover 2.1	overhead	51	0.393	1.665	1.666	5.872	0
interactive discover 2.2	baseline	44	0.186	1.077	1.078	1.675	0
interactive discover 2.2	cardinality once void simple	44	0.258	1.031	1.031	2.469	0
interactive discover 2.2	cardinality once void	44	0.255	1.014	1.015	1.913	0
interactive discover 2.2	cardinality once	44	0.477	1.074	1.074	1.324	0
interactive discover 2.2	cardinality unlimited void simple	44	1.283	1.406	1.406	1.391	0
interactive discover 2.2	cardinality unlimited void	44	1.033	1.34	1.34	1.158	0
interactive discover 2.2	cardinality unlimited	44	0.219	1.486	1.486	2.132	0
interactive discover 2.2	overhead simple	44	0.156	1.092	1.093	3.576	0
interactive discover 2.2	overhead	44	0.15	0.991	0.992	1.48	0
interactive discover 2.3	baseline	31	1.084	3.391	3.391	195.348	0
interactive discover 2.3	cardinality once void simple	31	0.691	3.079	3.079	212.901	0
interactive discover 2.3	cardinality once void	31	0.99	3.222	3.222	152.975	0
interactive discover 2.3	cardinality once	31	1.152	3.188	3.188	152.687	0
interactive discover 2.3	cardinality unlimited void simple	31	1.499	4.037	4.037	218.731	0
interactive discover 2.3	cardinality unlimited void	31	2.22	4.515	4.515	158.968	0
interactive discover 2.3	cardinality unlimited	31	2.366	5.798	5.798	339.68	0
interactive discover 2.3	overhead simple	31	0.547	3.193	3.204	250.841	0
interactive discover 2.3	overhead	31	0.94	3.223	3.223	180.896	0
interactive discover 2.4	baseline	46	1.387	7.781	7.781	93.82	0
interactive discover 2.4	cardinality once void simple	46	1.08	6.153	6.217	121.056	0
interactive discover 2.4	cardinality once void	46	1.525	6.541	6.542	91.016	0
interactive discover 2.4	cardinality once	46	1.677	6.984	6.984	88.326	0
interactive discover 2.4	cardinality unlimited void simple	46	1.674	3.032	3.032	50.038	0
interactive discover 2.4	cardinality unlimited void	46	2.647	3.596	3.597	26.946	0
interactive discover 2.4	cardinality unlimited	46	2.266	3.136	3.137	23.255	0
interactive discover 2.4	overhead simple	46	0.818	4.546	8.048	107.424	0
interactive discover 2.4	overhead	46	1.506	5.118	8.558	97.904	0
interactive discover 3.0	baseline	178	49.073	49.074	49.074	24.575	0
interactive discover 3.0	cardinality once void simple	178	6.081	6.084	6.084	3.142	0
interactive discover 3.0	cardinality once void	178	6.211	6.214	6.214	3.195	0
interactive discover 3.0	cardinality once	178	5.938	5.939	5.94	2.971	0
interactive discover 3.0	cardinality unlimited void simple	178	7.315	7.315	7.316	3.658	0
interactive discover 3.0	cardinality unlimited void	178	7.101	7.104	7.107	3.637	0
interactive discover 3.0	cardinality unlimited	178	7.615	7.615	7.617	3.808	0
interactive discover 3.0	overhead simple	0			0		0
interactive discover 3.0	overhead	0			0		0
interactive discover 3.1	baseline	179	3.646	3.648	3.648	1.894	0
interactive discover 3.1	cardinality once void simple	179	113.326	113.327	113.327	56.707	0
interactive discover 3.1	cardinality once void	179	6.093	6.093	6.094	3.046	0
interactive discover 3.1	cardinality once	179	109.099	109.107	109.107	54.675	0
interactive discover 3.1	cardinality unlimited void simple	0			0		0
interactive discover 3.1	cardinality unlimited void	0			0		0
interactive discover 3.1	cardinality unlimited	179	72.127	72.128	72.128	36.093	0
interactive discover 3.1	overhead simple	179	105.093	105.093	105.094	52.547	0
interactive discover 3.1	overhead	179	109.4	109.403	109.403	54.775	0
interactive discover 3.2	baseline	128	2.359	2.359	2.36	1.179	0
interactive discover 3.2	cardinality once void simple	128	33.466	33.466	33.467	16.733	0
