name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;8725;false;2001 2049 2049 2049 7989 7993;51
interactive-discover-1;1;4;1751;false;822 823 1234 1750;50
interactive-discover-1;2;1;1087;false;1086;43
interactive-discover-1;3;14;2783;false;468 468 468 469 473 473 473 474 492 492 492 492 501 1338;30
interactive-discover-1;4;8;6852;false;1096 1096 1096 1097 1144 1144 1173 1173;45
interactive-discover-2;0;66;8767;false;1127 1253 1253 1253 1340 1366 3372 3396 3415 3415 3436 3442 3480 3480 3497 3516 3537 3549 3555 3575 3621 3628 3644 3644 3678 3699 3726 3751 3781 3788 3816 3858 3859 3865 3891 3901 3919 3919 3952 3958 3986 3992 4002 4002 4028 4067 4127 4136 4145 4146 4202 4202 4207 4259 4269 4297 4309 4314 4335 4363 4381 4384 4403 4403 8763 8766;52
interactive-discover-2;1;46;1664;false;273 473 733 733 988 1174 1188 1212 1219 1253 1253 1283 1283 1294 1306 1323 1332 1353 1353 1403 1409 1409 1419 1441 1492 1515 1517 1537 1537 1559 1575 1576 1634 1640 1652 1657 1657 1658 1659 1660 1660 1660 1661 1663 1663 1663;51
interactive-discover-2;2;32;1093;false;156 778 893 916 927 932 940 965 977 991 991 993 1006 1018 1028 1050 1063 1074 1074 1076 1084 1084 1087 1088 1089 1089 1090 1090 1091 1091 1091 1092;44
interactive-discover-2;3;198;3204;false;547 726 726 726 733 747 747 766 778 778 790 806 810 810 821 834 834 861 861 861 861 886 886 938 938 938 938 978 978 1021 1021 1021 1027 1041 1041 1092 1092 1102 1110 1124 1133 1159 1181 1181 1181 1199 1206 1227 1227 1227 1250 1262 1276 1285 1285 1285 1312 1343 1346 1376 1376 1376 1391 1408 1425 1435 1435 1435 1464 1483 1486 1523 1523 1523 1562 1574 1591 1611 1611 1611 1635 1664 1667 1718 1718 1718 1758 1773 1804 1815 1815 1815 1859 1883 1886 1915 1915 1915 1940 1961 1974 1984 1984 1984 2024 2051 2054 2090 2090 2090 2107 2121 2142 2159 2159 2159 2200 2218 2221 2243 2243 2243 2262 2308 2326 2339 2339 2339 2363 2392 2395 2422 2422 2422 2440 2457 2475 2487 2487 2487 2531 2552 2555 2585 2585 2585 2610 2623 2635 2649 2649 2649 2678 2702 2706 2729 2729 2729 2745 2762 2781 2791 2791 2791 2820 2839 2842 2868 2868 2868 2897 2909 2922 2938 2938 2938 2982 2986 2990 3016 3016 3016 3036 3050 3068 3085 3085 3085 3106 3123 3123 3138 3138 3138 3182 3183 3186 3193;31
interactive-discover-2;4;98;8048;false;818 818 818 818 851 851 851 1006 1041 1077 2904 2928 2934 2960 2984 2990 3005 3005 3023 3023 3044 3112 3128 3134 3134 3168 3190 3196 3224 3229 3283 3283 3321 3338 3346 3388 3450 3455 3467 3518 3541 3566 3583 3594 3617 3631 3631 3657 3663 3692 3717 3722 3740 3740 3780 3785 3797 3837 3837 3864 3880 3893 3903 3987 4004 4030 4054 4104 4115 4121 4157 4179 4179 4195 4213 4224 4241 4254 4294 4299 4317 4326 4358 4379 4384 4393 4413 4413 4434 4456 4456 4477 4491 4509 4509 4522 4541 4546;46
interactive-discover-3;0;0;120906;true;;
interactive-discover-3;1;67;105094;false;105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093 105093;179
interactive-discover-3;2;55;28975;false;28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28973 28974 28974 28974 28974 28974 28974 28974 28974 28974 28974 28974 28974 28974 28974;128
interactive-discover-3;3;0;121567;true;;
interactive-discover-3;4;0;121449;true;;
interactive-discover-4;0;5;85233;false;85233 85233 85233 85233 85233;68
interactive-discover-4;1;3;3216;false;3216 3216 3216;55
interactive-discover-4;2;3;1973;false;1972 1972 1972;48
interactive-discover-4;3;3;8216;false;8215 8215 8215;36
interactive-discover-4;4;7;96699;false;96698 96698 96698 96698 96698 96698 96698;66
interactive-discover-5;0;15;2401;false;333 344 359 369 391 721 1423 1566 1572 1621 1626 1693 1886 2225 2385;52
interactive-discover-5;1;3;758;false;227 671 726;51
interactive-discover-5;2;3;703;false;149 691 702;44
interactive-discover-5;3;4;767;false;158 197 202 202;31
interactive-discover-5;4;20;1849;false;289 289 427 593 613 638 715 730 740 907 1245 1298 1412 1504 1560 1597 1611 1731 1750 1815;46
interactive-discover-6;0;0;120824;true;;
interactive-discover-6;1;1;2180;false;1251;51
interactive-discover-6;2;0;1090;false;;44
interactive-discover-6;3;1;120933;true;33069;
interactive-discover-6;4;27;8081;false;2395 3220 3515 3552 3790 4146 4228 4479 4789 4911 4994 4994 5067 5334 5629 5744 5969 6010 6260 6509 6781 7024 7284 7581 7709 7866 7918;46
interactive-discover-7;0;1;120370;true;8490;
interactive-discover-7;1;1;2252;false;1668;51
interactive-discover-7;2;1;928;false;195;44
interactive-discover-7;3;1;120556;true;10863;
interactive-discover-7;4;1;12669;false;3168;46
interactive-discover-8;0;10;60090;true;9809 9809 11029 11029 11029 12294 13521 13521 14864 15571;435
interactive-discover-8;1;1;130854;true;33675;
interactive-discover-8;2;2;137017;true;40001 59320;
interactive-discover-8;3;0;125736;true;;
interactive-discover-8;4;3;132432;true;34177 18702 18702;
interactive-short-1;0;1;902;false;439;53
interactive-short-1;1;1;697;false;76;52
interactive-short-1;2;1;615;false;58;45
interactive-short-1;3;1;499;false;159;32
interactive-short-1;4;1;650;false;206;47
interactive-short-2;0;0;121323;true;;
interactive-short-2;1;1;119969;true;57468;
interactive-short-2;2;1;120262;true;378;
interactive-short-2;3;1;120227;true;115868;
interactive-short-2;4;0;119736;true;;
interactive-short-3;0;1;119691;true;8727;
interactive-short-3;1;1;120547;true;12575;
interactive-short-3;2;0;119487;true;;
interactive-short-3;3;1;119830;true;15244;
interactive-short-3;4;1;120364;true;14487;
interactive-short-4;0;1;208;false;208;1
interactive-short-4;1;1;2;false;2;1
interactive-short-4;2;1;119;false;28;13
interactive-short-4;3;1;148;false;6;18
interactive-short-4;4;1;3;false;2;1
interactive-short-5;0;1;3041;false;81;266
interactive-short-5;1;1;5702;false;95;557
interactive-short-5;2;1;18687;false;77;2287
interactive-short-5;3;1;327;false;255;24
interactive-short-5;4;1;1868;false;56;239
interactive-short-6;0;0;121036;true;;
interactive-short-6;1;1;120063;true;61;
interactive-short-6;2;0;122132;true;;
interactive-short-6;3;0;121748;true;;
interactive-short-6;4;0;120827;true;;
interactive-short-7;0;0;119827;true;;
interactive-short-7;1;0;119824;true;;
interactive-short-7;2;0;119868;true;;
interactive-short-7;3;0;119696;true;;
interactive-short-7;4;0;119296;true;;
