name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;8535;false;2383 2428 2443 2443 8174 8203;51
interactive-discover-1;1;4;1584;false;253 752 1127 1581;50
interactive-discover-1;2;1;1073;false;437;43
interactive-discover-1;3;14;2543;false;671 679 679 684 694 698 698 702 721 721 734 734 734 900;30
interactive-discover-1;4;8;6333;false;1323 1347 1347 1347 1354 1364 1381 1381;45
interactive-discover-2;0;66;8664;false;1693 1727 1748 1755 1805 1834 3834 3841 3864 3893 3897 3907 3907 3926 4003 4029 4029 4045 4086 4112 4118 4118 4171 4203 4211 4231 4237 4290 4307 4319 4319 4332 4332 4399 4399 4400 4412 4431 4431 4431 4493 4503 4539 4540 4551 4564 4579 4580 4580 4595 4600 4614 4631 4676 4676 4676 4692 4707 4707 4755 4755 4797 4797 4824 8664 8664;52
interactive-discover-2;1;46;1666;false;393 793 793 811 1209 1569 1569 1575 1608 1615 1646 1646 1647 1649 1649 1649 1650 1651 1652 1653 1653 1654 1654 1654 1655 1656 1656 1656 1657 1657 1657 1658 1658 1659 1659 1659 1659 1659 1659 1660 1660 1665 1665 1665 1665 1665;51
interactive-discover-2;2;32;992;false;150 980 980 981 981 982 982 982 983 983 983 983 986 986 987 987 987 988 988 988 989 989 990 990 990 990 990 990 990 991 991 991;44
interactive-discover-2;3;198;3223;false;940 1011 1011 1033 1040 1043 1043 1067 1082 1082 1082 1099 1104 1128 1181 1208 1211 1235 1238 1259 1263 1303 1317 1317 1317 1332 1363 1363 1424 1424 1432 1445 1470 1470 1475 1484 1491 1525 1525 1573 1600 1621 1621 1621 1636 1654 1657 1684 1729 1729 1729 1745 1756 1775 1775 1778 1789 1839 1839 1839 1847 1862 1862 1879 1879 1884 1908 1944 1944 1944 1951 1969 1970 1990 2045 2072 2092 2092 2098 2119 2119 2120 2154 2161 2161 2193 2199 2233 2233 2240 2249 2262 2292 2295 2318 2323 2341 2341 2341 2363 2369 2369 2377 2410 2428 2462 2462 2509 2513 2513 2513 2546 2559 2612 2612 2659 2659 2676 2676 2697 2715 2719 2744 2748 2760 2760 2794 2794 2810 2833 2841 2841 2848 2866 2866 2866 2874 2901 2901 2937 2937 2945 2961 2972 3000 3000 3003 3006 3029 3053 3060 3064 3067 3067 3077 3083 3100 3130 3149 3149 3154 3154 3163 3163 3196 3196 3197 3197 3198 3200 3200 3200 3201 3202 3202 3211 3213 3215 3215 3216 3217 3218 3218 3218 3220 3220 3220 3221 3221 3221 3221 3222 3222 3222 3222 3222 3222 3223;31
interactive-discover-2;4;98;8558;false;1506 1506 1506 1537 1553 1553 1595 1615 1615 1621 1626 3679 3712 3757 3768 3768 3827 3847 3875 3888 3888 3897 3906 3918 3918 3951 3951 4007 4044 4050 4104 4104 4118 4118 4171 4171 4217 4223 4264 4290 4300 4311 4311 4316 4354 4368 4401 4410 4452 4452 4452 4478 4484 4484 4484 4502 4542 4542 4613 4617 4627 4627 4634 4637 4648 4671 4689 4724 4724 4724 4737 4744 4775 4775 4776 4786 4800 4843 4843 4844 4860 4870 4929 4929 4945 4954 4973 4973 5006 5006 5015 5051 5063 5063 5063 5118 5118 5118;46
interactive-discover-3;0;0;121502;true;;
interactive-discover-3;1;67;109403;false;109400 109400 109400 109400 109400 109400 109400 109400 109400 109401 109401 109401 109401 109401 109401 109401 109401 109401 109401 109401 109401 109401 109401 109401 109402 109402 109402 109402 109402 109402 109402 109402 109402 109402 109402 109402 109402 109402 109402 109402 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403 109403;179
interactive-discover-3;2;55;33928;false;33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33926 33927 33927 33927 33927 33927 33927 33927 33927 33927 33927 33927;128
interactive-discover-3;3;0;120715;true;;
interactive-discover-3;4;0;120301;true;;
interactive-discover-4;0;5;85735;false;85734 85734 85734 85734 85734;68
interactive-discover-4;1;3;3281;false;3280 3280 3280;55
interactive-discover-4;2;3;2286;false;2286 2286 2286;48
interactive-discover-4;3;3;7818;false;7818 7818 7818;36
interactive-discover-4;4;7;102167;false;102166 102166 102166 102166 102166 102166 102166;66
interactive-discover-5;0;15;2552;false;343 362 362 375 545 591 1597 1622 1640 1662 1672 1705 1985 2344 2528;52
interactive-discover-5;1;3;916;false;251 802 854;51
interactive-discover-5;2;3;752;false;153 738 749;44
interactive-discover-5;3;4;785;false;166 214 297 297;31
interactive-discover-5;4;20;1767;false;237 261 324 500 584 619 697 705 731 799 1085 1123 1211 1313 1350 1367 1378 1525 1582 1717;46
interactive-discover-6;0;0;121168;true;;
interactive-discover-6;1;1;2170;false;1491;51
interactive-discover-6;2;1;994;false;263;44
interactive-discover-6;3;0;121105;true;;
interactive-discover-6;4;27;8660;false;2421 3570 3874 3925 4222 4692 4769 5006 5354 5476 5548 5582 5663 5941 6263 6325 6600 6600 6878 7103 7406 7744 8003 8374 8515 8649 8656;46
interactive-discover-7;0;1;121416;true;11004;
interactive-discover-7;1;1;2346;false;1031;51
interactive-discover-7;2;1;974;false;218;44
interactive-discover-7;3;1;120449;true;9406;
interactive-discover-7;4;1;13251;false;3099;46
interactive-discover-8;0;10;11521;false;4387 5857 6853 7132 7318 7817 8974 9561 10754 10995;232
interactive-discover-8;1;10;22670;false;2006 16389 16493 18240 18800 19525 19525 20824 20978 21776;413
interactive-discover-8;2;2;121400;true;2466 8891;
interactive-discover-8;3;10;25128;false;17304 17591 18266 19100 19807 20494 22270 22456 24429 24429;309
interactive-discover-8;4;10;114250;true;3416 3471 6679 10352 12822 15206 23459 23459 25464 32083;1173
interactive-short-1;0;1;890;false;331;53
interactive-short-1;1;1;664;false;60;52
interactive-short-1;2;1;511;false;20;45
interactive-short-1;3;1;444;false;33;32
interactive-short-1;4;1;570;false;120;47
interactive-short-2;0;0;120059;true;;
interactive-short-2;1;1;120697;true;64113;
interactive-short-2;2;1;120343;true;39402;
interactive-short-2;3;1;120190;true;78508;
interactive-short-2;4;1;120142;true;75826;
interactive-short-3;0;1;122281;true;21700;
interactive-short-3;1;1;119957;true;10998;
interactive-short-3;2;0;119453;true;;
interactive-short-3;3;1;120415;true;14650;
interactive-short-3;4;1;119944;true;9030;
interactive-short-4;0;1;184;false;183;1
interactive-short-4;1;1;10;false;10;1
interactive-short-4;2;1;177;false;31;13
interactive-short-4;3;1;163;false;19;18
interactive-short-4;4;1;1;false;1;1
interactive-short-5;0;1;3087;false;898;266
interactive-short-5;1;1;5432;false;82;557
interactive-short-5;2;1;19013;false;87;2287
interactive-short-5;3;1;313;false;182;24
interactive-short-5;4;1;1949;false;51;239
interactive-short-6;0;0;120635;true;;
interactive-short-6;1;0;119567;true;;
interactive-short-6;2;0;120401;true;;
interactive-short-6;3;0;120705;true;;
interactive-short-6;4;0;122020;true;;
interactive-short-7;0;0;119559;true;;
interactive-short-7;1;0;119531;true;;
interactive-short-7;2;0;119720;true;;
interactive-short-7;3;0;119618;true;;
interactive-short-7;4;0;119381;true;;
