name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;24643;false;5898 6207 6756 6989 12750 13285;51
interactive-discover-1;1;4;15879;false;9605 10341 10481 10481;50
interactive-discover-1;2;1;13613;false;8594;43
interactive-discover-1;3;14;25684;false;5347 5364 5385 5396 5410 5457 5459 5535 5574 5627 5657 6529 6529 6794;30
interactive-discover-1;4;8;20247;false;5447 5477 5534 5543 5583 5629 6670 6685;45
interactive-discover-2;0;66;20780;false;3476 3485 3500 3520 3531 3537 3543 3553 3577 3599 3680 3746 3752 3768 3814 3854 3883 3892 3900 3908 3923 3942 3953 3964 3970 3972 3988 3998 4009 4025 4070 4077 4097 4201 4207 4235 4241 4249 4249 4278 4280 4310 4327 4344 4356 4388 4397 4413 4424 4443 4453 4492 4494 4508 4511 4512 4517 4518 4519 4538 18272 18281 18293 18295 20414 20444;52
interactive-discover-2;1;46;18216;false;7557 7594 7621 7629 14878 15257 15285 15535 15546 15672 15731 15872 15948 16051 16060 16145 16286 16361 16476 16546 16559 16622 16694 17419 17471 17471 17537 17559 17573 17595 17624 17631 17644 17653 17663 17667 17668 17676 17682 17690 17690 17698 17699 17706 17706 11052;51
interactive-discover-2;2;32;14502;false;4628 12294 12420 12496 12565 12767 12771 13887 13970 14103 14220 14254 14257 14272 14303 14325 14331 14345 14407 14408 14425 14428 14440 14440 14457 14470 14470 14482 14489 14490 14490 14490;44
interactive-discover-2;3;198;22470;false;5152 5173 5182 5187 5198 5200 5205 5207 5222 5317 5329 5339 5349 5353 6722 6737 7183 7195 7227 7285 7371 7440 7465 7499 7602 7688 7736 7902 8071 8232 8232 8420 12561 12695 13519 13563 13584 13604 13623 13644 13670 13710 13793 13826 13845 13886 13958 13972 14010 14012 14044 14063 14088 14106 14142 14142 14231 14265 14476 14589 14763 14771 14850 14923 14977 15052 15119 15124 15176 15192 15299 15348 15408 15411 15479 15530 15568 15590 15641 15649 15672 15690 15722 15754 15810 15869 15985 16027 16167 16186 16407 16462 16526 16587 16702 16748 16821 16841 16920 16941 16963 16976 17017 17042 17095 17151 17206 17230 17414 17577 17714 17721 17771 17838 17922 18008 18078 18080 18112 18135 18168 18186 18213 18240 18287 18309 18338 18379 18423 18429 18462 18479 18515 18529 18558 18561 18635 18655 18712 18776 18854 18869 18925 18952 18993 19015 19046 19047 19089 19125 19207 19237 19285 19289 19331 19353 19415 19452 19488 19491 19545 19579 19614 19626 19670 19675 19700 19754 19818 19920 19988 19990 20150 20197 20273 20327 20350 20396 20443 20479 21100 21687 21690 21888 21998 22142 22249 22287 22355 22369 22400 22414 22417 22426 22431 22452 22452 22453;31
interactive-discover-2;4;98;48312;false;4072 4157 4204 4234 4248 4267 4298 4311 4317 4339 4405 4410 4436 4446 4472 4478 4500 4504 4521 4531 4566 4567 4593 4609 4655 4661 4711 4716 4775 4799 4936 4989 5032 5036 5066 5101 5188 5203 5228 5244 5264 5271 5282 5304 5330 5335 5372 5381 5391 5403 5418 5430 5442 5452 5466 5477 5500 5507 5526 5549 5576 5590 5673 5690 5703 5715 5751 5758 5795 5806 5825 5841 5850 5863 6810 6846 7129 7140 8975 9057 9085 9132 9178 23486 23514 23528 23628 23660 23674 23702 27953 28047 28108 28327 28631 28663 28717 28754;46
interactive-discover-3;0;71;28526;false;28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28524 28525 28525 28525 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637 20637;178
interactive-discover-3;1;0;116232;true;;
interactive-discover-3;2;55;43134;false;43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43133 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134 43134;128
interactive-discover-3;3;0;120566;true;;
interactive-discover-3;4;142;16080;false;16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16068 16069 16069 16069 16069 16069 16069 16069 16069 16069 16069 16069 16069 16069 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16077 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16078 16079 16079 16079 16079 16079 16079 16079 16079 16079 16079 16079 16079 16079 16079;197
interactive-discover-4;0;5;17402;false;17401 17401 17401 17401 17401;68
interactive-discover-4;1;3;3151;false;3151 3151 3151;55
interactive-discover-4;2;3;1990;false;1989 1989 1989;48
interactive-discover-4;3;3;7540;false;7539 7540 7540;36
interactive-discover-4;4;7;17008;false;17008 17008 17008 17008 17008 17008 17008;66
interactive-discover-5;0;15;2281;false;426 450 953 968 1061 1089 1386 1490 1630 1851 2002 2007 2182 2266 2268;52
interactive-discover-5;1;3;700;false;235 545 667;51
interactive-discover-5;2;3;624;false;215 606 608;44
interactive-discover-5;3;4;918;false;174 274 274 278;31
interactive-discover-5;4;20;1985;false;228 239 310 339 370 388 670 670 902 1020 1154 1158 1257 1371 1466 1467 1502 1709 1800 1946;46
interactive-discover-6;0;0;120255;true;;
interactive-discover-6;1;1;2098;false;1086;51
interactive-discover-6;2;1;1001;false;694;44
interactive-discover-6;3;0;120838;true;;
interactive-discover-6;4;27;8074;false;2467 2880 3257 3311 3519 3854 3914 4213 4603 4697 4784 4784 4860 5130 5479 5530 5796 5836 6064 6361 6559 6843 7043 7313 7509 7670 7752;46
interactive-discover-7;0;1;120868;true;9883;
interactive-discover-7;1;1;2286;false;1031;51
interactive-discover-7;2;1;1107;false;259;44
interactive-discover-7;3;1;122233;true;11811;
interactive-discover-7;4;1;13039;false;2906;46
interactive-discover-8;0;10;79361;false;45801 45801 47516 48711 49296 55457 58418 65940 70880 77609;1017
interactive-discover-8;1;10;83334;false;61782 61782 65634 65634 72526 72526 76755 76755 81317 81317;1910
interactive-discover-8;2;7;115985;true;63034 63622 66895 70127 71531 75385 76771;
interactive-discover-8;3;10;98543;false;54893 55340 58643 61760 65375 65375 72789 76499 86590 94770;354
interactive-discover-8;4;5;116107;true;83784 83784 89229 92298 110419;
interactive-short-1;0;1;900;false;456;53
interactive-short-1;1;1;668;false;64;52
interactive-short-1;2;1;652;false;54;45
interactive-short-1;3;1;450;false;94;32
interactive-short-1;4;1;658;false;117;47
interactive-short-2;0;0;120329;true;;
interactive-short-2;1;0;120405;true;;
interactive-short-2;2;1;119895;true;25678;
interactive-short-2;3;0;119952;true;;
interactive-short-2;4;0;119891;true;;
interactive-short-3;0;0;11028;false;;393
interactive-short-3;1;0;10968;false;;798
interactive-short-3;2;0;11399;false;;1451
interactive-short-3;3;0;12097;false;;1651
interactive-short-3;4;0;12892;false;;2737
interactive-short-4;0;0;11562;false;;579
interactive-short-4;1;0;13926;false;;788
interactive-short-4;2;0;13510;false;;876
interactive-short-4;3;0;13442;false;;1006
interactive-short-4;4;0;14628;false;;651
interactive-short-5;0;0;13176;false;;658
interactive-short-5;1;0;12439;false;;1019
interactive-short-5;2;0;13822;false;;1019
interactive-short-5;3;0;15500;false;;1188
interactive-short-5;4;0;15432;false;;1311
interactive-short-6;0;0;106540;true;;
interactive-short-6;1;1;127488;true;10031;
interactive-short-6;2;0;119511;true;;
interactive-short-6;3;1;119596;true;165;
interactive-short-6;4;0;119409;true;;
interactive-short-7;0;0;10493;false;;513
interactive-short-7;1;0;10806;false;;641
interactive-short-7;2;0;10956;false;;838
interactive-short-7;3;0;11823;false;;909
interactive-short-7;4;0;12425;false;;694
