name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;21243;false;11446 11599 11817 12032 14086 14426;51
interactive-discover-1;1;4;15361;false;13905 13984 14068 14662;50
interactive-discover-1;2;1;11767;false;11250;43
interactive-discover-1;3;14;28068;false;5073 5133 5136 5149 5149 5157 5159 5161 5169 5172 5173 5175 5177 5181;30
interactive-discover-1;4;8;35584;false;8422 8628 8710 8812 8864 9021 9032 9150;45
interactive-discover-2;0;66;50964;false;6212 6282 6306 6317 6319 6348 6376 26382 26422 26450 26474 26509 26583 26583 26874 26877 27130 27200 27335 27353 27470 27484 28011 28021 28074 30429 30468 30619 30641 30649 30690 30694 30805 30812 30941 30979 31009 31012 31026 31031 31045 31048 31065 31071 31077 31095 31160 31207 31208 31214 31216 31221 31221 31227 31256 31260 31264 31265 31267 31277 32806 32813 32845 32888 50904 50912;52
interactive-discover-2;1;46;21631;false;5492 5793 5800 5800 20953 20962 20984 21004 21009 21010 21019 21026 21051 21052 21065 21073 21112 21175 21183 21183 21193 21226 21324 21340 21358 21370 21401 21426 21436 21475 21492 21492 21549 21572 21590 21592 21600 21608 21608 21617 21617 21617 21618 21622 21626 21626;51
interactive-discover-2;2;32;11087;false;7298 10706 10921 10929 10929 10945 10945 10955 10956 11043 11043 11044 11063 11064 11064 11069 11070 11072 11074 11074 11077 11077 5442 5442 370 370 370 370 370 370 370 370;44
interactive-discover-2;3;198;20587;false;4384 4411 4418 4421 4425 4425 4427 4429 4436 4436 4448 4451 4455 4458 4519 4519 11767 11802 11819 11954 11984 12337 12372 12498 12534 12670 12739 12784 12799 12860 13272 13444 13511 13566 13595 13768 13889 14001 14050 14117 14199 14236 14275 14358 14382 14450 14493 14519 14628 14685 14718 14770 14860 14909 14913 14925 14951 15008 15061 15161 15299 15690 15728 15815 15898 15913 15999 16022 16602 16649 16752 16907 17002 17056 17143 17240 17351 17512 17513 17674 17689 17741 17747 17788 17814 17941 17941 17989 17989 18096 18096 18167 18167 18217 18217 18302 18302 18394 18394 18438 18457 18517 18523 18561 18566 18691 18704 18737 18759 18767 18777 18796 18837 18994 19034 19049 19141 19168 19217 19256 19281 19304 19501 19564 19568 19648 19809 19873 19906 19908 19927 19991 20033 20037 20068 20152 20190 20208 20232 20232 20255 20280 20394 20394 20395 20396 20398 20412 20412 20420 20421 20421 20436 20442 20455 20482 20493 20493 20500 20511 20515 20522 20527 20528 20528 20530 20530 20537 20537 20537 20537 20537 20538 20539 20541 20543 20543 20545 20546 20548 20549 20549 20550 20550 20556 20556 20561 20567 20576 20577 20577 20577 20578 20578 20578 20578 20578 20587;31
interactive-discover-2;4;98;41636;false;9781 10160 10334 10475 10613 10770 10881 11715 12021 12275 12812 12958 14966 15090 15172 15233 15239 15334 15415 15481 15523 15588 15639 15685 15780 15804 15887 15967 17109 17638 17875 17911 18051 18126 18205 18298 18377 18466 18583 18598 18701 19350 19472 19736 19823 20252 20259 20411 20521 20639 20696 20781 20798 20830 20857 20875 20893 21107 21402 21437 21527 21609 21712 21931 22089 22125 22343 22449 22592 22622 22668 22710 22809 22831 23093 23109 23201 23302 23338 23356 23451 23514 23556 23718 23733 23809 23837 24301 24316 24505 24600 24690 24691 24786 24825 24922 24922 24983;46
interactive-discover-3;0;71;78468;true;2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784 2784;178
interactive-discover-3;1;67;6663;false;6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6660 6661 6661 6661 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662 6662;179
interactive-discover-3;2;55;3869;false;3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3856 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3857 3869 3869 3869 3869 3869 3869 3869 3869 3869 3869 3869 3869 3869 3869 3869;128
interactive-discover-3;3;203;11352;false;11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11332 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11335 11345 11345 11345 11345 11345 11345 11345 11345 11345 11345 11345 11345 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11349 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11350 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351 11351;237
interactive-discover-3;4;142;8679;false;8664 8664 8664 8664 8664 8664 8664 8664 8664 8664 8664 8664 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8671 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8676 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8677 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678 8678;197
interactive-discover-4;0;5;9796;false;9795 9795 9795 9795 9795;68
interactive-discover-4;1;1;2460;false;2460;55
interactive-discover-4;2;1;1884;false;1884;48
interactive-discover-4;3;3;2219;false;2219 1434 719;36
interactive-discover-4;4;7;9358;false;9358 9358 9358 9358 9358 9358 9358;66
interactive-discover-5;0;15;2844;false;375 419 734 738 742 1057 1430 1433 1587 1763 2312 2334 2828 2829 2830;52
interactive-discover-5;1;3;611;false;187 539 569;51
interactive-discover-5;2;3;519;false;207 501 510;44
interactive-discover-5;3;4;783;false;124 249 259 259;31
interactive-discover-5;4;20;2314;false;254 264 355 491 505 519 796 799 874 1105 1271 1278 1352 1546 1550 1556 1561 1733 1867 2273;46
interactive-discover-6;0;0;120569;true;;
interactive-discover-6;1;1;2280;false;1416;51
interactive-discover-6;2;1;926;false;455;44
interactive-discover-6;3;0;82197;true;;153
interactive-discover-6;4;27;9250;false;6379 9100 9109 9147 9147 9152 9154 9154 9163 9165 9165 9174 9177 9177 9197 9199 9199 9217 9217 9217 9221 9222 9222 9223 9224 9224 9229;46
interactive-discover-7;0;1;121625;true;15751;
interactive-discover-7;1;0;2147;false;;51
interactive-discover-7;2;1;1064;false;242;44
interactive-discover-7;3;1;121820;true;4745;
interactive-discover-7;4;1;5680;false;5365;46
interactive-discover-8;0;10;42621;false;22067 22067 25064 25300 25653 29313 31044 34160 37612 41675;1074
interactive-discover-8;1;10;39938;false;29320 29320 31408 31408 33540 33540 36504 36504 39341 39341;1382
interactive-discover-8;2;8;118393;true;35121 35121 36387 37326 37326 38925 38925 69671;
interactive-discover-8;3;10;49195;false;28117 29066 29066 31386 32648 32648 35658 37172 42931 47683;761
interactive-discover-8;4;10;106218;false;39068 39068 41220 41602 50745 55885 75424 77860 81419 104134;2123
interactive-short-1;0;0;2241;true;;651
interactive-short-1;1;0;2613;false;;406
interactive-short-1;2;1;2108;false;1124;612
interactive-short-1;3;0;2661;false;;539
interactive-short-1;4;1;3043;false;975;543
interactive-short-2;0;0;117964;true;;
interactive-short-2;1;0;120116;true;;
interactive-short-2;2;1;120620;true;12414;
interactive-short-2;3;0;119925;true;;
interactive-short-2;4;0;119803;true;;
interactive-short-3;0;1;2941;false;925;205
interactive-short-3;1;0;3136;false;;275
interactive-short-3;2;0;2923;false;;455
interactive-short-3;3;0;3545;false;;763
interactive-short-3;4;0;4906;false;;1157
interactive-short-4;0;0;2759;false;;148
interactive-short-4;1;0;3948;false;;395
interactive-short-4;2;0;3565;false;;264
interactive-short-4;3;0;3069;false;;233
interactive-short-4;4;0;3240;false;;240
interactive-short-5;0;0;4039;false;;443
interactive-short-5;1;0;3555;false;;250
interactive-short-5;2;0;3009;false;;369
interactive-short-5;3;0;3806;false;;510
interactive-short-5;4;0;3285;false;;380
interactive-short-6;0;1;78777;true;24704;
interactive-short-6;1;1;118811;true;12884;
interactive-short-6;2;0;119239;true;;
interactive-short-6;3;1;119633;true;194;
interactive-short-6;4;0;119702;true;;
interactive-short-7;0;0;3032;false;;165
interactive-short-7;1;0;3306;false;;131
interactive-short-7;2;0;3390;false;;277
interactive-short-7;3;0;2507;false;;358
interactive-short-7;4;0;2928;false;;247
