name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;20567;false;13022 13220 13220 13560 16427 16626;51
interactive-discover-1;1;4;16371;false;9464 9613 9712 9752;50
interactive-discover-1;2;1;15825;false;11288;43
interactive-discover-1;3;14;19647;false;4439 4439 4445 4479 4480 4480 4481 4481 4482 4482 4484 4484 4484 4691;30
interactive-discover-1;4;8;28227;false;8606 8649 8927 8930 8961 8971 9181 9242;45
interactive-discover-2;0;66;45558;false;3815 3834 3859 3872 3874 3881 3914 3936 3968 3984 3993 4012 4051 4081 4092 4106 4106 4121 4124 4132 4150 4163 4172 4172 4193 4209 4215 4223 4231 4233 4235 4236 4253 4271 4278 4295 4295 4306 4308 4321 4321 4323 4323 4327 4337 4356 4373 4378 4390 4396 4404 4409 4415 4415 4416 4421 4432 4462 4464 4476 7539 7597 7616 7621 45132 45245;52
interactive-discover-2;1;46;13470;false;5088 5088 5091 5091 13333 13358 13368 13375 13380 13387 13388 13392 13404 13432 13437 13439 13439 13442 13442 13446 13447 13454 13454 13455 13456 13456 13458 13459 13459 13462 13462 13462 13463 13463 13464 13464 13464 13464 13464 13464 13464 13469 13469 13469 13470 13470;51
interactive-discover-2;2;32;10322;false;9860 10186 10188 4656 4656 4657 4662 4665 4665 4665 4666 4670 4670 4673 4673 4674 4675 4676 4676 4676 4677 4681 4688 4688 4717 4717 4738 4738 4738 4777 4777 4777;44
interactive-discover-2;3;198;19440;false;5856 5859 5879 5910 5919 5933 5958 5964 5977 5977 5989 5992 6009 6013 6041 6048 9401 9469 9492 9510 9605 9665 9743 9802 9845 9914 9918 10021 10072 10163 10266 10381 10443 10753 10773 10810 10815 10859 10878 10912 10934 10994 11053 11146 11189 11260 11283 11324 11335 11353 11365 11419 11430 11497 11500 11540 11550 11600 11606 11638 11638 11688 11711 11747 11764 11819 12040 12052 12228 12248 12442 12543 12652 12664 12730 12735 12758 12767 12793 12796 12853 12860 12904 13039 13075 13109 13183 13241 13295 13311 13382 13405 13443 13466 13503 13540 13563 13581 13604 13626 13668 13677 13690 13699 13831 13850 13894 13899 13926 13936 13962 13993 14010 14019 14024 14037 14062 14083 14174 14178 14228 14230 14367 14368 15124 15136 15616 15633 15942 15947 16057 16066 16291 16293 16358 16383 16442 16442 16466 16469 16542 16543 16588 16745 16840 16875 16884 16925 16957 16996 17007 17012 17020 17025 17036 17038 17040 17053 17055 17055 17056 17059 17059 17063 17064 17080 17086 17087 17091 17092 17094 17095 17096 17096 17098 17099 17100 17107 17110 17112 17115 17117 17122 17123 17125 17131 17131 17158 17158 17161 17163 17207 17208 17209 17211 17211 17212 17213;31
interactive-discover-2;4;98;36999;false;3231 3324 3327 3405 3471 3545 3648 3661 5625 5777 5782 6014 18744 18847 18877 18997 30701 30744 30789 30877 30897 31015 31092 31209 31211 31308 31349 31387 31442 31473 31501 31562 32592 33079 33080 33209 33293 33329 33437 33485 33575 33600 33780 33827 33878 33998 34043 34051 34256 34292 34344 34378 34505 34563 34680 34707 34735 34745 34785 34837 34896 34999 35061 35358 35398 35462 35462 35513 35514 35523 35546 35555 35594 35604 35608 35615 35625 35634 35647 35647 35650 35656 35658 35662 35664 35666 35667 35669 35679 35695 35737 35737 35750 35762 35771 35778 35780 35787;46
interactive-discover-3;0;71;24568;false;24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24563 24564 24564 24564 24564 24564 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24566 24567 24567 24567 24567 24567 24567 24567 24567 24567;178
interactive-discover-3;1;67;19300;false;19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19298 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 19299 9213 9213;179
interactive-discover-3;2;55;73365;true;34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34861 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866 34866;128
interactive-discover-3;3;0;99978;true;;
interactive-discover-3;4;142;19765;false;19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19759 19760 19760 19760 19760 19760 19760 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19762 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19763 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764 19764;197
interactive-discover-4;0;5;23235;false;23235 23235 23235 23235 23235;68
interactive-discover-4;1;3;6321;false;6320 6320 6320;55
interactive-discover-4;2;3;7140;false;7137 7137 7137;48
interactive-discover-4;3;3;8521;false;8521 8521 8521;36
interactive-discover-4;4;7;24152;false;24152 24152 24152 24152 24152 24152 24152;66
interactive-discover-5;0;15;6390;false;1280 1288 1291 1292 1312 2465 2969 2980 2981 3091 3093 3105 3322 3573 6170;52
interactive-discover-5;1;3;5064;false;2015 4947 4974;51
interactive-discover-5;2;3;3999;false;1614 3957 3995;44
interactive-discover-5;3;4;5220;false;1651 1667 1668 1668;31
interactive-discover-5;4;20;6348;false;1416 1428 1463 1508 1522 1546 1876 1928 2765 5295 5399 5579 5650 5720 5837 5837 5838 6010 6010 6083;46
interactive-discover-6;0;0;118288;true;;
interactive-discover-6;1;1;1966;false;1350;51
interactive-discover-6;2;0;902;false;;44
interactive-discover-6;3;0;121804;true;;
interactive-discover-6;4;27;11340;false;2381 2755 3070 3136 3355 3807 3872 4162 6633 6690 6768 6768 6814 7034 11274 11274 11280 11281 11281 11281 11282 11283 11283 11284 11284 11284 11285;46
interactive-discover-7;0;1;122111;true;24300;
interactive-discover-7;1;1;2223;false;913;51
interactive-discover-7;2;0;888;false;;44
interactive-discover-7;3;1;120896;true;9982;
