name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;3;6;6;6;1405;2138;994;2138 1083 994;416.6666666666667 498.3333333333333 526 548.3333333333334 855.6666666666666 860.3333333333334;806 866 882 892 1201 1205;214 282 308 358 663 664;275.3777203930792 261.3303571259098 253.83984452143574 243.47803916484042 244.73296104575334 244.50266983318517;519.5812416424083;"[[806,866,882,892,1201,1205],[230,347,388,395,703,712],[214,282,308,358,663,664]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;3;4;4;4;1055;1344;860;961 1344 860;119.66666666666667 132 140 140;141 160 166 166;88 89 89 89;22.83759084394752 30.865298745786774 36.0647565729573 36.0647565729573;208.4722203716041;"[[141,160,165,165],[130,147,166,166],[88,89,89,89]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;3;1;1;1;589.6666666666666;626;570;570 626 573;101;115;91;10.198039027185569;25.72072229848057;"[[115],[97],[91]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;3;14;14;14;539;560;501;560 556 501;129.66666666666666 136.33333333333334 137 138 138.33333333333334 138.33333333333334 138.33333333333334 138.33333333333334 138.33333333333334 138.33333333333334 138.66666666666666 139.33333333333334 139.66666666666666 139.66666666666666;152 152 153 154 155 155 155 155 155 155 155 155 156 156;107 122 122 123 123 123 123 123 123 123 123 123 123 123;18.372685039360892 12.283683848458853 12.675435561221029 12.675435561221029 13.097921802925667 13.097921802925667 13.097921802925667 13.097921802925667 13.097921802925667 13.097921802925667 13.07244770075172 13.07244770075172 13.474255287605159 13.474255287605159;26.919633479426622;"[[152,152,153,154,155,155,155,155,155,155,155,155,156,156],[130,135,136,137,137,137,137,137,137,137,138,140,140,140],[107,122,122,123,123,123,123,123,123,123,123,123,123,123]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;3;8;8;8;1243.6666666666667;1887;901;1887 901 943;298.6666666666667 299.3333333333333 300 301 362.3333333333333 424.6666666666667 435.6666666666667 442;367 368 369 369 446 462 468 474;250 250 251 253 293 388 401 408;49.74825513411389 50.07549855523713 50.20624131187941 49.42334131426837 63.27892399703255 30.214051182999096 27.402351886086148 26.981475126464083;455.2283920065717;"[[250,250,251,253,293,424,438,444],[367,368,369,369,446,462,468,474],[279,280,280,281,348,388,401,408]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;3;66;66;66;769.3333333333334;821;712;775 712 821;151 159 174 177 179.33333333333334 179.66666666666666 180 180.66666666666666 180.66666666666666 181 181 182.33333333333334 182.33333333333334 185.33333333333334 185.33333333333334 185.33333333333334 191 191 192 199 212.66666666666666 220.66666666666666 226 231.33333333333334 251 271.3333333333333 276 302 321.3333333333333 324 325.6666666666667 329.6666666666667 330.3333333333333 330.6666666666667 330.6666666666667 330.6666666666667 330.6666666666667 330.6666666666667 330.6666666666667 331 331 331 331.3333333333333 332 332 333.6666666666667 336 336.3333333333333 336.3333333333333 336.3333333333333 336.3333333333333 336.3333333333333 336.3333333333333 336.3333333333333 336.6666666666667 336.6666666666667 336.6666666666667 338.6666666666667 338.6666666666667 338.6666666666667 358.6666666666667 375.6666666666667 386 396 769.3333333333334 769.3333333333334;157 175 180 185 190 191 191 192 192 192 192 193 193 193 193 193 203 203 203 224 224 237 247 255 277 279 289 324 367 367 368 368 368 368 368 368 368 368 368 368 368 368 369 369 369 369 370 370 370 370 370 370 370 370 370 370 370 372 372 372 401 431 449 465 821 821;143 146 168 172 173 173 173 174 174 174 174 177 177 177 177 177 177 177 180 180 194 194 194 202 237 259 259 280 280 280 280 280 280 281 281 281 281 281 281 281 281 281 281 281 281 282 282 282 282 282 282 282 282 282 282 282 282 286 286 286 311 330 336 340 712 712;5.887840577551898 12.027745701779143 4.898979485566356 5.715476066494082 7.586537784494028 8.055363982396381 7.874007874011811 8.055363982396381 8.055363982396381 7.874007874011811 7.874007874011811 7.542472332656507 7.542472332656507 6.548960901462833 6.548960901462833 6.548960901462833 10.708252269472673 10.708252269472673 9.41629792788369 18.457157599876172 13.299958228840003 19.014614262602215 22.992752481307377 22.00504992546534 18.40289832245635 8.806563209081936 12.569805089976535 17.962924780409974 35.64952859280034 35.52463933666322 36.003086287459055 36.80881536926839 37.025516726831626 36.572606627851336 36.572606627851336 36.572606627851336 36.572606627851336 36.572606627851336 36.572606627851336 36.68787265568828 36.68787265568828 36.68787265568828 37.025516726831626 37.26481808176 37.26481808176 37.3482113211448 38.60915262818736 38.784303812524755 38.784303812524755 38.784303812524755 38.784303812524755 38.784303812524755 38.784303812524755 38.784303812524755 38.96437118987322 38.96437118987322 38.96437118987322 37.67698973585278 37.67698973585278 37.67698973585278 36.935379004718804 41.79579989531111 47.038990918882035 51.85235449491823 44.67910274638718 44.67910274638718;44.67910274638718;"[[157,175,180,185,190,191,191,192,192,192,192,193,193,193,193,193,193,193,193,193,194,194,194,202,239,276,289,324,367,367,368,368,368,368,368,368,368,368,368,368,368,368,369,369,369,369,370,370,370,370,370,370,370,370,370,370,370,372,372,372,401,431,449,465,775,775],[143,146,168,172,173,173,173,174,174,174,174,177,177,186,186,186,203,203,203,224,224,237,237,237,237,259,259,302,317,325,329,341,343,343,343,343,343,343,343,344,344,344,344,346,346,350,356,357,357,357,357,357,357,357,358,358,358,358,358,358,364,366,373,383,712,712],[153,156,174,174,175,175,176,176,176,177,177,177,177,177,177,177,177,177,180,180,220,231,247,255,277,279,280,280,280,280,280,280,280,281,281,281,281,281,281,281,281,281,281,281,281,282,282,282,282,282,282,282,282,282,282,282,282,286,286,286,311,330,336,340,821,821]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;3;46;46;46;1075;1308;952;1308 952 965;97 104 106.33333333333333 106.33333333333333 286.6666666666667 319.3333333333333 319.6666666666667 344.6666666666667 345.3333333333333 345.3333333333333 368.6666666666667 395.6666666666667 425.6666666666667 451.3333333333333 476.6666666666667 505.3333333333333 531 559.6666666666666 587.6666666666666 588 612.6666666666666 639.6666666666666 668 696 696.6666666666666 725 725.3333333333334 750 782 783.3333333333334 784.6666666666666 786.6666666666666 786.6666666666666 803 831.6666666666666 832.6666666666666 855.6666666666666 888 889 890.6666666666666 914.6666666666666 915.6666666666666 916.6666666666666 937.6666666666666 965.6666666666666 1001;106 112 118 118 406 443 444 477 478 478 508 541 578 611 643 680 712 749 781 781 815 847 884 917 918 959 959 989 1025 1026 1027 1028 1028 1053 1089 1090 1120 1160 1161 1162 1194 1195 1196 1225 1257 1306;90 93 93 93 141 174 174 193 194 194 214 238 264 284 306 331 351 377 401 402 422 446 469 494 495 517 517 539 566 567 568 571 571 584 607 608 629 658 659 660 677 678 679 699 723 745;6.683312551921141 8.04155872120988 10.274023338281628 10.274023338281628 109.77654070378102 110.88232000138206 111.25446308151218 116.74568752444587 116.69142594419219 116.69142594419219 120.51371521762806 124.0062722428005 128.35973754344553 133.60721870052114 137.61379129853066 142.478848332734 147.37932917022886 151.94150921398082 155.20595635763755 154.80525400213867 160.6535264336129 163.99254725613463 169.84895250388408 173.2108541633578 173.24805594548206 181.3798959826217 181.33272058720001 184.77553950672151 188.35604582810714 188.308847965841 188.26281865755882 187.45014151916652 187.45014151916652 192.71913933666957 198.1267832026307 198.1267832026307 202.211660285839 207.08130448368985 207.08130448368985 206.94819534259184 213.11082145733994 213.11082145733994 213.11082145733994 217.4784791396355 220.7039243471267 231.6333309349067;164.84133785754915;"[[106,107,108,108,406,443,444,477,478,478,508,541,578,611,643,680,712,749,781,781,815,847,884,917,918,959,959,989,1025,1026,1027,1028,1028,1053,1089,1090,1120,1160,1161,1162,1194,1195,1196,1225,1257,1306],[95,112,118,118,313,341,341,364,364,364,384,408,435,459,481,505,530,553,581,581,601,626,651,677,677,699,700,722,755,757,759,761,761,772,799,800,818,846,847,850,873,874,875,889,917,952],[90,93,93,93,141,174,174,193,194,194,214,238,264,284,306,331,351,377,401,402,422,446,469,494,495,517,517,539,566,567,568,571,571,584,607,608,629,658,659,660,677,678,679,699,723,745]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;3;32;32;32;594.3333333333334;675;482;675 482 626;89.33333333333333 135 145 157.66666666666666 170.66666666666666 170.66666666666666 186.33333333333334 187.33333333333334 187.66666666666666 187.66666666666666 196.33333333333334 210.33333333333334 225.33333333333334 239.66666666666666 255 268.3333333333333 281.6666666666667 295.3333333333333 309 324.6666666666667 337.6666666666667 350.6666666666667 363.6666666666667 379 392.6666666666667 405.3333333333333 418.6666666666667 433.3333333333333 434 446.3333333333333 459 473;109 157 161 182 196 196 216 217 217 217 226 244 260 274 290 309 325 339 356 372 387 405 419 435 455 469 483 500 501 515 535 547;71 106 117 128 143 143 152 153 153 153 161 172 190 203 213 225 236 251 258 270 280 291 304 315 322 331 345 356 356 364 374 389;15.542057635833022 21.400934559032695 19.86621923433512 22.365648262955006 21.699974398346395 21.699974398346395 26.335442953471574 26.335442953471574 26.398653164297773 26.398653164297773 26.83695627716046 29.578520735305357 28.58126814696802 29.0325487838889 31.822423959633664 34.34465832637669 36.37153954521157 35.92894221778438 40.10818702792071 41.96294661828324 44.078213313255894 46.69284979761058 47.04843839656695 49.31531202375181 54.61583002105606 56.84090858606052 56.72350091060632 59.26962872238098 59.70482950873126 62.398361801857874 66.03534407169138 64.88964991943374;81.91187676738676;"[[109,142,157,182,196,196,216,217,217,217,226,244,260,274,290,309,325,339,356,372,387,405,419,435,455,469,483,500,501,515,535,547],[71,106,117,128,143,143,152,153,153,153,161,172,190,203,213,225,236,251,258,270,280,291,304,315,322,331,345,356,356,364,374,389],[88,157,161,163,173,173,191,192,193,193,202,215,226,242,262,271,284,296,313,332,346,356,368,387,401,416,428,444,445,460,468,483]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;3;198;198;198;880;930;801;930 909 801;199.33333333333334 205.33333333333334 205.66666666666666 208.66666666666666 210.66666666666666 217 217.33333333333334 217.33333333333334 217.33333333333334 218.33333333333334 218.66666666666666 218.66666666666666 218.66666666666666 218.66666666666666 218.66666666666666 219 219 219 219 219 222 222 223.66666666666666 224.66666666666666 225.66666666666666 229.33333333333334 229.66666666666666 230 230 237 239.33333333333334 243.33333333333334 245.66666666666666 248 250.66666666666666 251.33333333333334 251.66666666666666 252 252.33333333333334 252.33333333333334 252.33333333333334 252.66666666666666 252.66666666666666 252.66666666666666 252.66666666666666 252.66666666666666 252.66666666666666 252.66666666666666 252.66666666666666 252.66666666666666 252.66666666666666 253 253 253.33333333333334 253.33333333333334 253.33333333333334 253.33333333333334 253.66666666666666 253.66666666666666 254 254 254 258.3333333333333 259.6666666666667 262.3333333333333 264.6666666666667 267.3333333333333 267.6666666666667 268 271.3333333333333 271.3333333333333 274.3333333333333 276 281 285.3333333333333 290 292.3333333333333 296.6666666666667 296.6666666666667 297.6666666666667 297.6666666666667 297.6666666666667 297.6666666666667 297.6666666666667 297.6666666666667 297.6666666666667 297.6666666666667 297.6666666666667 298 298.3333333333333 298.3333333333333 298.3333333333333 298.3333333333333 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 298.6666666666667 299 301 301 301 301 304.3333333333333 305.6666666666667 307 310.6666666666667 313 313 313.3333333333333 313.3333333333333 313.3333333333333 313.6666666666667 313.6666666666667 314 315 315.6666666666667 315.6666666666667 319.3333333333333 320.3333333333333 329.3333333333333 338.3333333333333 347.6666666666667 350.6666666666667 355.6666666666667 355.6666666666667 356 356 356 356.3333333333333 356.6666666666667 356.6666666666667 356.6666666666667 356.6666666666667 356.6666666666667 356.6666666666667 356.6666666666667 356.6666666666667 356.6666666666667 356.6666666666667 357 357 357 357 357 357 357 357 357 357 357.3333333333333 357.3333333333333 357.3333333333333 358 358 358 358 358 361.3333333333333 362.3333333333333 363 363.3333333333333 366.6666666666667 367 367 367 367 367 367.6666666666667 367.6666666666667 368 368.3333333333333 369.3333333333333 370.3333333333333 371.6666666666667 373 374 374.6666666666667 375.3333333333333 375.3333333333333 375.3333333333333 375.3333333333333 375.3333333333333 375.3333333333333 375.3333333333333 375.6666666666667 375.6666666666667 375.6666666666667 376.3333333333333 377.6666666666667 378.6666666666667 379.6666666666667;206 218 218 219 219 219 220 220 220 222 222 222 222 222 222 222 222 222 222 222 229 229 234 237 240 242 243 244 244 246 249 249 251 255 260 260 261 262 262 262 262 263 263 263 263 263 263 263 263 263 263 263 263 263 263 263 263 263 263 264 264 264 264 268 276 283 291 292 293 293 293 293 294 294 294 294 294 303 303 305 305 305 305 305 305 305 305 305 305 305 305 305 305 306 306 306 306 306 306 306 306 306 306 306 306 306 306 306 306 311 314 318 329 336 336 337 337 337 338 338 338 338 338 338 338 338 338 356 379 379 380 380 380 380 380 380 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 382 382 382 382 382 382 382 382 382 382 382 382 382 382 382 382 382 382 384 384 385 385 388 391 392 394 396 396 396 396 396 396 396 396 396 396 396 396 397 398 399 400;186 186 187 194 200 213 213 213 213 213 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 217 217 217 217 225 227 234 237 240 243 244 244 244 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 246 246 246 246 246 246 246 246 246 247 247 247 247 247 247 247 252 252 261 265 272 279 285 290 293 293 294 294 294 294 294 294 294 294 294 294 295 295 295 295 295 295 295 295 295 295 295 295 295 295 295 295 296 296 296 296 296 297 297 297 297 297 297 297 297 297 297 297 300 300 300 309 309 319 321 326 334 339 339 339 339 339 339 339 339 339 339 339 339 339 339 339 339 340 340 340 340 340 340 340 340 340 340 340 340 340 342 342 342 342 342 351 351 351 351 351 351 351 351 351 351 351 351 351 352 352 352 355 357 358 360 362 362 362 362 362 362 362 362 362 362 363 364 365 366;9.428090415820632 13.888444437333106 13.424687043734844 10.656244908763853 7.930251502246879 2.8284271247461903 3.0912061651652345 3.0912061651652345 3.0912061651652345 3.858612300930075 3.39934634239519 3.39934634239519 3.39934634239519 3.39934634239519 3.39934634239519 3.559026084010437 3.559026084010437 3.559026084010437 3.559026084010437 3.559026084010437 6.164414002968976 6.164414002968976 8.178562764256865 9.463379711052259 10.780641085864152 10.208928554075703 10.624918300339484 11.045361017187261 11.045361017187261 8.831760866327848 9.177266598624136 6.649979114420001 6.182412330330469 6.164414002968976 7.039570693980958 6.599663291074443 7.039570693980958 7.483314773547883 7.133644853010899 7.133644853010899 7.133644853010899 7.586537784494028 7.586537784494028 7.586537784494028 7.586537784494028 7.586537784494028 7.586537784494028 7.586537784494028 7.586537784494028 7.586537784494028 7.586537784494028 7.483314773547883 7.483314773547883 7.133644853010899 7.133644853010899 7.133644853010899 7.133644853010899 7.039570693980958 7.039570693980958 7.483314773547883 7.483314773547883 7.483314773547883 8.013876853447538 9.104333522498441 11.897712198383164 14.70449666674185 18.116904322268255 18.553226733434325 18.991226044325487 16.81930108205715 16.81930108205715 13.59738536958076 12.832251036613439 9.41629792788369 6.342099196813483 3.7416573867739413 1.699673171197595 4.4969125210773475 4.4969125210773475 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 4.96655480858378 4.714045207910317 4.714045207910317 4.714045207910317 4.714045207910317 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 5.185449728701348 4.96655480858378 4.08248290463863 4.08248290463863 4.08248290463863 4.08248290463863 6.236095644623236 6.944222218666553 8.602325267042627 13.474255287605157 16.673332000533065 16.673332000533065 17.13346303452853 17.13346303452853 17.13346303452853 17.594190960528863 17.594190960528863 17.45470328211473 16.51262143533445 16.21384867602041 16.21384867602041 13.224556283251582 12.657891697365017 7.845734863959881 14.29063407348401 22.69116323349001 20.138409955990955 17.594190960528863 17.594190960528863 17.45470328211473 17.45470328211473 17.45470328211473 17.326921891156037 17.78263822446552 17.78263822446552 17.78263822446552 17.78263822446552 17.78263822446552 17.78263822446552 17.78263822446552 17.78263822446552 17.78263822446552 17.78263822446552 17.45470328211473 17.45470328211473 17.45470328211473 17.45470328211473 17.45470328211473 17.45470328211473 17.45470328211473 17.45470328211473 17.45470328211473 17.45470328211473 17.9133717900592 17.9133717900592 17.9133717900592 17.281975195754296 17.281975195754296 17.281975195754296 17.281975195754296 17.281975195754296 14.613540144521982 13.960261060914616 13.589211407093005 13.424687043734844 12.657891697365017 12.675435561221029 12.675435561221029 12.675435561221029 12.675435561221029 12.675435561221029 13.474255287605157 13.474255287605157 13.880441875771343 13.474255287605157 14.727148022916348 16.006942938057293 15.326085243430198 15.513435037626794 16.08311744241976 15.4344492037203 14.817407180595245 14.817407180595245 14.817407180595245 14.817407180595245 14.817407180595245 14.817407180595245 14.817407180595245 14.65908895153068 14.65908895153068 14.65908895153068 14.817407180595245 14.65908895153068 14.65908895153068 14.65908895153068;56.515484603779164;"[[206,212,212,213,213,213,213,213,213,213,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,217,217,217,217,225,227,234,237,240,243,244,244,244,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,246,246,246,246,246,246,246,246,246,247,247,247,247,247,247,247,252,252,261,265,272,283,291,293,293,293,294,294,294,294,294,294,294,294,294,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,296,296,296,296,296,296,297,297,297,297,297,297,297,297,297,297,297,300,300,300,311,314,331,356,379,379,380,380,380,380,380,380,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,384,384,385,385,388,391,392,394,396,396,396,396,396,396,396,396,396,396,396,396,397,398,399,400],[186,186,187,194,200,219,219,219,219,222,222,222,222,222,222,222,222,222,222,222,223,223,223,223,223,229,229,229,229,240,242,247,251,255,260,260,261,262,262,262,262,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,264,264,264,264,264,264,264,264,264,264,269,269,269,269,277,279,285,290,303,303,305,305,305,305,305,305,305,305,305,305,305,305,305,305,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,307,307,309,309,309,309,319,321,326,334,348,348,349,349,349,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,351,351,351,351,351,351,351,351,351,351,351,351,351,352,352,352,355,357,358,360,362,362,362,362,362,362,362,362,362,362,363,364,365,366],[206,218,218,219,219,219,220,220,220,220,220,220,220,220,220,221,221,221,221,221,229,229,234,237,240,242,243,244,244,246,249,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,251,251,251,251,251,251,252,252,252,252,252,264,268,276,283,291,292,293,293,293,293,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,301,301,301,301,311,314,318,329,336,336,337,337,337,338,338,338,338,338,338,338,338,338,338,338,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,340,340,340,340,340,340,340,340,340,340,340,340,340,342,342,342,342,342,351,354,356,357,367,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,369,369,369,369,371,372,373]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;3;98;98;98;870.3333333333334;1068;699;844 699 1068;155.33333333333334 159.33333333333334 196.33333333333334 199.66666666666666 203 203.33333333333334 204.33333333333334 204.33333333333334 205 205.66666666666666 205.66666666666666 205.66666666666666 205.66666666666666 205.66666666666666 206 206.33333333333334 206.33333333333334 206.33333333333334 206.66666666666666 207 207 207 208.33333333333334 208.66666666666666 208.66666666666666 221 238 254 274.3333333333333 306.6666666666667 329.3333333333333 333 354.6666666666667 360.3333333333333 363 365.3333333333333 365.6666666666667 365.6666666666667 365.6666666666667 366 366 366 366.3333333333333 367 367 367 367 367.3333333333333 367.3333333333333 367.3333333333333 367.3333333333333 367.3333333333333 367.3333333333333 367.3333333333333 367.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.3333333333333 368.6666666666667 368.6666666666667 369 369 369 369 369.3333333333333 369.3333333333333 369.3333333333333 369.3333333333333 372 372 372 372 374.3333333333333 383.6666666666667 401.3333333333333 423.6666666666667 441 455.3333333333333 493.3333333333333 496 503.6666666666667 505.3333333333333 507 509.3333333333333 513 513 513.6666666666666 518 521.6666666666666 525.6666666666666 534.3333333333334;180 181 216 221 229 230 231 231 232 233 233 233 233 233 234 234 234 234 234 235 235 235 238 238 238 275 302 308 318 339 348 352 384 385 385 386 386 386 386 386 386 386 387 387 387 387 387 387 387 387 387 387 387 387 387 388 388 388 388 388 388 388 388 388 388 389 389 389 389 389 389 389 389 389 389 390 390 390 390 390 411 425 449 488 512 626 628 628 628 630 630 630 630 630 630 633 634 637;142 144 170 171 172 172 173 173 174 174 174 174 174 174 174 175 175 175 175 175 175 175 176 176 176 176 176 185 226 282 316 322 325 332 339 344 344 344 344 344 344 344 344 345 345 345 345 345 345 345 345 345 345 345 345 346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 347 347 347 347 347 347 347 347 350 350 389 390 390 390 390 396 419 424 427 433 444 444 446 455 458 463 469;17.46106780494506 15.755069730795299 19.362047641943477 21.060758665241753 23.53720459187964 23.907228102721476 23.907228102721476 23.907228102721476 23.84673283002656 24.280765135299085 24.280765135299085 24.280765135299085 24.280765135299085 24.280765135299085 24.657656011875904 24.225789747475496 24.225789747475496 24.225789747475496 24.280765135299085 24.657656011875904 24.657656011875904 24.657656011875904 25.381533094401966 25.42090128658349 25.42090128658349 40.91454509095757 51.45872132107443 51.32250968142536 37.70352179247392 23.893281249943232 13.59738536958076 13.490737563232042 24.087802353519557 21.791945504908206 18.83259585576738 17.15290710702481 17.172329163188344 17.172329163188344 17.172329163188344 17.204650534085253 17.204650534085253 17.204650534085253 17.594190960528863 17.204650534085253 17.204650534085253 17.204650534085253 17.204650534085253 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 17.632041540584257 17.632041540584257 17.682382946499793 17.682382946499793 17.682382946499793 17.682382946499793 17.249798710580816 17.249798710580816 17.249798710580816 17.249798710580816 18.239152027072603 18.239152027072603 18.239152027072603 18.239152027072603 17.441967269268172 25.302612952464457 16.73983937265296 24.796953217863056 40.10818702792071 50.18189137749017 98.55398971573342 97.37898472805448 89.81586100956162 88.26223553832195 88.27608207587527 86.31853154965559 83.17451532771321 83.17451532771321 82.62498949403195 79.40193112680993 78.99507720245752 76.91698266457298 73.49074015744357;151.79005969503476;"[[142,144,170,171,172,172,173,173,174,174,174,174,174,174,174,175,175,175,175,175,175,175,176,176,176,176,176,185,226,282,316,322,384,385,385,386,386,386,386,386,386,386,387,387,387,387,387,387,387,387,387,387,387,387,387,388,388,388,388,388,388,388,388,388,388,389,389,389,389,389,389,389,389,389,389,390,390,390,390,390,390,390,390,390,390,390,396,419,424,427,433,444,444,446,455,458,463,469],[144,153,203,207,208,208,209,209,209,210,210,210,210,210,210,210,210,210,211,211,211,211,211,212,212,212,236,269,279,299,324,325,325,332,339,344,344,344,344,344,344,344,344,345,345,345,345,345,345,345,345,345,345,345,345,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,347,347,347,347,347,347,347,347,350,350,389,449,488,512,626,628,628,628,630,630,630,630,630,630,633,634,637],[180,181,216,221,229,230,231,231,232,233,233,233,233,233,234,234,234,234,234,235,235,235,238,238,238,275,302,308,318,339,348,352,355,364,365,366,367,367,367,368,368,368,368,369,369,369,369,370,370,370,370,370,370,370,370,371,371,371,371,371,371,371,371,371,371,371,371,372,372,372,372,372,372,372,372,379,379,379,379,383,411,425,432,445,464,464,464,464,464,464,465,465,465,465,469,474,480,497]]"
