name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;3;6;6;6;1260.3333333333333;1915;910;1915 956 910;444.6666666666667 444.6666666666667 444.6666666666667 444.6666666666667 854.6666666666666 854.6666666666666;658 658 658 658 1171 1171;272 272 272 272 668 668;160.18600299512926 160.18600299512926 160.18600299512926 160.18600299512926 224.88861440475122 224.88861440475122;463.29999880087297;"[[658,658,658,658,1171,1171],[404,404,404,404,725,725],[272,272,272,272,668,668]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;3;4;4;4;886;982;743;982 933 743;118 119.33333333333333 119.33333333333333 122.66666666666667;167 167 167 174;60 64 64 64;44.14370472294625 42.3975890299856 42.3975890299856 45.20570268843916;103.0760237235928;"[[167,167,167,174],[127,127,127,130],[60,64,64,64]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;3;1;1;1;587;776;478;776 478 507;104.33333333333333;133;88;20.33606539022619;134.166563146958;"[[133],[92],[88]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;3;14;14;14;610.6666666666666;694;551;694 551 587;128 128 132.33333333333334 132.33333333333334 132.33333333333334 132.33333333333334 132.33333333333334 132.33333333333334 132.33333333333334 132.33333333333334 133.33333333333334 133.33333333333334 133.33333333333334 133.33333333333334;154 154 158 158 158 158 158 158 158 158 158 158 158 158;103 103 106 106 106 106 106 106 106 106 108 108 108 108;20.83266665599966 20.83266665599966 21.23414441151065 21.23414441151065 21.23414441151065 21.23414441151065 21.23414441151065 21.23414441151065 21.23414441151065 21.23414441151065 20.417857108151406 20.417857108151406 20.417857108151406 20.417857108151406;60.73073539997867;"[[154,154,158,158,158,158,158,158,158,158,158,158,158,158],[127,127,133,133,133,133,133,133,133,133,134,134,134,134],[103,103,106,106,106,106,106,106,106,106,108,108,108,108]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;3;8;8;8;1078.6666666666667;1232;987;1017 987 1232;266 266 266 266 318.6666666666667 318.6666666666667 318.6666666666667 318.6666666666667;405 405 405 405 416 416 416 416;190 190 190 190 241 241 241 241;98.43102491931427 98.43102491931427 98.43102491931427 98.43102491931427 72.78430844320468 72.78430844320468 72.78430844320468 72.78430844320468;109.1125820222194;"[[405,405,405,405,416,416,416,416],[203,203,203,203,241,241,241,241],[190,190,190,190,299,299,299,299]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;3;66;66;66;1072.6666666666667;1429;797;1429 992 797;146.33333333333334 146.66666666666666 180.66666666666666 183.66666666666666 193.33333333333334 193.33333333333334 195 195 195.33333333333334 195.33333333333334 195.66666666666666 195.66666666666666 198.33333333333334 198.33333333333334 201 201 202 202 206.33333333333334 206.33333333333334 210.33333333333334 211.66666666666666 214.66666666666666 216.66666666666666 217 218 221.66666666666666 223.66666666666666 226.33333333333334 227 227 230.66666666666666 231.33333333333334 231.33333333333334 231.66666666666666 235.66666666666666 236.33333333333334 246 248.33333333333334 251.66666666666666 253.66666666666666 258 258 258 265.3333333333333 266 266 267.3333333333333 280.3333333333333 283.3333333333333 283.3333333333333 314.3333333333333 314.3333333333333 316.6666666666667 316.6666666666667 317 317 317.3333333333333 317.3333333333333 318.6666666666667 318.6666666666667 322 324 326.3333333333333 967 967;178 178 222 222 237 237 237 237 238 238 238 238 240 240 240 240 243 243 243 243 244 244 253 253 253 253 260 260 268 268 268 273 273 273 273 274 274 274 274 284 284 289 289 289 289 291 291 295 295 304 304 379 379 379 379 379 379 379 379 381 381 381 381 384 1113 1113;119 120 142 151 155 155 160 160 160 160 161 161 161 161 161 161 161 161 172 172 172 176 176 182 182 182 186 192 192 192 192 193 193 193 193 204 204 231 233 233 238 239 239 239 252 252 252 252 257 257 257 260 260 260 260 261 261 261 261 263 263 271 271 275 796 796;24.280765135299085 23.907228102721476 32.71425105702746 29.26127512980633 33.68811198166037 33.68811198166037 31.822423959633664 31.822423959633664 32.262809686834295 32.262809686834295 31.899146627387317 31.899146627387317 32.396844839514166 32.396844839514166 32.25936556516056 32.25936556516056 33.47635981803677 33.47635981803677 29.032548783888902 29.032548783888902 29.578520735305357 27.86076492528915 31.43600200760622 29.009576962712774 28.994252303976847 28.994252303976847 30.26916289265731 27.956315128349008 31.45720196641074 31.31559781748812 31.31559781748812 32.826141344293816 32.74480450731417 32.74480450731417 32.71425105702746 28.963578661637946 28.825143345504614 19.8158185969358 18.263503375736967 22.954060400915758 21.452790546272116 22.105806175452337 22.105806175452337 22.105806175452337 16.779617264870957 17.72004514666935 17.72004514666935 19.601587237318874 16.679994670929073 19.601587237318874 19.601587237318874 49.12795085850371 49.12795085850371 48.74650984657489 48.74650984657489 48.359762888859024 48.359762888859024 48.32068800098865 48.32068800098865 48.40339749324307 48.40339749324307 45.2621990922521 44.99629614386796 44.72384400096018 130.61648696342536 130.61648696342536;264.24273352775896;"[[119,120,222,222,237,237,237,237,238,238,238,238,240,240,240,240,243,243,243,243,244,244,253,253,253,253,260,260,268,268,268,273,273,273,273,274,274,274,274,284,284,289,289,289,289,291,291,295,295,304,304,304,304,311,311,311,311,312,312,312,312,314,320,320,1113,1113],[178,178,178,178,188,188,188,188,188,188,188,188,194,194,202,202,202,202,204,204,215,215,215,215,216,219,219,219,219,221,221,226,228,228,229,229,231,231,238,238,238,246,246,246,255,255,255,255,257,257,257,260,260,260,260,261,261,261,261,263,263,271,271,275,992,992],[142,142,142,151,155,155,160,160,160,160,161,161,161,161,161,161,161,161,172,172,172,176,176,182,182,182,186,192,192,192,192,193,193,193,193,204,204,233,233,233,239,239,239,239,252,252,252,252,289,289,289,379,379,379,379,379,379,379,379,381,381,381,381,384,796,796]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;3;46;46;46;986.3333333333334;1098;775;1086 775 1098;89.33333333333333 92 92 92.33333333333333 204 225 225 252.33333333333334 252.33333333333334 252.66666666666666 273 295.6666666666667 319 344.6666666666667 367.3333333333333 392 415.3333333333333 439.6666666666667 465 465 486.6666666666667 510.6666666666667 533.6666666666666 558.6666666666666 558.6666666666666 584.3333333333334 584.3333333333334 605 636 636 637.6666666666666 637.6666666666666 637.6666666666666 653.6666666666666 677.6666666666666 677.6666666666666 701 730 730 731.6666666666666 752 752 752 772 795 824.6666666666666;100 100 100 101 341 369 369 399 399 399 426 451 479 510 535 565 594 620 650 650 675 703 731 761 761 789 789 817 849 849 851 851 851 873 901 901 928 964 964 965 987 987 987 1015 1042 1085;80 88 88 88 124 133 133 153 153 153 166 183 200 221 238 257 272 291 310 310 324 342 357 376 376 396 396 409 435 435 437 437 437 444 461 461 479 499 499 501 516 516 516 527 545 563;8.219218670625303 5.656854249492381 5.656854249492381 6.128258770283413 97.32762540341085 103.12452020090404 103.12452020090404 105.85944559755744 105.85944559755744 105.71134702050149 111.01651528789158 113.49400375741834 117.53297409663384 121.60683460325008 124.24259423491696 128.57941774120252 133.80915099083802 136.1673806590828 140.41604846550365 140.41604846550365 144.4399144588811 148.32471885097988 153.38260078060426 157.78959267187287 157.78959267187287 160.85673404893217 160.85673404893217 166.94909403767366 169.22765731404544 169.22765731404544 169.25194894659919 169.25194894659919 169.25194894659919 175.27185233865197 179.69109295924738 179.69109295924738 183.337575708491 189.8473070654414 189.8473070654414 189.43659156092897 192.28624495787523 192.28624495787523 192.28624495787523 199.2301851293289 202.9104892967997 213.10769317152509;149.5155138736074;"[[88,88,88,88,341,369,369,399,399,399,426,451,479,510,535,565,594,620,650,650,675,703,731,761,761,789,789,817,849,849,851,851,851,873,901,901,928,964,964,965,987,987,987,1015,1042,1085],[100,100,100,101,124,133,133,153,153,153,166,183,200,221,238,257,272,291,310,310,324,342,357,376,376,396,396,409,435,435,437,437,437,444,461,461,479,499,499,501,516,516,516,527,545,563],[80,88,88,88,147,173,173,205,205,206,227,253,278,303,329,354,380,408,435,435,461,487,513,539,539,568,568,589,624,624,625,625,625,644,671,671,696,727,727,729,753,753,753,774,798,826]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;3;32;32;32;594.3333333333334;630;559;630 559 594;88 127.66666666666667 143.66666666666666 158.66666666666666 178.33333333333334 179 195 195.33333333333334 196 196 205.33333333333334 217.66666666666666 232.33333333333334 244.33333333333334 258 272.3333333333333 288 302.3333333333333 316.3333333333333 328 342.3333333333333 358.3333333333333 372.6666666666667 386.6666666666667 398.6666666666667 413 427.3333333333333 446.3333333333333 446.3333333333333 457.6666666666667 468.6666666666667 487;94 135 151 167 189 190 206 206 207 207 215 232 247 263 276 291 306 321 336 351 366 381 400 411 426 441 456 473 473 486 502 521;84 121 138 152 169 170 186 186 186 186 197 206 216 229 243 256 274 287 298 308 321 338 351 363 373 387 402 422 422 431 438 456;4.320493798938574 5.734883511361751 5.436502143433363 6.236095644623235 8.219218670625303 8.286535263104035 8.286535263104035 8.219218670625303 8.602325267042627 8.602325267042627 7.408703590297622 10.780641085864152 12.710450643291747 14.079141387961918 13.638181696985855 14.383632673594278 13.366625103842281 14.079141387961917 15.542057635833022 17.682382946499793 18.445113776342563 17.632041540584257 20.401524997465806 19.601587237318874 21.669230617526676 22.090722034374522 22.17105219775452 20.885933597094056 20.885933597094056 22.484562605386735 26.195843605851334 26.620793877468543;28.986586936412888;"[[94,135,151,167,189,190,206,206,207,207,215,232,247,263,276,291,306,321,336,351,366,381,400,411,426,441,456,473,473,486,502,521],[84,121,138,152,169,170,186,186,186,186,197,206,216,229,243,256,274,287,298,308,321,338,351,363,373,387,402,422,422,431,438,456],[86,127,142,157,177,177,193,194,195,195,204,215,234,241,255,270,284,299,315,325,340,356,367,386,397,411,424,444,444,456,466,484]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;3;198;198;198;895.3333333333334;1081;726;726 1081 879;164.66666666666666 170.33333333333334 206.33333333333334 206.33333333333334 206.33333333333334 209 210.66666666666666 210.66666666666666 211.66666666666666 212.33333333333334 212.33333333333334 212.33333333333334 212.66666666666666 213.33333333333334 215.33333333333334 216.33333333333334 216.66666666666666 216.66666666666666 217 217 217 217.66666666666666 217.66666666666666 218 218 219 219.33333333333334 221.66666666666666 223 224.66666666666666 224.66666666666666 224.66666666666666 228 228.66666666666666 229.33333333333334 232 232.33333333333334 232.33333333333334 234 235 236 236 236.66666666666666 236.66666666666666 237 237 239.33333333333334 242.66666666666666 242.66666666666666 243.66666666666666 243.66666666666666 245.33333333333334 245.33333333333334 247.33333333333334 247.33333333333334 249 249 249.33333333333334 249.33333333333334 250.33333333333334 250.66666666666666 252 252 252 252.33333333333334 254.33333333333334 254.33333333333334 256 258.3333333333333 258.3333333333333 259 259.6666666666667 260.3333333333333 263 265.6666666666667 265.6666666666667 266.6666666666667 267.3333333333333 268.3333333333333 270 270.6666666666667 273 273 273 273 274.3333333333333 274.3333333333333 276.6666666666667 276.6666666666667 277.3333333333333 277.3333333333333 279.6666666666667 279.6666666666667 279.6666666666667 279.6666666666667 283.6666666666667 283.6666666666667 289 289 289 291 292.6666666666667 295 295 296 297.3333333333333 297.3333333333333 297.6666666666667 299.3333333333333 299.3333333333333 300 300.6666666666667 302 302 302 302.3333333333333 303.3333333333333 304.6666666666667 304.6666666666667 305.3333333333333 306.3333333333333 307 310.6666666666667 311 311.3333333333333 311.3333333333333 312.3333333333333 314 314.3333333333333 316.3333333333333 316.3333333333333 316.3333333333333 317.3333333333333 318.3333333333333 319.6666666666667 321.6666666666667 327.6666666666667 327.6666666666667 327.6666666666667 327.6666666666667 328 328 328 329 330.3333333333333 330.3333333333333 331 331 333.6666666666667 333.6666666666667 335.6666666666667 338 338.3333333333333 338.3333333333333 340.3333333333333 341.3333333333333 341.3333333333333 341.3333333333333 341.6666666666667 344.3333333333333 344.3333333333333 348 356.6666666666667 356.6666666666667 356.6666666666667 361.3333333333333 361.3333333333333 361.3333333333333 361.3333333333333 361.6666666666667 362 362 362 364 366 366 366 367 368 368 368 368.6666666666667 368.6666666666667 368.6666666666667 369.3333333333333 369.3333333333333 369.3333333333333 369.3333333333333 370 370 371 371 371.3333333333333 371.3333333333333 372.3333333333333 372.3333333333333 375 375;208 208 245 245 245 245 247 247 247 247 247 247 247 247 253 253 253 253 254 254 254 254 254 254 254 254 255 255 257 257 257 257 266 266 266 266 267 267 267 268 268 268 269 269 269 269 273 273 273 276 276 276 276 277 277 281 281 281 281 283 284 284 284 284 285 285 285 285 286 286 288 288 288 288 292 292 295 295 295 295 297 301 301 301 301 304 304 306 306 306 306 308 308 308 308 312 312 316 316 316 316 320 327 327 327 327 327 328 328 328 330 330 333 333 333 333 333 333 333 333 336 336 338 339 339 339 340 345 345 345 345 345 345 345 345 347 351 351 351 351 352 352 352 352 355 355 355 355 357 357 357 363 363 363 363 365 365 365 365 373 373 384 384 384 384 384 384 384 384 385 385 385 385 391 391 391 391 391 391 391 391 393 393 393 395 395 395 395 397 397 397 397 397 397 397 397 402 402;124 125 178 178 178 186 186 186 186 188 188 188 188 190 190 193 193 193 193 193 193 193 193 194 194 194 194 197 197 202 202 202 202 204 204 212 212 212 212 214 217 217 217 217 218 218 219 223 223 223 223 224 224 229 229 229 229 230 230 230 230 231 231 231 231 232 232 237 237 237 237 239 239 247 247 247 247 249 249 254 254 254 254 254 254 254 254 259 259 259 259 261 261 261 261 265 265 270 270 270 276 276 276 276 279 279 279 279 279 279 279 281 281 281 281 282 282 282 282 284 284 284 293 293 293 293 295 295 295 301 301 301 301 304 304 308 308 308 308 308 308 308 308 311 311 311 313 313 316 316 316 317 318 318 323 324 324 324 325 325 325 325 343 343 343 343 343 343 343 343 344 344 344 344 349 349 349 349 349 349 349 349 349 349 349 349 349 349 349 349 350 350 351 351 351 351 354 354;34.34465832637669 34.31552936434983 28.311756490114767 28.311756490114767 28.311756490114767 25.78113005022601 26.23398982660133 26.23398982660133 25.82419193099542 25.170529504870483 25.170529504870483 25.170529504870483 25.037749277618566 24.390344173235626 27.157974069424906 26.2466929133727 26.08107018935807 26.08107018935807 26.54555832275273 26.54555832275273 26.54555832275273 26.23398982660133 26.23398982660133 25.92296279363144 25.92296279363144 25.495097567963924 25.952948879762307 24.458581770458853 25.13961017995307 23.47102232304526 23.47102232304526 23.47102232304526 27.47119703738202 26.849374087469688 26.5497436689865 24.166091947189145 24.63511495586917 24.63511495586917 23.762715894162152 23.62202362203543 22.759613353482084 22.759613353482084 23.041026211713937 23.041026211713937 22.759613353482084 22.759613353482084 23.976840677805924 21.761331658599286 21.761331658599286 23.156472577277874 23.156472577277874 22.23110933404409 22.23110933404409 21.171259344267224 21.171259344267224 22.861904265976328 22.861904265976328 22.573337271116017 22.573337271116017 23.328570942563587 23.79542439676633 22.992752481307377 22.992752481307377 22.992752481307377 23.456816114345575 22.425184255405547 22.425184255405547 20.83266665599966 20.49932248202906 20.49932248202906 21.400934559032695 20.725722075613085 20.49932248202906 17.90716802475106 19.154343864744856 19.154343864744856 20.531818125912658 19.90533150244482 19.48218559493661 17.90716802475106 18.83849486792639 20.215505600075073 20.215505600075073 20.215505600075073 20.215505600075073 21.452790546272112 21.452790546272112 20.885933597094056 20.885933597094056 20.531818125912658 20.531818125912658 20.368821489936252 20.368821489936252 20.368821489936252 20.368821489936252 20.368821489936252 20.368821489936252 19.61292091114087 19.61292091114087 19.61292091114087 17.795130420052185 19.48218559493661 22.759613353482084 22.759613353482084 21.95449840010015 21.171259344267224 21.171259344267224 21.63844315615664 20.8539897594894 20.8539897594894 21.77154105707724 21.139746660943903 22.37558192911788 22.37558192911788 22.37558192911788 22.065558884580486 21.63844315615664 21.202725191719 21.202725191719 20.49932248202906 21.853044537445015 21.64871050817269 19.601587237318874 20.06655592438988 19.90533150244482 19.90533150244482 19.770910168449223 22.105806175452337 21.9291789378647 20.28683207293725 20.28683207293725 20.28683207293725 19.669491322575904 18.87385022252275 18.080068829760823 17.93197020841702 17.745108872274887 17.745108872274887 17.745108872274887 17.745108872274887 18.184242262647807 18.184242262647807 18.184242262647807 17.107503227141788 18.354533197248273 18.354533197248273 17.663521732655695 17.663521732655695 17.21110752456745 17.21110752456745 16.779617264870957 18.991226044325487 18.62495339293199 18.62495339293199 16.75974011996871 17.326921891156037 17.326921891156037 17.326921891156037 16.996731711975947 20.677416559027762 20.677416559027762 25.78113005022601 19.327585352432298 19.327585352432298 19.327585352432298 17.016332024133625 17.016332024133625 17.016332024133625 17.016332024133625 17.46106780494506 17.107503227141788 17.107503227141788 17.107503227141788 19.8158185969358 18.05547008526779 18.05547008526779 18.05547008526779 17.663521732655695 17.378147196982766 17.378147196982766 17.378147196982766 18.263503375736967 18.263503375736967 18.263503375736967 19.154343864744856 19.154343864744856 19.154343864744856 19.154343864744856 20.049937655763422 20.049937655763422 19.510680835549195 19.510680835549195 19.154343864744856 19.154343864744856 18.926759422104517 18.926759422104517 20.049937655763422 20.049937655763422;145.38760454576436;"[[124,125,196,196,196,196,199,199,202,202,202,202,203,203,203,203,204,204,204,204,204,206,206,206,206,209,209,213,215,215,215,215,216,216,218,218,218,218,223,223,223,223,224,224,224,224,226,232,232,232,232,236,236,236,236,237,237,237,237,238,238,241,241,241,241,246,246,246,252,252,252,252,254,254,258,258,258,258,261,261,261,264,264,264,264,265,265,265,265,267,267,270,270,270,270,274,274,281,281,281,281,282,282,282,282,286,286,286,291,291,291,291,292,292,292,292,295,299,299,299,299,301,301,301,302,302,302,302,303,303,303,303,306,306,310,310,324,324,324,324,324,324,324,324,325,325,325,325,328,328,334,334,334,334,335,335,335,335,335,335,335,335,343,343,343,357,357,357,357,357,357,357,357,357,358,358,358,361,364,364,364,364,364,364,364,364,364,364,364,364,366,366,366,366,369,369,369,369],[208,208,245,245,245,245,247,247,247,247,247,247,247,247,253,253,253,253,254,254,254,254,254,254,254,254,255,255,257,257,257,257,266,266,266,266,267,267,267,268,268,268,269,269,269,269,273,273,273,276,276,276,276,277,277,281,281,281,281,283,284,284,284,284,285,285,285,285,286,286,288,288,288,288,292,292,295,295,295,295,297,301,301,301,301,304,304,306,306,306,306,308,308,308,308,312,312,316,316,316,316,320,327,327,327,327,327,328,328,328,330,330,333,333,333,333,333,333,333,333,336,336,338,339,339,339,340,345,345,345,345,345,345,345,345,347,351,351,351,351,352,352,352,352,355,355,355,355,357,357,357,363,363,363,363,365,365,365,365,373,373,384,384,384,384,384,384,384,384,385,385,385,385,391,391,391,391,391,391,391,391,393,393,393,395,395,395,395,397,397,397,397,397,397,397,397,402,402],[162,178,178,178,178,186,186,186,186,188,188,188,188,190,190,193,193,193,193,193,193,193,193,194,194,194,194,197,197,202,202,202,202,204,204,212,212,212,212,214,217,217,217,217,218,218,219,223,223,223,223,224,224,229,229,229,229,230,230,230,230,231,231,231,231,232,232,237,237,237,237,239,239,247,247,247,247,249,249,254,254,254,254,254,254,254,254,259,259,259,259,261,261,261,261,265,265,270,270,270,276,276,276,276,279,279,279,279,279,279,279,281,281,281,281,282,282,282,282,284,284,284,293,293,293,293,295,295,295,301,301,301,301,304,304,308,308,308,308,308,308,308,308,311,311,311,313,313,316,316,316,317,318,318,323,324,324,324,325,325,325,325,343,343,343,343,343,343,343,343,344,344,344,344,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,350,350,351,351,351,351,354,354]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;3;98;98;98;948;999;890;999 955 890;181.66666666666666 181.66666666666666 195.66666666666666 195.66666666666666 195.66666666666666 195.66666666666666 197 197 197 197 203.33333333333334 203.33333333333334 203.33333333333334 208.66666666666666 208.66666666666666 208.66666666666666 208.66666666666666 209 209 209.33333333333334 209.33333333333334 220.66666666666666 223.33333333333334 223.33333333333334 235 235 235 235 235.66666666666666 235.66666666666666 240.33333333333334 240.33333333333334 241.66666666666666 245.33333333333334 245.33333333333334 245.33333333333334 245.33333333333334 245.66666666666666 248.33333333333334 248.33333333333334 248.33333333333334 255.66666666666666 255.66666666666666 263.6666666666667 263.6666666666667 263.6666666666667 263.6666666666667 269.3333333333333 269.3333333333333 274.3333333333333 274.3333333333333 277 277 280 282.3333333333333 282.3333333333333 285.3333333333333 294 295.3333333333333 295.3333333333333 295.3333333333333 295.6666666666667 296.3333333333333 296.3333333333333 296.3333333333333 297.3333333333333 303.3333333333333 303.3333333333333 310.3333333333333 312.3333333333333 312.3333333333333 316.3333333333333 319 322.6666666666667 328 328 328 328.6666666666667 330.3333333333333 330.6666666666667 332 336 337 340 345.6666666666667 346 346 347.6666666666667 348 349.3333333333333 349.3333333333333 351 355 355 355 355 358.3333333333333 358.3333333333333;195 195 222 222 222 222 223 223 223 223 228 228 228 234 234 234 234 235 235 235 235 245 249 249 260 260 260 260 261 261 269 269 269 271 271 271 271 271 271 271 271 280 280 287 287 287 287 291 291 303 303 303 303 303 303 303 303 329 329 329 329 330 330 330 330 333 333 333 333 339 339 351 351 351 357 357 357 357 362 362 366 366 366 366 383 383 383 383 384 384 384 384 384 384 384 384 388 388;163 163 173 173 173 173 174 174 174 174 182 182 182 184 184 184 184 184 184 184 184 201 201 201 214 214 214 214 215 215 221 221 221 221 221 221 221 221 229 229 229 236 236 242 242 242 242 253 253 253 253 261 261 261 268 268 268 268 269 269 269 269 269 269 269 269 279 279 294 294 294 294 300 306 311 311 311 313 313 314 314 316 319 326 326 327 327 327 327 331 331 331 340 340 340 340 343 343;13.59738536958076 13.59738536958076 20.17148702720969 20.17148702720969 20.17148702720969 20.17148702720969 20.11632835948615 20.11632835948615 20.11632835948615 20.11632835948615 18.92675942210452 18.92675942210452 18.92675942210452 20.417857108151406 20.417857108151406 20.417857108151406 20.417857108151406 20.83266665599966 20.83266665599966 20.82199691565522 20.82199691565522 18.263503375736967 19.737161790783283 19.737161790783283 18.991226044325487 18.991226044325487 18.991226044325487 18.991226044325487 19.067132861433457 19.067132861433457 20.677416559027765 20.677416559027765 20.154955277107966 20.434176165325468 20.434176165325468 20.434176165325468 20.434176165325468 20.417857108151406 17.30767331432956 17.30767331432956 17.30767331432956 18.263503375736967 18.263503375736967 18.408935028645434 18.408935028645434 18.408935028645434 18.408935028645434 15.965240019770729 15.965240019770729 21.06075866524175 21.06075866524175 18.547236990991408 18.547236990991408 17.378147196982766 14.974051630144134 14.974051630144134 14.29063407348401 25.703436864876 25.037749277618563 25.037749277618563 25.037749277618563 25.48637980482037 25.302612952464457 25.302612952464457 25.302612952464457 26.637484032009397 22.365648262955002 22.365648262955002 16.539514973407037 19.293061504650375 19.293061504650375 24.850665092821068 22.759613353482084 20.138409955990955 20.607442021431645 20.607442021431645 20.607442021431645 20.07209228976613 22.425184255405547 22.17105219775452 24.055491403558285 21.602468994692867 20.704266871026046 18.40289832245635 26.411277052720408 26.166135875720485 26.166135875720485 25.104227178350307 25.573423705088842 24.526629518862872 24.526629518862872 23.50886357667394 20.51016008388688 20.51016008388688 20.51016008388688 20.51016008388688 20.98147330914162 20.98147330914162;44.773504069557326;"[[195,195,222,222,222,222,223,223,223,223,228,228,228,234,234,234,234,235,235,235,235,245,249,249,260,260,260,260,261,261,269,269,269,271,271,271,271,271,271,271,271,280,280,287,287,287,287,291,291,303,303,303,303,303,303,303,303,329,329,329,329,330,330,330,330,333,333,333,333,339,339,351,351,351,357,357,357,357,362,362,366,366,366,366,383,383,383,383,384,384,384,384,384,384,384,384,388,388],[187,187,192,192,192,192,194,194,194,194,200,200,200,208,208,208,208,208,208,209,209,216,220,220,231,231,231,231,231,231,231,231,235,244,244,244,244,245,245,245,245,251,251,262,262,262,262,264,264,267,267,267,267,276,276,276,285,285,288,288,288,288,290,290,290,290,298,298,304,304,304,304,306,306,316,316,316,316,316,316,316,316,319,328,328,328,328,333,333,333,333,338,341,341,341,341,344,344],[163,163,173,173,173,173,174,174,174,174,182,182,182,184,184,184,184,184,184,184,184,201,201,201,214,214,214,214,215,215,221,221,221,221,221,221,221,221,229,229,229,236,236,242,242,242,242,253,253,253,253,261,261,261,268,268,268,268,269,269,269,269,269,269,269,269,279,279,294,294,294,294,300,311,311,311,311,313,313,314,314,326,326,326,326,327,327,327,327,331,331,331,340,340,340,340,343,343]]"
