Combination	Δ total duration (s)	Δ total CPU-seconds (%)	Δ total GB-seconds	Queries
baseline				75
interval-100-hagedorn	-0.146	-0.031	+0.117	75
interval-100-hagedorn-once	-0.130	+0.019	+0.092	75
interval-100-predicate	-0.199	-0.091	+0.083	75
interval-1000-hagedorn	-0.174	-0.057	+0.088	75
interval-1000-hagedorn-once	-0.177	-0.071	+0.054	75
interval-1000-predicate	-0.190	-0.096	-0.042	75
interval-2000-hagedorn	-0.179	-0.096	+0.053	75
interval-2000-hagedorn-once	-0.162	-0.009	+0.170	75
interval-2000-predicate	-0.183	-0.097	+0.015	75
interval-5000-hagedorn	-0.166	-0.080	+0.046	75
interval-5000-hagedorn-once	-0.171	-0.020	+0.120	75
interval-5000-predicate	-0.147	-0.027	+0.114	75
interval-10000-hagedorn	-0.163	+0.018	+0.353	75
interval-10000-hagedorn-once	-0.137	+0.067	+0.372	75
interval-10000-predicate	-0.144	-0.014	+0.168	75
interval-20000-hagedorn	-0.128	+0.026	+0.220	75
interval-20000-hagedorn-once	-0.141	+0.025	+0.223	75
interval-20000-predicate	-0.151	+0.029	+0.243	75
metadata-hagedorn	-0.151	-0.061	+0.019	75
metadata-hagedorn-latency-50	-0.103	-0.048	+0.033	75
metadata-hagedorn-latency-100	-0.083	-0.112	-0.011	75
metadata-hagedorn-latency-300	-0.039	-0.087	+0.038	75
metadata-hagedorn-once	-0.166	+0.001	+0.097	75
metadata-predicate	-0.184	-0.070	+0.069	75
overhead-hagedorn	-0.094	-0.189	-0.224	75
overhead-hagedorn-latency-50	-0.052	-0.066	-0.227	75
overhead-hagedorn-latency-100	-0.047	-0.101	-0.245	75
overhead-hagedorn-latency-300	-0.028	-0.087	-0.206	75
overhead-predicate	-0.085	-0.146	-0.151	75
