Combination	Δ dieff@full	Δ dieff@full min	Δ dieff@full max	Δ duration	Δ duration min	Δ duration max	Δ first result	Δ first result min	Δ first result max	Δ last result	Δ last result min	Δ last result max	Queries	Results
baseline													25	398
interval-100-hagedorn	+0.035	+0.049	+0.140	+0.136	+0.114	+0.167	+0.014	+0.103	-0.018	+0.068	+0.055	+0.088	25	400
interval-100-hagedorn-once	+0.034	+0.038	+0.031	+0.118	+0.103	+0.130	+0.028	-0.040	+0.041	+0.054	+0.023	+0.082	25	400
interval-100-predicate	-0.154	-0.228	+0.053	+0.028	-0.005	+0.030	+0.272	-0.148	+0.458	-0.210	-0.247	-0.183	25	401
interval-1000-hagedorn	-0.035	+0.087	-0.096	+0.127	+0.134	+0.147	+0.019	-0.042	+0.114	+0.023	+0.006	+0.061	25	400
interval-1000-hagedorn-once	-0.019	+0.032	+0.031	+0.079	+0.090	+0.096	+0.014	+0.051	+0.007	+0.030	+0.048	+0.033	25	400
interval-1000-predicate	-0.100	-0.075	-0.077	+0.058	-0.003	+0.093	-0.079	-0.114	-0.096	-0.213	-0.250	-0.198	25	400
interval-2000-hagedorn	+0.092	-0.021	+0.154	+0.121	+0.104	+0.129	-0.034	-0.067	-0.012	+0.063	+0.050	+0.080	25	400
interval-2000-hagedorn-once	+0.080	+0.050	+0.131	+0.122	+0.154	+0.105	+0.031	+0.067	+0.024	+0.094	+0.119	+0.088	25	400
interval-2000-predicate	-0.008	+0.003	-0.010	+0.102	+0.098	+0.112	-0.019	-0.049	+0.014	-0.154	-0.183	-0.128	25	400
interval-5000-hagedorn	-0.012	-0.019	+0.065	+0.112	+0.142	+0.085	+0.035	+0.114	-0.041	+0.095	+0.117	+0.067	25	399
interval-5000-hagedorn-once	-0.092	-0.015	-0.068	+0.135	+0.152	+0.144	+0.074	+0.047	+0.154	+0.099	+0.097	+0.137	25	399
interval-5000-predicate	+0.046	+0.187	-0.000	+0.085	+0.107	+0.083	-0.064	-0.093	-0.009	-0.123	-0.128	-0.107	25	399
interval-10000-hagedorn	-0.093	+0.012	-0.114	+0.096	+0.129	+0.084	+0.011	+0.092	-0.040	+0.114	+0.173	+0.088	25	399
interval-10000-hagedorn-once	-0.041	-0.023	-0.008	+0.089	+0.099	+0.065	+0.049	+0.016	+0.059	+0.110	+0.106	+0.082	25	399
interval-10000-predicate	-0.007	+0.107	-0.054	+0.081	+0.085	+0.095	+0.059	-0.077	+0.188	-0.028	-0.052	-0.005	25	399
interval-20000-hagedorn	-0.001	+0.155	-0.062	+0.060	+0.098	+0.030	-0.075	-0.014	-0.106	-0.007	+0.026	-0.024	25	398
interval-20000-hagedorn-once	-0.041	-0.046	-0.027	+0.116	+0.082	+0.140	+0.023	-0.066	+0.082	+0.009	-0.023	+0.027	25	398
interval-20000-predicate	+0.046	+0.116	+0.054	+0.062	+0.104	+0.039	-0.069	+0.012	-0.100	-0.055	-0.021	-0.072	25	398
metadata-hagedorn	+0.041	+0.032	+0.034	+0.134	+0.112	+0.152	+0.105	+0.099	+0.186	+0.071	+0.053	+0.101	25	398
metadata-hagedorn-latency-50	+0.403	+0.558	+0.375	+0.507	+0.552	+0.507	+0.972	+1.103	+1.002	+0.576	+0.634	+0.584	25	398
metadata-hagedorn-latency-100	-0.196	-0.152	-0.178	+0.255	+0.232	+0.295	+0.618	+0.675	+0.604	+0.315	+0.272	+0.362	25	398
metadata-hagedorn-latency-300	-0.357	-0.258	-0.398	+0.192	+0.268	+0.140	+0.762	+1.001	+0.602	+0.225	+0.304	+0.173	25	398
metadata-hagedorn-once	+0.092	+0.090	+0.092	+0.035	+0.045	+0.015	-0.086	-0.054	-0.121	-0.224	-0.242	-0.219	25	398
metadata-predicate	-0.094	-0.168	+0.061	+0.049	+0.060	+0.032	+0.529	+0.635	+0.472	-0.176	-0.171	-0.174	25	398
overhead-hagedorn	-0.314	-0.281	-0.323	-0.040	-0.011	-0.048	-0.063	-0.028	-0.050	-0.042	-0.022	-0.041	25	398
overhead-hagedorn-latency-50	-0.188	-0.056	-0.250	+0.317	+0.378	+0.267	+0.750	+0.870	+0.685	+0.440	+0.503	+0.387	25	398
overhead-hagedorn-latency-100	-0.423	-0.362	-0.414	+0.091	+0.083	+0.140	+0.596	+0.632	+0.648	+0.177	+0.154	+0.246	25	398
overhead-hagedorn-latency-300	-0.517	-0.437	-0.550	+0.001	+0.113	-0.082	+0.539	+0.791	+0.370	+0.052	+0.166	-0.029	25	398
overhead-predicate	-0.283	-0.199	-0.295	+0.010	+0.006	+0.033	+0.050	+0.030	+0.122	+0.015	-0.002	+0.060	25	398
