name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;5;6;6;6;1414.8;1790;1244;1790 1244 1304 1346 1390;628.6 628.6 628.6 628.6 1155.6 1155.6;899 899 899 899 1459 1459;544 544 544 544 908 908;135.5221015185346 135.5221015185346 135.5221015185346 135.5221015185346 197.61639608089206 197.61639608089206;193.68675742032548;"[[899,899,899,899,1459,1459],[562,562,562,562,1241,1241],[544,544,544,544,1196,1196],[566,566,566,566,974,974],[572,572,572,572,908,908]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;5;4;4;4;1478.4;1612;1394;1612 1540 1446 1394 1400;505.8 518.4 532.2 535.4;538 546 559 562;482 500 506 514;24.4 22.132329294495868 21.75683800555586 21.443880245888337;84.80943343756047;"[[533,545,559,560],[538,546,556,562],[488,500,527,527],[488,500,506,514],[482,501,513,514]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;5;1;1;1;1305;1410;1176;1410 1345 1332 1176 1262;490;507;482;9.273618495495704;79.80476176269183;"[[507],[482],[482],[492],[487]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;5;14;14;14;991;1056;935;1056 993 994 977 935;526.6 526.6 526.8 526.8 526.8 526.8 526.8 526.8 527.6 527.6 527.6 527.8 527.8 530;558 558 558 558 558 558 558 558 560 560 560 560 560 565;510 510 510 510 510 510 510 510 510 510 510 510 510 511;16.70449041425688 16.70449041425688 16.726027621644057 16.726027621644057 16.726027621644057 16.726027621644057 16.726027621644057 16.726027621644057 17.304334717058616 17.304334717058616 17.304334717058616 17.197674261364526 17.197674261364526 18.558017135459274;38.91015291668744;"[[558,558,558,558,558,558,558,558,560,560,560,560,560,565],[528,528,529,529,529,529,529,529,529,529,529,529,529,530],[519,519,519,519,519,519,519,519,521,521,521,521,521,524],[518,518,518,518,518,518,518,518,518,518,518,519,519,520],[510,510,510,510,510,510,510,510,510,510,510,510,510,511]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;5;8;8;8;1286.6;1340;1116;1336 1340 1309 1332 1116;570 570.2 570.2 570.2 572.2 572.2 572.2 572.4;625 625 625 625 628 628 628 628;524 525 525 525 527 527 527 527;40.953632317536865 40.730332677256634 40.730332677256634 40.730332677256634 41.08235631022155 41.08235631022155 41.08235631022155 41.00048780197621;85.97581055157316;"[[612,612,612,612,614,614,614,614],[535,535,535,535,537,537,537,537],[625,625,625,625,628,628,628,628],[554,554,554,554,555,555,555,556],[524,525,525,525,527,527,527,527]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;5;66;66;66;1628.2;1896;1382;1514 1896 1610 1739 1382;565 565 565 565 678.8 679 679 679 679.6 679.6 679.6 679.6 679.8 679.8 679.8 679.8 680.8 680.8 681 681 681.2 681.2 681.4 681.4 681.8 681.8 681.8 682 682.2 682.2 682.4 682.4 682.6 682.6 684.4 684.6 685 685 687.8 687.8 688 688 688.2 688.2 688.4 688.4 688.4 688.4 688.8 688.8 689 689 689.6 689.6 689.6 689.8 695.4 695.4 695.4 695.4 705.6 705.6 705.8 705.8 1116.6 1116.6;582 582 582 582 1134 1134 1134 1134 1135 1135 1135 1135 1135 1135 1135 1135 1137 1137 1138 1138 1138 1138 1139 1139 1139 1139 1139 1139 1139 1139 1140 1140 1140 1140 1149 1150 1150 1150 1164 1164 1164 1164 1165 1165 1165 1165 1165 1165 1165 1165 1166 1166 1166 1166 1166 1167 1167 1167 1167 1167 1167 1167 1168 1168 1514 1514;540 540 540 540 541 541 541 541 541 541 541 541 541 541 541 541 542 542 542 542 542 542 542 542 543 543 543 543 543 543 543 543 543 543 543 543 544 544 544 544 544 544 544 544 545 545 545 545 545 545 545 545 545 545 545 545 557 557 557 557 577 577 577 577 864 864;14.042791745233567 14.042791745233567 14.042791745233567 14.042791745233567 228.01701690882632 227.92542640082962 227.92542640082962 227.92542640082962 228.13820372747745 228.13820372747745 228.13820372747745 228.13820372747745 228.04683729444704 228.04683729444704 228.04683729444704 228.04683729444704 228.5374367581819 228.5374367581819 228.93667246642684 228.93667246642684 228.84527524071802 228.84527524071802 229.24449829821432 229.24449829821432 229.0383374022786 229.0383374022786 229.0383374022786 228.95414388038492 228.85226675739963 228.85226675739963 229.2514776397308 229.2514776397308 229.15985686851877 229.15985686851877 232.75274434472306 233.15196760911113 232.9291737846507 232.9291737846507 238.51909776787267 238.51909776787267 238.43405796991337 238.43405796991337 238.83333100721097 238.83333100721097 238.7128819314115 238.7128819314115 238.7128819314115 238.7128819314115 238.51909776787267 238.51909776787267 238.91839611047115 238.91839611047115 238.64752250966276 238.64752250966276 238.64752250966276 239.046773665741 236.19449612554482 236.19449612554482 236.19449612554482 236.19449612554482 230.8121313969437 230.8121313969437 231.21193740808454 231.21193740808454 220.73658509635416 220.73658509635416;177.75308717431605;"[[573,573,573,573,574,575,575,575,575,575,575,575,576,576,576,576,576,576,576,576,577,577,577,577,577,577,577,577,577,577,577,577,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,579,579,579,579,579,579,579,579,595,595,595,595,595,595,595,595,1514,1514],[582,582,582,582,582,582,582,582,583,583,583,583,583,583,583,583,584,584,584,584,584,584,584,584,585,585,585,586,586,586,586,586,586,586,586,586,586,586,586,586,587,587,587,587,587,587,587,587,587,587,587,587,589,589,589,589,589,589,589,589,598,598,598,598,1019,1019],[540,540,540,540,541,541,541,541,541,541,541,541,541,541,541,541,542,542,542,542,542,542,542,542,543,543,543,543,543,543,543,543,543,543,543,543,544,544,544,544,544,544,544,544,545,545,545,545,545,545,545,545,545,545,545,545,557,557,557,557,591,591,591,591,1018,1018],[563,563,563,563,563,563,563,563,564,564,564,564,564,564,564,564,565,565,565,565,565,565,565,565,565,565,565,565,566,566,566,566,566,566,566,566,567,567,567,567,567,567,567,567,567,567,567,567,568,568,568,568,569,569,569,569,569,569,569,569,577,577,577,577,864,864],[567,567,567,567,1134,1134,1134,1134,1135,1135,1135,1135,1135,1135,1135,1135,1137,1137,1138,1138,1138,1138,1139,1139,1139,1139,1139,1139,1139,1139,1140,1140,1140,1140,1149,1150,1150,1150,1164,1164,1164,1164,1165,1165,1165,1165,1165,1165,1165,1165,1166,1166,1166,1166,1166,1167,1167,1167,1167,1167,1167,1167,1168,1168,1168,1168]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;5;46;46;46;1091.8;1148;1004;1050 1140 1117 1148 1004;485.8 500.8 514.6 527.8 590.8 590.8 590.8 605.2 605.2 605.2 615.4 615.4 620.2 640.8 640.8 641 641 641.2 650.2 662.8 675.8 684.2 698.4 698.4 713.2 724.8 738 754.4 754.6 766.8 779.4 796.4 796.4 796.4 809.6 826 826 844 850.2 850.2 862.2 874.6 885.8 900.6 913.6 926.4;493 506 521 536 623 623 623 624 624 624 641 641 642 673 673 674 674 674 675 694 698 705 715 715 732 745 762 774 774 787 806 823 823 823 838 856 856 884 885 885 895 900 916 930 940 959;480 497 508 519 574 574 574 584 584 584 585 585 591 606 606 606 606 606 615 629 644 655 667 667 679 693 705 725 726 737 742 752 752 752 767 781 781 793 806 806 816 828 836 848 862 868;4.354308211415448 2.993325909419153 4.586937976471886 5.706137047074843 16.868906307167634 16.868906307167634 16.868906307167634 12.702755606560334 12.702755606560334 12.702755606560334 18.73606148580859 18.73606148580859 17.313578486263317 23.827714955488283 23.827714955488283 24.099792530227308 24.099792530227308 24.260255563369483 22.292599668948437 22.3194982022446 20.350921355064003 17.747112441183212 16.414627622946554 16.414627622946554 18.497567407634982 17.85945127936466 19.62651268055535 17.32743489383238 16.98940846527624 17.50885490259143 22.12329089443973 25.58593363549589 25.58593363549589 25.58593363549589 24.385241438214223 25.60468707092512 25.60468707092512 30.535225559998732 27.006665843824557 27.006665843824557 26.873034811870433 26.785070468453128 29.707911404203422 31.12940731848263 29.560784833965418 33.39820354450221;55.8082431187365;"[[486,501,517,531,582,582,582,607,607,607,607,607,613,626,626,626,626,626,635,649,665,675,701,701,710,720,729,747,747,759,769,788,788,788,801,818,818,833,836,836,852,863,870,883,900,911],[487,501,516,528,589,589,589,605,605,605,619,619,630,673,673,674,674,674,675,694,697,698,706,706,721,736,750,768,768,779,792,819,819,819,824,834,834,848,861,861,877,898,916,930,939,950],[480,497,511,525,586,586,586,606,606,606,625,625,625,639,639,639,639,639,657,666,675,688,703,703,724,730,744,758,758,772,788,800,800,800,818,841,841,862,863,863,871,884,895,915,927,944],[493,506,521,536,623,623,623,624,624,624,641,641,642,660,660,660,660,661,669,676,698,705,715,715,732,745,762,774,774,787,806,823,823,823,838,856,856,884,885,885,895,900,912,927,940,959],[483,499,508,519,574,574,574,584,584,584,585,585,591,606,606,606,606,606,615,629,644,655,667,667,679,693,705,725,726,737,742,752,752,752,767,781,781,793,806,806,816,828,836,848,862,868]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;5;32;32;32;1023;1099;962;1069 1099 998 987 962;481.4 572 578 586.4 595.8 608.4 620.2 638 638 638 638.2 651 654.2 662.4 675.8 693 693.4 707.4 721.8 732 746.4 757 770.8 784 800.2 814 825 840.2 854.2 865.2 875.4 875.6;487 620 623 632 632 651 652 667 667 667 667 686 687 698 712 730 730 742 756 768 785 797 816 827 846 862 876 900 916 922 930 930;478 548 553 564 577 586 599 617 617 617 617 632 635 640 653 672 672 687 696 707 716 729 740 751 763 774 787 796 809 820 833 833;3.0724582991474434 24.89176570675532 23.731835158706122 24.54872705457454 20.50755958177374 23.988330496305906 20.23264688566476 19.224983745116667 19.224983745116667 19.224983745116667 19.374209661299734 19.56527536223296 18.7872297053078 21.095971179350812 21.59073875530895 20.610676844781203 20.489997559785117 19.252012881774206 20.053927296168197 21.568495543268657 23.559286916203558 25.211108662651075 28.57551399362748 28.128277586798664 31.262757395981563 33.74611088703408 33.35266106324951 39.19897957855536 41.38308833327933 39.58484558514786 37.81851398455524 37.813225199657325;52.026916110797885;"[[487,563,576,591,605,617,634,667,667,667,667,686,687,698,712,730,730,742,756,768,785,797,816,827,846,862,876,900,916,922,930,930],[480,620,623,632,632,651,652,652,652,652,653,653,659,671,684,697,698,713,729,742,757,770,785,799,812,828,841,861,883,897,904,904],[480,568,569,569,582,588,601,617,617,617,617,633,635,640,653,672,672,687,713,715,731,732,740,756,767,777,790,796,809,820,833,833],[482,561,569,576,583,600,615,635,635,635,635,651,653,660,675,690,690,700,715,728,743,757,772,787,813,829,831,845,852,861,874,875],[478,548,553,564,577,586,599,619,619,619,619,632,637,643,655,676,677,695,696,707,716,729,741,751,763,774,787,799,811,826,836,836]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;5;198;198;198;1230.8;1290;1166;1166 1284 1290 1192 1222;521.2 521.2 521.2 521.2 521.4 521.4 521.4 521.6 522.2 522.4 522.6 522.6 522.6 544.8 547.8 548.2 705.2 705.2 705.4 705.4 705.8 705.8 705.8 705.8 706.2 706.2 706.4 706.4 710.2 710.2 710.2 710.2 710.8 711 711 711 711.6 711.6 711.6 711.6 712 712 712 712.2 713.4 713.4 713.4 713.4 715 715 715 715 718.8 719 719 719 719.2 719.2 719.2 719.2 722.2 722.2 722.2 722.2 723.4 723.4 723.4 723.6 724.8 724.8 724.8 724.8 725.6 725.6 725.6 725.6 725.6 725.6 725.6 725.6 726.2 726.2 726.2 726.2 727 727.2 727.2 727.2 743.8 743.8 743.8 743.8 745.4 745.4 745.4 745.4 790 790.2 790.4 790.4 791 791 791.2 791.2 791.4 791.4 791.4 791.4 792 792 792 792 795.2 795.2 795.2 795.2 795.4 795.4 795.4 795.4 795.8 795.8 795.8 795.8 796 796 796 796 796 796 796 796 796.4 796.6 796.6 796.6 796.8 796.8 796.8 797 797.2 797.2 797.2 797.2 797.4 797.4 797.4 797.6 797.6 797.6 797.6 797.6 797.6 797.6 797.6 797.6 797.8 797.8 798 798 798.2 798.2 798.2 798.2 798.4 798.4 798.4 798.4 798.6 798.6 798.6 798.6 798.6 798.6 798.6 798.6 798.6 798.8 798.8 798.8 798.8 798.8 798.8 798.8 799.2 799.2 799.2 799.4 799.4 799.4 799.4 799.6 799.8 799.8 800 800 803.6 803.6;535 535 535 535 535 535 535 535 535 536 536 536 536 558 558 558 765 765 766 766 766 766 766 766 767 767 767 767 767 767 767 767 768 768 768 768 769 769 769 769 769 769 769 769 770 770 770 770 770 770 770 770 771 771 771 771 771 771 771 771 772 772 772 772 772 772 772 772 772 772 772 772 773 773 773 773 773 773 773 773 774 774 774 774 774 774 774 774 787 787 787 787 788 788 788 788 870 870 870 870 870 870 870 870 870 870 870 870 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 871 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 872 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 873 874 874 874 874 874 874 874 874 874 874 874 874 874 874;511 511 511 511 512 512 512 512 512 512 512 512 512 522 537 538 672 672 672 672 672 672 672 672 673 673 673 673 674 674 674 674 674 674 674 674 675 675 675 675 675 675 675 676 676 676 676 676 676 676 676 676 677 677 677 677 677 677 677 677 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 679 680 680 680 680 680 680 680 680 680 680 680 680 748 749 749 749 750 750 750 750 751 751 751 751 751 751 751 751 751 751 751 751 751 751 751 751 752 752 752 752 752 752 752 752 752 752 752 752 753 753 753 753 753 753 753 753 753 753 753 753 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 754 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 755 756 756 756 756 756 756 756;9.927738916792686 9.927738916792686 9.927738916792686 9.927738916792686 9.728309205612248 9.728309205612248 9.728309205612248 9.645724441429994 9.724196624914574 9.991996797437437 9.789790600416334 9.789790600416334 9.789790600416334 12.639620247459966 7.678541528180987 7.6000000000000005 32.19565188033937 32.19565188033937 32.5674684309358 32.5674684309358 32.44934513977131 32.44934513977131 32.44934513977131 32.44934513977131 32.61533381708671 32.61533381708671 32.5674684309358 32.5674684309358 33.065994616826515 33.065994616826515 33.065994616826515 33.065994616826515 33.19879515886081 33.28663395418648 33.28663395418648 33.28663395418648 33.266199061509866 33.266199061509866 33.266199061509866 33.266199061509866 33.28663395418648 33.28663395418648 33.28663395418648 33.065994616826515 32.9460164511584 32.9460164511584 32.9460164511584 32.9460164511584 32.0624390837628 32.0624390837628 32.0624390837628 32.0624390837628 31.217943558152577 31.19615360905892 31.19615360905892 31.19615360905892 31.262757395981563 31.262757395981563 31.262757395981563 31.262757395981563 31.542986542177648 31.542986542177648 31.542986542177648 31.542986542177648 31.815719385234715 31.815719385234715 31.815719385234715 31.92867050160404 32.547810986301364 32.547810986301364 32.547810986301364 32.547810986301364 32.83047364873069 32.83047364873069 32.83047364873069 32.83047364873069 32.83047364873069 32.83047364873069 32.83047364873069 32.83047364873069 33.246954747766 33.246954747766 33.246954747766 33.246954747766 32.960582519124266 32.82316255329459 32.82316255329459 32.82316255329459 42.93902653763823 42.93902653763823 42.93902653763823 42.93902653763823 41.95044695828639 41.95044695828639 41.95044695828639 41.95044695828639 41.995237825258236 41.79665058350968 41.706594202835596 41.706594202835596 41.41497313774331 41.41497313774331 41.325052934025386 41.325052934025386 41.1271200061468 41.1271200061468 41.1271200061468 41.1271200061468 41.41014368485094 41.41014368485094 41.41014368485094 41.41014368485094 40.50876448375092 40.50876448375092 40.50876448375092 40.50876448375092 40.40594015735805 40.40594015735805 40.40594015735805 40.40594015735805 40.15669309094064 40.15669309094064 40.15669309094064 40.15669309094064 40.13477295313878 40.13477295313878 40.13477295313878 40.13477295313878 40.13477295313878 40.13477295313878 40.13477295313878 40.13477295313878 39.89786961731165 39.86778147828143 39.86778147828143 39.86778147828143 40.241272345690064 40.241272345690064 40.241272345690064 40.13477295313878 40.11682938618156 40.11682938618156 40.11682938618156 40.11682938618156 39.89786961731165 39.89786961731165 39.89786961731165 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.85172518223019 39.85172518223019 39.744181964156716 39.744181964156716 40.11682938618156 40.11682938618156 40.11682938618156 40.11682938618156 40.08790341237616 40.08790341237616 40.08790341237616 40.08790341237616 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.86778147828143 39.8416867112827 39.8416867112827 39.8416867112827 39.8416867112827 39.8416867112827 39.8416867112827 39.8416867112827 40.191541398657506 40.191541398657506 40.191541398657506 40.08291406572132 40.08291406572132 40.08291406572132 40.08291406572132 39.86276458049542 39.8416867112827 39.8416867112827 39.73411632338134 39.73411632338134 39.852728890252926 39.852728890252926;49.22763451558484;"[[517,517,517,517,517,517,517,518,520,520,520,520,520,522,537,538,672,672,672,672,672,672,672,672,673,673,673,673,674,674,674,674,674,674,674,674,675,675,675,675,675,675,675,676,676,676,676,676,676,676,676,676,677,677,677,677,677,677,677,677,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,680,680,680,680,680,680,680,680,680,680,680,680,748,749,749,749,750,750,750,750,751,751,751,751,751,751,751,751,751,751,751,751,751,751,751,751,752,752,752,752,752,752,752,752,752,752,752,752,753,753,753,753,753,753,753,753,753,753,753,753,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,756,756,756,756,756,756,756],[531,531,531,531,531,531,531,531,532,532,532,532,532,558,558,558,707,707,707,707,708,708,708,708,708,708,708,708,725,725,725,725,725,726,726,726,726,726,726,726,727,727,727,727,728,728,728,728,728,728,728,728,729,729,729,729,730,730,730,730,738,738,738,738,741,741,741,742,747,747,747,747,748,748,748,748,748,748,748,748,749,749,749,749,749,749,749,749,771,771,771,771,771,771,771,771,771,771,772,772,772,772,773,773,773,773,773,773,774,774,774,774,789,789,789,789,789,789,789,789,790,790,790,790,790,790,790,790,790,790,790,790,790,791,791,791,791,791,791,791,791,791,791,791,791,791,791,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,793,793,793,793,793,793,793,793,793,793,793,793,793,794,794,794,794,794,794,794,795,795,795,795,795,795,795,795,795,795,795,795,797,797],[511,511,511,511,512,512,512,512,512,512,512,512,512,545,545,545,765,765,766,766,766,766,766,766,767,767,767,767,767,767,767,767,768,768,768,768,769,769,769,769,769,769,769,769,770,770,770,770,770,770,770,770,771,771,771,771,771,771,771,771,772,772,772,772,772,772,772,772,772,772,772,772,773,773,773,773,773,773,773,773,774,774,774,774,774,774,774,774,776,776,776,776,776,776,776,776,870,870,870,870,870,870,870,870,870,870,870,870,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,874,874,874,874,874,874,874,874,874,874,874,874,874,874],[512,512,512,512,512,512,512,512,512,512,513,513,513,544,544,544,698,698,698,698,698,698,698,698,698,698,699,699,699,699,699,699,700,700,700,700,700,700,700,700,701,701,701,701,701,701,701,701,702,702,702,702,702,702,702,702,702,702,702,702,703,703,703,703,703,703,703,703,703,703,703,703,704,704,704,704,704,704,704,704,704,704,704,704,704,705,705,705,705,705,705,705,712,712,712,712,773,773,773,773,774,774,774,774,774,774,774,774,774,774,774,774,774,774,774,774,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,778,778,778,778,778,778,778,779,779,779,779],[535,535,535,535,535,535,535,535,535,536,536,536,536,555,555,556,684,684,684,684,685,685,685,685,685,685,685,685,686,686,686,686,687,687,687,687,688,688,688,688,688,688,688,688,692,692,692,692,699,699,699,699,715,716,716,716,716,716,716,716,719,719,719,719,722,722,722,722,723,723,723,723,724,724,724,724,724,724,724,724,725,725,725,725,728,728,728,728,787,787,787,787,788,788,788,788,788,788,788,788,789,789,789,789,789,789,789,789,790,790,790,790,791,791,791,791,791,791,791,791,791,791,791,791,792,792,792,792,792,792,792,792,793,793,793,793,793,793,793,793,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,796,796,796,796,812,812]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;5;98;98;98;1597;1884;1227;1713 1227 1551 1610 1884;564 564.2 564.2 564.2 564.6 564.6 564.6 564.6 698.2 698.4 698.6 698.6 699.2 699.2 699.2 699.2 699.8 699.8 699.8 700 700.6 700.6 700.6 700.6 702.8 702.8 702.8 703 703.8 704 704 704 705.2 705.2 705.4 705.4 706.2 706.2 706.2 706.2 706.6 706.6 706.6 706.6 707 707.2 707.2 707.2 707.8 707.8 707.8 707.8 707.8 707.8 707.8 708 708.8 708.8 708.8 708.8 709.2 709.2 709.2 709.2 709.6 709.6 709.8 709.8 710 710.2 710.2 710.2 710.4 710.4 710.4 710.4 710.8 710.8 711 711 711 711 711 711 721.8 721.8 722.2 722.2 802.2 802.2 802.2 802.2 839 839 839 839 845.4 845.4;613 613 613 613 613 613 613 613 1210 1210 1210 1210 1211 1211 1211 1211 1211 1211 1211 1212 1212 1212 1212 1212 1213 1213 1213 1213 1215 1215 1215 1215 1220 1220 1220 1220 1220 1220 1220 1220 1221 1221 1221 1221 1221 1221 1221 1221 1222 1222 1222 1222 1222 1222 1222 1222 1223 1223 1223 1223 1224 1224 1224 1224 1224 1224 1224 1224 1224 1225 1225 1225 1225 1225 1225 1225 1225 1225 1226 1226 1226 1226 1226 1226 1226 1226 1227 1227 1227 1227 1227 1227 1227 1227 1227 1227 1227 1227;530 531 531 531 531 531 531 531 531 532 532 532 532 532 532 532 533 533 533 533 534 534 534 534 534 534 534 535 535 535 535 535 535 535 536 536 536 536 536 536 536 536 536 536 536 537 537 537 537 537 537 537 537 537 537 537 538 538 538 538 538 538 538 538 539 539 539 539 539 539 539 539 539 539 539 539 540 540 540 540 540 540 540 540 554 554 554 554 625 625 625 625 695 695 695 695 709 709;29.427877939124322 29.198630104852523 29.198630104852523 29.198630104852523 28.9039789648415 28.9039789648415 28.9039789648415 28.9039789648415 257.3444384477737 257.21477407023104 257.1222277439273 257.1222277439273 257.3444384477737 257.3444384477737 257.3444384477737 257.3444384477737 257.05672525728636 257.05672525728636 257.05672525728636 257.4544619927959 257.14945070911585 257.14945070911585 257.14945070911585 257.14945070911585 256.6674112543312 256.6674112543312 256.6674112543312 256.536157295614 257.17729293232713 257.064972331899 257.064972331899 257.064972331899 258.9651714034148 258.9651714034148 258.8340008576926 258.8340008576926 258.4804828222046 258.4804828222046 258.4804828222046 258.4804828222046 258.7914990875859 258.7914990875859 258.7914990875859 258.7914990875859 258.6387441973843 258.5067890791265 258.5067890791265 258.5067890791265 258.70554690613034 258.70554690613034 258.70554690613034 258.70554690613034 258.70554690613034 258.70554690613034 258.70554690613034 258.6387441973843 258.70554690613034 258.70554690613034 258.70554690613034 258.70554690613034 259.0176827940517 259.0176827940517 259.0176827940517 259.0176827940517 258.8007727963732 258.8007727963732 258.7333762775881 258.7333762775881 258.6201848270935 259.0176827940517 259.0176827940517 259.0176827940517 258.9328870576312 258.9328870576312 258.9328870576312 258.9328870576312 258.7333762775881 258.7333762775881 259.1308549748563 259.1308549748563 259.1308549748563 259.1308549748563 259.1308549748563 259.1308549748563 253.8451496483634 253.8451496483634 254.1774183518276 254.1774183518276 216.56444768243932 216.56444768243932 216.56444768243932 216.56444768243932 197.4882274972359 197.4882274972359 197.4882274972359 197.4882274972359 193.64772139119012 193.64772139119012;216.79944649375838;"[[613,613,613,613,613,613,613,613,614,614,614,614,615,615,615,615,616,616,616,616,617,617,617,617,618,618,618,618,619,619,619,619,619,619,619,619,620,620,620,620,620,620,620,620,621,621,621,621,621,621,621,621,621,621,621,622,622,622,622,622,622,622,622,622,622,622,623,623,623,623,623,623,623,623,623,623,624,624,624,624,624,624,624,624,639,639,640,640,755,755,755,755,755,755,755,755,759,759],[542,542,542,542,544,544,544,544,1210,1210,1210,1210,1211,1211,1211,1211,1211,1211,1211,1212,1212,1212,1212,1212,1213,1213,1213,1213,1215,1215,1215,1215,1220,1220,1220,1220,1220,1220,1220,1220,1221,1221,1221,1221,1221,1221,1221,1221,1222,1222,1222,1222,1222,1222,1222,1222,1223,1223,1223,1223,1224,1224,1224,1224,1224,1224,1224,1224,1224,1225,1225,1225,1225,1225,1225,1225,1225,1225,1226,1226,1226,1226,1226,1226,1226,1226,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227],[530,531,531,531,531,531,531,531,531,532,532,532,532,532,532,532,533,533,533,533,534,534,534,534,534,534,534,535,535,535,535,535,535,535,536,536,536,536,536,536,536,536,536,536,536,537,537,537,537,537,537,537,537,537,537,537,538,538,538,538,538,538,538,538,539,539,539,539,539,539,539,539,539,539,539,539,540,540,540,540,540,540,540,540,554,554,554,554,689,689,689,689,695,695,695,695,709,709],[556,556,556,556,556,556,556,556,557,557,557,557,558,558,558,558,558,558,558,558,559,559,559,559,559,559,559,559,559,560,560,560,560,560,560,560,561,561,561,561,561,561,561,561,561,561,561,561,562,562,562,562,562,562,562,562,563,563,563,563,563,563,563,563,563,563,563,563,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,575,575,575,575,715,715,715,715,715,715,715,715,726,726],[579,579,579,579,579,579,579,579,579,579,580,580,580,580,580,580,581,581,581,581,581,581,581,581,590,590,590,590,591,591,591,591,592,592,592,592,594,594,594,594,595,595,595,595,596,596,596,596,597,597,597,597,597,597,597,597,598,598,598,598,599,599,599,599,600,600,600,600,600,600,600,600,601,601,601,601,601,601,601,601,601,601,601,601,615,615,615,615,625,625,625,625,803,803,803,803,806,806]]"
