name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;8057;false;2426 2481 2495 2495 7756 7756;51
interactive-discover-1;1;4;1456;false;1186 1187 1264 1292;50
interactive-discover-1;2;1;951;false;900;43
interactive-discover-1;3;14;2408;false;565 581 584 587 587 587 610 610 636 636 636 642 647 876;30
interactive-discover-1;4;8;5835;false;1249 1270 1270 1277 1277 1299 1299 1306;45
interactive-discover-2;0;66;8407;false;1670 1670 1689 1704 1811 1838 3984 3995 3995 3995 4013 4044 4045 4082 4118 4129 4129 4150 4185 4185 4231 4247 4254 4254 4263 4283 4283 4295 4297 4346 4347 4358 4359 4414 4419 4420 4427 4427 4437 4437 4464 4464 4472 4503 4514 4515 4515 4524 4565 4566 4566 4569 4616 4621 4627 4627 4642 4652 4652 4698 4710 4710 4710 4723 8406 8406;52
interactive-discover-2;1;46;1784;false;490 956 956 967 1683 1683 1684 1695 1695 1711 1712 1717 1717 1768 1768 1769 1769 1769 1769 1772 1773 1773 1773 1775 1775 1777 1777 1778 1778 1779 1779 1780 1780 1782 1782 1782 1782 1783 1783 1783 1783 1783 1784 1784 1784 1784;51
interactive-discover-2;2;32;1078;false;186 1037 1051 1051 1064 1064 1064 1065 1066 1066 1066 1067 1067 1068 1072 1072 1072 1072 1073 1073 1073 1074 1075 1076 1076 1076 1076 1077 1077 1077 1077 1077;44
interactive-discover-2;3;198;3391;false;1084 1116 1116 1152 1157 1157 1174 1180 1180 1188 1197 1209 1209 1216 1257 1263 1277 1296 1303 1303 1329 1341 1346 1357 1362 1391 1419 1433 1433 1458 1465 1468 1468 1472 1495 1523 1523 1530 1597 1606 1606 1606 1622 1629 1629 1630 1665 1665 1716 1716 1716 1716 1743 1743 1743 1763 1774 1796 1836 1841 1841 1841 1898 1925 1941 1960 1960 1995 2001 2027 2034 2034 2065 2084 2142 2142 2155 2155 2182 2182 2182 2182 2201 2221 2258 2274 2274 2274 2294 2334 2360 2360 2409 2422 2453 2453 2465 2465 2469 2480 2488 2488 2497 2509 2541 2568 2568 2576 2586 2600 2624 2657 2657 2701 2701 2744 2744 2747 2751 2789 2803 2804 2804 2822 2851 2851 2863 2895 2903 2903 2934 2939 2939 2979 2994 2994 2994 3044 3058 3058 3069 3125 3125 3132 3139 3145 3145 3153 3193 3223 3230 3235 3235 3235 3254 3254 3257 3257 3273 3284 3311 3343 3349 3349 3349 3350 3355 3355 3357 3359 3369 3371 3372 3373 3373 3373 3373 3382 3382 3383 3384 3384 3385 3386 3388 3390 3390 3390 3391 3391 3391 3391 3391 3391 3391 3391 3391 3391;31
interactive-discover-2;4;98;7781;false;1387 1387 1395 1401 1429 1429 1429 1488 1488 1515 6722 6804 6813 6813 6813 6860 6903 6921 6921 6935 6947 6969 6991 7006 7011 7020 7050 7091 7097 7113 7138 7156 7177 7177 7225 7225 7285 7345 7345 7345 7427 7474 7490 7490 7499 7533 7583 7591 7607 7613 7613 7620 7636 7645 7645 7665 7665 7686 7710 7712 7712 7725 7725 7743 7743 7752 7752 7762 7762 7762 7762 7763 7763 7764 7766 7766 7766 7766 7774 7774 7775 7776 7780 7780 7780 7780 7780 7780 7780 7780 7780 7780 7780 7781 7781 7781 7781 7781;46
interactive-discover-3;0;71;49074;false;49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49073 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074 49074;178
interactive-discover-3;1;67;3648;false;3646 3646 3646 3646 3646 3646 3646 3646 3646 3646 3646 3646 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3647 3648 3648 3648 3648 3648 3648 3648 3648 3648;179
