name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;9377;false;2067 2090 2154 2203 8327 8342;51
interactive-discover-1;1;4;1394;false;586 967 967 968;50
interactive-discover-1;2;1;933;false;718;43
interactive-discover-1;3;14;2519;false;581 589 594 596 617 622 627 642 644 654 657 669 693 852;30
interactive-discover-1;4;8;6847;false;926 939 949 967 974 1007 1007 1024;45
interactive-discover-2;0;66;6625;false;1045 1108 1121 1139 1150 1201 1213 1237 3337 3337 3347 3355 3368 3377 3402 3415 3447 3454 3472 3488 3492 3505 3515 3522 3528 3539 3540 3559 3599 3605 3678 3750 3822 3892 3898 3931 3944 3972 3980 3989 3994 4047 4059 4071 4084 4097 4105 4108 4113 4125 4131 4139 4150 4151 4162 4172 4183 4195 4218 4218 4229 4240 4249 4258 6432 6437;52
interactive-discover-2;1;46;1335;false;226 247 247 249 720 790 801 811 1058 1076 1112 1125 1143 1151 1199 1205 1222 1235 1247 1259 1288 1294 1313 1317 1320 1322 1326 1328 1328 1330 1331 1331 1331 1331 1332 1332 1333 1333 1334 1334 1335 1335 1335 1335 1335 907;51
interactive-discover-2;2;32;1021;false;276 534 562 662 799 949 965 982 993 998 1001 1002 1011 1012 1013 1014 1014 1015 1016 1016 1017 1017 1018 1018 1018 1019 1020 1020 1020 1020 1021 1021;44
interactive-discover-2;3;198;3080;false;626 698 711 728 734 758 769 779 782 787 794 803 821 833 841 853 901 929 934 951 963 981 996 1005 1014 1021 1046 1063 1075 1087 1116 1135 1155 1160 1187 1194 1210 1211 1221 1226 1253 1257 1274 1277 1287 1296 1330 1337 1347 1351 1362 1371 1397 1402 1407 1411 1425 1427 1438 1446 1467 1477 1486 1500 1532 1537 1576 1580 1600 1607 1629 1634 1643 1647 1661 1741 1763 1767 1786 1803 1816 1823 1833 1850 1858 1864 1881 1884 1890 1894 1906 1919 1925 1929 1938 1943 1954 1957 1968 1975 1987 1992 1996 2000 2021 2023 2035 2056 2061 2069 2089 2092 2103 2108 2114 2118 2130 2370 2389 2393 2406 2412 2420 2424 2437 2447 2455 2459 2468 2471 2484 2488 2496 2500 2513 2517 2534 2539 2545 2550 2559 2563 2571 2580 2591 2595 2611 2613 2626 2640 2651 2656 2691 2695 2702 2707 2728 2732 2751 2756 2783 2790 2799 2812 2823 2830 2841 2851 2856 2864 2888 2893 2905 2911 2913 2919 2931 2933 2938 3000 3001 3004 3007 3011 3014 3023 3024 3028 3033 3060 3063 3067 3067 3071 3075 3077 3078 3078;31
interactive-discover-2;4;98;7911;false;935 975 1009 1021 1031 1036 1064 1075 1101 1104 1124 1148 4614 4642 4666 4681 4706 4719 4756 4769 4795 4803 4823 4833 4853 4863 4877 4881 4906 4921 4937 4955 4974 4984 5011 5025 5041 5051 5077 5090 5110 5110 5128 5139 5162 5176 5202 5213 5218 5240 5255 5276 5293 5306 5316 5325 5345 5358 5385 5409 5421 5432 5454 5484 5505 5521 5532 5548 5599 5607 5615 5635 5644 5689 5722 5735 5743 5762 5786 5802 5816 5830 5840 5847 5866 5886 5895 5907 5923 5924 5932 5951 5989 6006 6020 6029 6045 6053;46
