name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;8785;false;2610 2615 2653 2675 8256 8287;51
interactive-discover-1;1;4;1356;false;935 940 949 965;50
interactive-discover-1;2;1;426;false;337;43
interactive-discover-1;3;14;2483;false;871 882 884 908 924 956 964 987 987 1001 1007 1013 1017 1027;30
interactive-discover-1;4;8;6454;false;1269 1269 1301 1308 1330 1362 1391 1395;45
interactive-discover-2;0;66;8527;false;1615 1649 1666 1685 1700 1709 1727 3704 7696 7714 7732 7748 7752 7775 7788 7805 7833 7858 7898 7915 7926 7951 7986 8002 8058 8082 8111 8126 8157 8158 8168 8184 8230 8242 8280 8343 8351 8359 8370 8381 8409 8410 8456 8459 8486 8495 8509 8509 8512 8512 8519 8519 8521 8521 8522 8523 8523 8523 8524 8524 8524 8524 8525 8526 8526 8526;52
interactive-discover-2;1;46;1385;false;212 212 490 517 952 1359 1361 1362 1364 1365 1367 1367 1369 1370 1371 1371 1372 1373 1374 1375 1376 1376 1377 1378 1379 1379 1380 1380 1380 1381 1381 1381 1381 1382 1382 1383 1383 1383 1383 1384 1384 1384 1384 1384 1385 1385;51
interactive-discover-2;2;32;1001;false;620 761 782 982 982 983 983 984 984 985 985 986 986 986 987 987 995 995 997 997 997 998 998 999 999 999 999 1000 1000 1000 1000 1000;44
interactive-discover-2;3;198;2991;false;1106 1130 1140 1151 1155 1158 1181 1189 1204 1207 1211 1217 1237 1253 1271 1277 1293 1297 1302 1307 1315 1321 1348 1369 1380 1393 1398 1415 1426 1429 1443 1454 1463 1483 1490 1526 1536 1550 1565 1589 1594 1596 1606 1636 1643 1675 1701 1705 1715 1715 1722 1726 1731 1733 1742 1744 1760 1777 1807 1822 1836 1849 1861 1871 1900 1907 1910 1914 1922 1925 1930 1936 1962 1990 2000 2011 2018 2024 2029 2036 2040 2068 2086 2120 2130 2199 2208 2220 2226 2234 2234 2263 2267 2274 2274 2288 2290 2294 2297 2310 2312 2336 2337 2350 2362 2368 2383 2400 2409 2414 2420 2453 2529 2534 2543 2571 2628 2636 2643 2655 2661 2662 2679 2685 2687 2703 2706 2714 2726 2756 2769 2786 2808 2814 2819 2822 2825 2827 2829 2843 2846 2847 2869 2879 2917 2917 2935 2941 2944 2946 2947 2948 2951 2951 2952 2953 2976 2976 2978 2979 2980 2981 2982 2982 2983 2983 2984 2984 2984 2985 2985 2986 2987 2987 2988 2988 2988 2988 2988 2988 2989 2989 2989 2989 2990 2990 2990 2990 2991 2991 2991 2991 2991 2991 2991 2991 2991 2991;31
interactive-discover-2;4;98;5647;false;1369 1390 1402 1412 1420 1433 1444 1465 1470 1480 1517 1523 4753 4766 4779 4792 4797 4809 4847 4880 4907 4933 4943 4960 4985 4991 4999 5005 5023 5031 5044 5102 5122 5150 5160 5178 5194 5202 5237 5246 5261 5298 5307 5318 5320 5325 5328 5334 5334 5372 5393 5454 5460 5477 5482 5494 5503 5514 5533 5539 5547 5556 5557 5584 5586 5597 5599 5602 5612 5625 5627 5629 5630 5633 5634 5635 5636 5637 5638 5638 5639 5640 5643 5643 5643 5644 5645 5645 5645 5645 5645 5646 5646 5646 5646 5646 5646 5647;46
