name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;3442;false;2706 2769 2783 2797 2807 2831;51
interactive-discover-1;1;4;1862;false;1426 1470 1470 1493;50
interactive-discover-1;2;1;1252;false;1179;43
interactive-discover-1;3;14;3521;false;1536 1555 1569 1578 1586 1588 1597 1614 1642 1647 1652 1660 1668 1672;30
interactive-discover-1;4;8;2195;false;1137 1159 1185 1201 1216 1216 1228 1247;45
interactive-discover-2;0;66;2608;false;1704 1715 1733 1744 1770 1803 1823 1830 1905 1939 1955 1961 1967 1974 1982 2002 2017 2018 2027 2042 2065 2067 2102 2109 2123 2139 2140 2146 2163 2165 2221 2272 2332 2383 2409 2448 2463 2525 2527 2586 2592 2595 2597 2599 2599 2600 2601 2602 2602 2603 2603 2603 2604 2605 2605 2605 2607 2607 2607 2607 2607 2607 2607 2607 2607 2607;52
interactive-discover-2;1;46;2003;false;1591 1606 1628 1640 1673 1673 1694 1709 1718 1735 1764 1775 1788 1802 1830 1872 1884 1884 1892 1908 1918 1932 1932 1938 1944 1949 1954 1954 1956 1957 1960 1960 1968 1969 1986 1992 1994 1994 2001 2001 2001 2001 2001 2001 2002 2002;51
interactive-discover-2;2;32;1054;false;291 674 879 967 978 992 1015 1024 1030 1037 1041 1045 1046 1047 1048 1048 1048 1049 1050 1050 1051 1052 1052 1052 1052 1053 1053 1054 1054 1054 1054 1054;44
interactive-discover-2;3;198;3877;false;1494 1507 1518 1527 1529 1534 1574 1593 1631 1631 1641 1665 1681 1705 1773 1777 1788 1816 1837 1846 1864 1891 1911 1948 1971 1988 2004 2018 2020 2029 2044 2064 2076 2079 2089 2101 2117 2120 2135 2143 2162 2165 2171 2177 2185 2197 2210 2221 2230 2244 2271 2276 2283 2312 2350 2365 2367 2390 2405 2413 2423 2427 2441 2459 2471 2485 2487 2500 2510 2518 2527 2541 2569 2574 2585 2586 2594 2602 2610 2636 2640 2647 2664 2674 2696 2728 2736 2747 2767 2788 2800 2804 2815 2820 2826 2844 2847 2879 2887 2917 2930 2937 2952 2957 2984 2991 2994 3003 3012 3042 3042 3053 3063 3073 3096 3115 3142 3157 3163 3167 3184 3204 3233 3242 3253 3260 3271 3282 3296 3302 3311 3330 3334 3360 3362 3375 3388 3394 3422 3433 3449 3473 3485 3493 3498 3504 3518 3521 3531 3538 3549 3571 3578 3597 3599 3619 3639 3640 3660 3674 3695 3700 3714 3717 3729 3734 3736 3766 3767 3777 3797 3815 3820 3846 3856 3859 3863 3863 3866 3866 3866 3867 3873 3873 3874 3874 3874 3876 3876 3876 3876 3876 3876 3876 3877 3877 3877 3877;31
interactive-discover-2;4;98;2785;false;1372 1407 1425 1434 1451 1470 1470 1498 1513 1525 1540 1546 1562 1574 1586 1599 1612 1634 1661 1672 1687 1703 1716 1729 1737 1744 1757 1763 1809 1854 1880 1915 1930 1934 1951 1973 1995 2032 2068 2105 2128 2154 2174 2187 2206 2247 2309 2321 2339 2349 2363 2368 2381 2383 2410 2419 2446 2453 2491 2522 2541 2553 2565 2591 2610 2633 2667 2687 2702 2708 2739 2744 2752 2753 2757 2758 2763 2769 2777 2778 2779 2780 2781 2781 2781 2782 2782 2783 2783 2783 2783 2783 2784 2784 2784 2784 2785 2785;46
