name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;3233;false;2946 3000 3018 3036 3067 3088;51
interactive-discover-1;1;4;904;false;650 650 680 687;50
interactive-discover-1;2;1;490;false;490;43
interactive-discover-1;3;14;704;false;515 702 702 702 702 703 704 704 704 704 704 704 704 704;30
interactive-discover-1;4;8;2454;false;2021 2045 2053 2060 2074 2078 2083 2091;45
interactive-discover-2;0;66;2555;false;2261 2280 2303 2308 2321 2336 2358 2392 2435 2439 2461 2471 2476 2484 2485 2493 2499 2501 2506 2508 2508 2509 2510 2512 2513 2514 2515 2520 2520 2521 2522 2522 2525 2526 2526 2527 2528 2528 2529 2530 2530 2531 2531 2533 2533 2534 2534 2537 2537 2538 2538 2539 2539 2541 2541 2542 2542 2543 2543 2554 2554 2554 2554 2554 2554 2555;52
interactive-discover-2;1;46;1987;false;919 920 924 946 1937 1938 1940 1940 1942 1944 1944 1945 1946 1946 1948 1950 1952 1952 1953 1954 1954 1955 1969 1969 1969 1970 1970 1971 1971 1972 1972 1981 1982 1983 1983 1983 1984 1985 1985 1985 1986 1986 1986 1986 1987 1987;51
interactive-discover-2;2;32;1522;false;579 1497 1499 1500 1501 1501 1502 1503 1504 1504 1505 1505 1505 1506 1506 1507 1507 1509 1509 1509 1509 1510 1510 1510 1521 1522 1522 1522 1522 1522 1522 1522;44
interactive-discover-2;3;198;6257;false;2071 2092 2126 2126 2152 2167 2180 2198 2204 2210 2221 2240 2247 2255 2264 2266 2276 2360 2388 2391 2418 2423 2429 2442 2443 2446 2458 2464 2474 2496 2546 2549 2571 2581 2593 2598 2604 2607 2675 2701 2720 2751 2758 2761 2763 2773 2787 2790 2804 2812 2854 2865 2877 2881 2901 2907 2927 2939 2944 2947 2954 2968 2978 2994 2996 3022 3053 3076 3086 3091 3108 3111 3117 3126 3151 3215 3238 3250 3285 3288 3295 3308 3311 3319 3321 3324 3330 3333 3333 3343 3379 3406 3406 3437 3479 3503 3507 3518 3525 3530 3533 3537 3577 3628 3641 3656 3667 3679 3680 3684 3694 3694 3706 3710 3713 3713 3721 3765 3777 4188 4520 4528 4589 4623 4968 4976 5028 5077 5109 5123 5163 5223 5239 5326 5342 5353 5382 5392 5416 5427 5479 5510 5514 5525 5583 5665 5670 5676 5725 5728 5728 5800 5862 5901 5946 6042 6047 6170 6201 6203 6236 6237 6238 6238 6239 6240 6240 6241 6242 6242 6245 6246 6247 6247 6248 6248 6248 6248 6249 6249 6249 6249 6255 6255 6255 6255 6256 6256 6256 6256 6256 6256 6256 6256 6256 6257 6257 6257;31
interactive-discover-2;4;98;2628;false;1898 1917 1930 1935 1940 1948 1959 1986 2015 2019 2035 2045 2060 2071 2099 2107 2118 2128 2140 2175 2194 2214 2225 2231 2244 2259 2277 2295 2306 2313 2316 2329 2405 2428 2447 2461 2472 2480 2514 2521 2522 2530 2549 2573 2577 2581 2582 2583 2583 2584 2585 2585 2587 2588 2589 2593 2593 2594 2595 2602 2602 2604 2604 2605 2607 2611 2611 2612 2613 2613 2614 2614 2615 2615 2615 2616 2616 2617 2617 2618 2619 2619 2620 2620 2620 2621 2622 2622 2624 2624 2624 2624 2625 2625 2625 2625 2626 2626;46
interactive-discover-3;0;71;7252;false;7250 7250 7250 7250 7250 7250 7250 7250 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7251 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252 7252;178
interactive-discover-3;1;67;102542;false;102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102540 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541 102541;179
interactive-discover-3;2;55;31105;false;31103 31103 31103 31103 31103 31103 31103 31103 31103 31103 31103 31103 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31104 31105 31105 31105 31105 31105 31105;128
interactive-discover-3;3;0;121349;true;;
interactive-discover-3;4;142;8355;false;8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8340 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8341 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8344 8346 8346 8346 8346 8346 8346 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347 8347;197
interactive-discover-4;0;5;2326;false;2325 2325 2325 2325 2325;68
interactive-discover-4;1;3;1954;false;1953 1953 1953;55
interactive-discover-4;2;3;926;false;498 498 498;48
interactive-discover-4;3;0;3277;false;;36
interactive-discover-4;4;7;2970;false;2970 2970 2970 2970 2970 2970 2970;66
interactive-discover-5;0;15;3159;false;346 359 562 576 603 732 1200 1326 1396 1484 1913 1919 2081 3154 3154;52
interactive-discover-5;1;3;658;false;143 579 599;51
interactive-discover-5;2;3;461;false;94 451 453;44
interactive-discover-5;3;4;1016;false;147 385 432 447;31
interactive-discover-5;4;20;2773;false;356 360 407 658 661 663 844 941 968 970 1265 1270 1413 1488 2214 2214 2215 2281 2360 2731;46
interactive-discover-6;0;0;120826;true;;
interactive-discover-6;1;0;1267;false;;51
interactive-discover-6;2;1;693;false;692;44
interactive-discover-6;3;1;122469;true;16253;
interactive-discover-6;4;27;4926;false;4161 4233 4256 4256 4778 4783 4788 4788 4792 4795 4795 4810 4817 4817 4821 4825 4825 4827 4829 4829 4831 4834 4834 4835 4837 4837 4838;46
interactive-discover-7;0;1;121108;true;25060;
interactive-discover-7;1;0;1084;false;;51
interactive-discover-7;2;1;729;false;392;44
interactive-discover-7;3;0;41904;true;;167
interactive-discover-7;4;0;3194;false;;429
interactive-discover-8;0;10;20304;false;13403 13403 14685 14950 15528 15914 17771 19069 19386 19797;648
interactive-discover-8;1;10;35379;false;29173 29173 30439 30439 31720 31720 33395 33395 34879 34879;1450
interactive-discover-8;2;10;27822;false;22007 22007 23424 23424 24161 24161 25327 25506 26655 27292;1379
interactive-discover-8;3;10;50348;false;40670 41011 42709 43325 44198 44991 46637 47574 48922 49607;2695
interactive-discover-8;4;10;58258;false;49381 49381 51302 51302 52649 52649 54357 55516 55516 57509;3801
interactive-short-1;0;1;13059;false;9101;2019
interactive-short-1;1;1;13162;false;10947;2489
interactive-short-1;2;1;13267;false;8314;2541
interactive-short-1;3;1;7437;false;4735;2065
interactive-short-1;4;1;7711;false;6674;1243
interactive-short-2;0;0;118776;true;;
interactive-short-2;1;1;120099;true;38009;
interactive-short-2;2;0;120203;true;;
interactive-short-2;3;0;120140;true;;
interactive-short-2;4;0;119972;true;;
