name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;8977;false;1997 2020 2032 2062 8130 8160;51
interactive-discover-1;1;4;1549;false;594 1119 1542 1542;50
interactive-discover-1;2;1;1043;false;1043;43
interactive-discover-1;3;14;2621;false;456 479 489 491 498 510 514 523 523 544 544 551 556 716;30
interactive-discover-1;4;8;6466;false;742 1072 1101 1106 1155 1156 1171 1171;45
interactive-discover-2;0;66;8547;false;1072 1093 1111 1134 1192 1193 3368 3390 3400 3412 3432 3466 3475 3487 3494 3506 3518 3540 3546 3577 3616 3638 3649 3664 3673 3694 3701 3711 3719 3739 3746 3782 3789 3822 3842 3873 3889 3924 3947 3964 3983 3997 4009 4038 4042 4052 4103 4149 4158 4191 4192 4202 4213 4243 4244 4258 4266 4283 4290 4312 4316 4324 4326 4339 8545 8546;52
interactive-discover-2;1;46;1651;false;218 441 449 462 1048 1082 1088 1113 1124 1147 1152 1182 1199 1242 1332 1364 1386 1396 1407 1431 1444 1491 1502 1525 1537 1556 1571 1594 1601 1606 1608 1621 1625 1632 1632 1635 1644 1646 1647 1648 1649 1649 1650 1650 1650 1650;51
interactive-discover-2;2;32;1082;false;110 449 541 754 946 959 977 988 1022 1027 1037 1051 1056 1066 1068 1072 1075 1076 1076 1077 1078 1078 1079 1079 1080 1080 1080 1081 1081 1081 1081 1081;44
interactive-discover-2;3;198;3001;false;323 632 650 674 679 689 696 705 712 778 794 804 812 817 822 830 838 844 852 861 867 873 878 887 892 897 931 939 957 960 963 978 1171 1192 1192 1204 1214 1222 1228 1231 1234 1243 1247 1257 1264 1272 1284 1290 1305 1355 1358 1366 1375 1396 1402 1403 1410 1413 1418 1418 1426 1442 1468 1470 1482 1486 1499 1518 1519 1524 1528 1533 1535 1538 1538 1543 1564 1568 1574 1600 1608 1612 1621 1625 1673 1675 1684 2053 2068 2071 2081 2082 2091 2097 2101 2110 2149 2160 2174 2176 2184 2192 2194 2201 2207 2212 2213 2218 2222 2226 2230 2236 2240 2245 2252 2259 2263 2268 2292 2298 2320 2342 2354 2361 2367 2367 2370 2372 2386 2397 2397 2403 2407 2411 2416 2429 2468 2481 2488 2494 2501 2509 2512 2516 2517 2521 2532 2533 2537 2545 2551 2559 2564 2566 2575 2592 2597 2621 2633 2644 2661 2670 2675 2815 2818 2820 2827 2838 2838 2845 2861 2870 2877 2877 2881 2885 2888 2895 2923 2923 2948 2956 2968 2970 2974 2977 2979 2983 2984 2995 2995 2997 2997 2998 2998 2999 3000 3000;31
interactive-discover-2;4;98;7839;false;1008 1044 1072 1095 1107 1123 1130 1152 1212 4730 4771 4791 4807 4819 4831 4847 4869 4880 4906 4915 4945 4958 4984 4989 5013 5023 5039 5050 5100 5126 5147 5152 5185 5201 5223 5239 5266 5277 5297 5310 5337 5350 5365 5377 5390 5396 5430 5443 5459 5474 5504 5508 5521 5535 5550 5560 5597 5608 5622 5627 5648 5661 5690 5702 5751 5763 5779 5791 5813 5825 5851 5864 5877 5881 5911 5924 5941 5946 5959 5963 5972 5974 6000 6001 6013 6025 6042 6042 6058 6066 6081 6085 6107 6113 6139 6148 6151 6153;46
interactive-discover-3;0;0;121929;true;;
interactive-discover-3;1;67;108100;false;108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108098 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099 108099;179
interactive-discover-3;2;55;31295;false;31291 31291 31291 31291 31292 31292 31292 31292 31292 31292 31292 31292 31292 31292 31292 31292 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31293 31294 31294 31294 31294 31294 31294 31294;128
interactive-discover-3;3;0;121583;true;;
interactive-discover-3;4;0;120828;true;;
interactive-discover-4;0;5;82179;false;82178 82178 82178 82178 82178;68
interactive-discover-4;1;3;3157;false;3151 3151 3151;55
interactive-discover-4;2;3;1969;false;1968 1968 1968;48
interactive-discover-4;3;3;7934;false;7934 7934 7934;36
interactive-discover-4;4;7;99592;false;99592 99592 99592 99592 99592 99592 99592;66
interactive-discover-5;0;15;2323;false;374 388 728 745 757 827 1238 1497 1715 1891 2052 2070 2120 2205 2302;52
interactive-discover-5;1;3;720;false;199 643 674;51
interactive-discover-5;2;3;664;false;130 643 650;44
interactive-discover-5;3;4;846;false;126 153 210 223;31
interactive-discover-5;4;20;2007;false;225 275 326 512 534 535 784 784 821 836 1229 1237 1409 1478 1569 1664 1666 1810 1813 1985;46
interactive-discover-6;0;0;120606;true;;
interactive-discover-6;1;1;2072;false;1594;51
