query	config	requests	first	last	termination	diefficiency	restarts
interactive discover 1.0	baseline	51	2.426	7.756	8.057	25.005	0
interactive discover 1.0	cardinality once void	51	2.631	8.815	9.575	29.01	0
interactive discover 1.0	cardinality once	51	2.668	8.507	9.123	27.509	0
interactive discover 1.0	cardinality unlimited void	51	2.933	3.064	3.206	1.823	0
interactive discover 1.0	cardinality unlimited	51	3.331	3.466	3.706	2.148	0
interactive discover 1.0	timeout 1000 void	51	9.604	12.387	17.644	17.167	0
interactive discover 1.0	timeout 1000	51	9.763	37.361	43.866	128.594	0
interactive discover 1.0	timeout 10000 void	51	17.829	20.431	25.801	20.032	0
interactive discover 1.0	timeout 10000	51	11.346	17.98	21.749	34.971	0
interactive discover 1.0	timeout 20000 void	51	4.606	11.369	24.332	32.023	0
interactive discover 1.0	timeout 20000	51	9.081	23.148	28.654	66.981	0
interactive discover 1.0	timeout 5000 void	51	13.192	17.213	21.959	23.793	0
interactive discover 1.0	timeout 5000	51	13.022	16.626	20.567	21.994	0
interactive discover 1.0	cardinality once void simple	51	2.171	8.064	9.171	27.523	0
interactive discover 1.0	cardinality unlimited void simple	51	2.458	2.567	3.236	1.527	0
interactive discover 1.0	overhead simple	51	2.001	7.993	8.725	27.825	0
interactive discover 1.0	overhead	51	2.383	8.203	8.535	27.245	0
interactive discover 1.0	timeout 100 void simple	51	4.791	29.881	39.296	114.395	0
interactive discover 1.0	timeout 100 void	51	10.077	13.064	18.237	17.343	0
interactive discover 1.0	timeout 100	51	9.364	34.675	40.649	117.992	0
interactive discover 1.0	timeout 1000 void simple	51	6.875	30.978	40.155	111.107	0
interactive discover 1.0	timeout 10000 void simple	51	5.898	13.285	24.643	34.468	0
interactive discover 1.0	timeout 2000 void simple	51	6.771	34.282	43.516	125.754	0
interactive discover 1.0	timeout 2000 void	51	11.446	14.426	21.243	18.363	0
interactive discover 1.0	timeout 2000	51	10.77	12.884	19.618	14.769	0
interactive discover 1.0	timeout 20000 void simple	51	9.305	23.129	29.669	65.836	0
interactive discover 1.0	timeout 5000 void simple	51	4.645	13.262	21.933	41.011	0
interactive discover 1.1	baseline	50	1.186	1.292	1.456	0.885	0
interactive discover 1.1	cardinality once void	50	0.366	0.455	0.985	0.492	0
interactive discover 1.1	cardinality once	50	0.698	0.702	1.434	0.356	0
interactive discover 1.1	cardinality unlimited void	50	0.482	0.648	0.649	0.816	0
interactive discover 1.1	cardinality unlimited	50	0.404	0.547	0.864	0.562	0
interactive discover 1.1	timeout 1000 void	50	9.876	10.216	13.102	5.643	0
interactive discover 1.1	timeout 1000	50	7.5	8.424	22.108	6.553	0
interactive discover 1.1	timeout 10000 void	50	10.157	10.655	15.597	6.807	0
interactive discover 1.1	timeout 10000	50	5.226	5.234	15.862	2.625	0
interactive discover 1.1	timeout 20000 void	50	7.055	11.747	13.851	15.259	0
interactive discover 1.1	timeout 20000	50	8.48	8.893	20.909	5.674	0
interactive discover 1.1	timeout 5000 void	50	13.219	13.879	16.914	8.651	0
interactive discover 1.1	timeout 5000	50	9.464	9.752	16.371	5.343	0
interactive discover 1.1	cardinality once void simple	50	0.39	0.474	1.437	0.376	0
interactive discover 1.1	cardinality unlimited void simple	50	0.836	0.864	1.895	0.488	0
interactive discover 1.1	overhead simple	50	0.822	1.75	1.751	3.246	0
interactive discover 1.1	overhead	50	0.253	1.581	1.584	3.401	0
interactive discover 1.1	timeout 100 void simple	50	9.211	9.745	16.105	5.696	0
interactive discover 1.1	timeout 100 void	50	10.136	11.428	14.727	8.961	0
interactive discover 1.1	timeout 100	50	8.64	9.085	15.549	5.519	0
interactive discover 1.1	timeout 1000 void simple	50	5.655	6.384	11.581	4.72	0
interactive discover 1.1	timeout 10000 void simple	50	9.605	10.481	15.879	6.256	0
interactive discover 1.1	timeout 2000 void simple	50	0.551	8.515	16.608	19.017	0
interactive discover 1.1	timeout 2000 void	50	13.905	14.662	15.361	9.36	0
interactive discover 1.1	timeout 2000	50	10.518	10.816	16.604	5.934	0
interactive discover 1.1	timeout 20000 void simple	50	6.025	6.501	25.182	4.675	0
interactive discover 1.1	timeout 5000 void simple	50	6.222	6.973	11.872	5.579	0
interactive discover 1.2	baseline	43	0.9	0.9	0.951	0.45	0
interactive discover 1.2	cardinality once void	43	0.496	0.496	0.497	0.248	0
interactive discover 1.2	cardinality once	43	0.605	0.605	0.606	0.302	0
interactive discover 1.2	cardinality unlimited void	43	0.412	0.412	0.506	0.206	0
interactive discover 1.2	cardinality unlimited	43	0.611	0.611	0.611	0.305	0
