Combination	Δ dieff@full	Δ dieff@full min	Δ dieff@full max	Δ duration	Δ duration min	Δ duration max	Δ first result	Δ first result min	Δ first result max	Δ last result	Δ last result min	Δ last result max	Δ http requests	Δ http requests min	Δ http requests max	Queries
baseline																39
overhead	+0.432	+1.593	-0.051	+0.021	+0.042	+0.089	-0.161	-0.108	-0.117	-0.120	-0.077	-0.102	-0	+0	-0	39
interval-100-once	+0.596	+0.236	+0.858	+0.246	+0.063	+0.560	+0.044	-0.035	+0.236	+0.084	-0.004	+0.276	-0	+0	+0	39
interval-1000-once	+0.622	+1.242	+0.224	+0.149	+0.096	+0.499	+0.059	-0.093	+0.589	+0.169	+0.063	+0.626	-0	+0	-0	39
interval-2000-once	+0.500	+1.030	+0.108	-0.045	+0.022	-0.069	-0.202	-0.114	-0.257	-0.147	-0.083	-0.210	-0	+0	-0	39
interval-5000-once	+0.419	+0.798	+0.068	-0.017	+0.016	+0.003	-0.182	-0.143	-0.165	-0.131	-0.105	-0.122	-0	+0	-0	39
interval-10000-once	+0.434	+0.827	+0.186	-0.061	+0.057	-0.177	-0.218	-0.115	-0.337	-0.168	-0.092	-0.279	-0	+0	-1	39
interval-20000-once	+0.440	+1.573	+0.040	-0.045	+0.038	-0.114	-0.215	-0.079	-0.319	-0.156	-0.071	-0.255	-0	+0	-0	39
metadata-once	+0.694	+0.763	+0.544	+0.005	+0.021	+0.119	-0.141	-0.088	-0.009	-0.088	-0.098	+0.062	-0	+0	-1	39
metadata-unlimited	+0.552	+1.163	+0.217	-0.055	+0.059	-0.165	-0.190	-0.063	-0.312	-0.145	-0.051	-0.255	-0	+0	-1	39
