name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;5;6;6;6;1198.8;1754;720;1754 1376 1345 720 799;317 345.2 375 416 756.4 759.4;687 755 801 848 1245 1247;154 161 169 194 570 575;196.66011288515014 213.65991669005209 225.3530563360524 227.238201013826 249.11892742222537 248.53378040017014;387.32694200119874;"[[687,755,801,848,1245,1247],[344,349,397,406,647,652],[154,161,169,194,604,605],[230,236,243,349,716,718],[170,225,265,283,570,575]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;5;4;4;4;833;1036;678;743 1036 959 749 678;117.2 125.2 128 129.2;182 190 192 192;86 89 89 89;33.760331751924475 36.40549409086491 37.87875393937873 36.9616016968962;138.75590077542648;"[[182,190,192,192],[111,114,114,114],[111,137,148,148],[86,89,89,89],[96,96,97,103]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;5;1;1;1;585;631;518;631 611 552 518 613;86.2;107;65;13.89100428334827;42.78784874237077;"[[107],[91],[89],[79],[65]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;5;14;14;14;477.6;533;418;516 472 418 449 533;128.8 129.2 131.8 132.2 132.4 132.4 132.4 132.8 133 133 133 133.4 134 134.2;154 154 155 155 155 155 155 156 156 156 156 157 157 157;105 105 105 106 106 106 106 106 106 106 106 107 110 110;15.765785740013087 15.765785740013087 17.428711943227473 17.29045979724079 17.46539435569664 17.46539435569664 17.46539435569664 17.904189453868053 17.854971296532515 17.854971296532515 17.854971296532515 17.81684596105607 16.946976131451887 16.845177351396455;42.29704481402927;"[[154,154,155,155,155,155,155,156,156,156,156,157,157,157],[124,125,125,125,125,125,125,125,125,125,125,125,125,126],[105,105,105,106,106,106,106,106,106,106,106,107,110,110],[133,134,146,147,148,148,148,149,149,149,149,149,149,149],[128,128,128,128,128,128,128,128,129,129,129,129,129,129]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;5;8;8;8;1015.8;1316;855;1316 963 1076 869 855;315.6 327.4 333.8 336.6 359.4 375.8 383.2 389.4;450 451 452 455 475 490 495 502;167 206 226 233 261 307 317 322;89.74764620868895 77.82184783208376 72.32814113469252 71.42156537069178 69.21444935849739 62.17523622793885 60.88809407429337 61.62337218945422;169.66956120648157;"[[450,451,452,455,475,490,495,502],[320,338,348,352,376,384,393,401],[326,327,327,327,348,354,359,364],[167,206,226,233,261,307,317,322],[315,315,316,316,337,344,352,358]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;5;66;66;66;845.8;991;749;861 749 991 865 763;167.2 172 179.6 189.6 191.8 192.6 193.4 194 194.6 194.6 195.2 195.2 195.2 195.4 195.6 195.6 196.4 197.6 207.4 209.8 213 221.4 236 237.6 246.8 257.4 259 265.6 272.2 273.2 280 283.4 288.8 290.8 299.2 300 301.4 303.2 304.2 304.4 304.6 304.6 305.6 305.6 305.6 305.6 305.8 305.8 305.8 305.8 306 306.2 306.2 306.2 306.2 306.2 306.2 306.8 307.6 308.2 325.6 332.6 343 354 845.2 845.4;235 244 252 297 300 301 303 303 304 304 304 304 304 304 305 305 305 305 305 305 305 305 305 305 305 305 305 309 309 309 341 358 385 394 435 439 446 446 446 446 447 447 448 448 448 448 448 448 448 448 448 448 448 448 448 448 448 448 448 448 465 480 489 497 990 990;133 139 142 145 151 152 153 155 156 156 156 156 156 156 156 156 156 157 157 157 158 158 163 163 202 239 239 239 240 240 240 240 240 240 240 240 240 240 240 241 241 241 241 241 241 241 241 241 241 241 241 242 242 242 242 242 242 242 242 245 270 282 287 291 748 748;35.159067109353174 36.93778553189132 37.76559280615095 54.631858837129094 54.7189181179599 54.77809781290329 55.31943600580179 54.96908221900744 55.13837139415708 55.13837139415708 54.90865141305148 54.90865141305148 54.90865141305148 54.851071092550235 55.24708137087424 55.24708137087424 54.840131290871284 54.26085144927234 51.02391596104712 50.467415230027385 49.97199215560652 48.68100245475642 47.031904065219386 46.3188946327522 34.3709179394441 24.401639289195305 23.630488780387086 24.046621384302618 27.636208133533803 28.72907934480324 37.75182114812476 43.430864601110585 52.995848894040755 56.33968406017201 71.55529330524752 73.07530362578044 75.74325052438665 75.961569230763 76.15615536514431 75.98842017044439 76.36124671585712 76.36124671585712 76.2091857980388 76.2091857980388 76.2091857980388 76.2091857980388 76.25063934158192 76.25063934158192 76.25063934158192 76.25063934158192 76.13409223206119 75.96420209546072 75.96420209546072 75.96420209546072 75.96420209546072 75.96420209546072 75.96420209546072 75.62380577569473 75.11218276684548 74.59597844388128 72.58815330341446 75.93312847499436 76.2207320877988 76.51666485152107 86.92847634693709 86.96344059430952;87.07330245258876;"[[154,158,162,162,163,164,165,165,165,165,166,166,166,166,166,166,170,170,199,204,213,235,249,249,250,251,251,251,251,251,253,253,253,253,253,253,253,253,253,253,253,253,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,261,261,280,283,287,296,860,861],[133,139,142,145,151,152,153,155,156,156,156,156,156,156,156,156,156,157,157,157,158,158,163,163,202,240,245,271,301,306,306,306,306,307,307,307,307,316,321,321,321,321,321,321,321,321,322,322,322,322,322,322,322,322,322,322,322,322,322,322,329,331,347,368,748,748],[153,155,174,175,176,176,176,177,177,177,179,179,179,180,180,180,180,180,180,182,182,198,212,220,225,239,239,239,240,240,240,240,240,240,240,240,240,240,240,241,241,241,241,241,241,241,241,241,241,241,241,242,242,242,242,242,242,242,242,245,270,282,287,291,990,990],[161,164,168,169,169,170,170,170,171,171,171,171,171,171,171,171,171,176,196,201,207,211,251,251,252,252,255,258,260,260,260,260,260,260,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,262,262,262,262,262,262,262,265,265,265,284,287,305,318,865,865],[235,244,252,297,300,301,303,303,304,304,304,304,304,304,305,305,305,305,305,305,305,305,305,305,305,305,305,309,309,309,341,358,385,394,435,439,446,446,446,446,447,447,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,465,480,489,497,763,763]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;5;46;46;46;989.8;1092;900;900 975 1092 1043 939;100.6 105.8 105.8 105.8 151.4 174.8 174.8 203.4 203.8 204.2 222.8 247.6 269.6 295.8 316 339 362.8 385.2 408.6 408.6 430 453.6 477.2 502.6 503.2 524.2 524.4 548.4 584 585.4 586.4 586.8 587.6 594.6 615.4 615.6 634.8 663.8 664.8 666 687 687.4 688.2 705.2 730 752.8;110 110 110 110 167 198 198 231 231 232 252 289 305 330 356 386 409 435 462 462 483 513 539 568 568 594 595 619 660 661 662 662 663 672 699 699 723 753 754 755 779 780 781 801 828 855;92 96 96 96 138 162 162 188 188 189 209 232 254 278 297 317 339 360 382 382 402 422 444 467 468 489 489 509 542 543 545 545 546 554 572 573 591 619 621 623 636 636 637 653 677 698;6.681317235396026 5.230678732248808 5.230678732248808 5.230678732248808 9.414881836751857 12.890306435457614 12.890306435457614 15.054567413247051 14.958609561052123 15.118200951171406 15.84171707865028 21.62036077404815 19.085072700935672 19.487431847218865 21.335416564951338 24.698178070456937 24.086510747719355 26.03382415243677 27.7459907013608 27.7459907013608 27.763285108214408 31.12940731848263 32.33821269025238 34.20877080516048 33.90221231719252 36.28443192334696 36.66933323637068 37.19462326734874 40.31873013873329 40.107854592336395 39.86778147828143 39.71599174136283 39.77235220602372 40.237296131822774 43.605504239717256 43.407833394446214 45.6 46.11897657147218 46.00173909756022 45.81266200517058 48.29078587059855 48.60288057306892 48.671963182103106 50.400000000000006 51.586820022172326 53.63357157601944;69.48208402171024;"[[104,108,108,108,150,169,169,193,194,194,212,232,254,283,297,317,339,360,382,382,402,422,444,467,468,489,489,509,542,543,545,545,546,554,572,573,591,619,621,623,636,636,637,653,677,698],[92,96,96,96,138,166,166,199,199,199,214,236,260,283,307,329,353,377,399,399,423,444,471,494,495,507,507,540,574,575,575,576,576,582,606,606,624,652,653,654,678,678,679,699,722,744],[110,110,110,110,167,198,198,231,231,232,252,289,305,330,356,386,409,435,462,462,483,513,539,568,568,594,595,619,660,661,662,662,663,672,699,699,723,753,754,755,779,780,781,801,828,855],[103,110,110,110,148,162,162,188,188,189,209,232,255,278,301,323,353,371,395,395,416,439,463,490,490,512,512,532,562,565,567,568,569,581,606,606,621,648,649,650,672,672,673,692,720,741],[94,105,105,105,154,179,179,206,207,207,227,249,274,305,319,340,360,383,405,405,426,450,469,494,495,519,519,542,582,583,583,583,584,584,594,594,615,647,647,648,670,671,671,681,703,726]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;5;32;32;32;565;605;524;555 555 524 586 605;94 127.2 140.6 154.8 174.4 175.6 194 194.6 197 197.6 204.8 213.2 224.4 237.4 251 266 279.4 292.8 304.4 319.2 332.8 346.2 358.4 372.2 386 402.2 415.6 430 430.2 440.2 448.2 459.4;101 136 149 164 179 183 200 200 206 207 217 227 238 252 267 283 298 313 326 339 354 370 384 398 412 426 436 464 464 484 484 489;87 123 135 150 169 169 185 186 190 191 191 198 212 224 238 254 266 279 287 301 313 326 335 348 360 379 386 396 396 404 414 427;5.830951894845301 4.915282290977803 4.963869458396343 5.15363949069005 3.4409301068170506 4.882622246293481 5.932958789676531 5.571355310873647 6.260990336999411 6.118823416311342 8.953211714239757 9.558242516278817 8.890444308357146 9.666436778875658 10.237187113655782 10.334408546211051 11.34195750300626 11.973303637676612 13.60294085850556 13.075167302944923 14.019985734657507 15.236797563792727 16.95405556201819 17.690675509996783 18.920887928424502 16.363373735266208 18.227451824103113 22.829805080201627 22.7367543857957 27.014070407844873 25.166644591601795 23.052982453470094;28.007141946296482;"[[87,125,139,154,177,183,189,190,190,191,199,215,222,233,246,262,275,287,298,314,328,340,350,363,376,399,405,419,420,430,441,453],[100,123,137,150,169,169,200,200,206,207,208,209,220,234,246,259,272,286,298,314,327,339,353,366,379,393,420,428,428,429,433,446],[101,123,135,150,174,174,185,186,190,191,191,198,212,224,238,254,266,279,287,301,313,326,335,348,360,379,386,396,396,404,414,427],[88,136,149,164,179,179,199,199,201,201,217,227,238,252,267,283,298,313,326,339,354,370,384,398,412,426,436,464,464,484,484,489],[94,129,143,156,173,173,197,198,198,198,209,217,230,244,258,272,286,299,313,328,342,356,370,386,403,414,431,443,443,454,469,482]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;5;198;198;198;798.6;1026;636;1026 861 660 636 810;191 208.6 212 213.2 214.4 215.2 215.4 216 216 216.2 216.2 216.4 217 217 217 217 217 217 217.2 217.2 217.4 217.4 217.4 218.4 219 221.4 223 225.8 229.6 234.8 239.4 244 246.2 248.8 253.4 253.6 254.2 254.4 254.6 254.6 255 255 255.2 255.4 255.4 255.4 255.4 255.4 255.6 255.6 255.6 255.6 255.6 255.6 255.6 255.6 255.6 255.6 255.6 255.8 256 256.2 256.4 256.4 257 258 258 259.6 262 267.6 269.6 272.4 275.6 277.6 278 280.4 282.8 292.2 293.6 295.6 297 298.2 298.6 298.8 299.6 299.6 299.8 300 300 300 300 300 300 300 300 300.2 300.2 300.4 300.6 300.6 300.6 300.8 300.8 301 301 301 301 301 301 301.4 301.4 301.4 301.4 301.4 301.4 301.8 301.8 301.8 301.8 304.2 305.4 306.2 310.4 312.6 315.2 318.2 321.8 324.2 327.2 331.2 335.8 339.8 341.2 344.6 344.8 344.8 345.2 345.2 345.2 345.4 345.6 345.6 345.6 345.6 345.6 345.6 345.6 345.6 345.6 345.6 345.8 346 346 346 346 346 346 346.2 346.2 346.4 346.4 346.4 346.4 346.4 346.4 346.4 346.4 346.8 346.8 346.8 346.8 347 348 348.4 348.6 349 349.6 351.4 352.6 353 355.2 356.8 357.4 358.4 359.4 360 360 360.6 360.8 361 361.4 361.8 362 362 362.2 363.4 365.4 366.8;235 235 236 236 238 238 238 238 238 239 239 239 239 239 239 239 239 239 239 239 240 240 240 240 240 243 243 243 247 251 253 258 259 259 264 264 265 265 266 266 266 266 266 266 266 266 266 266 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 273 275 289 294 304 305 306 307 308 308 310 311 311 311 312 312 312 312 312 312 312 312 312 312 312 312 312 312 313 313 313 313 313 313 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 321 323 327 337 345 345 346 353 353 353 354 354 354 354 354 354 354 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 356 356 356 356 356 356 356 356 356 356 356 356 356 356 357 359 361 362 363 366 366 367 369 370 372 372 372 375 375 375 375 375 375 376 376 376 376 376 378 380 382;120 194 197 198 199 199 199 200 200 200 200 200 202 202 202 202 202 202 203 203 203 203 203 203 206 206 206 206 216 217 223 226 230 232 239 239 240 240 240 240 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 242 242 242 242 242 242 242 242 242 242 242 242 242 242 242 242 242 246 260 263 266 272 276 277 278 282 282 283 283 283 283 283 283 283 283 283 283 283 284 284 284 284 284 284 284 284 284 284 284 284 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 288 288 288 288 288 297 300 309 315 331 331 331 332 332 332 332 332 332 332 332 332 332 332 332 332 332 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 333 334 334 334 334 334 334 334 334 334 337 338 339 340 342 342 342 342 343 344 346;38.298825047251775 14.150618361046982 14.042791745233567 13.818827736099758 14.430523206037956 14.455448799674121 14.402777509911065 14.268847185389575 14.268847185389575 14.579437574886077 14.579437574886077 14.71869559437928 14.24078649513432 14.24078649513432 14.24078649513432 14.24078649513432 14.24078649513432 14.24078649513432 14.034243834279065 14.034243834279065 14.347125147568763 14.347125147568763 14.347125147568763 13.455110553243328 12.806248474865697 13.32066064427737 12.806248474865697 14.783774890061062 13.016912076218384 13.775340286178052 11.324310133513652 12.58570617804182 11.478675881825394 10.906878563548785 8.777243302996677 8.685620300243386 8.634813257969162 8.5463442476886 8.8 8.8 8.390470785361213 8.390470785361213 8.518215775618742 8.5463442476886 8.5463442476886 8.5463442476886 8.5463442476886 8.5463442476886 8.8 8.8 8.8 8.8 8.8 8.8 8.8 8.8 8.8 8.8 8.8 8.47112743381895 8.508818954473059 8.423775875461075 8.546344247688598 8.546344247688598 9.011104260855047 9.338094023943002 9.338094023943002 10.947145746723207 12.617448236470002 17.749366185867032 19.865548066942427 23.174123500145587 25.31876774252649 25.663982543634962 25.899806949087477 25.30296425322535 23.87802336877992 20.123617964968425 18.895502110290693 17.024687956024334 14.859340496805368 13.89100428334827 13.425349157470729 13.105723940324701 11.876026271442818 11.876026271442818 11.582745788456206 11.40175425099138 11.40175425099138 11.40175425099138 11.40175425099138 11.40175425099138 11.40175425099138 11.40175425099138 11.40175425099138 11.617228585166083 11.617228585166083 11.324310133513652 11.429785649783637 11.429785649783637 11.429785649783637 11.651609330903607 11.651609330903607 11.7983049630021 11.7983049630021 11.7983049630021 11.7983049630021 11.7983049630021 11.7983049630021 11.324310133513652 11.324310133513652 11.324310133513652 11.324310133513652 11.324310133513652 11.324310133513652 11.54816002660164 11.54816002660164 11.54816002660164 11.54816002660164 13.818827736099758 14.705101155721437 15.714961024450552 19.530488985173925 22.141364004956873 22.842066456430775 24.677114904299486 27.161737794183935 25.732469760984856 24.432764886520722 21.348536249588637 20.66301042926708 16.581917862539303 14.316424134538623 8.957678270623475 8.795453370918407 8.795453370918407 8.704022058795577 8.704022058795577 8.704022058795577 8.82269800004511 8.957678270623475 8.957678270623475 8.957678270623475 8.957678270623475 8.957678270623475 8.957678270623475 8.957678270623475 8.957678270623475 8.957678270623475 8.957678270623475 8.657944328765344 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 8.704022058795577 8.704022058795577 8.82269800004511 8.82269800004511 8.82269800004511 8.82269800004511 8.82269800004511 8.82269800004511 8.82269800004511 8.82269800004511 9.10823802938856 9.10823802938856 9.10823802938856 9.10823802938856 9.316651759081692 10.237187113655782 10.68831137270991 10.9288608738514 11.009087155618309 11.80847153530041 13.380582946942184 13.016912076218384 13.475904422338413 14.4 14.688771221582831 14.82700239428051 15.041276541570532 15.357083056361976 15.297058540778355 15.297058540778355 14.291256067959877 13.962807740565648 13.638181696985855 13.52922762023021 12.905812643921342 12.759310326189265 12.759310326189265 12.82809416865966 13.047605144240071 13.979985693841035 13.89100428334827;142.39606736142682;"[[235,235,236,236,238,238,238,238,238,239,239,239,239,239,239,239,239,239,239,239,240,240,240,240,240,243,243,243,243,248,249,252,254,259,264,264,265,265,266,266,266,266,266,266,266,266,266,266,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,271,271,271,271,279,280,285,290,310,311,311,311,312,312,312,312,312,312,312,312,312,312,312,312,312,312,313,313,313,313,313,313,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,317,317,317,317,324,326,331,336,349,349,349,350,350,350,350,350,350,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,354,354,364,367,369,372,375,375,375,375,375,375,376,376,376,376,376,378,379,380],[201,201,202,202,202,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,206,206,206,206,216,221,223,226,230,232,239,239,240,240,240,240,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,246,260,263,266,272,276,277,278,282,282,283,283,283,283,283,283,283,283,283,283,283,284,284,284,284,284,284,284,284,284,284,284,284,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,288,288,288,288,288,297,300,309,315,331,331,331,332,332,332,332,332,332,332,332,332,332,332,332,332,332,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,334,334,334,334,334,334,334,334,334,337,338,339,340,342,342,342,342,343,344,346],[192,194,197,198,199,199,199,200,200,200,200,200,202,202,202,202,202,202,203,203,203,203,203,208,208,214,222,224,225,237,242,252,253,254,255,255,256,256,256,256,256,256,256,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,258,258,258,258,258,263,263,263,273,283,288,292,305,306,307,308,308,308,308,308,308,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,314,314,322,325,335,346,353,353,353,354,354,354,354,354,354,354,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,356,356,356,356,356,356,356,356,356,356,356,356,356,356,357,357,357,357,357,357,366,367,369,370,372,372,372,372,373,373,373,373,373,373,373,373,373,373,374,380,382],[120,203,206,209,210,211,212,213,213,213,213,213,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,217,217,230,232,235,240,249,250,250,251,251,251,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,253,253,253,253,253,253,253,253,253,253,253,256,256,256,262,265,277,280,287,288,288,289,289,289,289,289,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,294,294,303,313,318,325,336,337,337,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,340,340,340,342,342,342,345,346,348,350,352,352,352,352,352,352,352,353,353,353,354,355,356],[207,210,219,221,223,225,225,226,226,226,226,227,227,227,227,227,227,227,227,227,227,227,227,227,227,230,230,242,247,251,253,258,259,259,260,260,260,260,260,260,260,260,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,262,262,265,265,265,273,275,289,294,304,304,305,305,305,305,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,309,309,309,309,321,323,327,337,345,345,346,350,351,351,351,351,351,351,351,351,351,351,351,351,351,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,354,354,354,354,354,359,361,362,363,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,367,368,369,370]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;5;98;98;98;898.2;1128;728;911 1128 728 747 977;176.2 185 202.8 203.8 204.6 205.2 205.2 206 206.4 206.6 206.6 206.8 206.8 206.8 206.8 206.8 207 207.4 207.4 207.6 207.6 207.6 211.2 212.4 213.4 229.8 234.6 244 261.8 279.2 293 298.6 320.2 321.4 322 323.4 323.4 323.4 323.8 324 324 324 324 324 324 324 324 324.4 324.4 324.6 324.6 324.8 325 325 325 325.4 325.4 325.4 325.4 325.4 325.6 325.6 325.6 325.6 325.6 325.6 325.8 326 326 326.2 326.2 327.2 332 333.2 334.2 335.6 336.8 337.6 343.4 350.8 360.2 369.6 376 378.6 378.6 384.2 385.6 387 395.8 404.6 406.4 412.8 416.2 416.4 424.6 431.8 437.6 449.2;288 324 328 329 329 330 330 330 331 331 331 331 331 331 331 331 331 331 331 332 332 332 349 355 360 366 373 374 374 375 375 375 375 375 375 375 375 375 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 376 377 377 377 377 377 377 377 377 377 377 377 382 406 411 416 422 427 427 427 427 427 427 427 427 427 427 427 427 427 427 429 461 478 478 481 484 489 503;131 133 162 163 164 164 164 165 165 165 165 165 165 165 165 165 165 166 166 166 166 166 166 166 166 166 166 173 206 222 268 270 270 270 271 271 271 271 271 271 271 271 271 271 271 271 271 271 271 272 272 272 272 272 272 273 273 273 273 273 273 273 273 273 273 273 273 273 273 273 273 273 273 274 274 274 274 278 286 313 334 344 344 349 349 354 354 354 373 374 374 374 374 375 386 404 414 425;57.29362966334041 70.61727833894479 63.015553635590635 62.97110448451735 62.573476809267994 62.82165231828911 62.82165231828911 62.38268990673615 62.66609928821164 62.589455981019675 62.589455981019675 62.5152781326293 62.5152781326293 62.5152781326293 62.5152781326293 62.5152781326293 62.44037155558894 62.191960895279706 62.191960895279706 62.589455981019675 62.589455981019675 62.589455981019675 69.27452634266076 71.66198434316483 73.65215543349699 72.22298803012792 74.61527993648485 72.63883258973812 59.53956667628679 51.669720339866366 41.18737670694748 38.56215761598409 39.432981119869694 39.9979999499975 39.63836525387998 40.092892138133415 40.092892138133415 40.092892138133415 40.474189306272706 40.26909484952449 40.26909484952449 40.26909484952449 40.26909484952449 40.26909484952449 40.26909484952449 40.26909484952449 40.26909484952449 40.480118576901425 40.480118576901425 40.21740916568346 40.21740916568346 40.30583084368811 40.099875311526844 40.099875311526844 40.099875311526844 39.96298287165261 39.96298287165261 39.96298287165261 39.96298287165261 39.96298287165261 40.21740916568346 40.21740916568346 40.21740916568346 40.21740916568346 40.21740916568346 40.21740916568346 40.30583084368811 40.43266006584281 40.43266006584281 40.226359517112655 40.226359517112655 41.51818878515777 48.394214530251446 49.700704220362915 51.28118563371951 53.27888887730299 54.72622771578542 53.82415814483307 48.37602712087879 41.058007745140294 33.937589778886775 30.13702042339289 29.832867780352597 28.231896854444617 28.231896854444617 24.30966885829587 24.054937123177023 24.124676163629637 17.735839421916292 19.499743588057765 21.181123671797963 30.029319006597536 35.717782685939504 35.48295365383215 32.891336245278936 28.861046412075915 27.89695323866031 27.97427389584938;149.00389256660375;"[[164,165,179,180,181,182,182,183,183,183,183,184,184,184,184,184,184,184,184,184,184,184,184,184,184,220,227,242,248,269,269,270,270,270,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,272,272,272,272,272,272,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,274,274,274,274,278,307,313,343,372,390,390,390,390,390,391,391,391,391,391,391,391,403,412,417,435],[288,324,328,329,329,330,330,330,331,331,331,331,331,331,331,331,331,331,331,332,332,332,349,355,360,366,373,374,374,375,375,375,375,375,375,375,375,375,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,377,377,377,377,377,377,377,377,377,377,377,382,406,411,416,422,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,438,441,445,449],[131,133,162,163,164,164,164,165,165,165,165,165,165,165,165,165,165,166,166,166,166,166,166,166,166,166,166,173,206,222,274,286,337,342,343,348,348,348,349,349,349,349,349,349,349,349,349,350,350,350,350,350,350,350,350,351,351,351,351,351,351,351,351,351,351,351,351,352,352,352,352,352,352,352,352,353,353,353,353,353,353,353,353,354,354,354,354,354,389,420,429,461,478,478,481,484,489,503],[138,140,165,167,168,168,168,170,171,171,171,171,171,171,171,171,171,172,172,172,172,172,172,172,172,172,172,178,219,251,268,282,339,340,340,341,341,341,341,341,341,341,341,341,341,341,341,342,342,342,342,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,349,349,377,384,390,399,411,411,411,411,411,415,418,423,434],[160,163,180,180,181,182,182,182,182,183,183,183,183,183,183,183,184,184,184,184,184,184,185,185,185,225,235,253,262,279,279,280,280,280,281,282,282,282,282,283,283,283,283,283,283,283,283,283,283,283,283,283,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,285,285,285,285,285,285,285,286,286,286,317,334,352,366,373,373,373,373,373,373,374,374,374,374,375,386,404,414,425]]"
