name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;1;6;6;6;1346;1346;1346;1346;663 674 690 700 1341 1343;663 674 690 700 1341 1343;663 674 690 700 1341 1343;0 0 0 0 0 0;0;"[[663,674,690,700,1341,1343]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;1;4;4;4;408;408;408;408;202 204 204 204;202 204 204 204;202 204 204 204;0 0 0 0;0;"[[202,204,204,204]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;1;1;1;1;287;287;287;287;90;90;90;0;0;"[[90]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;1;14;14;14;401;401;401;401;113 114 114 114 114 114 115 115 115 115 116 117 117 117;113 114 114 114 114 114 115 115 115 115 116 117 117 117;113 114 114 114 114 114 115 115 115 115 116 117 117 117;0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[113,114,114,114,114,114,115,115,115,115,116,117,117,117]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;1;8;8;8;597;597;597;597;228 228 229 229 244 251 259 270;228 228 229 229 244 251 259 270;228 228 229 229 244 251 259 270;0 0 0 0 0 0 0 0;0;"[[228,228,229,229,244,251,259,270]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;1;66;66;66;645;645;645;645;153 166 181 182 182 183 183 184 184 184 184 184 184 184 185 185 185 185 187 187 213 226 240 246 417 418 419 419 419 419 419 419 419 420 420 420 420 420 420 420 420 421 421 421 421 421 421 421 421 421 421 421 421 422 422 422 422 424 424 424 435 438 442 446 645 645;153 166 181 182 182 183 183 184 184 184 184 184 184 184 185 185 185 185 187 187 213 226 240 246 417 418 419 419 419 419 419 419 419 420 420 420 420 420 420 420 420 421 421 421 421 421 421 421 421 421 421 421 421 422 422 422 422 424 424 424 435 438 442 446 645 645;153 166 181 182 182 183 183 184 184 184 184 184 184 184 185 185 185 185 187 187 213 226 240 246 417 418 419 419 419 419 419 419 419 420 420 420 420 420 420 420 420 421 421 421 421 421 421 421 421 421 421 421 421 422 422 422 422 424 424 424 435 438 442 446 645 645;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[153,166,181,182,182,183,183,184,184,184,184,184,184,184,185,185,185,185,187,187,213,226,240,246,417,418,419,419,419,419,419,419,419,420,420,420,420,420,420,420,420,421,421,421,421,421,421,421,421,421,421,421,421,422,422,422,422,424,424,424,435,438,442,446,645,645]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;1;46;46;46;330;330;330;330;108 121 121 121 307 315 316 317 318 318 319 319 319 319 319 319 319 319 319 319 321 321 321 324 325 328 328 328 328 328 328 328 328 328 328 329 329 329 329 329 329 329 329 329 329 329;108 121 121 121 307 315 316 317 318 318 319 319 319 319 319 319 319 319 319 319 321 321 321 324 325 328 328 328 328 328 328 328 328 328 328 329 329 329 329 329 329 329 329 329 329 329;108 121 121 121 307 315 316 317 318 318 319 319 319 319 319 319 319 319 319 319 321 321 321 324 325 328 328 328 328 328 328 328 328 328 328 329 329 329 329 329 329 329 329 329 329 329;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[108,121,121,121,307,315,316,317,318,318,319,319,319,319,319,319,319,319,319,319,321,321,321,324,325,328,328,328,328,328,328,328,328,328,328,329,329,329,329,329,329,329,329,329,329,329]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;1;32;32;32;266;266;266;266;78 255 255 256 259 259 260 260 261 261 262 262 263 263 263 263 263 263 263 263 263 263 263 264 264 264 265 265 265 266 266 266;78 255 255 256 259 259 260 260 261 261 262 262 263 263 263 263 263 263 263 263 263 263 263 264 264 264 265 265 265 266 266 266;78 255 255 256 259 259 260 260 261 261 262 262 263 263 263 263 263 263 263 263 263 263 263 264 264 264 265 265 265 266 266 266;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[78,255,255,256,259,259,260,260,261,261,262,262,263,263,263,263,263,263,263,263,263,263,263,264,264,264,265,265,265,266,266,266]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;1;198;198;198;329;329;329;329;174 176 181 182 183 183 183 184 184 184 184 184 184 184 184 184 185 185 185 185 185 186 186 186 186 186 186 195 200 203 206 217 218 218 219 219 219 221 247 247 247 247 257 258 259 259 259 259 259 259 259 259 259 259 260 260 260 260 260 260 260 260 260 264 264 264 264 264 264 271 273 275 279 283 284 284 285 285 285 285 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 287 287 287 287 287 287 288 288 288 288 288 288 288 288 288 288 289 293 297 299 306 307 308 308 308 309 309 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 311 311 311 313 313 313 313 313 319 322 327 327 327 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 329 329 329 329 329 329 329 329 329 329 329;174 176 181 182 183 183 183 184 184 184 184 184 184 184 184 184 185 185 185 185 185 186 186 186 186 186 186 195 200 203 206 217 218 218 219 219 219 221 247 247 247 247 257 258 259 259 259 259 259 259 259 259 259 259 260 260 260 260 260 260 260 260 260 264 264 264 264 264 264 271 273 275 279 283 284 284 285 285 285 285 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 287 287 287 287 287 287 288 288 288 288 288 288 288 288 288 288 289 293 297 299 306 307 308 308 308 309 309 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 311 311 311 313 313 313 313 313 319 322 327 327 327 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 329 329 329 329 329 329 329 329 329 329 329;174 176 181 182 183 183 183 184 184 184 184 184 184 184 184 184 185 185 185 185 185 186 186 186 186 186 186 195 200 203 206 217 218 218 219 219 219 221 247 247 247 247 257 258 259 259 259 259 259 259 259 259 259 259 260 260 260 260 260 260 260 260 260 264 264 264 264 264 264 271 273 275 279 283 284 284 285 285 285 285 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 286 287 287 287 287 287 287 288 288 288 288 288 288 288 288 288 288 289 293 297 299 306 307 308 308 308 309 309 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 311 311 311 313 313 313 313 313 319 322 327 327 327 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 328 329 329 329 329 329 329 329 329 329 329 329;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[174,176,181,182,183,183,183,184,184,184,184,184,184,184,184,184,185,185,185,185,185,186,186,186,186,186,186,195,200,203,206,217,218,218,219,219,219,221,247,247,247,247,257,258,259,259,259,259,259,259,259,259,259,259,260,260,260,260,260,260,260,260,260,264,264,264,264,264,264,271,273,275,279,283,284,284,285,285,285,285,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,287,287,287,287,287,287,288,288,288,288,288,288,288,288,288,288,289,293,297,299,306,307,308,308,308,309,309,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,311,311,311,313,313,313,313,313,319,322,327,327,327,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,329,329,329,329,329,329,329,329,329,329,329]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;1;98;98;98;618;618;618;618;154 155 176 177 177 178 178 179 179 179 179 179 179 179 180 180 180 180 180 180 180 180 183 183 213 215 221 232 374 375 376 377 377 377 377 377 378 378 378 378 378 378 378 378 378 378 378 378 378 378 378 378 380 380 380 380 380 380 380 380 382 382 382 382 383 383 383 383 391 391 391 432 437 510 518 531 531 532 532 532 532 532 532 532 532 533 533 533 533 533 533 533 533 533 535 536 537 542;154 155 176 177 177 178 178 179 179 179 179 179 179 179 180 180 180 180 180 180 180 180 183 183 213 215 221 232 374 375 376 377 377 377 377 377 378 378 378 378 378 378 378 378 378 378 378 378 378 378 378 378 380 380 380 380 380 380 380 380 382 382 382 382 383 383 383 383 391 391 391 432 437 510 518 531 531 532 532 532 532 532 532 532 532 533 533 533 533 533 533 533 533 533 535 536 537 542;154 155 176 177 177 178 178 179 179 179 179 179 179 179 180 180 180 180 180 180 180 180 183 183 213 215 221 232 374 375 376 377 377 377 377 377 378 378 378 378 378 378 378 378 378 378 378 378 378 378 378 378 380 380 380 380 380 380 380 380 382 382 382 382 383 383 383 383 391 391 391 432 437 510 518 531 531 532 532 532 532 532 532 532 532 533 533 533 533 533 533 533 533 533 535 536 537 542;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[154,155,176,177,177,178,178,179,179,179,179,179,179,179,180,180,180,180,180,180,180,180,183,183,213,215,221,232,374,375,376,377,377,377,377,377,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,380,380,380,380,380,380,380,380,382,382,382,382,383,383,383,383,391,391,391,432,437,510,518,531,531,532,532,532,532,532,532,532,532,533,533,533,533,533,533,533,533,533,535,536,537,542]]"
