name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;5;6;6;6;959.2;1670;749;1670 802 810 765 749;390.2 406 424 437.8 676.4 683.8;658 690 739 775 1082 1083;241 263 290 303 517 520;141.14588198031143 147.63468427168462 160.87635003318542 171.30253938573125 206.02873585983096 203.82384551371803;356.11986746038195;"[[658,690,739,775,1082,1083],[367,379,384,390,623,638],[326,331,335,343,559,562],[241,263,290,303,517,520],[359,367,372,378,601,616]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;5;4;4;4;871.2;1240;709;944 709 1240 714 749;102.4 111.6 113.6 114;117 133 141 143;75 88 89 89;15.041276541570532 15.781001235663089 17.88407112488653 18.504053609952603;203.60098231590143;"[[117,119,119,119],[111,133,141,143],[98,100,100,100],[75,88,89,89],[111,118,119,119]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;5;1;1;1;516.4;617;392;488 392 594 491 617;81.4;97;49;16.8;81.32551875026682;"[[91],[49],[97],[85],[85]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;5;14;14;14;552.6;753;394;622 396 753 394 598;125.2 129.8 130 130 130.2 130.2 131.8 137.4 138.4 139 142.2 145 146.6 147.8;229 230 230 230 230 230 238 266 271 273 289 301 309 314;89 89 90 90 90 90 90 90 90 90 90 91 91 91;52.64370807608446 51.085810162901396 50.927399305285554 50.927399305285554 50.85823433820722 50.85823433820722 54.00148146115993 65.04644494513133 67.02417474314771 67.70228947384277 74.0416099230696 78.59770989030152 81.77432359854772 83.6789101267458;139.07925797903872;"[[107,118,118,118,118,118,118,118,118,118,118,119,119,119],[89,89,90,90,90,90,90,90,90,90,90,91,91,91],[111,112,112,112,113,113,113,113,113,113,113,113,113,114],[90,100,100,100,100,100,100,100,100,101,101,101,101,101],[229,230,230,230,230,230,238,266,271,273,289,301,309,314]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;5;8;8;8;937;1224;798;1224 798 922 941 800;263.6 265.8 269 271 307.8 339.4 351.6 356.4;389 391 391 392 416 421 427 432;160 161 162 165 253 294 312 317;77.05997664157445 77.78791679946187 77.44159089274962 77.22434849191025 59.10465294712423 45.91557469965938 42.63613490925273 42.70175640415743;155.37052487521564;"[[389,391,391,392,416,421,427,432],[261,262,276,279,292,299,312,317],[293,299,299,302,319,332,338,342],[160,161,162,165,253,351,367,372],[215,216,217,217,259,294,314,319]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;5;66;66;66;822;1061;652;1009 652 666 1061 722;165.8 172.4 182.4 188.6 191.4 192.4 192.4 193.2 193.4 193.8 194.2 194.4 194.4 195 196 196.2 196.8 202.8 216.6 230.8 234.4 237 240.4 245 257.6 266.6 274.2 282.2 291.2 295 295.2 295.6 295.6 295.6 295.6 295.6 295.6 295.6 295.6 295.6 298 298.2 298.6 299.2 299.2 299.2 300 300 300 300.2 301 301 301 301.8 301.8 302 302 302.2 304 304.4 318.4 327.2 332.2 336.8 821.8 821.8;242 243 249 260 261 262 262 263 263 264 264 264 264 264 264 265 265 265 277 333 338 343 351 354 355 355 356 356 356 356 356 356 356 356 356 356 356 356 356 356 356 356 356 356 356 356 357 357 357 357 357 357 357 357 357 357 357 357 360 360 371 373 376 380 1060 1060;118 120 131 135 139 140 140 141 142 142 143 143 143 145 145 145 145 145 145 145 145 146 146 146 152 175 184 211 217 234 234 235 235 235 235 235 235 235 235 235 235 235 236 236 236 236 239 239 239 239 243 243 243 243 243 243 243 243 246 246 257 275 283 291 652 652;47.67557026402516 51.88294517469108 48.59053405757134 49.81003914874992 48.309833367545366 48.309833367545366 48.309833367545366 48.14311996536992 47.92744516454012 48.18049397837262 47.763584455105544 47.7267220747455 47.7267220747455 47.463670317412245 47.31595925266654 47.60420149524619 48.093242768605236 48.86061808859974 58.68083162328223 73.94159857617362 76.6201018010287 78.5468013352549 80.07146807696235 82.99156583653546 77.30097023970656 69.80143265005383 64.01999687597618 57.13632819844131 49.591934828155274 44.694518679587546 44.52145550181395 44.38738559545944 44.38738559545944 44.38738559545944 44.38738559545944 44.38738559545944 44.38738559545944 44.38738559545944 44.38738559545944 44.38738559545944 42.5205832509386 42.38584669438609 42.11223100240594 41.98285364288616 41.98285364288616 41.98285364288616 41.36181814185638 41.36181814185638 41.36181814185638 41.22814572594795 40.054962239403 40.054962239403 40.054962239403 39.52416982050351 39.52416982050351 39.6585425854254 39.6585425854254 39.534288914814184 39.52214569073901 39.78240817245733 40.077924097937014 34.89068643635433 33.46281518342412 32.307274722576025 175.9822718344095 175.9822718344095;176.25322692081414;"[[242,243,249,260,261,262,262,263,263,264,264,264,264,264,264,265,265,265,265,265,266,266,266,273,297,307,313,321,325,326,326,327,327,327,327,327,327,327,327,327,327,327,327,328,328,328,328,328,328,328,328,328,328,328,328,329,329,329,329,331,347,354,359,362,1009,1009],[118,120,132,137,143,144,144,145,145,145,146,146,146,146,146,146,146,146,146,146,146,146,151,151,182,194,216,220,255,256,257,257,257,257,257,257,257,257,257,257,269,270,270,272,272,272,272,272,272,273,273,273,273,277,277,277,277,278,278,278,293,304,309,312,652,652],[126,129,131,135,139,140,140,141,142,142,143,143,143,145,145,145,145,145,145,145,145,146,146,146,152,175,184,211,217,234,234,235,235,235,235,235,235,235,235,235,235,235,236,236,236,236,239,239,239,239,243,243,243,243,243,243,243,243,246,246,257,275,283,291,666,666],[143,143,172,181,182,183,183,184,184,185,185,186,186,186,191,191,191,221,250,265,277,284,288,301,302,302,302,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,307,307,324,330,334,339,1060,1060],[200,227,228,230,232,233,233,233,233,233,233,233,233,234,234,234,237,237,277,333,338,343,351,354,355,355,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,357,357,357,357,357,357,357,357,357,357,357,357,360,360,371,373,376,380,722,722]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;5;46;46;46;772.4;862;667;802 801 730 862 667;87.8 88.8 89.4 89.4 121.8 140.2 140.4 162.8 163.2 163.6 178.4 197.4 216.4 233.6 250.8 268.6 285.8 306.4 324.6 325.2 339.8 359 377.8 394.4 394.8 411.6 412 430 454.8 455.4 456.8 458.8 459.2 464 482.6 483.8 500.6 521.2 522.2 524.2 538.6 539.4 540 553.2 568.4 588;121 121 122 122 139 159 159 194 194 195 203 220 243 262 280 299 318 337 357 358 375 395 414 435 436 453 454 479 501 502 504 508 509 512 527 528 545 566 567 568 586 586 587 602 621 650;70 73 74 74 93 113 113 132 133 133 151 176 196 214 233 248 263 278 294 294 308 332 345 357 357 369 370 383 405 406 408 411 412 414 430 432 444 465 466 467 482 483 484 492 500 516;17.92651667223725 17.13942822850284 17.36202753136856 17.36202753136856 15.829087149927505 15.58717421471897 15.717506163510802 20.614557962760202 20.33125672456083 20.72293415518179 17.54536975956905 15.33101431738944 16.620469307453387 17.636326148038883 18.08203528367313 18.842505141302205 19.853463173965395 22.023623680039577 21.564786110694445 21.93080025899648 22.533530571128885 21.69792616818483 22.990432792794486 26.150334605889846 26.39242315514057 27.82516846310189 27.820855486487112 31.317726609701413 31.403184551889005 31.480787791921603 31.466807909287525 31.770426500127442 31.783014331557666 32.218007387174026 32.15338240372232 31.827032535252165 34.27885645700568 33.03573822392955 33.03573822392955 33.01757107965393 33.826616738893655 33.54757815401881 33.5797558061401 36.029987510405824 40.14274529725141 43.98181442369107;67.2743636164624;"[[91,91,92,92,133,150,151,172,172,173,189,208,226,244,262,280,298,326,339,340,352,370,389,409,409,427,427,443,470,471,472,473,473,480,501,502,522,537,538,540,553,554,555,570,588,606],[70,73,74,74,93,113,113,132,133,133,151,176,196,214,233,252,271,290,317,318,329,347,367,386,386,406,406,425,452,452,453,454,454,461,482,483,506,523,524,525,541,542,542,557,577,596],[80,81,81,81,123,143,143,164,165,165,179,195,213,230,246,264,279,301,316,316,335,351,374,385,386,403,403,420,446,446,447,448,448,453,473,474,486,515,516,521,531,532,532,545,556,572],[121,121,122,122,139,159,159,194,194,195,203,220,243,262,280,299,318,337,357,358,375,395,414,435,436,453,454,479,501,502,504,508,509,512,527,528,545,566,567,568,586,586,587,602,621,650],[77,78,78,78,121,136,136,152,152,152,170,188,204,218,233,248,263,278,294,294,308,332,345,357,357,369,370,383,405,406,408,411,412,414,430,432,444,465,466,467,482,483,484,492,500,516]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;5;32;32;32;588.4;636;554;554 588 561 636 603;86.8 127.6 140.6 155 171.6 172 187.8 187.8 189.2 189.2 197.8 210.2 224.6 240 255.8 267.4 280.4 292.4 308 323.8 340 351.2 364.6 376.4 389 404.2 418.4 434 434.6 445.4 460.8 473.4;89 138 148 161 181 183 196 196 198 198 208 224 239 254 270 283 298 313 333 343 358 377 396 407 417 435 452 467 467 478 494 511;86 118 132 148 164 164 181 181 182 182 190 200 212 226 243 253 265 281 293 313 326 334 342 354 369 382 397 410 410 420 436 447;1.16619037896906 6.770524351924303 5.238320341483518 5.0990195135927845 5.571355310873648 6.260990336999411 5.418486873657626 5.418486873657626 5.635601121442148 5.635601121442148 6.6452990903344595 8.207313811473277 9.046546302318914 11.47170431975999 10.684568311354464 10.983624174196784 11.77454882362802 11.377170122662314 13.535139452550904 11.160645142642965 11.081516141756055 14.945233353815523 18.413038858374247 18.315021157508937 16.828547174370104 18.312837027615355 19.602040710089344 20.1791972090071 20.0059991002699 20.185143051264216 20.183161298468583 22.114248800264505;29.709257816377708;"[[86,123,141,157,169,169,185,185,187,187,194,206,219,231,250,261,271,283,300,313,326,339,351,362,375,390,401,417,418,429,444,456],[89,129,143,159,173,173,192,192,193,193,203,214,228,254,270,277,288,294,307,320,337,353,368,382,395,410,424,443,443,453,466,479],[86,118,132,148,164,164,181,181,182,182,190,200,212,226,243,253,265,281,293,314,333,334,342,354,369,382,397,410,410,420,436,447],[86,130,148,161,181,183,196,196,198,198,208,224,239,253,267,283,298,313,333,343,358,377,396,407,417,435,452,467,467,478,494,511],[87,138,139,150,171,171,185,185,186,186,194,207,225,236,249,263,280,291,307,329,346,353,366,377,389,404,418,433,435,447,464,474]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;5;198;198;198;755.4;934;458;913 837 934 458 635;171.4 175.2 176.4 177.2 179.4 180 180.6 180.6 181.6 181.6 181.6 181.6 181.6 181.6 194.2 194.6 195 195.2 195.2 195.4 195.4 195.8 196.4 196.4 197 198.2 199.8 200.8 203.6 206.8 209.8 211.6 213 214.6 218 222.2 222.8 223.4 226 226.4 226.6 226.8 227 227.6 227.6 227.8 227.8 227.8 227.8 227.8 227.8 227.8 227.8 227.8 227.8 228 228 228 228 228.2 228.2 228.2 228.2 228.2 230.8 231.8 233.2 235 236.8 239.2 239.4 243.4 248.2 251.4 253.2 257.6 260 261 261.8 263.6 264 265.2 265.4 265.6 265.8 265.8 266 266 266 266.2 266.2 266.2 266.2 266.4 266.4 266.4 266.4 266.6 267.2 267.2 267.2 267.4 267.4 267.4 267.4 267.4 267.4 267.4 267.6 268.2 268.2 269.6 271.2 272.8 274.2 276.8 280.4 281.6 282.6 284.6 287.4 290.8 291.4 292.6 293.6 297.8 298.2 299.2 301.4 302.8 303.2 306 306.6 307.4 309 311.6 311.6 311.8 311.8 312 312 312.2 312.2 312.2 312.4 312.6 312.6 312.6 312.6 312.6 312.6 313.6 313.6 313.6 313.6 313.6 313.6 313.8 313.8 313.8 313.8 313.8 313.8 313.8 313.8 314.2 315.2 316.2 316.4 319.4 320.6 321.2 321.4 321.8 323.4 324 324.6 325 325.4 325.4 327.8 328.4 328.6 329 329.2 329.2 329.4 329.4 329.6 329.6 329.6 330 330.2 330.6 330.8 332.4 334.6 336.6;230 230 231 231 231 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 233 233 233 233 233 233 236 236 241 244 247 250 259 259 259 260 260 261 261 261 261 261 261 261 261 261 261 261 261 261 261 261 261 262 262 262 262 262 262 262 262 262 262 262 262 262 262 262 262 266 266 266 266 276 278 282 286 293 295 300 300 301 301 301 302 302 302 302 302 302 302 302 302 302 302 302 302 302 302 303 303 303 303 303 303 303 303 303 303 303 304 304 304 305 305 307 307 307 320 321 322 322 322 323 323 323 323 323 323 323 326 330 336 349 349 350 350 351 351 351 351 351 351 351 351 351 351 351 351 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 354 354 355 355 355 356 357 358 359 362 363 364;99 100 100 101 101 101 102 102 102 102 102 102 102 102 165 167 167 168 168 169 169 169 169 169 169 169 169 169 169 169 169 169 169 171 179 199 202 204 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 214 214 214 214 223 223 224 235 239 242 244 245 245 245 245 245 245 245 245 245 245 245 245 245 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 246 248 248 248 248 258 258 258 258 271 273 278 283 284 284 284 284 284 284 284 284 284 284 284 284 284 284 284 285 285 285 285 285 285 285 289 289 289 289 289 289 289 289 289 289 289 289 289 289 289 289 289 289 289 291 291 291 291 296 297 299 299 299 299 304 305 305 305 305 305 305 305 305 305 305 305 305 305 305 307 308 309;41.95521421706722 42.418863728298994 42.94461549484405 42.73827324541786 42.75792324236527 43.03951672591132 42.77662913320778 42.77662913320778 42.92598280761898 42.92598280761898 42.92598280761898 42.92598280761898 42.92598280761898 42.92598280761898 21.720036832381293 21.190563937753048 21.147103820618085 20.88444397153058 20.88444397153058 20.62619693496598 20.62619693496598 20.49780476051033 20.905501668221213 20.905501668221213 20.75572210259137 20.48804529475665 20.87486526902629 21.2075458268985 21.877842672439165 21.8577217477028 23.642334910071806 24.507957891264624 25.392912396966203 25.593749236874224 25.69824896758532 20.272148381461694 19.610201426808448 19.57140771636011 17.515707236649053 17.79438113562818 17.715529910222838 17.611359970201054 17.515707236649053 17.315888657530692 17.315888657530692 17.2441294358399 17.2441294358399 17.2441294358399 17.2441294358399 17.2441294358399 17.2441294358399 17.2441294358399 17.2441294358399 17.2441294358399 17.2441294358399 17.62952069683121 17.62952069683121 17.62952069683121 17.62952069683121 17.6 17.6 17.6 17.6 17.6 18.037738217415175 17.6 18.529975715040752 19.57549488518745 20.468512403201167 18.626862323000083 18.478095139921756 17.54536975956905 13.49666625504239 10.965400129498239 9.744742172063868 11.110355529864918 11.384199576606166 12.727922061357855 14.076931483814219 16.41462762294655 17.134759992483115 18.967340351245877 18.94835085172322 19.31424344881259 19.177069640588993 19.177069640588993 19.544820285692065 19.544820285692065 19.544820285692065 19.332873557751316 19.332873557751316 19.332873557751316 19.332873557751316 19.200000000000003 19.200000000000003 19.200000000000003 19.200000000000003 19.200000000000003 18.8403821617291 18.8403821617291 18.8403821617291 19.210413842496994 19.210413842496994 19.210413842496994 19.210413842496994 19.210413842496994 19.210413842496994 19.210413842496994 19.210413842496994 19.13530767978399 19.13530767978399 19.252012881774206 20.093780132170256 20.448960853794013 21.451340284467076 24.07820591323199 24.171057072457547 24.171057072457547 24.63818175109519 26.012304780622575 28.77220881336711 25.071098898931417 24.896586111352697 24.038302768706444 23.208619088605854 18.48675201326615 17.915356541246954 16.569852141766383 15.576905982896601 14.105318146004363 13.760813929415658 15.697133496278868 16.37803407005859 17.3735431043872 18.846750383023593 22.861321046693696 22.861321046693696 23.18965286501719 23.18965286501719 23.52020408074726 23.52020408074726 23.37006632425334 23.37006632425334 23.37006632425334 23.130931671681537 23.22584767021432 23.22584767021432 23.22584767021432 23.22584767021432 23.22584767021432 23.22584767021432 22.650386310171402 22.650386310171402 22.650386310171402 22.650386310171402 22.650386310171402 22.650386310171402 22.489108474992953 22.489108474992953 22.489108474992953 22.489108474992953 22.489108474992953 22.489108474992953 22.489108474992953 22.489108474992953 22.4 22.301569451498253 22.79824554653274 22.80877024304467 23.938253904577085 23.7873916182502 24.227257376764708 24.385241438214223 24.71760506197961 23.251666606933796 22.58317958127243 21.8961183774659 21.69792616818483 21.28473631502162 21.28473631502162 18.69117438792972 18.084247288731703 17.91758912354003 17.60681686165901 17.463103962354456 17.463103962354456 17.738094598913378 17.738094598913378 18.017769007288333 18.017769007288333 18.017769007288333 18.46076921474292 18.74459922217597 18.895502110290693 19.18749592833833 19.5202459000905 20.25438224187546 19.683495624507348;182.39364024000398;"[[230,230,231,231,231,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,233,233,233,233,233,233,236,236,241,244,247,250,259,259,259,260,260,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,266,266,266,266,276,278,282,286,293,295,300,300,301,301,301,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,303,303,303,303,303,303,303,303,303,303,303,304,304,304,304,304,304,304,304,304,304,304,305,305,305,305,305,310,310,310,323,326,330,336,349,349,350,350,351,351,351,351,351,351,351,351,351,351,351,351,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,354,354,355,355,355,356,357,358,359,362,363,364],[182,192,194,196,196,196,197,197,197,197,197,197,197,197,197,197,198,198,198,198,198,198,200,200,200,200,208,212,214,217,222,223,223,224,224,224,224,224,224,224,224,224,224,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,226,226,226,226,226,239,241,248,255,261,262,262,263,263,263,263,263,263,263,263,263,263,263,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,267,267,274,281,285,292,305,305,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,310,315,317,318,324,326,326,326,326,326,326,326,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,328,330,332],[171,172,172,173,183,185,185,185,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,193,193,193,193,201,207,210,213,217,218,218,219,219,219,219,219,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,223,223,223,234,235,239,242,250,251,251,251,252,252,252,252,252,253,253,253,253,253,253,253,253,253,254,254,254,254,254,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,258,258,258,258,258,258,258,258,258,271,273,278,283,290,292,293,293,293,294,294,294,294,294,294,294,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,297,299,299,299,299,311,313,314,316,317,317,317,317,317,317,317,317,317,318,318,319,320,325],[99,100,100,101,101,101,102,102,102,102,102,102,102,102,165,167,167,168,168,169,169,169,169,169,169,169,169,169,169,169,169,169,169,171,179,199,202,204,216,217,217,218,219,221,221,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,224,224,224,224,224,241,246,251,255,263,264,264,265,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,267,267,267,267,267,267,267,267,267,267,267,268,268,268,268,268,272,272,272,289,291,296,306,320,321,322,322,322,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,326,326,335,337,340,341,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,345,345,345,345,346,352,353],[175,182,185,185,186,186,187,187,187,187,187,187,187,187,187,187,188,188,188,188,188,190,190,190,190,196,196,197,198,205,207,209,209,210,210,210,210,210,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,214,214,214,214,225,226,230,236,243,244,244,245,245,245,245,245,245,245,245,245,245,245,245,245,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,248,248,248,248,264,266,271,276,283,283,283,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,285,285,285,285,285,285,285,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,291,291,291,291,298,300,301,302,304,304,304,305,305,305,305,305,305,305,305,305,305,305,305,305,305,307,308,309]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;5;98;98;98;791.4;988;620;988 774 620 747 828;149.4 155.8 196.8 199.4 201.6 202.4 203 203.4 203.8 203.8 204 204 204.4 204.6 204.6 204.6 204.6 204.6 204.8 205 205.6 205.6 211 221.4 226.4 236.8 244.4 250.4 263.8 288.6 301.6 317.2 335.2 338 342.6 346.8 347.8 348.2 348.4 348.4 348.4 348.4 348.4 348.8 348.8 348.8 348.8 349 349 349.2 349.2 349.2 349.2 349.8 350 350 350 350 350 350 350 350 350 350.4 350.4 350.4 350.4 350.4 351.8 355.6 357.8 358.8 359.8 360.8 360.8 362.4 362.4 362.4 369.8 374.2 381.6 388.2 393 394.6 397.8 397.8 397.8 399.4 399.6 405.8 410.2 417 423 433.6 441.6 446.4 455.8 465.2;172 177 227 228 235 236 236 236 237 237 237 237 237 237 237 237 237 237 238 238 238 238 238 271 291 312 336 338 338 339 339 351 375 384 389 409 410 410 411 411 411 411 411 411 411 411 411 411 411 412 412 412 412 412 412 412 412 412 412 412 412 412 412 412 412 412 412 412 413 413 413 413 413 413 413 413 413 413 413 413 413 417 422 426 442 442 442 442 442 442 442 442 468 521 523 527 533 544;130 136 174 177 180 181 181 181 181 181 181 181 181 182 182 182 182 182 182 182 182 182 182 183 183 183 183 190 224 250 259 264 288 288 289 289 289 289 289 289 289 289 289 290 290 290 290 291 291 291 291 291 291 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 292 295 295 295 327 343 343 343 343 347 347 347 347 354 354 385 388 388 388 388 399 403 415 421;14.732277488562316 13.075167302944925 18.214280112043955 18.467268341582088 19.945926902503178 20.085815890822058 19.76866206904251 20.0059991002699 20.458738964071074 20.458738964071074 20.591260281974 20.591260281974 20.362711017936682 20.13554071784515 20.13554071784515 20.13554071784515 20.13554071784515 20.13554071784515 20.458738964071074 20.591260281974 20.185143051264216 20.185143051264216 19.697715603592208 31.180763300471014 37.124654880550736 42.168234489957015 50.63437567502931 49.28934976239796 41.503734771704586 31.10369752939351 27.88261106854952 34.67217904891471 31.147391544076367 33.53207419769914 33.06115545470242 39.014868960436104 39.30597918892239 39.29071137050079 39.606060142357 39.606060142357 39.606060142357 39.606060142357 39.606060142357 39.22958067581146 39.22958067581146 39.22958067581146 39.22958067581146 38.930707674020006 38.930707674020006 39.24996815285333 39.24996815285333 39.24996815285333 39.24996815285333 38.93789927564147 38.930707674020006 38.930707674020006 38.930707674020006 38.930707674020006 38.930707674020006 38.930707674020006 38.930707674020006 38.930707674020006 38.930707674020006 38.78453299963788 38.78453299963788 38.78453299963788 38.78453299963788 38.78453299963788 39.127483946709376 40.16266923400386 41.39275298889891 41.963793918090865 42.72423200011909 43.56328729561165 43.56328729561165 42.56571390215369 42.56571390215369 42.56571390215369 33.36704961485208 28.715152794300085 27.118997031601296 28.407041380615475 27.66224864323217 27.118997031601296 31.262757395981563 31.262757395981563 31.262757395981563 29.131426329653 29.048924248584488 20.788458336298053 18.07097119692243 21.633307652783937 28.89982698910151 47.31426846100445 44.29717823970281 44.17057844312207 43.291569618113876 43.277707887548765;119.7022973881454;"[[172,177,187,188,188,188,189,189,189,189,189,189,190,190,190,190,190,190,190,190,193,193,220,271,291,312,336,338,338,339,339,340,340,344,344,344,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,349,349,349,349,349,349,349,349,349,349,349,349,349,355,374,385,389,394,399,399,399,399,399,399,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,406,410,415,431],[155,158,174,177,180,181,181,181,181,181,181,181,181,182,182,182,182,182,182,182,182,182,182,183,183,183,183,190,225,250,259,264,314,315,331,332,332,333,333,333,333,333,333,334,334,334,334,334,334,334,334,334,334,335,335,335,335,335,335,335,335,335,335,337,337,337,337,337,337,337,337,337,337,337,337,338,338,338,338,343,343,343,343,347,347,347,347,354,354,385,407,441,468,521,523,527,533,544],[137,153,206,213,213,214,214,216,217,217,218,218,218,218,218,218,218,218,218,219,219,219,219,219,219,219,219,224,224,265,300,351,375,384,389,409,410,410,411,411,411,411,411,411,411,411,411,411,411,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,414,414,414,414,414,417,417,433,441,452,461],[153,155,227,228,235,236,236,236,237,237,237,237,237,237,237,237,237,237,238,238,238,238,238,238,238,238,241,242,264,304,323,343,359,359,360,360,360,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,363,363,363,363,367,367,367,372,372,396,417,422,426,442,442,442,442,442,442,442,442,442,442,447,451,464,469],[130,136,190,191,192,193,195,195,195,195,195,195,196,196,196,196,196,196,196,196,196,196,196,196,201,232,243,258,268,285,287,288,288,288,289,289,289,289,289,289,289,289,289,290,290,290,290,291,291,291,291,291,291,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,295,295,295,327,343,356,368,387,387,387,387,387,387,388,388,388,388,388,388,399,403,415,421]]"
