name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;53;53;53;0;5;6;6;6;1366.6;1913;1191;1913 1235 1282 1212 1191;165.6 168 169.4 172.8 1366.2 1366.2;376 380 383 389 1912 1912;93 95 96 99 1191 1191;106.0954287422413 106.88872718860489 107.68212479330077 108.97963112435278 274.567587307752 274.567587307752;274.86913249763063;"[[376,380,383,389,1912,1912],[93,95,96,99,1234,1234],[136,138,139,142,1282,1282],[114,116,117,120,1212,1212],[109,111,112,114,1191,1191]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;52;52;52;0;5;4;4;4;756;880;672;880 751 672 766 711;162 181.8 186.2 198.2;181 206 215 226;137 161 161 166;14.422205101855956 19.681463360228072 21.88515478583599 24.044957891416654;70.1170450033371;"[[181,204,215,226],[163,176,186,211],[137,162,163,173],[169,206,206,215],[160,161,161,166]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;45;45;45;0;5;1;1;1;697.4;1082;488;1082 694 488 626 597;160.4;233;129;37.10309960097673;203.4478803035313;"[[233],[144],[143],[129],[153]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;32;32;32;0;5;14;14;14;655.6;721;592;721 650 592 668 647;180.2 182 183.6 185 186.4 189.6 190.4 191.8 193.2 193.8 194.4 195.2 199.4 200.2;228 232 234 236 237 239 241 243 246 247 249 251 251 253;136 137 138 140 141 144 144 146 147 148 148 149 149 150;29.828845100003452 30.80259729308553 31.283222340417556 31.183328879386817 30.92959747555729 30.845421054023564 31.423558041698588 31.606328480226868 32.4 32.344396732664535 33.012724819378356 33.43889950342266 34.35462123208463 34.7643495552556;41.42752708043289;"[[181,183,186,187,187,196,196,199,201,201,201,202,202,202],[136,137,138,140,141,144,144,146,147,148,148,149,149,150],[188,189,191,191,192,193,194,194,195,195,196,196,216,217],[168,169,169,171,175,176,177,177,177,178,178,178,179,179],[228,232,234,236,237,239,241,243,246,247,249,251,251,253]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;47;47;47;0;5;8;8;8;1218.2;1336;1118;1224 1180 1118 1233 1336;126.2 128.8 129.2 130.2 130.8 134 136 139.6;140 142 143 143 144 146 149 156;113 115 115 117 117 121 122 125;8.63481325796916 8.704022058795577 9.064215354899728 8.44748483277715 8.840814442120138 8.148619514985345 8.740709353364863 10.071742649611338;71.5944131898572;"[[128,130,130,131,132,135,138,141],[113,115,115,117,117,121,122,125],[124,126,126,127,127,131,133,135],[126,131,132,133,134,137,138,141],[140,142,143,143,144,146,149,156]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;53;53;53;0;5;66;66;66;1339;1418;1256;1418 1276 1398 1347 1256;133.2 135.2 136.8 138.6 140.2 143.2 144.6 146.4 147.6 150.8 155 158.2 160.4 163.4 166.4 169 172.4 176.4 184.8 187.6 192 195.4 203.6 213.2 220.4 227 230.4 233.4 241.4 246 255 260.4 267 273.8 279 283.8 290.2 295.4 301.6 307 315 319.4 328.6 332.4 339 345.6 354 357.6 366.4 372 382 388.6 395.2 400.6 410.6 420.4 427.8 434.6 442.2 447.8 453.8 459.6 467 471.8 1276.8 1327;163 164 166 167 168 170 172 174 175 178 181 188 189 193 195 199 201 206 215 217 222 226 230 233 244 246 249 252 266 269 279 283 287 297 301 307 312 314 323 327 334 339 352 354 361 363 377 380 389 393 408 413 417 422 435 445 451 455 467 471 478 483 494 497 1347 1397;100 101 102 104 105 106 107 109 109 117 120 123 125 129 131 134 136 143 153 158 161 167 189 206 208 217 219 222 227 230 242 248 251 254 258 267 274 277 281 286 298 300 303 309 313 323 328 330 336 346 351 356 358 364 376 382 385 394 397 405 408 415 418 422 1194 1256;20.113676938839404 20.350921355064 20.70169075220669 20.51925924588897 20.71134954559939 21.525798475317938 21.84124538573751 21.91437884129961 22.25848152952038 20.565991344936425 20.248456731316587 21.25464655081331 21.124393482417428 20.8096131631513 20.981896959045432 21.080796948882174 21.490463001061656 20.62619693496598 19.78282083020518 18.76805797092496 19.503845774615836 18.895502110290693 14.319217855734998 10.146920715172659 13.27554142022087 11.081516141756055 11.62067123706716 11.909659944767524 14.759403781996074 14.226735395022992 14.057026712644463 13.588230201170422 14.01427843308388 14.715977711317723 15.139352694220449 14.675149062275313 13.570556362949901 14.263239463740346 14.60958589419974 14.791889669680478 13.564659966250536 14.974645237867907 16.716458955173493 16.007498243010993 17.60681686165901 15.094369811290566 17.123083834403193 17.647662734764626 18.618270596379247 17.92205345377588 19.929877069364977 21.415881957089695 21.103554203024665 21.462525480474103 21.546229368499723 24.581293700698506 25.134836382996408 24.856387509048854 27.176460402340847 26.618790355686716 26.460536653665965 26.605262637305426 28.91366458960192 29.982661656364 52.86738124779778 59.03558249056242;64.25573904329481;"[[163,164,166,167,168,170,172,174,175,178,181,188,189,193,195,199,201,206,215,217,222,226,230,233,244,246,249,252,266,269,279,283,287,297,301,307,312,314,323,327,334,339,352,354,361,363,377,380,389,393,408,413,417,419,435,445,449,454,465,469,472,476,487,495,1347,1377],[136,138,141,144,148,150,152,154,156,158,163,165,169,170,172,174,176,179,186,189,192,195,204,206,209,218,222,225,227,230,242,249,252,265,268,271,278,281,291,295,301,304,318,320,325,334,342,346,356,358,369,374,388,390,396,402,414,417,425,428,440,443,450,452,1194,1259],[137,142,143,145,146,154,155,157,158,160,162,164,166,168,174,175,183,185,189,190,197,199,202,212,216,221,223,225,227,235,242,248,251,254,258,267,274,277,281,286,298,300,303,309,313,323,328,330,336,346,351,356,358,364,376,382,385,394,397,405,408,415,418,422,1318,1397],[130,131,132,133,134,136,137,138,140,141,149,151,153,157,160,163,166,169,181,184,188,190,193,206,208,217,219,222,238,241,250,253,268,271,279,281,291,299,303,310,322,325,335,337,352,359,363,369,379,389,394,409,412,422,425,443,451,455,467,471,478,483,494,497,1269,1346],[100,101,102,104,105,106,107,109,109,117,120,123,125,129,131,134,136,143,153,158,161,167,189,209,225,233,239,243,249,255,262,269,277,282,289,293,296,306,310,317,320,329,335,342,344,349,360,363,372,374,388,391,401,408,421,430,440,453,457,466,471,481,486,493,1256,1256]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;52;52;52;0;5;46;46;46;931;1104;813;837 1042 1104 859 813;103.8 108 108.2 108.8 188.8 189.4 189.8 196.4 197.8 198.6 215.8 216 244 267 267.6 267.8 268.8 269 270.6 294.4 320 335.4 359.6 359.8 370.2 395 417.8 439.2 439.6 455.2 480.4 495 495.6 496.2 502.2 549.8 551.4 554.2 573.2 573.6 581.4 615.2 634 643 672.2 695.6;113 113 113 114 212 212 213 215 215 217 254 254 285 303 303 303 304 304 304 348 352 404 410 410 422 473 476 527 527 528 587 589 589 590 598 653 653 654 708 708 710 721 776 781 797 856;91 98 98 98 163 164 164 178 185 185 194 195 223 240 240 240 241 241 241 267 284 291 306 306 320 330 368 371 371 383 396 411 411 411 421 455 456 460 476 476 487 494 520 530 541 583;8.44748483277715 5.403702434442518 5.381449618829484 5.635601121442148 17.11607431626773 17.07161386629864 17.474552927042225 12.831211945876353 10.998181667894016 11.740528097151337 21.2452347598232 21.04281350010022 23.15167380558045 23.85791273351464 23.7873916182502 23.667699507979226 23.961636004246458 23.84114091229696 23.294634575369496 29.39795911283639 24.649543606322613 38.639875776197826 39.16426943018343 39.36191052273759 37.08584635679763 46.93825731745907 44.76337788862677 54.06070661765345 54.113214652245524 47.83053418058385 65.9896961653863 60.82104898799428 60.990491062131966 61.15357716438181 60.15446783074388 67.99823527121862 67.41097833439298 67.39851630414427 78.48923493065784 78.47190580073864 75.16275673496814 76.55168188877369 86.03487664894976 84.74196127067157 86.47172948426555 93.3415234501773;118.4854421437503;"[[107,107,108,109,199,201,202,203,203,204,215,215,227,253,254,254,254,255,261,294,305,315,351,351,364,372,383,423,424,433,444,469,470,470,476,522,523,524,536,537,548,591,594,603,636,645],[113,113,113,114,212,212,213,215,215,217,218,218,285,287,288,288,290,290,291,295,342,347,398,399,401,408,467,469,470,476,518,533,535,535,536,595,596,603,603,604,610,667,673,685,728,733],[111,112,112,112,193,193,193,199,199,200,254,254,254,303,303,303,304,304,304,348,352,404,410,410,422,473,476,527,527,528,587,589,589,590,598,653,653,654,708,708,710,721,776,781,797,856],[97,98,98,98,163,164,164,178,185,185,198,198,231,252,253,254,255,255,256,268,317,320,333,333,344,392,395,406,406,456,457,473,473,475,480,524,529,530,543,543,552,603,607,616,659,661],[91,110,110,111,177,177,177,187,187,187,194,195,223,240,240,240,241,241,241,267,284,291,306,306,320,330,368,371,371,383,396,411,411,411,421,455,456,460,476,476,487,494,520,530,541,583]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;45;45;45;0;5;32;32;32;772;836;716;781 836 802 716 725;117 198.6 212.4 230.2 246.6 271 283.2 308.8 309 310.2 311.6 318.6 334.2 353 372.6 394.4 394.8 405.8 420.6 443.4 461.8 477.4 492.2 512.4 527 546 562.6 585.6 593.8 616 642.6 643.2;133 213 247 257 271 313 316 331 331 332 335 342 384 389 400 451 451 452 462 479 514 522 533 571 579 597 609 647 655 666 709 709;106 178 185 207 217 250 258 281 282 282 283 293 303 336 343 356 356 371 394 408 421 436 451 475 493 508 524 540 551 563 603 603;9.838699100999074 12.955307792561317 20.392155354449415 17.91535654124695 21.406541056415442 22.135943621178654 20.604853797103246 20.202970078679026 19.929877069364977 20.575713839378697 21.397196077991154 20.065891457894413 28.874902597238314 18.750999973334757 23.208619088605854 34.79425239892359 34.61444785057245 27.301282021179883 23.23445717033217 26.90427475328038 34.312679872023985 29.702525145179155 30.15559649550975 34.13854126936299 29.366647748764244 32.58834147360065 34.48245930904581 36.307574967215864 35.611234182487976 39.27849284277593 36.729279873147526 36.766288907095316;45.65522971139232;"[[122,212,218,231,271,272,280,327,327,330,335,336,338,348,383,397,398,409,421,434,476,493,497,507,519,561,565,573,589,636,637,638],[133,213,247,257,267,313,316,331,331,332,332,342,384,389,400,451,451,452,462,479,514,522,533,571,579,597,609,647,655,666,709,709],[108,196,209,241,251,261,295,316,316,317,318,325,338,351,390,408,408,410,422,470,471,480,514,525,535,550,591,601,605,638,648,650],[106,194,203,215,227,259,267,289,289,290,290,297,308,341,347,360,361,371,404,426,427,436,451,484,493,508,524,540,551,563,603,603],[116,178,185,207,217,250,258,281,282,282,283,293,303,336,343,356,356,387,394,408,421,456,466,475,509,514,524,567,569,577,616,616]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;32;32;32;0;5;198;198;198;981.6;1015;946;946 1015 1004 981 962;140.6 141.8 142.8 143.8 145.8 148.6 152.4 155.8 161.2 162.6 163.6 164.4 165 165.6 196 221.2 279 281.2 285 288 289.6 290.6 292.4 293.6 296.2 298.4 300.6 303.8 305.8 308.8 310.8 315.2 317.4 319.2 323.4 326 331 334.4 338.2 340.4 343.6 346.2 348 352 355 358 361 363.2 366.6 369.4 371.8 376 379.6 381.6 385.6 390 394.8 397 400.4 402.6 405 408 411.4 414.8 417.8 421 423 429 430.6 434.8 438.2 441.8 446.8 449.6 453.4 456.4 461 466.2 470.4 472.8 478.2 484 490.2 495.8 499.6 503.8 508.4 510.6 514.2 516.6 521.4 525.6 531.8 534.4 539.2 542.8 545.6 550.8 553.4 559 561.4 564.8 568 570.8 573.6 577.4 580.2 582.6 585.8 588.2 593 595.8 600 603.6 606.8 610.4 613 616.6 620.2 624.4 627.4 633 637 640.8 643.8 647.6 651.8 655.2 658.2 662.6 667.2 671.2 674.2 677.8 681.8 685.4 689 692 696.4 700.8 704.8 709 712.6 717 721.6 725.4 729.2 732.8 736.6 740.2 743.6 747.2 752.2 756.4 759.6 764.6 768 773.2 777.6 782.4 785.8 790.6 794.2 799.2 802.6 808.2 811.8 817.4 821.8 825.6 829.2 834.6 839.4 843.8 849 852.6 856.6 859.6 864 867.8 872.6 876.4 882 885.2 892.4 897.6 902 907 912 918.8 922.8 929.8 955.6 977.6 980.4 980.8 981.2 981.2;148 149 150 151 152 156 159 165 170 172 172 173 174 174 211 245 307 308 309 310 310 311 313 314 320 322 324 328 329 332 333 336 338 340 350 351 355 359 363 365 370 373 375 380 383 385 387 389 391 393 396 402 408 410 413 417 424 426 429 431 433 436 445 447 449 451 453 458 459 461 467 470 478 480 485 489 493 496 499 501 512 515 520 526 529 531 537 539 542 543 550 555 562 564 569 572 574 582 584 592 594 598 600 603 605 609 611 613 616 618 626 629 633 636 639 642 645 648 652 655 658 666 669 673 676 679 683 686 689 693 701 704 706 710 713 717 720 723 727 734 738 743 745 749 753 757 759 763 769 773 776 779 783 787 790 795 797 805 809 813 816 821 823 828 831 836 840 848 850 854 857 862 866 871 878 881 885 887 892 896 900 904 909 914 921 926 930 935 939 946 952 959 987 1014 1014 1014 1014 1014;130 131 131 134 136 138 140 140 147 147 148 149 149 150 183 195 260 261 268 269 271 272 273 274 276 279 281 283 284 286 288 297 299 301 304 306 310 312 320 322 325 327 329 334 336 339 340 343 349 355 356 358 362 364 369 372 375 376 382 384 387 390 393 395 398 400 403 409 410 416 418 422 428 430 434 436 442 443 451 453 457 461 467 469 471 474 476 479 487 490 493 497 504 506 510 512 515 523 527 530 533 537 539 542 546 548 550 552 557 560 564 567 571 574 577 580 583 586 589 596 598 603 607 611 614 618 621 624 627 633 638 641 644 647 652 656 658 661 667 671 675 679 682 686 691 694 700 704 706 710 714 718 723 726 729 734 738 743 747 752 755 759 764 769 773 778 781 785 789 793 796 801 806 810 815 819 822 826 830 833 839 843 849 851 857 863 866 871 877 883 886 893 915 935 945 945 946 946;6.887670143089026 7.025667228100119 7.493997598078077 6.615134163416491 6.241794613730893 6.681317235396026 7.08801805866774 9.064215354899728 8.084553172563094 9.00222194794152 8.8 8.8 9.186947262284681 8.8 9.423375191511797 18.465102220134064 16.45600194457937 16.33891061240008 15.362291495737216 14.805404418657398 13.92264342716569 13.92264342716569 13.763720427268202 13.879481258317977 15.236797563792727 14.880860190190619 14.732277488562316 15.663971399361019 14.810806865258893 15.354478174135386 15.223665787188052 13.452137376640188 13.093509842666327 13.22724461102916 15.48676854608475 15.11290838985005 14.818906842274163 15.640971836813721 14.715977711317723 14.56845908117945 15.081114017207083 15.197368193210297 15.192103211866355 15.543487382180357 16.087262041752165 15.949921629901509 15.297058540778355 15.025311976794358 14.008568806269967 13.093509842666327 13.658696863171098 14.859340496805368 15.982490419205636 15.982490419205636 15.48676854608475 15.504837954651444 16.581917862539303 16.946976131451887 16.230834852218784 16.267759526130202 15.760710643876436 16.037456157383563 18.380424369420854 18.02664694279 18.059900331950892 18.471599822430107 18.286607121059937 17.515707236649053 17.41952927033334 16.606023003717656 17.89301539707603 17.6 18.258148865643527 18.39130229211624 19.252012881774206 20.49975609611002 19.452506265260524 20.468512403201167 18.842505141302205 18.808508712813996 21.525798475317934 20.707486568871655 20.448960853794013 22.648620267027304 23.888072337465825 24.326117651610584 25.223798286538845 24.968780506864967 23.532105728132365 23.052982453470094 24.187600128991715 24.42621542523524 25.102987869972768 25.08864284890675 25.560907652115954 25.02318924517816 24.791934172226256 25.30928683309745 24.824181758922087 25.899806949087477 25.617181734140857 25.52959067435277 26.283074401599215 26.34691632810185 26.08141100477503 25.803875677889938 25.84105261013955 26.019992313603783 25.325086376950424 25.332982453710418 25.899806949087477 26.369679558159213 25.899806949087477 26.86708022841336 26.79850742112329 26.26480534860291 26.107470195329153 25.904439773907484 25.91833327974621 25.032778511383828 25.08864284890675 25.837956575549857 26.107470195329153 25.8797217913949 25.8797217913949 25.160286166894046 24.959166652755055 25.02318924517816 25.02318924517816 24.532427519509763 25.560907652115954 25.293477420078087 25.5530820058951 25.949181104612915 25.00719896349849 24.565015774470815 24.803225596683994 24.803225596683994 24.311314238436392 24.522642598219303 24.522642598219303 24.19917353960668 24.984795376388416 24.074883177286655 24.228908353452493 23.938253904577085 23.318662054243163 22.90327487500423 24.35241261148472 23.961636004246454 23.904811231214524 23.709913538433664 23.944936834328878 23.921538412067065 24.137936945812083 23.550796164885806 23.469128658729534 24.103111832292527 23.888072337465825 24.630062931304092 24.717605061979608 24.270146270675834 23.961636004246454 23.335809392433767 23.303218661807215 22.807016464237492 23.21551205552012 23.71160053644629 24.036638700117784 23.820999139414784 23.659247663440187 23.491274976041638 23.00956322923145 22.88580345978703 23.49468024894146 23.277456905770443 23.77057003944163 23.83778513201258 23.689660191737662 23.574562562219473 23.156856436053666 22.49088704342272 22.5920339943087 23.37006632425334 23.83778513201258 23.54230235129946 23.50319127267614 23.50319127267614 23.047776465420693 23.051247254758252 23.944936834328878 23.944936834328878 25.104581255221127 27.839540226088506 25.57811564599707 25.419677417308034 25.317187837514656 25.317187837514656;25.570295266187287;"[[135,136,137,138,141,144,149,152,160,161,162,163,163,164,192,195,267,271,272,275,278,279,283,284,285,287,290,291,298,300,302,305,309,310,313,316,323,325,327,330,334,338,340,342,343,345,354,356,358,360,362,366,367,369,373,378,384,385,388,390,394,396,398,402,403,405,407,415,417,421,422,426,431,434,436,438,442,443,452,455,458,461,467,469,471,474,476,479,487,491,493,497,504,506,510,512,515,523,527,530,533,537,539,542,546,548,550,552,557,560,564,567,571,574,577,580,583,586,589,596,598,603,607,611,614,618,621,624,627,633,638,641,644,647,652,656,658,661,667,671,675,679,682,686,691,694,700,704,706,710,714,718,723,726,729,734,738,743,747,752,755,759,764,769,773,778,781,785,789,793,796,801,806,810,815,819,822,826,830,833,839,843,849,851,857,863,866,871,877,883,886,893,915,935,945,945,946,946],[145,146,147,147,149,151,157,159,161,162,164,164,165,166,211,245,307,308,309,310,310,311,313,314,320,322,324,328,329,332,333,336,338,340,350,351,355,359,363,365,370,373,375,380,383,385,387,389,391,393,396,402,408,410,413,417,424,426,429,431,433,436,445,447,449,451,453,458,459,461,467,470,478,480,485,489,493,496,499,501,512,515,520,526,529,531,534,536,538,541,550,555,559,562,569,572,574,579,581,592,594,598,600,603,605,609,611,613,616,618,626,629,633,636,639,642,645,648,652,655,658,666,669,673,676,679,683,686,689,693,701,704,706,710,713,717,720,723,727,734,738,743,745,749,753,757,759,763,769,773,776,779,783,787,790,795,797,805,809,813,816,821,823,828,831,836,840,848,850,854,857,862,866,871,878,881,885,887,892,896,900,904,909,914,921,926,930,935,939,946,952,959,987,1014,1014,1014,1014,1014],[145,147,149,149,152,154,157,163,170,172,172,173,174,174,193,237,286,290,296,297,298,299,300,302,304,305,307,309,310,315,319,321,322,324,326,330,332,339,341,343,345,346,348,352,356,361,363,365,367,368,372,378,380,382,384,391,393,398,400,402,403,405,406,411,415,418,419,425,427,430,436,439,442,444,447,448,456,462,465,467,470,485,493,510,518,528,537,539,542,543,547,551,562,564,568,571,574,582,584,587,589,592,598,601,604,607,610,613,615,618,621,625,628,635,638,641,643,646,649,653,656,661,667,670,673,676,679,683,686,690,694,698,703,707,710,712,716,719,723,725,729,731,739,741,747,749,754,756,761,763,767,771,778,782,786,789,794,798,802,810,814,817,822,825,829,833,837,840,848,851,855,860,864,867,872,876,881,886,889,892,897,898,905,908,916,921,925,930,935,941,945,952,973,999,1003,1003,1004,1004],[130,131,131,134,136,138,140,140,147,147,148,149,149,150,201,207,275,276,280,289,291,292,293,294,296,299,301,308,308,311,312,317,319,321,324,327,335,337,340,342,344,347,348,352,357,360,361,363,368,371,373,376,381,383,389,392,398,400,403,406,408,413,415,419,424,431,433,438,440,446,448,452,455,460,465,471,472,483,485,488,494,497,503,504,508,509,512,514,516,518,521,525,529,532,536,539,542,544,547,551,554,556,560,562,565,568,573,576,579,581,585,587,592,594,598,601,603,609,613,616,619,624,627,631,634,637,644,647,650,654,657,662,664,668,671,675,681,684,688,692,696,701,703,708,712,718,721,725,728,732,735,738,742,746,749,756,759,763,768,772,775,780,783,790,793,802,806,814,818,822,824,830,836,841,846,849,853,855,860,863,868,874,879,882,890,895,899,904,910,917,921,928,961,979,979,980,980,980],[148,149,150,151,151,156,159,165,168,171,172,173,174,174,183,222,260,261,268,269,271,272,273,274,276,279,281,283,284,286,288,297,299,301,304,306,310,312,320,322,325,327,329,334,336,339,340,343,349,355,356,358,362,364,369,372,375,376,382,384,387,390,393,395,398,400,403,409,410,416,418,422,428,430,434,436,442,447,451,453,457,462,468,470,472,477,483,485,488,490,496,500,505,508,513,520,523,526,528,535,537,541,543,546,548,555,557,559,562,564,569,571,576,579,582,588,591,594,598,602,606,611,615,619,622,628,632,636,639,643,646,651,654,657,663,667,670,673,677,682,686,691,694,701,705,709,712,716,719,723,726,730,735,741,744,749,752,757,762,765,769,776,779,784,787,792,795,800,804,808,814,820,825,830,834,838,842,844,849,855,859,863,868,871,878,883,890,895,899,907,910,917,942,961,961,962,962,962]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;47;47;47;0;5;98;98;98;1351.8;1533;1232;1533 1401 1353 1232 1240;145.8 146.6 150 150.8 153.6 154.8 156 156.8 158.2 160 161 162.6 163.8 166.6 167.6 169 170.8 173 177.2 179.4 182.4 187.8 191.2 196.6 206 209.8 213.6 217.8 224.4 231 234.4 240.8 249.4 254.2 259.4 263.6 271.2 277.8 286.2 292.2 298.6 304.2 315 320.6 324.8 334.4 341.6 347.6 353.8 360.4 368.6 375 382.4 388.2 395 399.8 408 414 421.8 428.4 433.4 441.2 451.6 460.4 468 472.2 485 490.6 496.8 506.4 515 521.2 528.4 533.4 542.2 549 554.4 566 573.2 582.6 592.8 601.2 608.2 616.8 628.4 633.4 644 650.2 665.2 680.2 684 689.6 694 703.6 707.6 715.8 720.2 726.4;175 176 182 183 185 186 187 188 189 191 192 194 195 198 199 201 202 204 209 211 215 221 227 233 242 244 249 256 263 269 271 278 287 290 296 300 306 312 316 323 327 335 346 348 355 369 373 379 384 394 397 407 414 422 425 431 439 443 450 456 465 476 479 492 501 504 516 519 527 533 544 554 557 560 571 580 584 596 601 614 625 633 640 652 663 666 680 683 708 749 753 756 761 784 789 801 804 808;128 129 131 132 136 137 139 139 141 141 142 144 145 146 148 150 154 155 158 159 161 164 166 173 181 184 191 193 201 208 213 220 232 237 241 243 251 259 263 265 277 284 293 299 302 306 314 322 324 328 336 340 348 349 357 360 368 370 375 382 384 390 400 405 411 415 424 428 432 437 443 449 455 457 463 469 478 481 487 496 505 510 515 522 534 537 544 558 565 572 574 589 591 597 601 614 617 622;20.053927296168197 20.195048898182943 20.620378270051205 20.458738964071078 20.75186738585229 20.604853797103246 20.43526363911168 20.604853797103246 20.614557962760202 20.474374227311564 20.474374227311564 20.771133815947554 20.62425756239482 20.28398382961296 20.204949888579282 20.620378270051205 20.262280227062305 20.208908926510603 19.58979326077741 20.684293558156636 21.190563937753048 21.55365398256175 22.710350063352173 22.455288909297067 21.587033144922902 21.414014102918674 21.152777595389217 22.39106964841117 21.74028518672191 20.966640169564602 19.93589727100338 20.419598428960352 19.724096937502615 18.787229705307805 19.458674158328467 19.57140771636011 20.409801566894277 20.212867188996224 21.866869917754578 23.98666296090392 23.243063481391605 23.557589010762538 23.047776465420693 20.93418257300724 23.17239737273638 25.25549445170298 23.74531532744933 22.905021283552653 23.506594819326768 25.271327626383226 23.482759633399137 24.68197723035981 24.344198487524704 26.54354912215019 25.234896472940004 25.623426780975255 25.179356624028344 26.735743864721623 27.23527124887872 26.642822673282947 28.15386296762844 29.1300532097008 28.555910071296974 30.123744787127645 30.62025473440742 30.472282487532826 32.29860678109816 32.289936512789865 33.629748735308745 35.35873300897531 36.61147361142406 37.14512081014141 37.73380447291261 38.65022639002261 39.96698637625809 40.47221268969612 38.6191662261111 42.85323791733829 43.26846426671508 43.68798461819909 44.296275238444146 45.9190592238125 46.867472728962035 47.84307682413413 47.62604329565915 48.49989690710693 50.52919947911306 46.645042609049035 51.59224747963594 59.31407927296858 60.103244504768625 55.67979885021138 56.94910008068609 61.44135415174376 61.63635290962631 60.88152429103595 61.075035816608406 61.28164488654005;111.45115522057185;"[[175,176,182,183,185,186,187,188,189,191,192,194,195,198,199,201,202,204,209,211,215,221,227,233,242,244,249,256,263,269,271,278,287,290,296,300,306,312,316,319,327,331,340,344,351,360,367,371,379,386,394,399,406,413,421,424,430,440,448,453,456,461,477,482,486,489,507,510,517,529,535,542,555,558,564,568,571,590,595,602,616,623,627,640,653,657,670,673,685,697,702,706,713,723,727,732,736,751],[165,166,167,167,172,173,174,175,177,178,179,181,182,183,184,186,188,190,191,197,200,205,208,212,218,224,226,229,232,236,238,246,248,254,257,261,262,269,274,279,282,285,296,299,302,306,314,322,324,328,336,340,348,349,357,360,368,370,375,382,384,390,400,405,411,415,424,428,432,437,443,449,455,457,463,469,478,481,487,496,505,510,515,522,534,537,544,558,565,572,574,589,591,597,601,614,617,622],[128,129,131,132,137,138,139,140,141,145,146,147,148,151,152,153,154,155,164,165,168,173,176,184,194,199,200,207,211,221,225,228,235,242,245,251,255,259,269,275,280,286,300,306,309,322,327,335,341,347,355,365,370,374,385,389,397,403,416,423,430,437,454,461,469,472,486,497,500,514,524,529,533,545,557,561,567,581,589,596,610,616,626,632,648,658,669,676,708,749,753,756,761,784,789,801,804,808],[132,132,134,135,136,137,139,139,141,141,142,144,145,146,148,150,154,155,158,159,161,164,166,173,181,184,191,193,201,208,213,220,232,237,241,243,251,260,263,265,277,284,293,306,307,315,327,331,341,347,361,364,374,383,387,395,406,414,420,428,432,442,448,462,473,481,492,499,508,519,529,532,542,547,556,567,572,582,594,605,608,624,633,638,644,649,657,661,671,674,678,682,685,689,693,698,703,708],[129,130,136,137,138,140,141,142,143,145,146,147,149,155,155,155,156,161,164,165,168,176,179,181,195,198,202,204,215,221,225,232,245,248,258,263,282,289,309,323,327,335,346,348,355,369,373,379,384,394,397,407,414,422,425,431,439,443,450,456,465,476,479,492,501,504,516,519,527,533,544,554,557,560,571,580,584,596,601,614,625,633,640,652,663,666,680,683,697,709,713,715,720,725,728,734,741,743]]"
