name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d632b8166f912f4afd062d64186f2dc6;51;51;51;0;5;6;6;6;790.2;1277;558;1277 838 657 558 621;388.6 409.4 416.6 424 785.8 787.8;575 586 599 611 1274 1275;225 229 235 244 554 556;130.7250549818205 132.68700011681628 134.42410498121237 134.98888843160387 261.16385661113213 260.8266857512858;260.5942439886192;"[[575,586,599,611,1274,1275],[286,291,296,302,833,836],[225,229,235,244,652,654],[357,433,442,448,554,556],[500,508,511,515,616,618]]"
interactive-discover-1;1;false;;0;e00f199d535cd1710bf9be67f04f39e4;50;50;50;0;5;4;4;4;357.4;424;295;424 402 333 295 333;148.4 167.6 175.8 176;195 201 239 240;107 109 112 112;38.93378995166024 38.82061308119695 46.55920961528449 46.8316132542965;47.97749472408913;"[[195,197,197,197],[132,133,133,133],[113,201,239,240],[107,109,112,112],[195,198,198,198]]"
interactive-discover-1;2;false;;0;c4499554f796e968a069e67a8f5d9d1c;43;43;43;0;5;1;1;1;302.8;341;252;331 341 319 252 271;90.6;132;65;22.526428922490133;34.953683639925565;"[[132],[92],[85],[79],[65]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;30;30;30;0;5;14;14;14;324;402;279;402 323 302 279 314;178 179.4 180.2 180.6 181.2 181.2 183.2 184.4 187.8 188.4 192 194 195.8 198.4;256 257 258 258 261 261 270 271 272 273 286 291 294 300;117 117 119 119 119 119 120 120 120 120 120 120 121 121;51.443172530472886 51.133550629699094 51.10538132134423 51.11007728423036 52.02460956124515 52.02460956124515 54.60183147111459 55.61870189064106 58.547075076386186 58.86459037485948 63.54525946126902 65.62621427448029 67.16665839536756 70.18432873512435;41.69892084934573;"[[137,142,142,143,143,143,143,143,143,144,144,144,144,144],[163,163,163,163,163,163,163,163,163,163,163,164,164,164],[117,117,119,119,119,119,120,120,120,120,120,120,121,121],[217,218,219,220,220,220,220,225,241,242,247,251,256,263],[256,257,258,258,261,261,270,271,272,273,286,291,294,300]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;45;45;45;0;5;8;8;8;570.8;676;447;659 545 676 527 447;284.6 298 298.4 300.8 314.8 320.8 355 364.6;333 393 393 402 417 421 425 433;230 230 230 231 246 251 270 275;41.5143348736313 59.61543424315552 59.7012562681892 62.5952074842795 62.393589414298006 61.36578851444834 53.97406784743948 57.301308885574336;85.74007231160934;"[[287,287,288,288,309,318,329,338],[327,393,393,402,417,421,425,433],[246,246,246,246,257,265,270,275],[230,230,230,231,246,251,397,419],[333,334,335,337,345,349,354,358]]"
interactive-discover-2;0;false;;0;18ff3becda1d7305aaa0da5860ca7511;51;51;51;0;5;66;66;66;773.2;1110;545;1110 588 545 592 1031;149.8 171.2 183.8 186.6 187.6 189 189.4 190 190.2 190.4 190.6 190.8 191 191.2 191.4 191.6 191.6 191.8 191.8 191.8 192.4 192.6 192.6 193.4 193.6 196.8 200.2 201.2 209.6 211.6 214.4 217 244.4 244.4 244.4 244.6 244.6 245 245 245 245 245 245.2 245.2 245.2 245.2 245.2 245.2 245.4 245.4 245.4 245.4 245.4 245.4 247 248 367.6 402.2 507.2 522.8 532.4 539.4 571.8 579 772.4 772.6;252 253 255 256 256 257 257 257 258 258 258 258 258 259 259 260 260 260 260 260 261 261 261 261 262 262 262 262 262 262 262 262 347 347 347 348 348 348 348 348 348 348 348 348 348 348 348 348 348 348 348 348 348 348 348 348 869 1040 1052 1058 1081 1109 1109 1110 1110 1110;64 138 153 157 158 158 158 158 158 158 159 159 159 159 159 159 159 159 159 159 159 159 159 163 163 166 176 176 186 190 194 195 196 196 196 196 196 196 196 196 196 196 197 197 197 197 197 197 197 197 197 197 197 197 197 197 197 198 198 199 205 207 211 214 544 544;60.267404125281516 41.44586831036358 38.31657604744975 37.280557935739104 36.65296713773661 36.5349148076193 36.296556310482124 36.09986149557918 36.47135862563938 36.39010854614204 36.21380952067871 36.06327772124991 35.983329473521486 36.35601738364641 36.39010854614204 36.761936836896936 36.761936836896936 36.613658653568066 36.613658653568066 36.613658653568066 36.761936836896936 36.79456481601596 36.79456481601596 36.092104399716014 36.46697135765458 34.27768953707353 31.864714026647093 31.288336485022658 26.785070468453128 25.718475849085618 24.385241438214223 23.740261161158273 56.55652040216053 56.55652040216053 56.55652040216053 56.91959240894123 56.91959240894123 56.66392150213397 56.66392150213397 56.66392150213397 56.66392150213397 56.66392150213397 56.49212334476373 56.49212334476373 56.49212334476373 56.49212334476373 56.49212334476373 56.49212334476373 56.55652040216053 56.55652040216053 56.55652040216053 56.55652040216053 56.55652040216053 56.55652040216053 57.16992216192008 56.395035242475025 256.76728763610055 323.6482040734971 330.4345018305443 342.28374194518796 345.491881236014 353.417939555988 376.6390314346085 380.33564124336283 244.857999665112 245.068643445056;244.58241964622067;"[[252,253,255,256,256,257,257,257,258,258,258,258,258,259,259,260,260,260,260,260,261,261,261,261,262,262,262,262,262,262,262,262,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,264,264,264,264,264,264,272,272,869,1040,1052,1058,1081,1109,1109,1110,1110,1110],[144,155,161,166,169,173,174,175,175,176,176,176,177,177,177,177,177,177,177,177,178,178,178,178,178,178,184,184,202,206,209,213,216,216,216,216,216,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,218,218,218,231,233,237,240,587,587],[133,153,153,159,160,161,162,163,163,163,163,164,164,164,164,164,164,165,165,165,166,166,166,166,166,166,176,176,198,200,207,215,347,347,347,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,349,349,349,355,358,363,367,544,544],[156,157,157,157,158,158,158,158,158,158,159,159,159,159,159,159,159,159,159,159,159,159,159,163,163,179,180,185,186,190,194,195,196,196,196,196,196,196,196,196,196,196,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,198,198,199,205,207,211,214,591,591],[64,138,193,195,195,196,196,197,197,197,197,197,197,197,198,198,198,198,198,198,198,199,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,206,206,206,719,790,790,790,939,964,1030,1031]]"
interactive-discover-2;1;false;;0;f6a5ba863b07324a44f8e492bf9ab0e1;50;50;50;0;5;46;46;46;312.8;336;284;317 284 326 336 301;107.6 136.4 137.2 137.2 296.6 297.4 298 298.8 299 299.4 299.4 300.2 300.2 300.4 300.4 300.8 300.8 300.8 302.4 303.8 304.6 305.8 307.8 308.4 309.8 310 310 311.4 311.4 311.8 311.8 312 312 312 312.2 312.2 312.2 312.4 312.4 312.4 312.4 312.4 312.4 312.4 312.4 312.4;138 202 202 202 319 320 322 323 323 324 324 324 324 325 325 325 325 325 325 325 325 326 326 326 326 326 326 333 333 335 335 335 335 335 335 335 335 335 335 335 335 335 335 335 335 335;89 90 90 90 272 272 273 273 273 273 273 275 275 275 275 275 275 275 277 277 279 280 282 282 282 283 283 283 283 283 283 283 283 283 283 283 283 283 283 283 283 283 283 283 283 283;17.071613866298637 41.552857904120145 40.9751143988641 40.9751143988641 16.353592877407703 16.65653025092561 16.911534525287763 17.209299811439163 17.297398648351724 17.442476888332113 17.442476888332113 16.987053894068858 16.987053894068858 17.26962651593832 17.26962651593832 17.440183485273312 17.440183485273312 17.440183485273312 17.153425313913253 18.137254478007414 17.906423428479513 18.203296404772406 17.186040847152668 17.281203661782357 16.737980762326142 16.407315441594946 16.407315441594946 17.939899665271263 17.939899665271263 18.432579851990333 18.432579851990333 18.482424083436676 18.482424083436676 18.482424083436676 18.356470248934023 18.356470248934023 18.356470248934023 18.499729727755486 18.499729727755486 18.499729727755486 18.499729727755486 18.499729727755486 18.499729727755486 18.499729727755486 18.499729727755486 18.499729727755486;18.432579851990333;"[[109,202,202,202,304,305,305,306,307,307,307,307,307,307,307,309,309,309,309,309,309,312,313,314,316,316,316,316,316,316,316,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317],[94,97,100,100,272,272,273,273,273,273,273,275,275,275,275,275,275,275,277,277,279,280,282,282,282,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283],[108,132,133,133,303,304,304,305,305,305,305,307,307,307,307,307,307,307,312,319,321,322,324,325,325,325,325,325,325,325,325,325,325,325,325,325,325,326,326,326,326,326,326,326,326,326],[89,90,90,90,319,320,322,323,323,324,324,324,324,325,325,325,325,325,325,325,325,326,326,326,326,326,326,333,333,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335],[138,161,161,161,285,286,286,287,287,288,288,288,288,288,288,288,288,288,289,289,289,289,294,295,300,300,300,300,300,300,300,300,300,300,301,301,301,301,301,301,301,301,301,301,301,301]]"
interactive-discover-2;2;false;;0;113587781a953fec190d8e3339b06c26;43;43;43;0;5;32;32;32;267.6;315;230;298 246 230 249 315;95.6 258.6 260.8 261.4 262 262.2 262.4 262.6 262.6 263.6 263.6 263.6 263.6 263.6 263.6 263.6 263.6 265 265.4 266.6 266.6 266.6 266.8 266.8 266.8 266.8 267.2 267.2 267.2 267.2 267.2 267.2;139 299 300 301 303 304 304 304 304 307 307 307 307 307 307 307 307 310 311 314 314 314 314 314 314 314 315 315 315 315 315 315;52 222 222 223 223 223 224 224 224 225 225 225 225 225 225 225 225 227 227 229 229 229 229 229 229 229 229 229 229 229 229 229;29.165733318399525 32.40740656084655 31.454093533274808 31.683434157300564 32.04996099841621 32.307274722576025 32.06618156251224 31.972488173428108 31.972488173428108 32.38271143681455 32.38271143681455 32.38271143681455 32.38271143681455 32.38271143681455 32.38271143681455 32.38271143681455 32.38271143681455 32.4530430006186 32.59815945724544 32.85483221689011 32.85483221689011 32.85483221689011 33.04179171897311 33.04179171897311 33.04179171897311 33.04179171897311 33.19879515886081 33.19879515886081 33.19879515886081 33.19879515886081 33.19879515886081 33.19879515886081;32.85483221689011;"[[139,296,296,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,298,298,298,298,298,298,298,298,298,298],[105,234,239,239,240,240,240,240,240,241,241,241,241,241,241,241,241,243,244,245,245,245,245,245,245,245,246,246,246,246,246,246],[52,222,222,223,223,223,224,224,224,225,225,225,225,225,225,225,225,227,227,229,229,229,229,229,229,229,229,229,229,229,229,229],[78,242,247,247,247,247,247,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248],[104,299,300,301,303,304,304,304,304,307,307,307,307,307,307,307,307,310,311,314,314,314,314,314,314,314,315,315,315,315,315,315]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;30;30;30;0;5;198;198;198;361.4;429;311;362 390 311 315 429;244.4 246.8 249.2 250.8 252 253 253 253.4 253.8 254 254.2 254.4 254.6 254.6 254.8 254.8 254.8 254.8 254.8 254.8 254.8 254.8 255.4 255.6 255.6 255.6 257.4 259.6 261.2 262.8 264.2 265.4 265.4 265.8 265.8 265.8 266 266.2 266.4 266.4 266.4 266.4 266.4 266.4 266.4 266.6 266.6 266.6 266.6 266.8 267 267 267 267 267 267 267 267 267 268 269.2 269.8 269.8 269.8 278.6 291 294.6 297.6 316 323.8 325.8 326.8 329.2 331.6 332.6 333.4 333.4 333.4 333.4 333.4 333.6 333.6 333.8 333.8 333.8 333.8 333.8 334 334 334.2 334.2 334.2 334.2 341 341 341.2 341.2 341.4 341.6 341.6 341.6 341.6 341.6 341.6 341.6 341.6 341.6 341.6 344.6 345.2 345.4 347.2 348.2 348.6 349 350.2 351.2 351.6 352.2 352.6 353.4 353.6 353.8 353.8 353.8 354 354 354.2 354.2 354.2 354.2 354.4 354.4 354.4 354.4 354.4 354.4 354.4 354.6 354.8 354.8 354.8 355 355 355 355 355 355 355 355 355 355 355.2 355.2 355.2 355.2 355.2 355.2 355.6 355.6 355.6 356.8 357.2 358.4 358.6 359 359 359 359 359 359 359 359.6 359.6 360 360.6 360.6 360.6 360.6 360.6 360.6 360.6 360.6 360.6 360.6 360.6 360.6 361 361 361 361 361 361 361 361.2 361.2 361.2 361.2;351 354 355 356 357 358 358 358 359 359 359 359 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 361 362 362 362 362 362 362 362 362 362 362 362 368 368 368 368 404 409 411 413 416 421 424 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 426 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 427 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428 428;161 163 165 166 166 167 167 167 168 168 168 168 168 168 168 168 168 168 168 168 168 168 171 171 171 171 179 182 184 189 193 194 194 195 195 195 195 196 196 196 196 196 196 196 196 196 196 196 196 196 197 197 197 197 197 197 197 197 197 198 198 198 198 198 206 211 214 217 222 223 223 223 224 224 224 224 224 224 224 224 224 224 225 225 225 225 225 226 226 226 226 226 226 260 260 260 260 261 261 261 261 261 261 261 261 261 261 261 274 277 278 287 292 294 296 302 303 303 304 304 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 305 306 306 306 306 306 306 306 306 306 306 306 306 306 306 307 307 307 307 307 307 307 307 307 307 307 308 308 308 308 308 308 308 308 308 310 310 310 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311;65.6524180818955 65.84041312142567 65.34646126608541 65.4198746559484 65.65668282817828 65.65668282817828 65.65668282817828 65.63718458313092 65.69444420953724 65.65668282817828 65.76442807475786 65.63718458313092 65.95634920157421 65.95634920157421 66.06481665758257 66.06481665758257 66.06481665758257 66.06481665758257 66.06481665758257 66.06481665758257 66.06481665758257 66.06481665758257 65.28276954909312 65.15397148294184 65.15397148294184 65.15397148294184 63.23163765078364 61.96321489399981 60.726929775841626 59.121569667930835 57.79065668427726 57.01438414996693 57.01438414996693 56.66533331764669 56.66533331764669 56.66533331764669 56.568542494923804 56.31838065853811 56.411346376416155 56.411346376416155 56.411346376416155 56.411346376416155 56.411346376416155 56.411346376416155 56.411346376416155 56.31553959610082 56.31553959610082 56.31553959610082 56.31553959610082 56.65121357923412 56.402127619443576 56.402127619443576 56.402127619443576 56.402127619443576 56.402127619443576 56.402127619443576 56.402127619443576 56.402127619443576 56.402127619443576 56.356011214421486 58.372596310255034 58.08407699189168 58.08407699189168 58.08407699189168 68.93939367299367 67.19226145918888 66.46984278603342 66.72211027837773 63.19177161624763 66.76945409391934 67.69165384299603 68.03058135868015 68.253644591333 68.6457573343029 68.92778830051056 69.0785060637533 69.0785060637533 69.0785060637533 69.0785060637533 69.0785060637533 69.05244383799895 69.05244383799895 68.73543482076767 68.73543482076767 68.73543482076767 68.73543482076767 68.73543482076767 68.41929552399674 68.41929552399674 68.3941517967728 68.3941517967728 68.3941517967728 68.3941517967728 58.23401068104446 58.23401068104446 58.523157809537246 58.523157809537246 58.24637327765567 58.40068492749037 58.40068492749037 58.40068492749037 58.40068492749037 58.40068492749037 58.40068492749037 58.40068492749037 58.40068492749037 58.40068492749037 58.40068492749037 54.7452281025479 53.979255274596 53.72746039038138 51.545707871752036 50.40396809775992 49.962385851758526 49.52978901630815 48.28830086056042 47.72588396247889 47.563010838255394 47.207626502504866 47.068460777892454 46.675903847702834 46.62016730986709 46.567800033929025 46.567800033929025 46.567800033929025 46.51881339845203 46.51881339845203 46.82905081250313 46.82905081250313 46.82905081250313 46.82905081250313 46.97062912076014 46.97062912076014 46.97062912076014 46.97062912076014 46.97062912076014 46.97062912076014 46.97062912076014 46.76152264415692 46.71359545143148 46.71359545143148 46.71359545143148 46.51881339845203 46.51881339845203 46.51881339845203 46.51881339845203 46.51881339845203 46.51881339845203 46.51881339845203 46.51881339845203 46.51881339845203 46.51881339845203 46.3093942953263 46.3093942953263 46.3093942953263 46.3093942953263 46.3093942953263 46.3093942953263 46.21947641416982 46.21947641416982 46.21947641416982 46.032162669159916 45.997391230373054 45.74975409769981 46.05040716432375 46.18224767158914 46.18224767158914 46.18224767158914 46.18224767158914 46.18224767158914 46.18224767158914 46.18224767158914 45.53064901799666 45.53064901799666 45.32107677449864 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.679301695527876 44.60044842823893 44.60044842823893 44.60044842823893 44.60044842823893 44.60044842823893 44.60044842823893 44.60044842823893 44.602242096109926 44.602242096109926 44.602242096109926 44.602242096109926;44.90256117416912;"[[199,202,206,208,210,211,211,212,212,212,212,213,213,213,213,213,213,213,213,213,213,213,213,214,214,214,214,220,226,229,232,237,237,238,238,238,239,239,239,239,239,239,239,239,239,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,243,243,243,243,295,302,311,317,322,323,323,323,324,324,324,324,324,324,324,325,325,325,325,325,325,325,325,325,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,327,327,327,327,327,327,327,327,331,333,335,337,340,341,342,342,342,343,343,343,343,343,343,343,343,343,343,343,343,343,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,346,346,346,352,354,359,359,360,360,360,360,360,360,360,360,360,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,362,362,362,362],[277,279,282,285,287,288,288,289,289,289,290,290,290,290,291,291,291,291,291,291,291,291,291,291,291,291,292,292,292,292,292,292,292,292,292,292,292,292,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,296,296,296,296,296,296,296,296,297,336,363,366,368,375,381,384,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,390,390,390,390,390,390,390,390,390,390,390],[234,236,238,239,240,241,241,241,241,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,244,244,244,244,244,244,244,250,250,289,290,293,295,299,304,306,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311],[161,163,165,166,166,167,167,167,168,168,168,168,168,168,168,168,168,168,168,168,168,168,171,171,171,171,179,182,184,189,193,194,194,195,195,195,195,196,196,196,196,196,196,196,196,196,196,196,196,196,197,197,197,197,197,197,197,197,197,198,198,198,198,198,206,211,214,217,222,223,223,223,224,224,224,224,224,224,224,224,224,224,225,225,225,225,225,226,226,226,226,226,226,260,260,260,260,261,261,261,261,261,261,261,261,261,261,261,274,277,278,287,292,294,296,302,303,303,304,304,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,306,306,306,306,306,306,306,306,306,306,306,306,306,306,307,307,307,307,307,307,307,307,307,307,307,308,308,308,308,308,308,308,308,308,311,311,312,314,314,314,314,314,314,314,314,314,314,314,314,315,315,315,315,315,315,315,315,315,315,315],[351,354,355,356,357,358,358,358,359,359,359,359,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,362,362,362,362,362,362,362,362,362,362,362,368,368,368,368,404,409,411,413,416,421,424,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;45;45;45;0;5;98;98;98;551;594;527;566 527 530 538 594;200.8 211.4 217 217.6 218.2 218.8 221.6 221.8 221.8 222 222.2 222.4 222.4 222.6 222.6 222.6 222.6 222.6 224 229.6 230.2 230.6 231.4 233.6 241 267.2 291.6 293.4 301 332.8 337.4 348.8 350.4 351.2 353.8 377 377.8 378.2 378.2 378.2 378.2 378.2 378.2 378.6 378.6 378.6 378.8 378.8 379 379.2 379.2 379.2 379.2 379.2 379.2 379.4 379.4 379.4 379.4 379.8 379.8 379.8 380 380 380 380.2 380.2 380.4 392.4 403.2 405.2 419.6 428.2 437.8 440.4 454.6 463 463.6 463.8 463.8 463.8 464.8 467 468.6 469.6 474 487.8 489.4 491.2 492.4 492.8 493.2 493.2 493.2 493.2 494.6 495.8 496.8;382 385 387 388 389 390 390 390 390 390 390 391 391 391 391 391 391 391 391 391 392 392 392 392 392 392 392 392 393 393 393 412 418 421 422 422 423 423 423 423 423 423 423 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 424 456 510 515 519 530 564 565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 566 566 566 566 566 566 566 566;134 136 157 157 157 158 158 159 159 159 159 159 159 159 159 159 159 159 160 160 160 160 160 160 166 180 181 181 197 208 218 220 222 223 234 333 333 333 333 333 333 333 333 333 333 333 334 334 334 334 334 334 334 334 334 334 334 334 334 334 334 334 335 335 335 335 335 335 335 335 340 356 356 356 356 356 356 356 356 356 356 361 372 380 385 390 445 447 448 452 452 453 453 453 453 455 455 456;92.47356378987456 89.87235392488616 86.80092165409305 87.04159925001379 87.20412834264214 87.33017806004978 85.73820618604054 85.59065369536559 85.59065369536559 85.55933613580694 85.45735778737837 85.8501019218964 85.8501019218964 85.73820618604054 85.73820618604054 85.73820618604054 85.73820618604054 85.73820618604054 84.9517510119715 82.75892701092734 83.04793796356415 82.95444532995204 82.55083282438765 82.17688239401639 78.34794190021842 80.06847069852152 75.52641921870783 76.0278896195337 72.39613249338669 65.94664510041432 63.58804919165236 69.68328350472586 70.07025046337425 70.29196255618419 66.44516536212397 31.767908335299634 31.56200247132618 31.504920250652916 31.504920250652916 31.504920250652916 31.504920250652916 31.504920250652916 31.504920250652916 31.84713487898087 31.84713487898087 31.84713487898087 31.56200247132618 31.56200247132618 31.660701192487824 31.504920250652916 31.504920250652916 31.504920250652916 31.504920250652916 31.504920250652916 31.504920250652916 31.56326979259278 31.56326979259278 31.56326979259278 31.56326979259278 31.770426500127442 31.770426500127442 31.770426500127442 31.48332892182782 31.48332892182782 31.48332892182782 31.32666595729587 31.32666595729587 31.385346899468868 44.120743420753925 61.538280768965265 62.21061002755077 54.47054249775744 56.67944953861143 68.52853420291433 68.52911789889025 67.90758425978647 71.8971487612687 71.91272488231829 72.05386873721632 72.05386873721632 72.05386873721632 70.57024868880654 67.40029673525184 65.18466077230133 63.842305722772885 60.44501633716381 45.67012152381467 44.50887551938377 43.429943587345356 42.60798047314611 42.845769919561484 42.555375688624814 42.555375688624814 42.555375688624814 42.555375688624814 42.19289039636891 41.363752247589915 41.14073407220634;25.534290669607408;"[[382,385,387,388,389,390,390,390,390,390,390,391,391,391,391,391,391,391,391,391,392,392,392,392,392,392,392,392,393,393,393,393,393,393,393,393,393,394,394,394,394,394,394,394,394,394,394,394,395,395,395,395,395,395,395,395,395,395,395,397,397,397,397,397,397,397,397,397,456,510,515,519,530,564,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,566,566,566,566,566,566,566,566],[180,207,207,208,208,208,208,208,208,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,217,328,337,339,347,353,359,412,418,421,422,422,423,423,423,423,423,423,423,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,425,425,425,425,425,425,425,425,425,426,426,426,426,426,426,426,426,443,445,447,448,452,452,453,453,453,453,455,455,456],[136,136,161,162,163,164,178,178,178,178,179,179,179,179,179,179,179,179,179,180,180,180,183,183,202,205,316,322,330,331,331,332,332,332,333,333,333,333,333,333,333,333,333,333,333,333,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,335,335,335,335,335,335,335,335,340,403,423,432,440,456,456,457,457,457,457,457,457,457,457,457,457,458,458,459,459,459,459,459,459,461,465,466],[134,156,157,157,157,158,158,159,159,159,159,159,159,159,159,159,159,159,160,160,160,160,160,160,166,180,181,181,197,208,218,220,222,223,234,350,353,354,354,354,354,354,354,354,354,354,354,354,354,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,361,372,380,385,390,457,462,470,470,471,472,472,472,472,472,474,475],[172,173,173,173,174,174,174,174,174,174,174,174,174,175,175,175,175,175,181,208,210,212,213,224,228,231,232,233,238,379,386,387,387,387,387,387,387,387,387,387,387,387,387,388,388,388,388,388,388,388,388,388,388,388,388,389,389,389,389,389,389,389,389,389,389,389,389,390,390,390,390,395,407,412,416,471,513,514,515,515,515,515,515,515,515,515,515,515,515,516,516,516,516,516,516,519,519,521]]"
