name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;9143;false;1919 1961 1993 2037 8124 8133;51
interactive-discover-1;1;4;1548;false;733 1037 1041 1051;50
interactive-discover-1;2;1;901;false;623;43
interactive-discover-1;3;14;2601;false;448 602 605 606 608 608 613 617 619 633 634 639 639 859;30
interactive-discover-1;4;8;6445;false;888 910 937 1316 1330 1342 1354 1394;45
interactive-discover-2;0;66;8435;false;977 1001 1012 1029 1091 1122 3283 3321 3327 3352 3362 3395 3418 3433 3442 3473 3479 3493 3507 3542 3547 3574 3584 3603 3619 3641 3647 3685 3698 3715 3727 3769 3769 3798 3808 3837 3847 3868 3887 3892 3907 3938 3950 3970 3985 3996 4004 4037 4066 4108 4136 4153 4162 4187 4208 4225 4232 4248 4248 4261 4269 4302 4305 4318 8433 8433;52
interactive-discover-2;1;46;1593;false;374 410 427 442 911 923 969 1204 1240 1246 1292 1306 1344 1351 1362 1376 1410 1415 1441 1468 1487 1508 1536 1542 1566 1570 1582 1583 1587 1587 1588 1588 1589 1589 1591 1591 1591 1592 1592 1592 1592 1592 1592 1592 1593 1593;51
interactive-discover-2;2;32;1048;false;130 768 784 927 939 967 970 982 1002 1011 1018 1020 1023 1027 1030 1038 1039 1041 1042 1043 1043 1044 1044 1045 1045 1045 1046 1046 1046 1046 1047 1047;44
interactive-discover-2;3;198;3148;false;622 629 640 648 653 656 660 666 680 680 688 692 703 711 781 797 810 824 845 922 932 940 951 961 975 995 996 1057 1067 1073 1103 1103 1114 1120 1125 1131 1135 1139 1161 1167 1184 1189 1195 1198 1204 1207 1229 1239 1240 1243 1247 1252 1260 1267 1538 1542 1572 1593 1598 1599 1606 1610 1621 1632 1680 1681 1690 1695 1710 1715 1732 1732 1839 1845 1854 1859 1872 1873 1881 1884 1889 1893 1897 1898 1902 1905 1914 1919 1919 1933 1951 1956 1963 1964 1980 1984 1989 1993 1995 1999 2001 2006 2011 2011 2027 2030 2036 2040 2055 2338 2345 2348 2356 2368 2369 2373 2376 2385 2652 2657 2661 2666 2672 2681 2685 2685 2690 2693 2698 2701 2705 2706 2709 2718 2721 2726 2726 2731 2735 2738 2742 2746 2746 2754 2758 2761 2765 2768 2768 2772 2776 2787 2791 2791 2796 2799 2803 2807 2812 2812 2814 2819 2824 2830 2835 2835 2838 2852 2857 2860 2864 2864 2868 2871 2875 2878 2887 2887 2894 2905 2908 2920 2920 3031 3036 3134 3136 3136 3143 3144 3145 3145 3146 3147 3147 3147 3147 3147;31
interactive-discover-2;4;98;7628;false;911 942 962 991 997 1007 1023 1049 1077 1089 1095 1153 1168 1190 1230 1238 1265 1280 1294 1310 1331 1344 1350 1375 1391 1405 1421 1430 1449 1479 1501 1511 1528 1563 1566 1583 1598 1606 1640 1654 1664 1675 1696 1700 1736 1763 1777 1779 1793 1803 1836 1847 1876 1876 1903 1909 1923 1930 1968 1978 2001 2008 2044 2054 2107 2114 2149 2154 2168 2171 2193 2199 2243 2250 2265 2268 2291 2299 2331 2331 2361 2366 2390 2394 2421 2429 2448 2456 2477 2481 2518 2522 2549 2549 2578 2583 2608 2614;46
interactive-discover-3;0;0;120992;true;;
