name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;3349;false;2622 2670 2682 2695 2699 2711;51
interactive-discover-1;1;4;1990;false;1548 1560 1573 1595;50
interactive-discover-1;2;1;1107;false;791;43
interactive-discover-1;3;14;3500;false;1498 1511 1517 1543 1550 1562 1565 1589 1594 1607 1607 1620 1622 1637;30
interactive-discover-1;4;8;2320;false;1320 1339 1356 1363 1375 1379 1393 1411;45
interactive-discover-2;0;66;2598;false;1738 1738 1763 1772 1776 1795 1848 1848 1891 1906 1915 1919 1926 1930 1942 1944 1944 1952 1952 1967 1992 1992 2050 2070 2101 2116 2123 2128 2132 2134 2153 2242 2296 2313 2343 2361 2389 2501 2526 2571 2571 2572 2572 2573 2591 2592 2592 2592 2593 2593 2593 2594 2594 2594 2597 2597 2597 2597 2597 2597 2597 2597 2597 2597 2597 2597;52
interactive-discover-2;1;46;2082;false;1553 1606 1606 1656 1656 1697 1697 1717 1717 1761 1761 1806 1806 1821 1821 1868 1868 1905 1905 1953 1953 1996 1996 2033 2033 2059 2059 2064 2064 2066 2066 2068 2068 2069 2069 2070 2070 2079 2079 2081 2081 2082 2082 2082 2082 2082;51
interactive-discover-2;2;32;1454;false;823 1236 1291 1312 1322 1354 1385 1396 1411 1418 1424 1427 1432 1433 1440 1440 1440 1441 1441 1441 1442 1451 1452 1452 1452 1452 1452 1453 1453 1453 1453 1453;44
interactive-discover-2;3;198;4110;false;1686 1706 1715 1745 1748 1763 1782 1794 1803 1825 1830 1847 1873 1924 1929 1957 1965 1987 1996 2005 2022 2028 2035 2057 2065 2079 2084 2093 2101 2119 2131 2142 2145 2164 2170 2189 2196 2206 2212 2229 2237 2256 2267 2278 2281 2295 2302 2322 2329 2342 2347 2375 2383 2400 2416 2425 2428 2445 2452 2466 2473 2491 2495 2512 2519 2535 2544 2561 2564 2583 2589 2601 2608 2620 2625 2651 2658 2669 2683 2695 2698 2709 2715 2739 2750 2771 2775 2791 2802 2837 2854 2869 2878 2898 2908 2931 2938 2967 2972 2992 2999 3018 3031 3050 3058 3077 3091 3115 3127 3138 3148 3177 3184 3204 3213 3222 3226 3242 3249 3267 3274 3286 3291 3319 3330 3363 3384 3397 3402 3425 3438 3457 3466 3481 3489 3519 3526 3553 3561 3580 3584 3595 3603 3618 3625 3642 3647 3664 3672 3712 3725 3753 3771 3781 3788 3800 3807 3822 3827 3843 3849 3870 3878 3888 3897 3906 3915 3926 3938 3957 3961 3992 3998 4019 4026 4039 4043 4064 4069 4084 4085 4092 4097 4103 4104 4105 4105 4106 4106 4107 4107 4107 4108 4109 4109 4109 4109 4109;31
interactive-discover-2;4;98;3034;false;1790 1796 1810 1820 1823 1835 1850 1862 1888 1929 1937 1942 1962 1984 1988 1990 1991 1999 2001 2001 2002 2003 2017 2017 2049 2057 2062 2067 2071 2092 2104 2156 2156 2238 2282 2312 2335 2339 2357 2571 2581 2586 2608 2614 2622 2627 2627 2629 2631 2646 2646 2667 2675 2682 2682 2687 2691 2700 2700 2700 2702 2703 2703 2703 2705 2706 2711 2711 2711 2712 2712 2715 2715 2744 2744 2777 2785 2819 2819 2822 2832 2833 2833 3033 3033 3033 3033 3033 3033 3033 3033 3033 3033 3033 3034 3034 3034 3034;46
