name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;5126;false;1912 1920 1930 2186 5125 5126;97
interactive-discover-1;1;4;1608;false;341 364 388 388;50
interactive-discover-1;2;1;1391;false;223;43
interactive-discover-1;3;14;1766;false;383 459 460 460 478 482 482 488 489 490 493 494 495 549;30
interactive-discover-1;4;8;2870;false;623 629 629 883 886 894 896 933;45
interactive-discover-2;0;66;3034;false;873 882 883 887 918 923 984 1193 1200 1215 1242 1245 1256 1259 1265 1267 1284 1286 1292 1292 1304 1311 1336 1343 1354 1358 1362 1373 1376 1383 1389 1400 1403 1429 1446 1460 1472 1477 1483 1489 1498 1505 1514 1529 1538 1553 1571 1575 1588 1592 1618 1635 1647 1651 1662 1668 1694 1704 1719 1732 1741 1755 1762 1797 3033 3033;52
interactive-discover-2;1;46;786;false;300 320 322 322 627 654 655 726 759 759 761 762 762 763 765 766 770 770 773 774 775 776 777 778 779 780 781 781 782 782 782 782 783 783 783 784 784 784 785 785 785 785 786 786 786 786;51
interactive-discover-2;2;32;630;false;195 549 597 598 598 600 601 602 602 604 605 605 605 605 606 617 617 618 618 618 619 619 620 620 621 621 622 622 623 623 629 629;44
interactive-discover-2;3;198;1480;false;629 632 635 641 643 645 647 649 651 673 675 676 682 687 689 693 695 701 712 713 731 753 791 802 804 809 841 857 865 867 872 875 881 904 907 913 915 919 921 943 954 965 969 971 974 978 981 984 987 990 992 1006 1009 1015 1017 1026 1027 1030 1032 1035 1036 1046 1047 1068 1070 1077 1082 1086 1088 1091 1092 1096 1104 1107 1109 1112 1114 1115 1121 1126 1129 1137 1139 1155 1156 1158 1160 1162 1177 1182 1184 1192 1196 1209 1211 1217 1219 1223 1225 1229 1233 1245 1249 1255 1268 1273 1275 1277 1282 1288 1290 1304 1308 1324 1330 1333 1349 1353 1362 1378 1380 1382 1385 1390 1397 1402 1403 1409 1412 1412 1415 1417 1428 1428 1429 1443 1443 1446 1446 1446 1453 1454 1455 1455 1456 1456 1457 1458 1459 1461 1462 1462 1463 1463 1463 1463 1464 1464 1465 1465 1466 1466 1467 1467 1469 1469 1469 1471 1471 1471 1472 1472 1473 1473 1474 1474 1474 1475 1475 1475 1475 1475 1476 1476 1476 1477 1477 1478 1478 1478 1478 1478 1479 1479 1479 1479 1479 1479;31
interactive-discover-2;4;98;2324;false;674 676 679 684 686 695 700 723 726 735 738 741 743 756 762 783 791 806 857 858 864 892 894 896 898 903 906 910 912 924 930 935 938 941 946 954 960 968 972 984 987 992 998 1000 1007 1013 1020 1025 1028 1035 1041 1064 1066 1084 1085 1091 1107 1115 1122 1130 1143 1156 1161 1167 1179 1183 1186 1198 1206 1220 1221 1229 1237 1247 1253 1260 1265 1274 1278 1290 1294 1344 1352 1360 1366 1376 1390 1409 1418 1434 1442 1453 1458 1469 1474 1478 1501 1509;46
interactive-discover-3;0;71;3752;false;3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3747 3748 3748 3748 3748 3748 3748 3748 3748 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3750 3751 3751 3751 3751 3751 3751 3751;178
interactive-discover-3;1;67;1987;false;1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1985 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1987 1987 1987 1987 1987 1987 1987;179
interactive-discover-3;2;55;1439;false;1437 1437 1437 1437 1437 1437 1437 1437 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 1013 1013 1013 558 558 558 558 558 558 558;128
interactive-discover-3;3;203;4385;false;4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4368 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4370 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4371 4380 4380 4380 4380 4380 4380 4380 4380 4380 4380 4380 4380 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4382 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 4384 3120 3120 3120 3120 3120 3120 3120;237
interactive-discover-3;4;142;3623;false;3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3618 3621 3621 3621 3621 3621 3621 3621 3621 3621 3621 3621 3621 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3086 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3087 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088 3088;197
interactive-discover-4;0;5;3023;false;3022 3022 3022 3022 3022;68
interactive-discover-4;1;3;734;false;733 733 733;55
interactive-discover-4;2;3;534;false;534 534 534;48
interactive-discover-4;3;3;1000;false;999 999 999;36
interactive-discover-4;4;7;2216;false;2216 2216 2216 2216 2216 2216 2216;66
interactive-discover-5;0;15;926;false;391 403 410 410 418 475 709 716 728 733 735 744 854 906 926;52
interactive-discover-5;1;3;531;false;158 459 524;51
interactive-discover-5;2;3;449;false;135 444 446;44
interactive-discover-5;3;4;545;false;129 208 271 284;31
interactive-discover-5;4;20;856;false;305 313 330 401 505 512 517 648 651 678 680 683 687 713 719 722 729 788 813 852;46
interactive-discover-6;0;6;124490;true;54976 81358 36854 38125 38640 38740;
interactive-discover-6;1;1;1658;false;1264;94
interactive-discover-6;2;1;656;false;379;44
interactive-discover-6;3;2;126394;true;22575 66868;
interactive-discover-6;4;27;10166;false;2862 3087 4021 4096 4682 5427 5623 6142 6685 6837 6969 6969 7071 7398 7868 7966 8475 8705 9255 9686 9799 9940 10003 10097 10126 10153 10165;92
interactive-discover-7;0;1;136211;true;3903;
interactive-discover-7;1;1;1383;false;990;87
interactive-discover-7;2;1;737;false;254;44
interactive-discover-7;3;2;123977;true;25695 10176;
interactive-discover-7;4;1;5076;false;2042;92
interactive-short-1;0;1;740;false;719;53
interactive-short-1;1;1;581;false;581;52
interactive-short-1;2;1;461;false;461;45
interactive-short-1;3;1;482;false;478;32
interactive-short-1;4;1;728;false;712;47
interactive-short-2;0;10;3062;false;2948 2948 2949 2949 3007 3007 3007 3007 3061 3061;6
interactive-short-2;1;0;141;false;;6
interactive-short-2;2;0;110;false;;6
interactive-short-2;3;0;116;false;;6
interactive-short-2;4;10;2277;false;2136 2196 2196 2196 2204 2226 2226 2226 2243 2276;6
interactive-short-3;0;0;126693;true;;
interactive-short-3;1;0;119746;true;;
interactive-short-3;2;0;124759;true;;
interactive-short-3;3;0;121982;true;;
interactive-short-3;4;0;127047;true;;
interactive-short-4;0;1;202;false;192;1
interactive-short-4;1;1;69;false;69;1
interactive-short-4;2;1;559;false;32;50
interactive-short-4;3;1;812;false;19;18
interactive-short-4;4;1;1;false;0;1
interactive-short-5;0;1;7387;false;7385;266
interactive-short-5;1;1;6732;false;6731;557
interactive-short-5;2;1;19223;false;19222;2287
interactive-short-5;3;1;311;false;311;24
interactive-short-5;4;1;2274;false;2274;239
interactive-short-6;0;0;6;false;;2
interactive-short-6;1;0;18;false;;2
interactive-short-6;2;0;7535;false;;211
interactive-short-6;3;0;31;false;;3
interactive-short-6;4;0;4307;false;;126
interactive-short-7;0;0;128104;true;;
interactive-short-7;1;0;126886;true;;
interactive-short-7;2;0;127023;true;;
interactive-short-7;3;0;135765;true;;
interactive-short-7;4;0;131835;true;;
