name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;36027;false;10511 10852 11310 11665 13759 13886;51
interactive-discover-1;1;4;57990;true;26338 27288 27697 28051;50
interactive-discover-1;2;1;1856;false;750;43
interactive-discover-1;3;14;3460;false;527 531 539 551 553 556 561 586 588 589 592 595 608 1386;30
interactive-discover-1;4;8;4231;false;943 988 1034 1056 1063 1237 1238 1279;45
interactive-discover-2;0;66;9899;false;1069 1083 1276 1300 1319 1454 1485 1544 6102 6110 6363 6401 6420 6478 8596 8608 8649 8674 8698 8715 8726 8737 8747 8765 8785 8814 8828 8852 8865 8884 8901 8927 8972 9002 9027 9042 9060 9087 9110 9135 9149 9154 9169 9192 9241 9280 9284 9292 9304 9322 9338 9350 9361 9373 9391 9417 9427 9442 9462 9477 9495 9500 9540 9557 9578 9595;52
interactive-discover-2;1;46;2019;false;310 352 611 618 1193 1193 1207 1231 1247 1253 1509 1737 1779 1853 1860 1872 1890 1907 1922 1943 1953 1961 1968 1981 1992 1999 2001 2006 2008 2010 2011 2012 2012 2013 2013 2014 2015 2015 2016 2016 2016 2017 2018 2018 2018 2018;51
interactive-discover-2;2;32;1199;false;201 839 866 884 905 918 942 954 969 972 981 993 995 1187 1188 1188 1188 1189 1192 1192 1192 1193 1193 1193 1194 1194 1194 1199 1199 1199 1199 1199;44
interactive-discover-2;3;198;3668;false;233 527 534 560 569 632 646 651 656 660 664 671 685 750 784 793 801 818 875 914 921 926 941 956 965 973 1411 1424 1434 1454 1462 1466 1488 1499 1510 1529 1838 1854 1865 1878 1890 1905 1914 1919 1933 1949 1961 1977 1981 1994 2031 2043 2049 2080 2080 2097 2104 2116 2124 2142 2153 2161 2168 2190 2198 2213 2213 2225 2236 2252 2263 2284 2288 2301 2307 2330 2339 2362 2369 2381 2389 2403 2410 2423 2423 2438 2444 2458 2470 2488 2491 2503 2510 2522 2529 2547 2547 2564 2574 2589 2596 2609 2613 2622 2630 2637 2654 2676 2676 2698 2728 2762 2769 2797 2800 2811 2819 2838 2845 2872 2877 2889 2900 2912 2919 2961 2961 2975 2989 3007 3017 3040 3044 3051 3059 3065 3071 3082 3082 3093 3111 3144 3151 3164 3170 3179 3196 3201 3227 3239 3242 3259 3265 3274 3285 3304 3319 3374 3399 3412 3445 3457 3469 3476 3492 3518 3526 3541 3543 3556 3567 3574 3588 3602 3615 3628 3640 3644 3647 3650 3654 3657 3659 3659 3661 3662 3663 3664 3664 3665 3665 3666 3666 3666 3667 3667 3667 3667;31
interactive-discover-2;4;98;6539;false;1277 1313 1323 1337 1357 1508 1530 1554 1600 1605 1617 1623 5115 5131 5143 5177 5178 5190 5197 5224 5244 5261 5269 5294 5306 5341 5343 5355 5360 5383 5398 5436 5442 5477 5481 5496 5501 5564 5569 5608 5618 5634 5634 5660 5662 5696 5697 5715 5715 5754 5761 5795 5795 5818 5822 5884 5887 5906 5906 5937 5952 5964 5978 6003 6008 6061 6062 6080 6081 6139 6145 6178 6178 6204 6206 6226 6228 6233 6233 6239 6239 6271 6271 6282 6282 6300 6300 6316 6316 6329 6329 6359 6359 6386 6386 6406 6406 6434;46
