name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;1845;false;1000 1006 1012 1014 1035 1111;97
interactive-discover-1;1;4;971;false;321 326 326 326;50
interactive-discover-1;2;2;715;false;154 83;43
interactive-discover-1;3;14;1695;false;664 949 951 954 956 963 963 966 966 970 973 991 995 1001;30
interactive-discover-1;4;8;1160;false;784 785 789 790 791 794 795 797;45
interactive-discover-2;0;66;1903;false;810 825 827 835 847 856 859 935 938 940 958 961 980 982 983 997 997 1014 1053 1055 1060 1062 1063 1064 1067 1071 1073 1075 1091 1111 1112 1122 1124 1125 1127 1128 1130 1147 1154 1155 1158 1161 1168 1169 1187 1187 1191 1192 1207 1207 1209 1210 1233 1237 1239 1244 1245 1248 1248 1266 1268 1269 1276 1277 1864 1866;52
interactive-discover-2;1;46;913;false;254 445 473 473 669 815 817 857 859 860 860 861 877 878 878 879 881 883 884 886 886 888 888 889 889 890 890 892 892 908 908 909 909 910 910 910 910 910 911 911 911 911 912 912 912 912;51
interactive-discover-2;2;32;717;false;123 540 670 674 675 695 697 698 699 699 700 701 702 702 708 709 710 710 710 713 713 713 715 715 715 715 716 716 716 716 717 717;44
interactive-discover-2;3;198;1593;false;418 577 580 582 585 590 592 602 604 610 613 630 683 689 691 781 783 796 799 821 837 844 850 857 862 867 875 879 883 887 888 908 910 914 917 944 946 948 954 955 960 965 970 973 978 980 982 987 988 990 1006 1009 1011 1014 1028 1032 1052 1060 1066 1078 1084 1097 1098 1107 1110 1112 1113 1137 1139 1141 1145 1168 1174 1200 1202 1211 1216 1220 1240 1242 1245 1260 1264 1266 1282 1287 1288 1290 1297 1300 1311 1318 1323 1340 1343 1346 1346 1347 1365 1367 1372 1372 1381 1384 1389 1393 1398 1416 1431 1434 1439 1440 1461 1462 1463 1463 1468 1471 1479 1480 1484 1489 1511 1513 1514 1516 1537 1539 1539 1551 1555 1555 1556 1558 1558 1563 1563 1565 1565 1566 1567 1567 1568 1569 1570 1570 1571 1571 1573 1574 1574 1576 1576 1577 1577 1578 1579 1579 1580 1580 1581 1581 1582 1582 1582 1583 1583 1584 1584 1585 1585 1585 1585 1586 1586 1586 1587 1587 1587 1588 1588 1588 1588 1589 1589 1591 1591 1591 1591 1591 1591 1592 1592 1592 1592 1592 1592 1592;31
interactive-discover-2;4;98;2123;false;572 638 640 667 692 703 772 773 776 779 784 787 819 824 824 848 852 862 864 867 870 872 889 892 895 899 903 905 906 911 916 919 943 968 973 988 1011 1015 1018 1027 1045 1054 1078 1086 1089 1093 1100 1102 1105 1109 1123 1124 1138 1143 1149 1150 1189 1191 1193 1196 1208 1223 1226 1230 1238 1244 1250 1252 1255 1258 1268 1273 1279 1282 1290 1293 1296 1304 1309 1330 1331 1351 1353 1363 1370 1391 1412 1422 1428 1436 1442 1451 1455 1460 1480 1489 1505 1513;46
interactive-discover-3;0;71;2271;false;2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2270 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271 2271;178
interactive-discover-3;1;67;2152;false;2134 2134 2134 2134 2134 2134 2134 2134 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 2152 1480 1480 1480 1480 1480 1480 1480 763 763;179
interactive-discover-3;2;55;1625;false;1623 1623 1623 1623 1623 1623 1623 1623 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1624 1625 1625 1625 1625 1625 1143 1143 1143 1143 1143 1143 1143 1143 1143;128
