name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;40649;false;9364 9470 9575 9707 34604 34675;51
interactive-discover-1;1;4;15549;false;8640 8717 8922 9085;50
interactive-discover-1;2;1;14415;false;9430;43
interactive-discover-1;3;14;24342;false;6806 6809 6887 6989 6992 7018 7020 7064 7065 7097 7102 7217 7217 7265;30
interactive-discover-1;4;8;33705;false;6562 6652 6688 7781 8405 8657 8681 8825;45
interactive-discover-2;0;66;38025;false;4173 4184 4211 4216 4225 4249 4255 4281 6570 6610 6617 6626 6635 6651 6659 6666 6671 6702 6704 6710 6715 6724 6738 6750 6752 6758 6762 6805 6812 6833 6835 6838 6842 6842 6844 6845 6892 6898 6909 6914 6915 6917 6922 6923 6933 6934 6941 6944 6945 6946 6946 6949 6953 6955 6958 6959 6963 6964 6966 6966 17047 17185 17312 17444 38022 38022;52
interactive-discover-2;1;46;17815;false;9177 9207 9225 9248 16328 16330 16345 16350 16352 16356 16358 16360 16362 16372 16379 16391 16397 16406 16408 16412 16419 16426 16428 16430 16430 16441 16587 16591 16655 16671 16679 16685 16743 16810 17070 17070 17236 17238 17285 17288 17305 17312 17318 17318 8919 8943;51
interactive-discover-2;2;32;12878;false;5419 12767 12845 12846 12846 12846 12854 12854 12857 12857 12858 12859 12859 12868 12868 12870 12870 12872 12873 12874 12874 12876 12876 12876 12877 12877 12877 12877 12878 12878 12878 12878;44
interactive-discover-2;3;198;21965;false;5284 5311 5319 5323 5324 5329 5335 5339 5341 5342 5342 5347 5350 5367 5367 5391 12217 12326 12357 12393 12735 12934 13093 13213 13235 13287 13334 13365 13442 13486 13532 13565 13605 13655 13784 13811 13836 13876 13910 14144 14151 14210 14231 14728 14799 14843 14917 14980 15095 15360 15365 15422 15426 15488 15489 15518 15518 15628 15628 15649 15740 15778 15809 15964 16015 16152 16153 16227 16246 16334 16341 16431 16561 16904 17009 17065 17198 17282 17426 17500 17570 17689 17782 17808 17838 17913 17954 17956 17984 17988 18007 18015 18044 18058 18086 18178 18323 18353 18414 18470 18561 18599 18609 18650 18675 18745 18775 18978 18996 19019 19064 19082 19095 19101 19119 19122 19132 19143 19161 19162 19179 19291 19314 19368 19419 19446 19473 19515 19618 19641 19674 19699 19706 19769 19784 19801 19847 20045 20048 20271 20484 20510 21156 21173 21217 21237 21316 21369 21372 21483 21621 21651 21665 21671 21708 21762 21796 21807 21835 21842 21851 21852 21868 21877 21877 21877 21884 21884 21886 21888 21889 21890 21909 21912 21912 21915 21917 21919 21919 21920 21920 21922 21923 21924 21926 21927 21928 21929 21931 21933 21936 21938 21939 21940 21945 21951 21953 21964;31
interactive-discover-2;4;98;39823;false;5136 5203 5251 5259 5331 5449 5497 5595 5704 5751 5917 5957 6299 6328 6650 6706 6973 6999 7105 7120 7147 7162 7207 7223 7273 7361 7426 7459 7526 7545 7582 7598 7625 7630 7733 7785 7809 7844 7892 7898 7937 7938 8184 8186 8206 8208 8259 8304 8390 8402 8439 8453 8658 8678 9223 9923 10133 10462 11460 11501 11501 11693 11873 12109 12240 12301 12344 12529 12686 12723 12783 13314 13388 13418 13454 13479 13499 13513 13552 13584 13649 13785 13846 13857 13877 13942 14097 14101 14197 14197 14229 14230 14240 14243 14267 14306 14556 14852;46
interactive-discover-3;0;71;78732;true;1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1976 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 1977;178
interactive-discover-3;1;67;3933;false;3931 3931 3931 3931 3931 3931 3931 3931 3931 3931 3931 3931 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932 3932;179
interactive-discover-3;2;55;12673;false;12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672 12672;128
interactive-discover-3;3;203;10506;false;10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10498 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10499 10501 10501 10501 10501 10501 10501 10501 10501 10502 10502 10502 10502 10502 10502 10502 10502 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10504 10505 10505 10505 10505 10505 10505 10505 10505 10505 10505 10505 10505;237
interactive-discover-3;4;142;62483;false;62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62476 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62477 62479 62479 62479 62479 62479 62479 62479 62479 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62481 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62482 62483 62483;197
interactive-discover-4;0;5;9828;false;9827 9827 9827 9827 9828;68
interactive-discover-4;1;3;1590;false;1590 1590 1590;55
interactive-discover-4;2;3;1106;false;1102 1102 1102;48
interactive-discover-4;3;3;3090;false;3090 3090 3090;36
interactive-discover-4;4;7;7711;false;7710 7710 7710 7710 7710 7710 7710;66
interactive-discover-5;0;15;2005;false;347 362 1410 1414 1419 1456 1772 1772 1772 1773 1773 1815 1893 1982 2005;52
interactive-discover-5;1;3;723;false;242 611 670;51
interactive-discover-5;2;3;535;false;107 518 530;44
interactive-discover-5;3;4;791;false;186 288 317 319;31
interactive-discover-5;4;20;1785;false;300 368 1333 1333 1335 1335 1336 1338 1338 1644 1647 1647 1647 1784 1784 1785 1785 1785 1785 1785;46
interactive-discover-6;0;17;121606;true;3744 3744 6895 6895 12523 12792 15667 22340 30570 31783 40887 43761 54463 65753 84718 107183 73513;
interactive-discover-6;1;1;2116;false;1370;51
interactive-discover-6;2;1;747;false;348;44
interactive-discover-6;3;0;120563;true;;
interactive-discover-6;4;27;5425;false;2005 2005 2022 2328 2366 2641 2759 2876 3163 3405 3410 3416 3418 3530 3695 3900 4130 4369 4731 4741 4907 4930 4956 5239 5414 5417 5424;46
interactive-discover-7;0;1;120607;true;5649;
interactive-discover-7;1;1;1859;false;1529;51
interactive-discover-7;2;1;879;false;334;44
interactive-discover-7;3;1;121234;true;11952;
interactive-discover-7;4;1;10097;false;2830;46
interactive-discover-8;0;10;18408;false;12269 12269 13216 13516 14118 14729 16881 17137 17673 17894;315
interactive-discover-8;1;10;19661;false;15228 15228 16404 16404 16836 16836 17504 17504 19004 19004;276
interactive-discover-8;2;5;55019;true;20432 20518 21634 24480 27537;
interactive-discover-8;3;10;22645;false;14912 14912 17120 17120 18593 18593 20282 20524 21353 21886;495
interactive-discover-8;4;10;22927;false;10425 11623 17001 17001 19720 19720 20996 21265 21962 22514;565
interactive-short-1;0;1;327;false;15;7
interactive-short-1;1;0;209;false;;56
interactive-short-1;2;1;138;false;14;49
interactive-short-1;3;0;166;false;;41
interactive-short-1;4;0;186;false;;45
interactive-short-2;0;0;119069;true;;
interactive-short-2;1;1;119873;true;39002;
interactive-short-2;2;0;119956;true;;
interactive-short-2;3;0;120198;true;;
interactive-short-2;4;0;119377;true;;
interactive-short-3;0;0;309;false;;9
interactive-short-3;1;0;371;false;;157
interactive-short-3;2;0;740;false;;251
interactive-short-3;3;0;1204;false;;696
interactive-short-3;4;0;720;false;;651
interactive-short-4;0;0;984;false;;95
interactive-short-4;1;0;453;false;;26
interactive-short-4;2;0;767;false;;44
interactive-short-4;3;0;602;false;;97
interactive-short-4;4;0;1085;false;;268
interactive-short-5;0;0;711;false;;262
interactive-short-5;1;0;700;false;;72
interactive-short-5;2;0;507;false;;57
interactive-short-5;3;0;292;false;;124
interactive-short-5;4;0;924;false;;263
interactive-short-6;0;1;119074;true;30359;
interactive-short-6;1;0;120058;true;;
interactive-short-6;2;0;121160;true;;
interactive-short-6;3;0;119839;true;;
interactive-short-6;4;0;123491;true;;
interactive-short-7;0;0;501;false;;19
interactive-short-7;1;0;283;false;;12
interactive-short-7;2;0;609;false;;122
interactive-short-7;3;0;358;false;;81
interactive-short-7;4;0;578;false;;29
