name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;29669;false;9305 9443 9691 9993 22942 23129;51
interactive-discover-1;1;4;25182;false;6025 6026 6028 6501;50
interactive-discover-1;2;1;18614;false;6856;43
interactive-discover-1;3;14;25019;false;5715 5726 5731 5736 5790 5841 5852 5862 5880 6185 6185 6195 6195 6199;30
interactive-discover-1;4;8;36618;false;8837 8872 8960 8977 8996 9011 9027 9117;45
interactive-discover-2;0;66;47152;false;4184 4212 4229 4241 4268 4275 4283 4295 4328 4334 4337 4341 4353 4359 4363 4363 4366 4375 4378 4397 4403 4408 4410 4413 4427 4431 4445 4445 4448 4451 4474 4478 4511 4545 4560 4569 4584 4633 4637 4643 4653 4665 4667 4672 4678 4681 4739 4748 4750 4757 4766 4777 4780 4782 4783 4786 4788 4789 4790 4792 6667 6678 6730 6759 41940 41962;52
interactive-discover-2;1;46;20225;false;5954 5980 5981 5981 15608 15751 15795 16107 16160 16386 16563 16604 16772 16861 17234 17416 17561 17570 17651 19326 19411 19438 19484 19555 19612 19709 19726 19765 19778 19789 19821 19832 20013 20073 20073 20091 20144 20175 20175 20179 20187 20188 20192 20192 20199 20200;51
interactive-discover-2;2;32;11681;false;6165 10971 11124 11164 11219 11243 11299 11302 11484 11510 11525 11525 11563 11582 11603 11603 11608 11610 11616 11616 11620 11620 11634 11635 11650 11663 11674 11674 11674 11681 11681 6696;44
interactive-discover-2;3;198;25850;false;4833 7518 7518 7530 7602 7611 7611 7631 7644 7662 7662 7674 7682 7702 7715 7753 9402 9437 9466 9492 9510 9521 9592 9606 9644 9694 9720 9735 9745 9757 9771 9930 9955 10403 10432 10612 10635 10852 10890 10964 11002 11115 11148 11206 11229 11265 11274 11298 11330 11355 11363 11375 11412 11482 11491 11529 11538 11555 11569 11649 11665 11702 11721 11754 11766 11806 11828 11836 11899 11936 11960 11975 12019 12033 12106 12156 12415 12658 12700 15964 16172 16182 16240 16269 16310 16310 16344 16370 16395 16401 16418 16451 16479 16537 16621 16647 16726 16747 16854 16902 16969 17222 17259 17338 17360 17454 17474 17614 17649 17671 17753 17789 17821 17880 18038 18087 18134 18152 18178 18213 18236 18290 18304 18321 18342 18363 18432 18451 18508 18520 18880 18920 19005 19048 21414 21635 21657 21679 21718 21733 22037 22079 22226 22290 22428 22450 22562 22592 22606 22632 22737 22777 22900 23060 23076 23159 23230 23276 23518 23781 23808 23835 23953 23993 24217 24304 24368 24493 24597 24712 24745 24749 24827 25183 25591 25641 25709 25729 25750 25753 25760 25778 25783 25804 25804 25811 25821 25821 25823 25826 25827 25835 25835 25837 25840 25840 25842 25842;31
interactive-discover-2;4;98;29719;false;4163 4296 4408 4451 4649 4816 4953 5022 5094 5136 5154 5215 5246 5273 5285 5315 5336 5361 5382 5406 5429 5496 5536 5544 5559 5583 5585 5593 5600 5612 5621 5661 5673 5700 5750 5805 5807 5849 5883 5925 5928 5960 5966 6008 6030 6057 6065 6099 6102 6119 6120 6133 6137 6156 6156 6189 6197 6236 6243 6279 6302 6342 6357 6405 6442 6478 6489 6503 6506 6538 6551 6568 6568 6583 6594 6611 6613 6637 6709 6721 6724 6732 6739 6759 6759 6771 6771 6776 6784 6797 6799 6819 6858 6868 6905 6948 7021 8019;46
interactive-discover-3;0;71;46884;false;46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46882 46883 46883 46883 46883 46883 46883 46883 46883 46883 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884 46884;178
interactive-discover-3;1;0;116583;true;;
interactive-discover-3;2;55;52861;false;52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52859 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860 52860;128
interactive-discover-3;3;0;120652;true;;
