name;id;results;time;error;timestamps;httpRequests
interactive-discover-1;0;6;24332;false;4606 4665 4926 4971 11338 11369;51
interactive-discover-1;1;4;13851;false;11744 11747 7055 7056;50
interactive-discover-1;2;1;11054;false;10752;43
interactive-discover-1;3;14;19737;false;5513 5534 5573 5605 5609 5614 5627 5627 5647 5652 5657 5657 5660 5717;30
interactive-discover-1;4;8;34611;false;8213 8263 8320 8483 8534 8612 8726 8763;45
interactive-discover-2;0;66;47114;false;3437 3495 3513 3524 3533 3544 3551 3566 3579 3596 3605 3711 3711 3791 3796 3877 3883 3951 3971 4010 4053 4078 4078 4088 4105 4112 4118 4123 4128 4162 4167 4185 4193 4203 4205 4209 4210 4211 4215 4216 4216 4220 4223 4278 4278 4299 4303 4319 4321 4340 4342 4351 4352 4371 4371 4406 4406 4413 4414 4427 9734 9874 10051 10226 44201 44261;52
interactive-discover-2;1;46;17161;false;8587 8644 8666 8729 13844 13844 13850 13864 13865 13866 13866 13867 13868 13886 17116 17117 17118 17119 17120 17120 17122 17123 17124 17125 17126 17126 17128 17128 17130 17130 17131 17132 17134 17135 17137 17137 17138 17138 17143 17143 17143 17156 17156 17156 17156 17160;51
interactive-discover-2;2;32;12892;false;3784 11355 11373 11376 11376 11379 11379 11381 11381 11383 11394 11400 11403 11403 11403 11404 11404 11412 11412 11417 11417 11423 11423 11426 11426 11467 11467 11588 11588 11636 11689 11689;44
interactive-discover-2;3;198;24776;false;6377 6428 6461 6488 6491 6498 6507 6525 6527 6537 6563 6581 6606 6615 6709 6725 8760 8797 8804 8814 8834 8875 8904 8920 8969 8992 9019 9035 9048 9093 9108 9146 9159 9179 9223 9237 9259 9276 9281 9293 9310 9337 9350 9361 9380 9399 9430 9441 9462 9476 9492 9516 9625 9643 9855 9907 10301 10323 10552 10570 10638 10668 10769 10776 10841 10857 11039 11053 11065 11174 11256 11401 11454 11503 11744 11795 11886 11919 11922 11939 11953 11959 11980 12033 12098 12117 12181 12218 12301 12441 12491 12498 12504 12583 12804 12957 12967 13127 13129 13232 16558 16638 16669 16813 16814 16848 16864 16897 16909 16994 17001 17149 17165 17266 17267 17491 17505 17664 17711 17875 17884 17936 17942 17996 18017 18119 18134 18195 18215 18582 18982 19463 24483 24491 24506 24510 24565 24579 24582 24584 24591 24599 24619 24619 24631 24636 24638 24646 24646 24649 24653 24663 24665 24667 24669 24675 24675 24681 24681 24686 24686 24688 24688 24689 24690 24698 24704 24704 24705 24706 24707 24709 24709 24709 24710 24710 24710 24711 24711 24711 24715 24762 24762 24774 24774 24774 24774 24774 24774 24775 24775 24775 24775 24775 24775 24776 24776 24776;31
interactive-discover-2;4;98;53422;false;2656 2671 2695 2706 2707 2711 2722 2753 2765 2766 2780 2843 2845 2864 2866 2893 2900 2912 2912 2935 2949 2974 2987 3006 3036 3046 3056 3072 3084 3103 3104 3107 3161 3182 3188 3195 3201 3213 4020 4869 4870 5116 5550 5851 6100 6616 6712 6797 6835 6904 6931 6932 6949 6965 6980 7012 7026 7136 7145 7267 7281 7298 7303 7331 7333 7350 7352 7394 7408 7453 7460 7490 7495 7503 7504 7567 7573 8069 8073 8279 8285 8345 8353 8600 8608 8639 8639 8670 8672 8734 13160 13512 13765 14136 14527 14559 14703 14801;46
interactive-discover-3;0;71;38680;false;38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38679 38680 38680 38680 38680 38680 38680 38680 38680 38680 38680 38680 38680 23302 23302 23302;178
interactive-discover-3;1;67;60230;true;21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21484 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 21485 7958 7958 7958;179
interactive-discover-3;2;55;25073;false;25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25071 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072 25072;128
interactive-discover-3;3;203;42763;false;42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42746 42756 42756 42756 42756 42757 42757 42757 42757 42757 42757 42757 42757 42757 42757 42757 42757 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42758 42759 42759 42759 42759 42759 42759 42759 42759 42759 42759 42759 42759 42759 42759 42759 42759 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42760 42762 42762 42762 42762 42762 42762 42762 42762 42762 42762 42762 42762 42762 42762 42762 42762 42763 42763 42763 42763 42763 42763 42763 42763 42763 42763 19461;237
interactive-discover-3;4;142;37403;false;37391 37391 37391 37391 37391 37391 37391 37391 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37395 37396 37396 37396 37396 37396 37396 37396 37396 37396 37396 37396 37396 37396 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37397 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37399 37400 37400 37400 37400 37400 37400 37400 37400 37400 37400 37400 37400 37400 37400 37400 37400 37403 37403;197
interactive-discover-4;0;5;45523;false;45523 45523 45523 45523 45523;68
interactive-discover-4;1;3;11507;false;11507 11507 11507;55
interactive-discover-4;2;3;9184;false;9183 9183 9183;48
interactive-discover-4;3;3;16429;false;16429 16429 16429;36
interactive-discover-4;4;7;38160;false;38160 38160 38160 38160 38160 38160 38160;66
interactive-discover-5;0;15;6242;false;1180 1208 1208 1216 1246 2259 3047 3077 3077 3080 3082 3084 3341 3646 3704;52
interactive-discover-5;1;3;3914;false;2404 3698 3851;51
interactive-discover-5;2;3;3094;false;915 2153 2170;44
interactive-discover-5;3;4;5504;false;2013 2049 2427 2427;31
interactive-discover-5;4;20;7447;false;1299 1311 1443 2576 2602 2723 3673 3873 4036 4161 5131 5201 5478 6884 6943 6968 6975 7215 7216 7392;46
interactive-discover-6;0;0;120599;true;;
interactive-discover-6;1;1;2016;false;1067;51
interactive-discover-6;2;1;896;false;708;44
interactive-discover-6;3;0;87373;true;;
interactive-discover-6;4;27;8161;false;2095 2844 3113 3140 3297 3617 4211 4402 4672 4729 4791 4800 4861 5058 5260 5308 6409 6429 6658 6839 6985 7228 7344 7605 7677 7736 7754;46
interactive-discover-7;0;1;121823;true;9162;
interactive-discover-7;1;1;2368;false;1949;51
interactive-discover-7;2;1;1055;false;600;44
interactive-discover-7;3;1;86745;true;8294;1031
interactive-discover-7;4;1;12255;false;2496;46
interactive-discover-8;0;10;34541;false;10088 10535 11221 11510 14552 16100 16708 29611 31663 33884;364
interactive-discover-8;1;10;29190;false;7365 15816 15955 18159 18159 18899 26938 27913 28515 28749;986
interactive-discover-8;2;8;106233;true;13394 17680 45975 45975 47373 47373 48872 63335;
interactive-discover-8;3;10;43203;false;32770 32975 33939 34360 35533 36690 37895 38846 40853 42790;358
interactive-discover-8;4;10;109034;true;31635 35218 60927 61991 67826 75796 54153 55613 57076 69177;1327
interactive-short-1;0;1;2815;false;1294;496
interactive-short-1;1;1;2250;false;1449;348
interactive-short-1;2;1;1739;false;1314;332
interactive-short-1;3;1;1707;false;1359;387
interactive-short-1;4;1;2599;false;1271;608
interactive-short-2;0;0;119949;true;;
interactive-short-2;1;0;119899;true;;
interactive-short-2;2;0;120373;true;;
interactive-short-2;3;0;120285;true;;
interactive-short-2;4;0;121089;true;;
interactive-short-3;0;1;20830;false;2264;694
interactive-short-3;1;1;15858;false;5891;905
interactive-short-3;2;0;20405;false;;1630
interactive-short-3;3;0;22481;false;;1730
interactive-short-3;4;0;21800;false;;2251
interactive-short-4;0;1;14809;false;7678;851
interactive-short-4;1;1;9228;false;9128;468
interactive-short-4;2;1;15476;false;11831;814
interactive-short-4;3;1;10291;false;9150;527
interactive-short-4;4;1;10261;false;10164;705
interactive-short-5;0;1;23726;false;9131;1824
interactive-short-5;1;1;20189;false;5712;1701
interactive-short-5;2;1;14762;false;7905;1484
interactive-short-5;3;1;21691;false;7027;1415
interactive-short-5;4;0;20326;false;;1603
interactive-short-6;0;1;116059;true;13448;
interactive-short-6;1;1;119673;true;18038;
interactive-short-6;2;0;119631;true;;
interactive-short-6;3;0;119592;true;;
interactive-short-6;4;0;120023;true;;
interactive-short-7;0;0;20516;false;;1006
interactive-short-7;1;0;20598;false;;1168
interactive-short-7;2;0;21026;false;;1377
interactive-short-7;3;0;21048;false;;1100
interactive-short-7;4;0;21247;false;;1351
