name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
author-birthday;0;false;;0;5d39b7b88111990fb2af642c1972cc19;46;46;46;0;1;4;4;4;8542;8542;8542;8542;5170 5616 8015 8015;5170 5616 8015 8015;5170 5616 8015 8015;0 0 0 0;0;"[[5170,5616,8015,8015]]"
finding-duplicated-external-ids-with-a-group-by;0;true;terminated;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
joining-papers-and-authors;0;true;Unexpected "A" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
lookup-from-mwapi-results;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400): Attempted to pass non-pattern operation 'join' to QuerySourceRdfJs;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
number-of-articles-with-cito-annotated-citations-by-year;0;true;Unexpected "A" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
paper-subjects;0;false;;0;1868c983384fad8bef350f438368a929;22;22;22;0;1;2;2;2;4269;4269;4269;4269;3921 4269;3921 4269;3921 4269;0 0;0;"[[3921,4269]]"
property-paths;0;true;Unexpected "A" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
publications-wikiproject-author-not-in-project;0;true;Unexpected "!" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
publications-wikiproject-main-subject-instance-of-person;0;true;terminated;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
recent-publications;0;true;Unexpected "A" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
simple-count;0;true;Unexpected "!" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
simple-lookup-by-object-on-the-truthy-graph;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400): fetch failed;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
simple-lookup-by-subject;0;false;;0;b7811188e1d8b8ba56a5302e9933bc2e;30;30;30;0;1;6;6;6;5391;5391;5391;5391;4836 5043 5390 5391 5391 5391;4836 5043 5390 5391 5391 5391;4836 5043 5390 5391 5391 5391;0 0 0 0 0 0;0;"[[4836,5043,5390,5391,5391,5391]]"
sitelinks-lookup;0;false;;0;c9babb39074c351c92cd624b6904ea4f;1138;1138;1138;0;1;140;140;140;122314;122314;122314;122314;122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313;122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313;122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122311 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122312 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313 122313;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122311,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122312,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313,122313]]"
