name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
author-birthday;0;false;;0;5d39b7b88111990fb2af642c1972cc19;16;16;16;0;1;4;4;4;3752;3752;3752;3752;3021 3566 3751 3751;3021 3566 3751 3751;3021 3566 3751 3751;0 0 0 0;0;"[[3021,3566,3751,3751]]"
finding-duplicated-external-ids-with-a-group-by;0;true;Unexpected "!" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
joining-papers-and-authors;0;true;Unexpected "!" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
lookup-from-mwapi-results;0;true;Unknown SPARQL results content type: ;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
number-of-articles-with-cito-annotated-citations-by-year;0;true;Unexpected "!" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
paper-subjects;0;false;;0;1868c983384fad8bef350f438368a929;8;8;8;0;1;2;2;2;3217;3217;3217;3217;2925 3162;2925 3162;2925 3162;0 0;0;"[[2925,3162]]"
property-paths;0;true;Unknown SPARQL results content type: ;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
publications-wikiproject-author-not-in-project;0;true;Unknown SPARQL results content type: ;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
publications-wikiproject-main-subject-instance-of-person;0;true;Unknown SPARQL results content type: ;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
recent-publications;0;true;Unknown SPARQL results content type: ;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
simple-count;0;true;Unexpected "!" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
simple-lookup-by-object-on-the-truthy-graph;0;true;Unknown SPARQL results content type: ;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
simple-lookup-by-subject;0;true;Unknown SPARQL results content type: ;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
sitelinks-lookup;0;false;;0;82a477f9f0144159431bd5dc8ce9c46e;56;56;56;0;1;13;13;13;9188;9188;9188;9188;9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188;9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188;9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188 9188;0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[9188,9188,9188,9188,9188,9188,9188,9188,9188,9188,9188,9188,9188]]"
