name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
author-birthday;0;false;;0;5d39b7b88111990fb2af642c1972cc19;2;2;2;0;1;4;4;4;3102;3102;3102;3102;3101 3101 3101 3101;3101 3101 3101 3101;3101 3101 3101 3101;0 0 0 0;0;"[[3101,3101,3101,3101]]"
finding-duplicated-external-ids-with-a-group-by;0;true;Unexpected "!" at position 0 in state STOP;1;;;;;;1;0;0;0;0;0;0;NaN;;;;;NaN;
joining-papers-and-authors;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;2;2;2;0;1;0;0;0;3088;3088;3088;3088;;;;;0;"[[]]"
lookup-from-mwapi-results;0;false;;0;b1b885766cad7c352a8ab0e54f7d11ed;2;2;2;0;1;10;10;10;2730;2730;2730;2730;2728 2728 2728 2728 2728 2729 2729 2729 2729 2729;2728 2728 2728 2728 2728 2729 2729 2729 2729 2729;2728 2728 2728 2728 2728 2729 2729 2729 2729 2729;0 0 0 0 0 0 0 0 0 0;0;"[[2728,2728,2728,2728,2728,2729,2729,2729,2729,2729]]"
number-of-articles-with-cito-annotated-citations-by-year;0;false;;0;43019f528d582a357e139b8c932dd568;2;2;2;0;1;65;65;65;7455;7455;7455;7455;7450 7450 7450 7450 7450 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454;7450 7450 7450 7450 7450 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454;7450 7450 7450 7450 7450 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7451 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7453 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454 7454;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[7450,7450,7450,7450,7450,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7451,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454,7454]]"
paper-subjects;0;false;;0;1868c983384fad8bef350f438368a929;2;2;2;0;1;2;2;2;2603;2603;2603;2603;2603 2603;2603 2603;2603 2603;0 0;0;"[[2603,2603]]"
property-paths;0;false;;0;9e62cf1f50ae6418c9b14b8cfb0edfb6;2;2;2;0;1;160;160;160;4093;4093;4093;4093;4074 4074 4074 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4083 4083 4083 4083 4083 4083 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4085 4085 4085 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4087 4087 4087 4087 4087 4087 4087 4087 4087 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4089 4089 4089 4089 4089 4089 4089 4089 4089 4090 4090 4090 4090 4090 4090 4090 4091 4091 4091 4091 4091 4091 4091 4091 4091 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4093;4074 4074 4074 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4083 4083 4083 4083 4083 4083 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4085 4085 4085 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4087 4087 4087 4087 4087 4087 4087 4087 4087 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4089 4089 4089 4089 4089 4089 4089 4089 4089 4090 4090 4090 4090 4090 4090 4090 4091 4091 4091 4091 4091 4091 4091 4091 4091 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4093;4074 4074 4074 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4075 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4077 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4080 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4082 4083 4083 4083 4083 4083 4083 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4084 4085 4085 4085 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4086 4087 4087 4087 4087 4087 4087 4087 4087 4087 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4088 4089 4089 4089 4089 4089 4089 4089 4089 4089 4090 4090 4090 4090 4090 4090 4090 4091 4091 4091 4091 4091 4091 4091 4091 4091 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4092 4093;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[4074,4074,4074,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4082,4082,4082,4082,4082,4082,4082,4082,4082,4082,4082,4082,4082,4083,4083,4083,4083,4083,4083,4084,4084,4084,4084,4084,4084,4084,4084,4084,4084,4084,4084,4084,4085,4085,4085,4086,4086,4086,4086,4086,4086,4086,4086,4086,4086,4086,4086,4087,4087,4087,4087,4087,4087,4087,4087,4087,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4089,4089,4089,4089,4089,4089,4089,4089,4089,4090,4090,4090,4090,4090,4090,4090,4091,4091,4091,4091,4091,4091,4091,4091,4091,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4093]]"
publications-wikiproject-author-not-in-project;0;false;;0;45bb3a0b8238a2e11a5602e4c4676e13;2;2;2;0;1;12;12;12;4847;4847;4847;4847;4847 4847 4847 4847 4847 4847 4847 4847 4847 4847 4847 4847;4847 4847 4847 4847 4847 4847 4847 4847 4847 4847 4847 4847;4847 4847 4847 4847 4847 4847 4847 4847 4847 4847 4847 4847;0 0 0 0 0 0 0 0 0 0 0 0;0;"[[4847,4847,4847,4847,4847,4847,4847,4847,4847,4847,4847,4847]]"
publications-wikiproject-main-subject-instance-of-person;0;false;;0;59decab5822f18012eb8b30e3bddc4bc;2;2;2;0;1;100;100;100;20215;20215;20215;20215;20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20211 20211 20211 20211 20211 20212 20212 20212 20212 20212 20212 20212 20212 20212 20212 20212 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20214 20214 20214 20214 20214 20214 20214 20214 20214 20214 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215;20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20211 20211 20211 20211 20211 20212 20212 20212 20212 20212 20212 20212 20212 20212 20212 20212 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20214 20214 20214 20214 20214 20214 20214 20214 20214 20214 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215;20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20208 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20209 20211 20211 20211 20211 20211 20212 20212 20212 20212 20212 20212 20212 20212 20212 20212 20212 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20213 20214 20214 20214 20214 20214 20214 20214 20214 20214 20214 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215 20215;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[20208,20208,20208,20208,20208,20208,20208,20208,20208,20208,20208,20208,20208,20208,20208,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20209,20211,20211,20211,20211,20211,20212,20212,20212,20212,20212,20212,20212,20212,20212,20212,20212,20213,20213,20213,20213,20213,20213,20213,20213,20213,20213,20213,20213,20213,20213,20213,20213,20214,20214,20214,20214,20214,20214,20214,20214,20214,20214,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215]]"
recent-publications;0;false;;0;e1f6cca3f7ae2438b0b735bd4ef28732;2;2;2;0;1;32;32;32;3018;3018;3018;3018;3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3015 3015 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017;3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3015 3015 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017;3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3014 3015 3015 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017 3017;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0;"[[3014,3014,3014,3014,3014,3014,3014,3014,3014,3014,3014,3014,3014,3015,3015,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017,3017]]"
